repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;26048;6513;123;2;0.16029;0.20981;0.19391;0.19391;0.11265;0.44924;0.52978;0.51459;0.71266;0.51034;0.54578;-1.00000;-1.00000;0.20559;0.20981;0.19391;0.19391;0.11265;0.43756;0.64830;0.65944;0.88206;0.77200;0.77579;0.08392;-1.00000;0.15784;0.20981;0.19391;0.19391;0.11265;0.44703;0.52777;0.50987;0.71135;0.50554;0.54373;0.12084;-1.00000;0.15999;0.20981;0.19391;0.19391;0.11265;0.44712;0.52720;0.51092;0.71038;0.50653;0.54294;0.07265;0.10091
2;26048;6513;123;2;0.16429;0.20882;0.19214;0.19214;0.11262;0.44707;0.52845;0.51332;0.70888;0.50930;0.54469;-1.00000;-1.00000;0.20973;0.20882;0.19214;0.19214;0.11262;0.43444;0.63558;0.64498;0.86914;0.74076;0.74787;0.08453;-1.00000;0.16613;0.20882;0.19214;0.19214;0.11262;0.44546;0.52677;0.50951;0.70847;0.50539;0.54290;0.12040;-1.00000;0.16567;0.20882;0.19214;0.19214;0.11262;0.44508;0.52615;0.51036;0.70710;0.50628;0.54219;0.07279;0.10115
3;26048;6513;123;2;0.16659;0.20965;0.19401;0.19401;0.11257;0.44899;0.52880;0.51334;0.71128;0.50886;0.54452;-1.00000;-1.00000;0.20206;0.20965;0.19401;0.19401;0.11257;0.43802;0.62933;0.63675;0.86206;0.71875;0.72942;0.08298;-1.00000;0.16736;0.20965;0.19401;0.19401;0.11257;0.44734;0.52714;0.50972;0.71065;0.50517;0.54277;0.12028;-1.00000;0.16782;0.20965;0.19401;0.19401;0.11257;0.44679;0.52645;0.51055;0.70933;0.50608;0.54202;0.07266;0.10071
4;26048;6513;123;2;0.16705;0.20773;0.19108;0.19108;0.11227;0.44453;0.52547;0.51082;0.70366;0.50671;0.54147;-1.00000;-1.00000;0.20989;0.20773;0.19108;0.19108;0.11227;0.43375;0.63316;0.64425;0.86617;0.73824;0.74284;0.08432;-1.00000;0.16859;0.20773;0.19108;0.19108;0.11227;0.44294;0.52410;0.50795;0.70285;0.50385;0.54011;0.11982;-1.00000;0.16751;0.20773;0.19108;0.19108;0.11227;0.44280;0.52364;0.50865;0.70210;0.50456;0.53954;0.07282;0.10105
5;26048;6513;123;2;0.16598;0.20987;0.19251;0.19251;0.11347;0.44876;0.53149;0.51664;0.71382;0.51304;0.54830;-1.00000;-1.00000;0.18548;0.20987;0.19251;0.19251;0.11347;0.43850;0.58354;0.57899;0.81060;0.60940;0.63566;0.08118;-1.00000;0.16521;0.20987;0.19251;0.19251;0.11347;0.44725;0.52975;0.51288;0.71351;0.50912;0.54637;0.11997;-1.00000;0.16613;0.20987;0.19251;0.19251;0.11347;0.44720;0.52927;0.51367;0.71257;0.50989;0.54575;0.07254;0.10113
6;26048;6513;123;2;0.16367;0.21085;0.19434;0.19434;0.11365;0.45145;0.53293;0.51867;0.71887;0.51480;0.54935;-1.00000;-1.00000;0.19991;0.21085;0.19434;0.19434;0.11365;0.43903;0.61541;0.62020;0.85123;0.68305;0.69774;0.08294;-1.00000;0.16490;0.21085;0.19434;0.19434;0.11365;0.44918;0.53063;0.51405;0.71764;0.51007;0.54693;0.12033;-1.00000;0.16521;0.21085;0.19434;0.19434;0.11365;0.44926;0.53027;0.51482;0.71654;0.51079;0.54641;0.07253;0.10088
7;26048;6513;123;2;0.16797;0.21019;0.19517;0.19517;0.11270;0.44948;0.52881;0.51403;0.71248;0.50949;0.54438;-1.00000;-1.00000;0.21204;0.21019;0.19517;0.19517;0.11270;0.44079;0.61849;0.62408;0.85033;0.68908;0.70272;0.08153;-1.00000;0.16859;0.21019;0.19517;0.19517;0.11270;0.44824;0.52743;0.51024;0.71248;0.50557;0.54287;0.12044;-1.00000;0.16889;0.21019;0.19517;0.19517;0.11270;0.44790;0.52668;0.51127;0.71117;0.50662;0.54198;0.07257;0.10038
8;26048;6513;123;2;0.16429;0.20991;0.19411;0.19411;0.11251;0.44952;0.52929;0.51263;0.71113;0.50802;0.54501;-1.00000;-1.00000;0.18118;0.20991;0.19411;0.19411;0.11251;0.43950;0.58969;0.58679;0.81559;0.62181;0.64626;0.08059;-1.00000;0.16720;0.20991;0.19411;0.19411;0.11251;0.44787;0.52785;0.50935;0.71030;0.50472;0.54356;0.11991;-1.00000;0.16598;0.20991;0.19411;0.19411;0.11251;0.44726;0.52705;0.51026;0.70921;0.50573;0.54268;0.07248;0.10048
9;26048;6513;123;2;0.16429;0.20986;0.19287;0.19287;0.11334;0.44937;0.53126;0.51636;0.71413;0.51254;0.54776;-1.00000;-1.00000;0.17995;0.20986;0.19287;0.19287;0.11334;0.43931;0.58405;0.58415;0.81385;0.61585;0.63603;0.08095;-1.00000;0.16444;0.20986;0.19287;0.19287;0.11334;0.44751;0.52930;0.51246;0.71336;0.50853;0.54567;0.11994;-1.00000;0.16398;0.20986;0.19287;0.19287;0.11334;0.44721;0.52877;0.51321;0.71219;0.50932;0.54505;0.07260;0.10099
10;26048;6513;123;2;0.16275;0.21051;0.19461;0.19461;0.11318;0.45108;0.53138;0.51595;0.71613;0.51160;0.54734;-1.00000;-1.00000;0.17442;0.21051;0.19461;0.19461;0.11318;0.44224;0.56502;0.55369;0.78397;0.56806;0.60142;0.07865;-1.00000;0.16398;0.21051;0.19461;0.19461;0.11318;0.44871;0.52936;0.51217;0.71458;0.50787;0.54535;0.12005;-1.00000;0.16413;0.21051;0.19461;0.19461;0.11318;0.44858;0.52872;0.51310;0.71418;0.50881;0.54452;0.07257;0.10081
