repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;26048;6513;123;2;0.16705;0.20665;0.17374;0.17374;0.11946;0.45075;0.57105;0.57219;0.88607;0.57764;0.60779;-1.00000;-1.00000;0.17457;0.20665;0.17374;0.17374;0.11946;0.44296;0.58824;0.59403;0.95492;0.61758;0.64196;0.09725;-1.00000;0.16797;0.20665;0.17374;0.17374;0.11946;0.44808;0.56884;0.56588;0.88707;0.57079;0.60560;0.18386;-1.00000;0.16874;0.20665;0.17374;0.17374;0.11946;0.44819;0.56804;0.56778;0.88486;0.57273;0.60425;0.09210;0.17351
2;26048;6513;123;2;0.16720;0.20747;0.17406;0.17406;0.12033;0.45445;0.57606;0.57841;0.89726;0.58509;0.61394;-1.00000;-1.00000;0.19131;0.20747;0.17406;0.17406;0.12033;0.44256;0.61726;0.64179;1.00000;0.70052;0.69912;0.10268;-1.00000;0.16874;0.20747;0.17406;0.17406;0.12033;0.45038;0.57177;0.57030;0.89747;0.57609;0.60909;0.18437;-1.00000;0.16889;0.20747;0.17406;0.17406;0.12033;0.45011;0.57100;0.57164;0.89529;0.57758;0.60800;0.09247;0.17511
3;26048;6513;123;2;0.16966;0.20653;0.17340;0.17340;0.11926;0.45109;0.57151;0.57224;0.88571;0.57776;0.60834;-1.00000;-1.00000;0.21434;0.20653;0.17340;0.17340;0.11926;0.43640;0.66574;0.70171;1.00000;0.85464;0.82451;0.10806;-1.00000;0.17074;0.20653;0.17340;0.17340;0.11926;0.44782;0.56875;0.56497;0.88703;0.56991;0.60557;0.18464;-1.00000;0.17150;0.20653;0.17340;0.17340;0.11926;0.44792;0.56799;0.56687;0.88357;0.57183;0.60431;0.09207;0.17361
4;26048;6513;123;2;0.16367;0.20892;0.17460;0.17460;0.12079;0.45652;0.57844;0.58063;0.90433;0.58743;0.61672;-1.00000;-1.00000;0.17933;0.20892;0.17460;0.17460;0.12079;0.44561;0.59881;0.59682;0.98350;0.62448;0.65966;0.09930;-1.00000;0.16413;0.20892;0.17460;0.17460;0.12079;0.45140;0.57525;0.57002;0.90530;0.57634;0.61424;0.18726;-1.00000;0.16383;0.20892;0.17460;0.17460;0.12079;0.45295;0.57471;0.57329;0.90097;0.57919;0.61252;0.09179;0.17430
5;26048;6513;123;2;0.17242;0.20459;0.17195;0.17195;0.11779;0.44760;0.56765;0.56765;0.87556;0.57267;0.60397;-1.00000;-1.00000;0.18824;0.20459;0.17195;0.17195;0.11779;0.43768;0.60346;0.61303;0.98259;0.65535;0.67498;0.10142;-1.00000;0.17457;0.20459;0.17195;0.17195;0.11779;0.44344;0.56455;0.55852;0.87651;0.56297;0.60112;0.18725;-1.00000;0.17335;0.20459;0.17195;0.17195;0.11779;0.44402;0.56363;0.56144;0.87310;0.56581;0.59935;0.09267;0.17484
6;26048;6513;123;2;0.16951;0.20586;0.17452;0.17452;0.11770;0.44980;0.56843;0.56841;0.88169;0.57264;0.60404;-1.00000;-1.00000;0.18394;0.20586;0.17452;0.17452;0.11770;0.43812;0.60164;0.61331;0.99195;0.65416;0.67097;0.10240;-1.00000;0.17043;0.20586;0.17452;0.17452;0.11770;0.44627;0.56554;0.55971;0.88333;0.56322;0.60119;0.18747;-1.00000;0.16920;0.20586;0.17452;0.17452;0.11770;0.44661;0.56477;0.56205;0.87885;0.56552;0.59981;0.09235;0.17377
7;26048;6513;123;2;0.17150;0.20585;0.17309;0.17309;0.11879;0.45059;0.57081;0.57156;0.88565;0.57683;0.60749;-1.00000;-1.00000;0.20651;0.20585;0.17309;0.17309;0.11879;0.43101;0.67663;0.72859;1.00000;0.93916;0.86415;0.11119;-1.00000;0.17027;0.20585;0.17309;0.17309;0.11879;0.44632;0.56725;0.56407;0.88506;0.56897;0.60396;0.18579;-1.00000;0.17058;0.20585;0.17309;0.17309;0.11879;0.44662;0.56660;0.56586;0.88322;0.57073;0.60275;0.09244;0.17533
8;26048;6513;123;2;0.17027;0.20683;0.17300;0.17300;0.11998;0.45236;0.57368;0.57524;0.89054;0.58151;0.61121;-1.00000;-1.00000;0.21204;0.20683;0.17300;0.17300;0.11998;0.43641;0.64317;0.66997;1.00000;0.77316;0.76472;0.10659;-1.00000;0.16935;0.20683;0.17300;0.17300;0.11998;0.44800;0.57049;0.56676;0.89154;0.57263;0.60832;0.18549;-1.00000;0.17043;0.20683;0.17300;0.17300;0.11998;0.44869;0.56974;0.56945;0.88808;0.57519;0.60673;0.09235;0.17420
9;26048;6513;123;2;0.16951;0.20640;0.17314;0.17314;0.12026;0.45072;0.57197;0.57549;0.88887;0.58196;0.60931;-1.00000;-1.00000;0.18179;0.20640;0.17314;0.17314;0.12026;0.44008;0.60478;0.62242;0.99155;0.66692;0.67566;0.10082;-1.00000;0.16782;0.20640;0.17314;0.17314;0.12026;0.44778;0.56909;0.56921;0.88987;0.57505;0.60617;0.18389;-1.00000;0.16782;0.20640;0.17314;0.17314;0.12026;0.44777;0.56828;0.57096;0.88843;0.57690;0.60487;0.09234;0.17502
10;26048;6513;123;2;0.17196;0.20484;0.17210;0.17210;0.11801;0.44803;0.56809;0.56780;0.87735;0.57272;0.60447;-1.00000;-1.00000;0.21035;0.20484;0.17210;0.17210;0.11801;0.43725;0.64035;0.66768;1.00000;0.76545;0.75688;0.10441;-1.00000;0.17442;0.20484;0.17210;0.17210;0.11801;0.44448;0.56500;0.56061;0.87745;0.56501;0.60129;0.18551;-1.00000;0.17442;0.20484;0.17210;0.17210;0.11801;0.44453;0.56429;0.56236;0.87499;0.56681;0.60014;0.09265;0.17489
