repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;16000;4000;16;26;0.04225;0.21442;0.29616;-1.00000;0.10700;0.47773;-1.00000;-1.00000;1.00000;0.51651;-1.00000;-1.00000;-1.00000;0.20500;0.21442;0.29616;-1.00000;0.10700;0.45133;-1.00000;-1.00000;1.00000;0.66720;-1.00000;0.10245;-1.00000;0.04675;0.21442;0.29616;-1.00000;0.10700;0.46469;-1.00000;-1.00000;1.00000;0.50103;-1.00000;0.15819;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;16000;4000;16;26;0.05200;0.21184;0.29267;-1.00000;0.10524;0.47209;-1.00000;-1.00000;1.00000;0.50705;-1.00000;-1.00000;-1.00000;0.20175;0.21184;0.29267;-1.00000;0.10524;0.43403;-1.00000;-1.00000;1.00000;0.91125;-1.00000;0.11023;-1.00000;0.05325;0.21184;0.29267;-1.00000;0.10524;0.45932;-1.00000;-1.00000;1.00000;0.49324;-1.00000;0.15886;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;16000;4000;16;26;0.04350;0.21574;0.29782;-1.00000;0.10792;0.48102;-1.00000;-1.00000;1.00000;0.52233;-1.00000;-1.00000;-1.00000;0.20125;0.21574;0.29782;-1.00000;0.10792;0.44717;-1.00000;-1.00000;1.00000;0.91421;-1.00000;0.10797;-1.00000;0.04950;0.21574;0.29782;-1.00000;0.10792;0.46745;-1.00000;-1.00000;1.00000;0.50515;-1.00000;0.15789;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;16000;4000;16;26;0.05000;0.21388;0.29462;-1.00000;0.10699;0.47685;-1.00000;-1.00000;1.00000;0.51615;-1.00000;-1.00000;-1.00000;0.21200;0.21388;0.29462;-1.00000;0.10699;0.44294;-1.00000;-1.00000;1.00000;0.71688;-1.00000;0.10579;-1.00000;0.04925;0.21388;0.29462;-1.00000;0.10699;0.46359;-1.00000;-1.00000;1.00000;0.50115;-1.00000;0.15848;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;16000;4000;16;26;0.04700;0.21280;0.29459;-1.00000;0.10564;0.47472;-1.00000;-1.00000;1.00000;0.51128;-1.00000;-1.00000;-1.00000;0.20750;0.21280;0.29459;-1.00000;0.10564;0.44702;-1.00000;-1.00000;1.00000;0.69552;-1.00000;0.10339;-1.00000;0.04875;0.21280;0.29459;-1.00000;0.10564;0.46142;-1.00000;-1.00000;1.00000;0.49555;-1.00000;0.15969;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;16000;4000;16;26;0.03700;0.21487;0.29701;-1.00000;0.10707;0.47805;-1.00000;-1.00000;1.00000;0.51698;-1.00000;-1.00000;-1.00000;0.20475;0.21487;0.29701;-1.00000;0.10707;0.43955;-1.00000;-1.00000;1.00000;0.92232;-1.00000;0.10939;-1.00000;0.04225;0.21487;0.29701;-1.00000;0.10707;0.46558;-1.00000;-1.00000;1.00000;0.50131;-1.00000;0.15804;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;16000;4000;16;26;0.04175;0.21311;0.29484;-1.00000;0.10488;0.47597;-1.00000;-1.00000;1.00000;0.50950;-1.00000;-1.00000;-1.00000;0.20225;0.21311;0.29484;-1.00000;0.10488;0.43868;-1.00000;-1.00000;1.00000;0.89935;-1.00000;0.10909;-1.00000;0.04625;0.21311;0.29484;-1.00000;0.10488;0.46215;-1.00000;-1.00000;1.00000;0.49258;-1.00000;0.16085;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;16000;4000;16;26;0.04175;0.21326;0.29490;-1.00000;0.10567;0.47758;-1.00000;-1.00000;1.00000;0.51311;-1.00000;-1.00000;-1.00000;0.20000;0.21326;0.29490;-1.00000;0.10567;0.44377;-1.00000;-1.00000;1.00000;0.87638;-1.00000;0.10769;-1.00000;0.04600;0.21326;0.29490;-1.00000;0.10567;0.46241;-1.00000;-1.00000;1.00000;0.49571;-1.00000;0.15973;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;16000;4000;16;26;0.04575;0.21460;0.29758;-1.00000;0.10621;0.47499;-1.00000;-1.00000;1.00000;0.51202;-1.00000;-1.00000;-1.00000;0.21725;0.21460;0.29758;-1.00000;0.10621;0.45200;-1.00000;-1.00000;1.00000;0.68362;-1.00000;0.10312;-1.00000;0.04650;0.21460;0.29758;-1.00000;0.10621;0.46501;-1.00000;-1.00000;1.00000;0.49748;-1.00000;0.15836;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;16000;4000;16;26;0.03900;0.21510;0.29569;-1.00000;0.10728;0.48265;-1.00000;-1.00000;1.00000;0.52390;-1.00000;-1.00000;-1.00000;0.18050;0.21510;0.29569;-1.00000;0.10728;0.45434;-1.00000;-1.00000;1.00000;0.62970;-1.00000;0.10130;-1.00000;0.04275;0.21510;0.29569;-1.00000;0.10728;0.46648;-1.00000;-1.00000;1.00000;0.50381;-1.00000;0.16095;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;16000;4000;16;26;0.04050;0.21625;0.30002;-1.00000;0.10802;0.47915;-1.00000;-1.00000;1.00000;0.51744;-1.00000;-1.00000;-1.00000;0.13500;0.21625;0.30002;-1.00000;0.10802;0.45174;-1.00000;-1.00000;1.00000;0.62000;-1.00000;0.10158;-1.00000;0.04000;0.21625;0.30002;-1.00000;0.10802;0.46820;-1.00000;-1.00000;1.00000;0.50434;-1.00000;0.15548;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
12;16000;4000;16;26;0.04750;0.21603;0.29992;-1.00000;0.10756;0.47590;-1.00000;-1.00000;1.00000;0.51351;-1.00000;-1.00000;-1.00000;0.20425;0.21603;0.29992;-1.00000;0.10756;0.44902;-1.00000;-1.00000;1.00000;0.90801;-1.00000;0.10745;-1.00000;0.04550;0.21603;0.29992;-1.00000;0.10756;0.46773;-1.00000;-1.00000;1.00000;0.50245;-1.00000;0.15591;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
13;16000;4000;16;26;0.04500;0.21324;0.29424;-1.00000;0.10614;0.47485;-1.00000;-1.00000;1.00000;0.51238;-1.00000;-1.00000;-1.00000;0.22075;0.21324;0.29424;-1.00000;0.10614;0.44676;-1.00000;-1.00000;1.00000;0.75225;-1.00000;0.10517;-1.00000;0.05000;0.21324;0.29424;-1.00000;0.10614;0.46229;-1.00000;-1.00000;1.00000;0.49732;-1.00000;0.15868;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
14;16000;4000;16;26;0.03875;0.21510;0.29659;-1.00000;0.10717;0.47832;-1.00000;-1.00000;1.00000;0.51799;-1.00000;-1.00000;-1.00000;0.21100;0.21510;0.29659;-1.00000;0.10717;0.45043;-1.00000;-1.00000;1.00000;0.87974;-1.00000;0.10657;-1.00000;0.04375;0.21510;0.29659;-1.00000;0.10717;0.46611;-1.00000;-1.00000;1.00000;0.50188;-1.00000;0.15832;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
15;16000;4000;16;26;0.04250;0.21351;0.29336;-1.00000;0.10743;0.47739;-1.00000;-1.00000;1.00000;0.52048;-1.00000;-1.00000;-1.00000;0.21225;0.21351;0.29336;-1.00000;0.10743;0.44659;-1.00000;-1.00000;1.00000;0.68506;-1.00000;0.10446;-1.00000;0.04900;0.21351;0.29336;-1.00000;0.10743;0.46300;-1.00000;-1.00000;1.00000;0.50359;-1.00000;0.15925;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
16;16000;4000;16;26;0.04325;0.21509;0.29846;-1.00000;0.10684;0.47673;-1.00000;-1.00000;1.00000;0.51633;-1.00000;-1.00000;-1.00000;0.15500;0.21509;0.29846;-1.00000;0.10684;0.45633;-1.00000;-1.00000;1.00000;0.63486;-1.00000;0.10115;-1.00000;0.04400;0.21509;0.29846;-1.00000;0.10684;0.46610;-1.00000;-1.00000;1.00000;0.50051;-1.00000;0.15859;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
17;16000;4000;16;26;0.04625;0.21598;0.29823;-1.00000;0.10723;0.48009;-1.00000;-1.00000;1.00000;0.51647;-1.00000;-1.00000;-1.00000;0.13350;0.21598;0.29823;-1.00000;0.10723;0.45452;-1.00000;-1.00000;1.00000;0.62980;-1.00000;0.10137;-1.00000;0.04900;0.21598;0.29823;-1.00000;0.10723;0.46782;-1.00000;-1.00000;1.00000;0.50166;-1.00000;0.15732;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
18;16000;4000;16;26;0.04175;0.21514;0.29796;-1.00000;0.10744;0.47827;-1.00000;-1.00000;1.00000;0.51900;-1.00000;-1.00000;-1.00000;0.20400;0.21514;0.29796;-1.00000;0.10744;0.44338;-1.00000;-1.00000;1.00000;0.92031;-1.00000;0.10866;-1.00000;0.04375;0.21514;0.29796;-1.00000;0.10744;0.46614;-1.00000;-1.00000;1.00000;0.50297;-1.00000;0.15794;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
19;16000;4000;16;26;0.03925;0.21655;0.29955;-1.00000;0.10789;0.48087;-1.00000;-1.00000;1.00000;0.51951;-1.00000;-1.00000;-1.00000;0.20475;0.21655;0.29955;-1.00000;0.10789;0.45696;-1.00000;-1.00000;1.00000;0.66297;-1.00000;0.10150;-1.00000;0.04375;0.21655;0.29955;-1.00000;0.10789;0.46908;-1.00000;-1.00000;1.00000;0.50471;-1.00000;0.15735;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
