repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;8793;2199;16;10;0.01137;0.07246;0.11243;-1.00000;0.02052;0.18311;-1.00000;-1.00000;0.20553;0.13815;-1.00000;-1.00000;-1.00000;0.07322;0.07246;0.11243;-1.00000;0.02052;0.16255;-1.00000;-1.00000;0.36333;0.28318;-1.00000;0.23243;-1.00000;0.01137;0.07246;0.11243;-1.00000;0.02052;0.17592;-1.00000;-1.00000;0.19303;0.13116;-1.00000;0.39955;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;8793;2199;16;10;0.00955;0.07329;0.11417;-1.00000;0.02056;0.18709;-1.00000;-1.00000;0.20925;0.13916;-1.00000;-1.00000;-1.00000;0.06958;0.07329;0.11417;-1.00000;0.02056;0.15510;-1.00000;-1.00000;0.41829;0.34772;-1.00000;0.24558;-1.00000;0.01000;0.07329;0.11417;-1.00000;0.02056;0.17789;-1.00000;-1.00000;0.19471;0.13156;-1.00000;0.40041;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;8793;2199;16;10;0.01046;0.07459;0.11570;-1.00000;0.02119;0.18805;-1.00000;-1.00000;0.20993;0.13926;-1.00000;-1.00000;-1.00000;0.07867;0.07459;0.11570;-1.00000;0.02119;0.16550;-1.00000;-1.00000;0.33532;0.25386;-1.00000;0.22785;-1.00000;0.01182;0.07459;0.11570;-1.00000;0.02119;0.18042;-1.00000;-1.00000;0.19881;0.13379;-1.00000;0.39106;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;8793;2199;16;10;0.00682;0.07514;0.11694;-1.00000;0.02109;0.18853;-1.00000;-1.00000;0.21095;0.13980;-1.00000;-1.00000;-1.00000;0.02683;0.07514;0.11694;-1.00000;0.02109;0.16675;-1.00000;-1.00000;0.25793;0.18480;-1.00000;0.21939;-1.00000;0.00728;0.07514;0.11694;-1.00000;0.02109;0.18166;-1.00000;-1.00000;0.19944;0.13364;-1.00000;0.39373;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;8793;2199;16;10;0.00819;0.07528;0.11770;-1.00000;0.02103;0.18940;-1.00000;-1.00000;0.21235;0.14043;-1.00000;-1.00000;-1.00000;0.02910;0.07528;0.11770;-1.00000;0.02103;0.17035;-1.00000;-1.00000;0.27556;0.19769;-1.00000;0.21689;-1.00000;0.00819;0.07528;0.11770;-1.00000;0.02103;0.18207;-1.00000;-1.00000;0.19957;0.13351;-1.00000;0.39515;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;8793;2199;16;10;0.01046;0.07503;0.11654;-1.00000;0.02145;0.18873;-1.00000;-1.00000;0.21470;0.14266;-1.00000;-1.00000;-1.00000;0.05275;0.07503;0.11654;-1.00000;0.02145;0.16303;-1.00000;-1.00000;0.44151;0.36567;-1.00000;0.23910;-1.00000;0.01046;0.07503;0.11654;-1.00000;0.02145;0.18151;-1.00000;-1.00000;0.20173;0.13548;-1.00000;0.39142;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;8793;2199;16;10;0.01137;0.07258;0.11256;-1.00000;0.02074;0.18504;-1.00000;-1.00000;0.20746;0.13876;-1.00000;-1.00000;-1.00000;0.07049;0.07258;0.11256;-1.00000;0.02074;0.15586;-1.00000;-1.00000;0.38570;0.31183;-1.00000;0.24105;-1.00000;0.01364;0.07258;0.11256;-1.00000;0.02074;0.17613;-1.00000;-1.00000;0.19441;0.13217;-1.00000;0.39742;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;8793;2199;16;10;0.00955;0.07268;0.11274;-1.00000;0.02028;0.18890;-1.00000;-1.00000;0.21121;0.13979;-1.00000;-1.00000;-1.00000;0.06412;0.07268;0.11274;-1.00000;0.02028;0.15750;-1.00000;-1.00000;0.41609;0.34304;-1.00000;0.24253;-1.00000;0.01000;0.07268;0.11274;-1.00000;0.02028;0.17668;-1.00000;-1.00000;0.19275;0.13051;-1.00000;0.40438;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;8793;2199;16;10;0.01273;0.07420;0.11602;-1.00000;0.02062;0.18598;-1.00000;-1.00000;0.20518;0.13663;-1.00000;-1.00000;-1.00000;0.06412;0.07420;0.11602;-1.00000;0.02062;0.16231;-1.00000;-1.00000;0.41261;0.33477;-1.00000;0.23660;-1.00000;0.01273;0.07420;0.11602;-1.00000;0.02062;0.17955;-1.00000;-1.00000;0.19454;0.13091;-1.00000;0.39492;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;8793;2199;16;10;0.01091;0.07350;0.11373;-1.00000;0.02082;0.18646;-1.00000;-1.00000;0.21028;0.14024;-1.00000;-1.00000;-1.00000;0.07594;0.07350;0.11373;-1.00000;0.02082;0.15629;-1.00000;-1.00000;0.42381;0.35255;-1.00000;0.24471;-1.00000;0.00864;0.07350;0.11373;-1.00000;0.02082;0.17830;-1.00000;-1.00000;0.19660;0.13284;-1.00000;0.39834;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
