repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;8844;2211;68;2;0.02849;0.04831;0.05474;0.05474;0.02046;0.13666;0.19967;0.19174;0.22879;0.17435;0.20783;-1.00000;-1.00000;0.03211;0.04831;0.05474;0.05474;0.02046;0.12237;0.20657;0.22702;0.27992;0.21736;0.21770;0.32526;-1.00000;0.02759;0.04831;0.05474;0.05474;0.02046;0.13193;0.19584;0.18172;0.21658;0.16515;0.20395;0.56038;-1.00000;0.02759;0.04831;0.05474;0.05474;0.02046;0.13033;0.19389;0.18483;0.21971;0.16833;0.20191;0.28600;0.53157
2;8844;2211;68;2;0.02578;0.04796;0.05439;0.05439;0.02008;0.13660;0.19955;0.19171;0.22875;0.17428;0.20769;-1.00000;-1.00000;0.02759;0.04796;0.05439;0.05439;0.02008;0.11910;0.20415;0.22043;0.27045;0.21088;0.21537;0.32927;-1.00000;0.02668;0.04796;0.05439;0.05439;0.02008;0.13164;0.19485;0.18109;0.21558;0.16443;0.20285;0.56115;-1.00000;0.02578;0.04796;0.05439;0.05439;0.02008;0.12954;0.19302;0.18314;0.21748;0.16667;0.20101;0.28693;0.53562
3;8844;2211;68;2;0.02804;0.04831;0.05474;0.05474;0.02047;0.13782;0.20095;0.19416;0.23216;0.17669;0.20915;-1.00000;-1.00000;0.02985;0.04831;0.05474;0.05474;0.02047;0.11895;0.20782;0.23011;0.28466;0.22225;0.21981;0.33576;-1.00000;0.02849;0.04831;0.05474;0.05474;0.02047;0.13317;0.19673;0.18220;0.21793;0.16562;0.20478;0.56545;-1.00000;0.02804;0.04831;0.05474;0.05474;0.02047;0.13034;0.19416;0.18570;0.22098;0.16925;0.20221;0.28592;0.53560
4;8844;2211;68;2;0.02533;0.04737;0.05413;0.05413;0.01961;0.13453;0.19749;0.18956;0.22540;0.17212;0.20560;-1.00000;-1.00000;0.04749;0.04737;0.05413;0.05413;0.01961;0.12096;0.21589;0.25545;0.31777;0.25055;0.22936;0.32960;-1.00000;0.02488;0.04737;0.05413;0.05413;0.01961;0.13006;0.19286;0.17878;0.21231;0.16211;0.20076;0.56965;-1.00000;0.02442;0.04737;0.05413;0.05413;0.01961;0.12816;0.19100;0.18131;0.21474;0.16476;0.19887;0.28815;0.54036
5;8844;2211;68;2;0.02940;0.04679;0.05222;0.05222;0.02039;0.13450;0.19861;0.19174;0.22808;0.17447;0.20690;-1.00000;-1.00000;0.03483;0.04679;0.05222;0.05222;0.02039;0.11921;0.20446;0.22207;0.27210;0.21251;0.21576;0.32740;-1.00000;0.02985;0.04679;0.05222;0.05222;0.02039;0.13007;0.19403;0.18340;0.21768;0.16677;0.20212;0.55557;-1.00000;0.02940;0.04679;0.05222;0.05222;0.02039;0.12704;0.19141;0.18541;0.21956;0.16918;0.19948;0.29103;0.55040
6;8844;2211;68;2;0.02261;0.04956;0.05555;0.05555;0.02121;0.13951;0.20398;0.19787;0.23745;0.18034;0.21242;-1.00000;-1.00000;0.03437;0.04956;0.05555;0.05555;0.02121;0.12202;0.21789;0.25902;0.32368;0.25470;0.23160;0.33079;-1.00000;0.02397;0.04956;0.05555;0.05555;0.02121;0.13540;0.20013;0.18571;0.22302;0.16897;0.20843;0.56021;-1.00000;0.02307;0.04956;0.05555;0.05555;0.02121;0.13305;0.19802;0.18956;0.22654;0.17289;0.20632;0.28208;0.52996
7;8844;2211;68;2;0.03483;0.04638;0.05299;0.05299;0.01934;0.13282;0.19408;0.18496;0.21903;0.16768;0.20190;-1.00000;-1.00000;0.03890;0.04638;0.05299;0.05299;0.01934;0.11632;0.20191;0.23881;0.29299;0.23138;0.21313;0.33777;-1.00000;0.03528;0.04638;0.05299;0.05299;0.01934;0.12837;0.19001;0.17580;0.20778;0.15925;0.19771;0.56690;-1.00000;0.03573;0.04638;0.05299;0.05299;0.01934;0.12585;0.18786;0.17851;0.21037;0.16218;0.19554;0.29045;0.54068
8;8844;2211;68;2;0.03302;0.04623;0.05320;0.05320;0.01914;0.13365;0.19510;0.18602;0.22062;0.16868;0.20296;-1.00000;-1.00000;0.05066;0.04623;0.05320;0.05320;0.01914;0.11346;0.20897;0.26947;0.33482;0.26886;0.22223;0.35263;-1.00000;0.03166;0.04623;0.05320;0.05320;0.01914;0.12837;0.18987;0.17640;0.20858;0.15985;0.19754;0.56796;-1.00000;0.03166;0.04623;0.05320;0.05320;0.01914;0.12563;0.18753;0.17852;0.21061;0.16228;0.19517;0.29173;0.54536
9;8844;2211;68;2;0.03392;0.04576;0.05243;0.05243;0.01923;0.13107;0.19230;0.18555;0.21910;0.16829;0.20007;-1.00000;-1.00000;0.03799;0.04576;0.05243;0.05243;0.01923;0.11330;0.20003;0.23262;0.28439;0.22536;0.21139;0.34196;-1.00000;0.03302;0.04576;0.05243;0.05243;0.01923;0.12726;0.18831;0.17507;0.20666;0.15854;0.19588;0.57277;-1.00000;0.03392;0.04576;0.05243;0.05243;0.01923;0.12437;0.18591;0.17823;0.20945;0.16188;0.19350;0.29173;0.54516
10;8844;2211;68;2;0.03076;0.04885;0.05528;0.05528;0.02135;0.13737;0.20157;0.19656;0.23500;0.17906;0.20993;-1.00000;-1.00000;0.03754;0.04885;0.05528;0.05528;0.02135;0.12328;0.21239;0.23967;0.29696;0.23144;0.22462;0.32195;-1.00000;0.03076;0.04885;0.05528;0.05528;0.02135;0.13379;0.19758;0.18859;0.22532;0.17167;0.20572;0.55050;-1.00000;0.03030;0.04885;0.05528;0.05528;0.02135;0.13145;0.19559;0.19097;0.22766;0.17433;0.20372;0.28382;0.53421
