repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;2471;618;4;2;0.02913;0.04457;0.04766;0.04766;0.02061;0.14705;0.23200;0.21307;0.26796;0.19440;0.24570;-1.00000;-1.00000;0.04207;0.04457;0.04766;0.04766;0.02061;0.12554;0.23427;0.27937;0.36547;0.27892;0.25227;0.47254;-1.00000;0.02913;0.04457;0.04766;0.04766;0.02061;0.14286;0.22604;0.19934;0.25040;0.18122;0.23910;0.60266;-1.00000;0.02589;0.04457;0.04766;0.04766;0.02061;0.13830;0.22210;0.20282;0.25299;0.18530;0.23512;0.39627;0.65363
2;2471;618;4;2;0.03560;0.04352;0.04615;0.04615;0.02024;0.14544;0.22779;0.20533;0.25697;0.18648;0.24086;-1.00000;-1.00000;0.04207;0.04352;0.04615;0.04615;0.02024;0.12331;0.22713;0.26200;0.33729;0.25765;0.24376;0.46600;-1.00000;0.03398;0.04352;0.04615;0.04615;0.02024;0.14112;0.22294;0.19487;0.24327;0.17668;0.23566;0.60268;-1.00000;0.03560;0.04352;0.04615;0.04615;0.02024;0.13532;0.21813;0.19938;0.24679;0.18196;0.23084;0.39763;0.65835
3;2471;618;4;2;0.02589;0.04407;0.04653;0.04653;0.02027;0.14658;0.23050;0.20884;0.26217;0.19012;0.24395;-1.00000;-1.00000;0.03883;0.04407;0.04653;0.04653;0.02027;0.12632;0.23049;0.25460;0.32824;0.24854;0.24739;0.45617;-1.00000;0.02589;0.04407;0.04653;0.04653;0.02027;0.14184;0.22470;0.19536;0.24472;0.17734;0.23765;0.60583;-1.00000;0.02427;0.04407;0.04653;0.04653;0.02027;0.13682;0.22043;0.19964;0.24800;0.18221;0.23336;0.39674;0.65576
4;2471;618;4;2;0.02913;0.04251;0.04427;0.04427;0.02028;0.14291;0.22559;0.20445;0.25467;0.18573;0.23866;-1.00000;-1.00000;0.04207;0.04251;0.04427;0.04427;0.02028;0.12114;0.22300;0.26053;0.33310;0.25574;0.23906;0.46763;-1.00000;0.03074;0.04251;0.04427;0.04427;0.02028;0.13959;0.22180;0.19450;0.24191;0.17630;0.23458;0.60166;-1.00000;0.02913;0.04251;0.04427;0.04427;0.02028;0.13283;0.21580;0.19966;0.24594;0.18238;0.22847;0.40106;0.67322
5;2471;618;4;2;0.01942;0.04334;0.04674;0.04674;0.01897;0.14414;0.22718;0.20373;0.25442;0.18503;0.24037;-1.00000;-1.00000;0.03236;0.04334;0.04674;0.04674;0.01897;0.12774;0.22162;0.22012;0.27753;0.20767;0.23619;0.43200;-1.00000;0.02104;0.04334;0.04674;0.04674;0.01897;0.13908;0.22074;0.18781;0.23392;0.16988;0.23334;0.62122;-1.00000;0.02427;0.04334;0.04674;0.04674;0.01897;0.13515;0.21720;0.19239;0.23793;0.17482;0.22975;0.39978;0.65498
6;2471;618;4;2;0.03236;0.04450;0.04758;0.04758;0.02025;0.14938;0.23434;0.21540;0.27203;0.19666;0.24810;-1.00000;-1.00000;0.02913;0.04450;0.04758;0.04758;0.02025;0.13045;0.22643;0.22245;0.28359;0.21040;0.24153;0.43351;-1.00000;0.03074;0.04450;0.04758;0.04758;0.02025;0.14129;0.22500;0.19937;0.24999;0.18159;0.23809;0.60524;-1.00000;0.03236;0.04450;0.04758;0.04758;0.02025;0.13818;0.22217;0.20150;0.25162;0.18416;0.23518;0.39672;0.65850
7;2471;618;4;2;0.02913;0.04393;0.04632;0.04632;0.02029;0.14569;0.22897;0.20733;0.25975;0.18857;0.24226;-1.00000;-1.00000;0.04045;0.04393;0.04632;0.04632;0.02029;0.12502;0.22631;0.24132;0.30853;0.23324;0.24245;0.45378;-1.00000;0.03883;0.04393;0.04632;0.04632;0.02029;0.14165;0.22414;0.19523;0.24426;0.17711;0.23701;0.60459;-1.00000;0.03722;0.04393;0.04632;0.04632;0.02029;0.13641;0.21991;0.19965;0.24772;0.18219;0.23281;0.39683;0.65676
8;2471;618;4;2;0.03236;0.04195;0.04555;0.04555;0.01850;0.14236;0.22380;0.20143;0.25052;0.18258;0.23660;-1.00000;-1.00000;0.03883;0.04195;0.04555;0.04555;0.01850;0.12381;0.21818;0.21991;0.27696;0.20842;0.23264;0.44784;-1.00000;0.03398;0.04195;0.04555;0.04555;0.01850;0.13588;0.21651;0.18733;0.23155;0.16937;0.22882;0.62130;-1.00000;0.03236;0.04195;0.04555;0.04555;0.01850;0.13186;0.21284;0.19070;0.23435;0.17322;0.22506;0.40523;0.66923
9;2471;618;4;2;0.03398;0.04189;0.04399;0.04399;0.01901;0.14141;0.22509;0.20498;0.25481;0.18641;0.23835;-1.00000;-1.00000;0.03074;0.04189;0.04399;0.04399;0.01901;0.12255;0.21984;0.22823;0.28931;0.21844;0.23489;0.46044;-1.00000;0.03398;0.04189;0.04399;0.04399;0.01901;0.13535;0.21774;0.19129;0.23648;0.17348;0.23040;0.61509;-1.00000;0.03398;0.04189;0.04399;0.04399;0.01901;0.13182;0.21460;0.19376;0.23843;0.17645;0.22721;0.40616;0.68254
10;2471;618;4;2;0.03074;0.04312;0.04624;0.04624;0.01943;0.14245;0.22554;0.20475;0.25487;0.18611;0.23868;-1.00000;-1.00000;0.04369;0.04312;0.04624;0.04624;0.01943;0.12542;0.22445;0.23508;0.29888;0.22550;0.24007;0.44594;-1.00000;0.03398;0.04312;0.04624;0.04624;0.01943;0.13866;0.21987;0.19175;0.23830;0.17364;0.23238;0.61177;-1.00000;0.03236;0.04312;0.04624;0.04624;0.01943;0.13431;0.21621;0.19502;0.24066;0.17741;0.22872;0.39892;0.65822
11;2471;618;4;2;0.02427;0.04481;0.04728;0.04728;0.02077;0.14576;0.23114;0.21159;0.26553;0.19288;0.24488;-1.00000;-1.00000;0.02427;0.04481;0.04728;0.04728;0.02077;0.12978;0.22950;0.24011;0.30769;0.23003;0.24550;0.43737;-1.00000;0.03074;0.04481;0.04728;0.04728;0.02077;0.14251;0.22632;0.19974;0.25057;0.18148;0.23951;0.60212;-1.00000;0.03074;0.04481;0.04728;0.04728;0.02077;0.13847;0.22280;0.20372;0.25398;0.18600;0.23595;0.39346;0.65556
12;2471;618;4;2;0.03236;0.04095;0.04406;0.04406;0.01839;0.13998;0.22093;0.19815;0.24511;0.17951;0.23354;-1.00000;-1.00000;0.04369;0.04095;0.04406;0.04406;0.01839;0.11765;0.21780;0.24589;0.31225;0.24014;0.23326;0.47759;-1.00000;0.03236;0.04095;0.04406;0.04406;0.01839;0.13385;0.21376;0.18631;0.22903;0.16848;0.22587;0.61659;-1.00000;0.03074;0.04095;0.04406;0.04406;0.01839;0.12937;0.20986;0.18924;0.23134;0.17203;0.22190;0.40862;0.67736
13;2471;618;4;2;0.02751;0.04302;0.04725;0.04725;0.01970;0.14769;0.23013;0.20763;0.26113;0.18859;0.24331;-1.00000;-1.00000;0.05016;0.04302;0.04725;0.04725;0.01970;0.12423;0.22360;0.24363;0.31128;0.23549;0.23920;0.45999;-1.00000;0.02589;0.04302;0.04725;0.04725;0.01970;0.14194;0.22305;0.19515;0.24421;0.17683;0.23566;0.60667;-1.00000;0.02913;0.04302;0.04725;0.04725;0.01970;0.13493;0.21691;0.19936;0.24738;0.18208;0.22940;0.40368;0.66594
14;2471;618;4;2;0.03074;0.04409;0.04530;0.04530;0.02117;0.14505;0.23047;0.21128;0.26466;0.19285;0.24420;-1.00000;-1.00000;0.02751;0.04409;0.04530;0.04530;0.02117;0.13017;0.22566;0.22346;0.28367;0.21116;0.24068;0.42909;-1.00000;0.02913;0.04409;0.04530;0.04530;0.02117;0.14179;0.22619;0.20105;0.25164;0.18306;0.23949;0.59212;-1.00000;0.03236;0.04409;0.04530;0.04530;0.02117;0.13681;0.22177;0.20437;0.25399;0.18709;0.23500;0.39630;0.66369
15;2471;618;4;2;0.03560;0.04072;0.04483;0.04483;0.01832;0.14337;0.22566;0.20441;0.25484;0.18568;0.23868;-1.00000;-1.00000;0.05016;0.04072;0.04483;0.04483;0.01832;0.11860;0.22141;0.26441;0.33970;0.26185;0.23752;0.48700;-1.00000;0.03560;0.04072;0.04483;0.04483;0.01832;0.13634;0.21689;0.19001;0.23531;0.17216;0.22919;0.61755;-1.00000;0.03398;0.04072;0.04483;0.04483;0.01832;0.12994;0.21105;0.19303;0.23765;0.17625;0.22316;0.41551;0.69457
16;2471;618;4;2;0.02589;0.04523;0.04908;0.04908;0.01999;0.14647;0.23041;0.20811;0.26116;0.18941;0.24384;-1.00000;-1.00000;0.02589;0.04523;0.04908;0.04908;0.01999;0.13370;0.22625;0.21269;0.26936;0.19856;0.24077;0.41324;-1.00000;0.02589;0.04523;0.04908;0.04908;0.01999;0.14193;0.22473;0.19401;0.24300;0.17597;0.23765;0.60770;-1.00000;0.02589;0.04523;0.04908;0.04908;0.01999;0.13934;0.22191;0.19773;0.24645;0.17991;0.23471;0.39125;0.63535
17;2471;618;4;2;0.02751;0.04408;0.04612;0.04612;0.02117;0.14930;0.23439;0.21232;0.26812;0.19359;0.24818;-1.00000;-1.00000;0.04369;0.04408;0.04612;0.04612;0.02117;0.12613;0.22949;0.26190;0.33760;0.25647;0.24617;0.45846;-1.00000;0.02751;0.04408;0.04612;0.04612;0.02117;0.14426;0.22818;0.20046;0.25215;0.18232;0.24146;0.59310;-1.00000;0.02265;0.04408;0.04612;0.04612;0.02117;0.13723;0.22197;0.20585;0.25664;0.18881;0.23512;0.39855;0.66556
18;2471;618;4;2;0.03074;0.04339;0.04772;0.04772;0.01917;0.14612;0.22759;0.20330;0.25467;0.18431;0.24050;-1.00000;-1.00000;0.02913;0.04339;0.04772;0.04772;0.01917;0.12892;0.22020;0.21030;0.26455;0.19668;0.23421;0.42652;-1.00000;0.03236;0.04339;0.04772;0.04772;0.01917;0.13927;0.22004;0.19092;0.23740;0.17279;0.23248;0.60988;-1.00000;0.02913;0.04339;0.04772;0.04772;0.01917;0.13519;0.21622;0.19388;0.23979;0.17629;0.22855;0.39919;0.64976
19;2471;618;4;2;0.02913;0.04270;0.04610;0.04610;0.01935;0.14673;0.23022;0.20885;0.26227;0.18999;0.24359;-1.00000;-1.00000;0.03883;0.04270;0.04610;0.04610;0.01935;0.12668;0.22129;0.22209;0.28155;0.21043;0.23589;0.44426;-1.00000;0.03074;0.04270;0.04610;0.04610;0.01935;0.13928;0.22122;0.19484;0.24275;0.17682;0.23389;0.60909;-1.00000;0.03236;0.04270;0.04610;0.04610;0.01935;0.13401;0.21652;0.19721;0.24424;0.18000;0.22909;0.40412;0.67403
20;2471;618;4;2;0.02265;0.04551;0.04747;0.04747;0.02141;0.15175;0.23744;0.21592;0.27405;0.19710;0.25143;-1.00000;-1.00000;0.03398;0.04551;0.04747;0.04747;0.02141;0.13025;0.23643;0.25657;0.33345;0.25034;0.25406;0.44781;-1.00000;0.02265;0.04551;0.04747;0.04747;0.02141;0.14587;0.23079;0.20348;0.25703;0.18536;0.24432;0.59087;-1.00000;0.02427;0.04551;0.04747;0.04747;0.02141;0.14039;0.22602;0.20689;0.25940;0.18958;0.23948;0.39226;0.65329
21;2471;618;4;2;0.03883;0.04173;0.04486;0.04486;0.01884;0.14005;0.22220;0.20385;0.25240;0.18537;0.23506;-1.00000;-1.00000;0.05502;0.04173;0.04486;0.04486;0.01884;0.12507;0.21621;0.21363;0.26705;0.20065;0.23005;0.43353;-1.00000;0.03398;0.04173;0.04486;0.04486;0.01884;0.13451;0.21525;0.18817;0.23217;0.17048;0.22751;0.62097;-1.00000;0.03560;0.04173;0.04486;0.04486;0.01884;0.13112;0.21212;0.19183;0.23533;0.17449;0.22432;0.40491;0.67074
22;2471;618;4;2;0.02913;0.04312;0.04543;0.04543;0.01991;0.14619;0.22940;0.20732;0.25995;0.18854;0.24267;-1.00000;-1.00000;0.03398;0.04312;0.04543;0.04543;0.01991;0.12791;0.21965;0.21808;0.27410;0.20502;0.23373;0.42758;-1.00000;0.03074;0.04312;0.04543;0.04543;0.01991;0.14029;0.22237;0.19536;0.24358;0.17729;0.23511;0.60221;-1.00000;0.02913;0.04312;0.04543;0.04543;0.01991;0.13457;0.21781;0.19822;0.24534;0.18100;0.23057;0.40024;0.66810
23;2471;618;4;2;0.03560;0.04148;0.04503;0.04503;0.01869;0.14173;0.22229;0.19909;0.24719;0.18017;0.23490;-1.00000;-1.00000;0.04693;0.04148;0.04503;0.04503;0.01869;0.11953;0.21752;0.24206;0.30653;0.23443;0.23258;0.46920;-1.00000;0.03560;0.04148;0.04503;0.04503;0.01869;0.13791;0.21716;0.18748;0.23224;0.16916;0.22928;0.61703;-1.00000;0.03560;0.04148;0.04503;0.04503;0.01869;0.13076;0.21144;0.19174;0.23514;0.17434;0.22358;0.40725;0.67318
24;2471;618;4;2;0.03074;0.04344;0.04691;0.04691;0.02014;0.14553;0.22871;0.20793;0.26040;0.18919;0.24196;-1.00000;-1.00000;0.03883;0.04344;0.04691;0.04691;0.02014;0.12488;0.22840;0.25824;0.33257;0.25282;0.24505;0.46111;-1.00000;0.03236;0.04344;0.04691;0.04691;0.02014;0.14038;0.22238;0.19648;0.24489;0.17834;0.23512;0.59898;-1.00000;0.03236;0.04344;0.04691;0.04691;0.02014;0.13543;0.21774;0.19994;0.24784;0.18256;0.23033;0.39962;0.65855
25;2471;618;4;2;0.03236;0.04201;0.04426;0.04426;0.01952;0.14474;0.22828;0.20686;0.25872;0.18819;0.24159;-1.00000;-1.00000;0.04207;0.04201;0.04426;0.04426;0.01952;0.11280;0.21403;0.29063;0.37614;0.29625;0.22933;0.51421;-1.00000;0.03236;0.04201;0.04426;0.04426;0.01952;0.13926;0.22142;0.19284;0.24021;0.17488;0.23414;0.61015;-1.00000;0.03722;0.04201;0.04426;0.04426;0.01952;0.13234;0.21540;0.19720;0.24341;0.18023;0.22803;0.40674;0.68418
26;2471;618;4;2;0.03074;0.04275;0.04463;0.04463;0.01990;0.14105;0.22464;0.20441;0.25396;0.18574;0.23786;-1.00000;-1.00000;0.03883;0.04275;0.04463;0.04463;0.01990;0.12631;0.22167;0.22610;0.28492;0.21422;0.23655;0.43450;-1.00000;0.03236;0.04275;0.04463;0.04463;0.01990;0.13728;0.21989;0.19507;0.24165;0.17689;0.23270;0.60442;-1.00000;0.03398;0.04275;0.04463;0.04463;0.01990;0.13348;0.21662;0.19794;0.24396;0.18031;0.22939;0.40070;0.67145
27;2471;618;4;2;0.03236;0.04268;0.04514;0.04514;0.02008;0.14780;0.23178;0.21180;0.26657;0.19299;0.24528;-1.00000;-1.00000;0.04369;0.04268;0.04514;0.04514;0.02008;0.12150;0.22703;0.27354;0.35449;0.27237;0.24396;0.48049;-1.00000;0.03074;0.04268;0.04514;0.04514;0.02008;0.14051;0.22340;0.19928;0.24899;0.18133;0.23631;0.60040;-1.00000;0.02913;0.04268;0.04514;0.04514;0.02008;0.13417;0.21805;0.20178;0.25052;0.18492;0.23089;0.40522;0.68456
28;2471;618;4;2;0.01942;0.04624;0.04991;0.04991;0.02097;0.15048;0.23465;0.21328;0.26990;0.19427;0.24827;-1.00000;-1.00000;0.03398;0.04624;0.04991;0.04991;0.02097;0.13344;0.23618;0.25160;0.32591;0.24282;0.25308;0.43409;-1.00000;0.02104;0.04624;0.04991;0.04991;0.02097;0.14635;0.22945;0.20020;0.25293;0.18176;0.24260;0.59787;-1.00000;0.01942;0.04624;0.04991;0.04991;0.02097;0.14185;0.22561;0.20388;0.25564;0.18597;0.23875;0.38836;0.63231
29;2471;618;4;2;0.03074;0.04328;0.04503;0.04503;0.01982;0.14596;0.23003;0.20638;0.25881;0.18761;0.24349;-1.00000;-1.00000;0.03560;0.04328;0.04503;0.04503;0.01982;0.12176;0.22524;0.25380;0.32563;0.24877;0.24173;0.46831;-1.00000;0.02913;0.04328;0.04503;0.04503;0.01982;0.14107;0.22379;0.19514;0.24369;0.17696;0.23671;0.60298;-1.00000;0.03074;0.04328;0.04503;0.04503;0.01982;0.13504;0.21919;0.19806;0.24548;0.18080;0.23216;0.40012;0.67268
30;2471;618;4;2;0.02751;0.04303;0.04360;0.04360;0.02091;0.14665;0.23225;0.21156;0.26588;0.19299;0.24607;-1.00000;-1.00000;0.04045;0.04303;0.04360;0.04360;0.02091;0.12396;0.22905;0.26377;0.34050;0.25984;0.24605;0.46577;-1.00000;0.03236;0.04303;0.04360;0.04360;0.02091;0.14196;0.22691;0.20090;0.25165;0.18293;0.24033;0.59339;-1.00000;0.03236;0.04303;0.04360;0.04360;0.02091;0.13473;0.22045;0.20501;0.25464;0.18823;0.23373;0.40252;0.68912
31;2471;618;4;2;0.03560;0.04037;0.04462;0.04462;0.01765;0.14010;0.21975;0.19623;0.24264;0.17740;0.23211;-1.00000;-1.00000;0.03883;0.04037;0.04462;0.04462;0.01765;0.12096;0.21158;0.21297;0.26526;0.20074;0.22508;0.44810;-1.00000;0.03722;0.04037;0.04462;0.04462;0.01765;0.13313;0.21164;0.18355;0.22507;0.16557;0.22345;0.62235;-1.00000;0.03883;0.04037;0.04462;0.04462;0.01765;0.12807;0.20713;0.18614;0.22699;0.16890;0.21883;0.41145;0.67952
32;2471;618;4;2;0.03883;0.04122;0.04307;0.04307;0.01891;0.14014;0.22259;0.20165;0.24975;0.18315;0.23551;-1.00000;-1.00000;0.04207;0.04122;0.04307;0.04307;0.01891;0.12286;0.21654;0.21834;0.27371;0.20670;0.23082;0.44472;-1.00000;0.04045;0.04122;0.04307;0.04307;0.01891;0.13465;0.21607;0.18884;0.23279;0.17108;0.22850;0.61446;-1.00000;0.04045;0.04122;0.04307;0.04307;0.01891;0.12987;0.21187;0.19203;0.23515;0.17490;0.22423;0.40681;0.68471
