repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;5148;1287;36;6;0.08625;0.15944;0.18853;-1.00000;0.07336;0.40056;-1.00000;-1.00000;1.00000;0.50860;-1.00000;-1.00000;-1.00000;0.10179;0.15944;0.18853;-1.00000;0.07336;0.38007;-1.00000;-1.00000;1.00000;0.53745;-1.00000;0.22774;-1.00000;0.08858;0.15944;0.18853;-1.00000;0.07336;0.39028;-1.00000;-1.00000;1.00000;0.48539;-1.00000;0.43588;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;5148;1287;36;6;0.07304;0.16360;0.19478;-1.00000;0.07637;0.41121;-1.00000;-1.00000;1.00000;0.52223;-1.00000;-1.00000;-1.00000;0.09635;0.16360;0.19478;-1.00000;0.07637;0.38673;-1.00000;-1.00000;1.00000;0.58837;-1.00000;0.23119;-1.00000;0.07304;0.16360;0.19478;-1.00000;0.07637;0.39925;-1.00000;-1.00000;1.00000;0.50034;-1.00000;0.42975;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;5148;1287;36;6;0.09557;0.15903;0.19353;-1.00000;0.07230;0.39530;-1.00000;-1.00000;1.00000;0.49733;-1.00000;-1.00000;-1.00000;0.17172;0.15903;0.19353;-1.00000;0.07230;0.36615;-1.00000;-1.00000;1.00000;0.86180;-1.00000;0.25793;-1.00000;0.09402;0.15903;0.19353;-1.00000;0.07230;0.38889;-1.00000;-1.00000;1.00000;0.48041;-1.00000;0.43852;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;5148;1287;36;6;0.09013;0.15825;0.18968;-1.00000;0.07218;0.39878;-1.00000;-1.00000;1.00000;0.49981;-1.00000;-1.00000;-1.00000;0.12432;0.15825;0.18968;-1.00000;0.07218;0.36907;-1.00000;-1.00000;1.00000;0.61950;-1.00000;0.24333;-1.00000;0.09013;0.15825;0.18968;-1.00000;0.07218;0.38770;-1.00000;-1.00000;1.00000;0.47867;-1.00000;0.43716;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;5148;1287;36;6;0.08159;0.16164;0.19235;-1.00000;0.07513;0.40426;-1.00000;-1.00000;1.00000;0.51161;-1.00000;-1.00000;-1.00000;0.15229;0.16164;0.19235;-1.00000;0.07513;0.38031;-1.00000;-1.00000;1.00000;0.62320;-1.00000;0.23556;-1.00000;0.08314;0.16164;0.19235;-1.00000;0.07513;0.39473;-1.00000;-1.00000;1.00000;0.49185;-1.00000;0.42888;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;5148;1287;36;6;0.08159;0.16287;0.19407;-1.00000;0.07677;0.40664;-1.00000;-1.00000;1.00000;0.51599;-1.00000;-1.00000;-1.00000;0.11422;0.16287;0.19407;-1.00000;0.07677;0.37346;-1.00000;-1.00000;1.00000;0.64544;-1.00000;0.24250;-1.00000;0.07925;0.16287;0.19407;-1.00000;0.07677;0.39709;-1.00000;-1.00000;1.00000;0.49825;-1.00000;0.42324;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;5148;1287;36;6;0.07615;0.16011;0.19069;-1.00000;0.07400;0.40087;-1.00000;-1.00000;1.00000;0.50711;-1.00000;-1.00000;-1.00000;0.15307;0.16011;0.19069;-1.00000;0.07400;0.37058;-1.00000;-1.00000;1.00000;0.71225;-1.00000;0.24853;-1.00000;0.08081;0.16011;0.19069;-1.00000;0.07400;0.39140;-1.00000;-1.00000;1.00000;0.48857;-1.00000;0.43456;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;5148;1287;36;6;0.07925;0.16349;0.19578;-1.00000;0.07571;0.40842;-1.00000;-1.00000;1.00000;0.51529;-1.00000;-1.00000;-1.00000;0.10645;0.16349;0.19578;-1.00000;0.07571;0.38583;-1.00000;-1.00000;1.00000;0.56570;-1.00000;0.22770;-1.00000;0.08392;0.16349;0.19578;-1.00000;0.07571;0.39861;-1.00000;-1.00000;1.00000;0.49494;-1.00000;0.42807;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;5148;1287;36;6;0.07848;0.15921;0.18998;-1.00000;0.07296;0.40072;-1.00000;-1.00000;1.00000;0.50805;-1.00000;-1.00000;-1.00000;0.14141;0.15921;0.18998;-1.00000;0.07296;0.36873;-1.00000;-1.00000;1.00000;0.80542;-1.00000;0.25369;-1.00000;0.07925;0.15921;0.18998;-1.00000;0.07296;0.38994;-1.00000;-1.00000;1.00000;0.48436;-1.00000;0.43808;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;5148;1287;36;6;0.08625;0.16454;0.19610;-1.00000;0.07691;0.40859;-1.00000;-1.00000;1.00000;0.51717;-1.00000;-1.00000;-1.00000;0.15929;0.16454;0.19610;-1.00000;0.07691;0.38084;-1.00000;-1.00000;1.00000;0.74591;-1.00000;0.24314;-1.00000;0.08314;0.16454;0.19610;-1.00000;0.07691;0.40055;-1.00000;-1.00000;1.00000;0.49933;-1.00000;0.42351;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
