repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;46400;11600;9;7;0.00026;0.00082;0.00124;-1.00000;0.00022;0.00392;-1.00000;-1.00000;0.00532;0.00506;-1.00000;-1.00000;-1.00000;0.00017;0.00082;0.00124;-1.00000;0.00022;0.00261;-1.00000;-1.00000;0.00704;0.00680;-1.00000;0.75205;-1.00000;0.00017;0.00082;0.00124;-1.00000;0.00022;0.00355;-1.00000;-1.00000;0.00472;0.00449;-1.00000;0.85152;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;46400;11600;9;7;0.00026;0.00082;0.00122;-1.00000;0.00023;0.00409;-1.00000;-1.00000;0.00558;0.00531;-1.00000;-1.00000;-1.00000;0.00017;0.00082;0.00122;-1.00000;0.00023;0.00257;-1.00000;-1.00000;0.00677;0.00654;-1.00000;0.74791;-1.00000;0.00017;0.00082;0.00122;-1.00000;0.00023;0.00357;-1.00000;-1.00000;0.00486;0.00462;-1.00000;0.84742;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;46400;11600;9;7;0.00017;0.00082;0.00122;-1.00000;0.00021;0.00407;-1.00000;-1.00000;0.00550;0.00523;-1.00000;-1.00000;-1.00000;0.00034;0.00082;0.00122;-1.00000;0.00021;0.00281;-1.00000;-1.00000;0.00568;0.00546;-1.00000;0.70733;-1.00000;0.00017;0.00082;0.00122;-1.00000;0.00021;0.00357;-1.00000;-1.00000;0.00471;0.00447;-1.00000;0.85891;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;46400;11600;9;7;0.00017;0.00087;0.00123;-1.00000;0.00029;0.00405;-1.00000;-1.00000;0.00582;0.00555;-1.00000;-1.00000;-1.00000;0.00043;0.00087;0.00123;-1.00000;0.00029;0.00285;-1.00000;-1.00000;0.00778;0.00753;-1.00000;0.72060;-1.00000;0.00009;0.00087;0.00123;-1.00000;0.00029;0.00371;-1.00000;-1.00000;0.00525;0.00499;-1.00000;0.82069;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;46400;11600;9;7;0.00017;0.00075;0.00109;-1.00000;0.00022;0.00398;-1.00000;-1.00000;0.00566;0.00539;-1.00000;-1.00000;-1.00000;0.00026;0.00075;0.00109;-1.00000;0.00022;0.00255;-1.00000;-1.00000;0.00592;0.00570;-1.00000;0.74423;-1.00000;0.00009;0.00075;0.00109;-1.00000;0.00022;0.00338;-1.00000;-1.00000;0.00480;0.00456;-1.00000;0.85585;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;46400;11600;9;7;0.00034;0.00079;0.00119;-1.00000;0.00020;0.00399;-1.00000;-1.00000;0.00532;0.00505;-1.00000;-1.00000;-1.00000;0.00069;0.00079;0.00119;-1.00000;0.00020;0.00221;-1.00000;-1.00000;0.00672;0.00650;-1.00000;0.81062;-1.00000;0.00017;0.00079;0.00119;-1.00000;0.00020;0.00349;-1.00000;-1.00000;0.00460;0.00436;-1.00000;0.86289;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;46400;11600;9;7;0.00026;0.00086;0.00128;-1.00000;0.00023;0.00402;-1.00000;-1.00000;0.00535;0.00509;-1.00000;-1.00000;-1.00000;0.00043;0.00086;0.00128;-1.00000;0.00023;0.00274;-1.00000;-1.00000;0.00737;0.00713;-1.00000;0.73633;-1.00000;0.00000;0.00086;0.00128;-1.00000;0.00023;0.00369;-1.00000;-1.00000;0.00478;0.00454;-1.00000;0.84809;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;46400;11600;9;7;0.00034;0.00079;0.00119;-1.00000;0.00021;0.00393;-1.00000;-1.00000;0.00533;0.00506;-1.00000;-1.00000;-1.00000;0.00009;0.00079;0.00119;-1.00000;0.00021;0.00276;-1.00000;-1.00000;0.00591;0.00569;-1.00000;0.71840;-1.00000;0.00034;0.00079;0.00119;-1.00000;0.00021;0.00348;-1.00000;-1.00000;0.00466;0.00443;-1.00000;0.85714;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;46400;11600;9;7;0.00026;0.00085;0.00122;-1.00000;0.00026;0.00410;-1.00000;-1.00000;0.00557;0.00530;-1.00000;-1.00000;-1.00000;0.00034;0.00085;0.00122;-1.00000;0.00026;0.00261;-1.00000;-1.00000;0.00760;0.00736;-1.00000;0.76027;-1.00000;0.00017;0.00085;0.00122;-1.00000;0.00026;0.00364;-1.00000;-1.00000;0.00503;0.00478;-1.00000;0.83397;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;46400;11600;9;7;0.00009;0.00083;0.00125;-1.00000;0.00023;0.00428;-1.00000;-1.00000;0.00596;0.00568;-1.00000;-1.00000;-1.00000;0.00009;0.00083;0.00125;-1.00000;0.00023;0.00176;-1.00000;-1.00000;0.00634;0.00614;-1.00000;0.88382;-1.00000;0.00009;0.00083;0.00125;-1.00000;0.00023;0.00363;-1.00000;-1.00000;0.00499;0.00475;-1.00000;0.85191;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
