repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;2540;635;60;2;0.03150;0.15475;0.22012;0.22012;0.04593;0.48258;0.50898;0.39736;1.00000;0.36894;0.51861;-1.00000;-1.00000;0.15433;0.15475;0.22012;0.22012;0.04593;0.33266;0.55017;0.60430;1.00000;0.69755;0.65839;0.29755;-1.00000;0.02992;0.15475;0.22012;0.22012;0.04593;0.41252;0.45952;0.35162;1.00000;0.32638;0.47076;0.46884;-1.00000;0.03937;0.15475;0.22012;0.22012;0.04593;0.39097;0.45122;0.35586;0.95671;0.33141;0.46452;0.24321;0.32110
2;2540;635;60;2;0.03780;0.16301;0.23478;0.23478;0.04616;0.48272;0.50799;0.39589;1.00000;0.36759;0.51749;-1.00000;-1.00000;0.16220;0.16301;0.23478;0.23478;0.04616;0.36817;0.58580;0.63230;1.00000;0.72437;0.70354;0.28026;-1.00000;0.02677;0.16301;0.23478;0.23478;0.04616;0.41875;0.46145;0.35084;1.00000;0.32563;0.47207;0.46639;-1.00000;0.03150;0.16301;0.23478;0.23478;0.04616;0.40762;0.45743;0.35245;1.00000;0.32766;0.46899;0.23479;0.30260
3;2540;635;60;2;0.04094;0.15211;0.21498;0.21498;0.04571;0.47699;0.50375;0.39272;1.00000;0.36436;0.51340;-1.00000;-1.00000;0.05669;0.15211;0.21498;0.21498;0.04571;0.34353;0.49137;0.47463;1.00000;0.47111;0.53904;0.28173;-1.00000;0.04409;0.15211;0.21498;0.21498;0.04571;0.40698;0.45589;0.34912;1.00000;0.32382;0.46744;0.47060;-1.00000;0.04409;0.15211;0.21498;0.21498;0.04571;0.38516;0.44778;0.35408;0.92228;0.32947;0.46157;0.24497;0.32359
4;2540;635;60;2;0.03307;0.15637;0.22478;0.22478;0.04429;0.46649;0.49255;0.38069;1.00000;0.35269;0.50201;-1.00000;-1.00000;0.11969;0.15637;0.22478;0.22478;0.04429;0.35593;0.54068;0.55153;1.00000;0.58192;0.61908;0.28200;-1.00000;0.03150;0.15637;0.22478;0.22478;0.04429;0.40624;0.45049;0.34097;0.97550;0.31569;0.46127;0.47129;-1.00000;0.03465;0.15637;0.22478;0.22478;0.04429;0.39298;0.44575;0.34297;0.92669;0.31822;0.45768;0.23865;0.30977
5;2540;635;60;2;0.02047;0.13668;0.19090;0.19090;0.04160;0.48090;0.50658;0.39516;1.00000;0.36680;0.51614;-1.00000;-1.00000;0.08031;0.13668;0.19090;0.19090;0.04160;0.29264;0.49594;0.55818;1.00000;0.63098;0.58096;0.31854;-1.00000;0.02205;0.13668;0.19090;0.19090;0.04160;0.38532;0.43983;0.33465;0.87886;0.31039;0.45194;0.49129;-1.00000;0.02835;0.13668;0.19090;0.19090;0.04160;0.35348;0.42850;0.33963;0.79059;0.31645;0.44446;0.26185;0.35916
6;2540;635;60;2;0.02835;0.15489;0.22052;0.22052;0.04474;0.47911;0.50535;0.39400;1.00000;0.36561;0.51495;-1.00000;-1.00000;0.13701;0.15489;0.22052;0.22052;0.04474;0.33918;0.56461;0.64398;1.00000;0.77739;0.68399;0.29773;-1.00000;0.03150;0.15489;0.22052;0.22052;0.04474;0.40747;0.45559;0.34579;1.00000;0.32074;0.46695;0.47569;-1.00000;0.03465;0.15489;0.22052;0.22052;0.04474;0.39079;0.44970;0.34847;0.93797;0.32398;0.46276;0.24197;0.31866
7;2540;635;60;2;0.04094;0.15086;0.21292;0.21292;0.04450;0.47537;0.50203;0.38817;1.00000;0.36000;0.51164;-1.00000;-1.00000;0.13071;0.15086;0.21292;0.21292;0.04450;0.30716;0.52128;0.60595;1.00000;0.71895;0.61975;0.31431;-1.00000;0.04882;0.15086;0.21292;0.21292;0.04450;0.40353;0.45308;0.34438;0.97284;0.31925;0.46469;0.47242;-1.00000;0.04567;0.15086;0.21292;0.21292;0.04450;0.38240;0.44582;0.34768;0.89858;0.32335;0.45971;0.24576;0.32536
8;2540;635;60;2;0.04724;0.15327;0.22214;0.22214;0.04267;0.46541;0.48931;0.37676;1.00000;0.34888;0.49859;-1.00000;-1.00000;0.12913;0.15327;0.22214;0.22214;0.04267;0.33055;0.55311;0.63159;1.00000;0.75639;0.66664;0.30235;-1.00000;0.04882;0.15327;0.22214;0.22214;0.04267;0.40405;0.44624;0.33472;0.95962;0.30986;0.45664;0.48009;-1.00000;0.05197;0.15327;0.22214;0.22214;0.04267;0.38732;0.44071;0.33681;0.89831;0.31258;0.45261;0.24328;0.31642
9;2540;635;60;2;0.02835;0.14726;0.20660;0.20660;0.04414;0.47763;0.50597;0.39477;1.00000;0.36635;0.51578;-1.00000;-1.00000;0.13858;0.14726;0.20660;0.20660;0.04414;0.32273;0.52990;0.57379;1.00000;0.64304;0.62452;0.29939;-1.00000;0.03622;0.14726;0.20660;0.20660;0.04414;0.39780;0.45020;0.34414;0.94675;0.31913;0.46220;0.47704;-1.00000;0.04252;0.14726;0.20660;0.20660;0.04414;0.37475;0.44195;0.34762;0.86978;0.32342;0.45654;0.24886;0.33388
10;2540;635;60;2;0.03307;0.14581;0.20337;0.20337;0.04335;0.47326;0.50093;0.38813;1.00000;0.35981;0.51063;-1.00000;-1.00000;0.11339;0.14581;0.20337;0.20337;0.04335;0.29105;0.49870;0.58539;1.00000;0.68674;0.58742;0.32206;-1.00000;0.04094;0.14581;0.20337;0.20337;0.04335;0.39604;0.44946;0.34017;0.93424;0.31526;0.46162;0.48290;-1.00000;0.04252;0.14581;0.20337;0.20337;0.04335;0.37170;0.44156;0.34464;0.85482;0.32050;0.45675;0.25025;0.33876
11;2540;635;60;2;0.02835;0.15540;0.22043;0.22043;0.04516;0.46479;0.49393;0.38533;1.00000;0.35725;0.50369;-1.00000;-1.00000;0.14961;0.15540;0.22043;0.22043;0.04516;0.34386;0.53171;0.54968;1.00000;0.58514;0.61101;0.28664;-1.00000;0.03937;0.15540;0.22043;0.22043;0.04516;0.40392;0.45288;0.34455;0.96887;0.31928;0.46440;0.46861;-1.00000;0.04409;0.15540;0.22043;0.22043;0.04516;0.39084;0.44795;0.34686;0.92083;0.32204;0.46071;0.23929;0.31156
12;2540;635;60;2;0.02205;0.15574;0.22180;0.22180;0.04552;0.46425;0.49518;0.38693;1.00000;0.35883;0.50513;-1.00000;-1.00000;0.11811;0.15574;0.22180;0.22180;0.04552;0.34919;0.57168;0.63038;1.00000;0.73722;0.69030;0.28993;-1.00000;0.02362;0.15574;0.22180;0.22180;0.04552;0.40500;0.45293;0.34679;0.97978;0.32152;0.46426;0.46780;-1.00000;0.02520;0.15574;0.22180;0.22180;0.04552;0.39169;0.44779;0.34932;0.93135;0.32454;0.46033;0.23923;0.31168
