repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;7438;1860;256;10;0.04301;0.17138;0.23846;-1.00000;0.07618;0.40162;-1.00000;-1.00000;0.95329;0.40927;-1.00000;-1.00000;-1.00000;0.11774;0.17138;0.23846;-1.00000;0.07618;0.37465;-1.00000;-1.00000;1.00000;0.53060;-1.00000;0.16016;-1.00000;0.04677;0.17138;0.23846;-1.00000;0.07618;0.39040;-1.00000;-1.00000;0.91283;0.39698;-1.00000;0.25119;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;7438;1860;256;10;0.05108;0.16617;0.23152;-1.00000;0.07261;0.39267;-1.00000;-1.00000;0.90705;0.39626;-1.00000;-1.00000;-1.00000;0.16882;0.16617;0.23152;-1.00000;0.07261;0.35104;-1.00000;-1.00000;1.00000;0.75428;-1.00000;0.17628;-1.00000;0.05054;0.16617;0.23152;-1.00000;0.07261;0.37964;-1.00000;-1.00000;0.86100;0.38181;-1.00000;0.25832;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;7438;1860;256;10;0.04731;0.16777;0.23431;-1.00000;0.07236;0.39674;-1.00000;-1.00000;0.92526;0.39777;-1.00000;-1.00000;-1.00000;0.16989;0.16777;0.23431;-1.00000;0.07236;0.35560;-1.00000;-1.00000;1.00000;0.76899;-1.00000;0.17516;-1.00000;0.04570;0.16777;0.23431;-1.00000;0.07236;0.38306;-1.00000;-1.00000;0.87525;0.38118;-1.00000;0.25981;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;7438;1860;256;10;0.04355;0.17158;0.23822;-1.00000;0.07576;0.40074;-1.00000;-1.00000;0.94912;0.40886;-1.00000;-1.00000;-1.00000;0.12043;0.17158;0.23822;-1.00000;0.07576;0.37946;-1.00000;-1.00000;0.99205;0.49184;-1.00000;0.15593;-1.00000;0.04462;0.17158;0.23822;-1.00000;0.07576;0.39088;-1.00000;-1.00000;0.91420;0.39528;-1.00000;0.25219;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;7438;1860;256;10;0.04892;0.17313;0.24136;-1.00000;0.07664;0.40136;-1.00000;-1.00000;0.95274;0.40954;-1.00000;-1.00000;-1.00000;0.11183;0.17313;0.24136;-1.00000;0.07664;0.37810;-1.00000;-1.00000;1.00000;0.54023;-1.00000;0.16047;-1.00000;0.04731;0.17313;0.24136;-1.00000;0.07664;0.39399;-1.00000;-1.00000;0.92799;0.39865;-1.00000;0.24967;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;7438;1860;256;10;0.04946;0.16961;0.23650;-1.00000;0.07420;0.40091;-1.00000;-1.00000;0.94761;0.40425;-1.00000;-1.00000;-1.00000;0.17043;0.16961;0.23650;-1.00000;0.07420;0.36646;-1.00000;-1.00000;0.99743;0.55523;-1.00000;0.16483;-1.00000;0.05323;0.16961;0.23650;-1.00000;0.07420;0.38684;-1.00000;-1.00000;0.89533;0.38907;-1.00000;0.25616;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;7438;1860;256;10;0.04892;0.16830;0.23440;-1.00000;0.07419;0.39441;-1.00000;-1.00000;0.91687;0.39954;-1.00000;-1.00000;-1.00000;0.15968;0.16830;0.23440;-1.00000;0.07419;0.36268;-1.00000;-1.00000;1.00000;0.59031;-1.00000;0.16663;-1.00000;0.04355;0.16830;0.23440;-1.00000;0.07419;0.38373;-1.00000;-1.00000;0.87818;0.38769;-1.00000;0.25328;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;7438;1860;256;10;0.04462;0.16956;0.23519;-1.00000;0.07496;0.39800;-1.00000;-1.00000;0.93590;0.40581;-1.00000;-1.00000;-1.00000;0.10699;0.16956;0.23519;-1.00000;0.07496;0.37281;-1.00000;-1.00000;0.97150;0.49305;-1.00000;0.15862;-1.00000;0.04355;0.16956;0.23519;-1.00000;0.07496;0.38676;-1.00000;-1.00000;0.89608;0.39209;-1.00000;0.25415;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;7438;1860;256;10;0.03763;0.17107;0.23770;-1.00000;0.07554;0.39959;-1.00000;-1.00000;0.94281;0.40593;-1.00000;-1.00000;-1.00000;0.16774;0.17107;0.23770;-1.00000;0.07554;0.37443;-1.00000;-1.00000;1.00000;0.53782;-1.00000;0.15996;-1.00000;0.03763;0.17107;0.23770;-1.00000;0.07554;0.38961;-1.00000;-1.00000;0.90678;0.39390;-1.00000;0.25158;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;7438;1860;256;10;0.04409;0.17073;0.23661;-1.00000;0.07512;0.40088;-1.00000;-1.00000;0.95007;0.40804;-1.00000;-1.00000;-1.00000;0.16452;0.17073;0.23661;-1.00000;0.07512;0.37497;-1.00000;-1.00000;1.00000;0.56069;-1.00000;0.16140;-1.00000;0.04892;0.17073;0.23661;-1.00000;0.07512;0.38920;-1.00000;-1.00000;0.90789;0.39314;-1.00000;0.25470;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
