h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.20888468809073724;0.00010485160822268285;0.030874842894544254;0.025769815309715026
2;0.2119997454985048;1.7318211616437201e-06;0.011835930191790854;0.008946944524702296
3;0.20972816511452302;3.451723897261062e-05;0.0033856356569269604;0.007813406017262482
4;0.20677858726639214;0.0016805058357085836;0.014866114935791715;0.014503881322891285
5;0.21212886923562854;1.460943833202823e-06;0.0013412906327829033;0.0016053988161773766
6;0.21529978451007734;2.2418477631053306e-08;0.0015568798601885844;0.0041847467612035295
7;0.21847619047619046;3.415368615251107e-10;0.0014226722044741616;0.0023099419019321998
8;0.21135905194150278;4.027477023407645e-06;0.005795983015905732;0.011599711244773981
9;0.21174083935590213;2.435672542537125e-06;0.00419625143716997;0.007360538762709928
10;0.21160691584032545;2.90558975518197e-06;0.00532425855361095;0.005382152454001077
11;0.2099817023156035;2.4716767501866367e-05;0.014455268834956686;0.008108087984608344
12;0.20763647838434837;0.000542818845247508;0.010450679148580512;0.006641532301147768
13;0.21356768034393375;2.1954008914735475e-07;0.011645940670448962;0.01157434281707791
14;0.20826788967770307;0.00023628443544845934;0.0009457166769253187;0.006175982785663003
15;0.21414550750332426;1.0255305863204213e-07;0.007640429671927654;0.0036701237359536973
16;0.21023302938196556;1.7750544371709922e-05;0.008404021712574355;0.009751378410207501
17;0.21241685144124167;9.997323229394596e-07;0.004446426432536429;0.004254829009443235
18;0.21181262729124237;2.2159003574503604e-06;0.014608253108851285;0.015050853921390172
19;0.2158668096108974;1.0622349228480988e-08;0.002591170956367836;0.004231338813260194
20;0.21085290951687458;7.84492248189929e-06;0.037439590765519615;0.031750735425532584
21;0.2115628166160081;3.0793760063814165e-06;0.008949565940835034;0.008180210955684407
22;0.21087876682039294;7.582215562094718e-06;0.009227901349804224;0.011030523471764283
23;0.21209249431387414;1.5326500429508152e-06;0.003434721170132071;0.00591126237379402
24;0.2105830164765526;1.1194119389779316e-05;0.004844999878767551;0.006076480517067012
25;0.21108998732572878;5.740641439280843e-06;0.012221730428798087;0.0084513198715293
26;0.2104628277569678;1.3114383622620241e-05;0.010965733088276268;0.01025727046306832
27;0.21557569228819468;1.5587049305068215e-08;0.010961394288234458;0.009101024114977804
28;0.2126970005083884;6.912181845100882e-07;0.008739368482120289;0.008951510028831192
29;0.20796822795183761;0.00035064411791232465;0.005967513562202453;0.012905726693783067
30;0.21236133122028525;1.075587930483292e-06;0.0007921699551763616;0.0033086475873605335
31;0.2063632346442775;0.0029043990630602565;0.014167877050243523;0.01596180017447763
32;0.2110219301017506;6.27906266157914e-06;0.004163214920411454;0.007360538762709928
33;0.2108101249762101;8.299749294121137e-06;0.0023133804739799554;0.0019758690739538082
34;0.21355482566953007;2.2328923184897366e-07;0.0076648199028495215;0.007659906783982675
35;0.21213468869123253;1.4497873522174845e-06;0.004411506527457307;0.007096572686563865
36;0.21322554159034926;3.445447795958734e-07;0.002823277806935587;0.0029573949994573553
37;0.20410490307867732;0.05688658571575206;0.019379500753025598;0.02183903120283112
38;0.20971204849709524;3.525787190455978e-05;0.0112511636078528;0.01034051061569199
39;0.20941176470588235;5.236527782348438e-05;0.004362709465993316;0.007020254310979745
40;0.214371333038925;7.616538109731511e-08;0.0021412713308151267;0.005895731435422377
41;0.205015873015873;0.017134019583053117;0.014053327644435164;0.01726629774368284
42;0.20946160187710064;4.90379608894738e-05;0.00409838354407393;0.007618527989912417
43;0.21113997845510424;5.374787960698599e-06;0.005241407595536089;0.005552742832857037
44;0.20436243738507387;0.04052087499603089;0.04224342756034769;0.0326925310834168
45;0.2092079396283848;6.84933357211295e-05;0.011874151127084842;0.010886770515607484
46;0.21182234665309238;2.1877109662452906e-06;0.01760124470845092;0.016789147660850094
47;0.2084312107167799;0.00019054690090933852;0.009794990793014295;0.013134528184143792
48;0.2155510565607997;1.6101175926910503e-08;0.0022977911867527265;0.00427844961099939
49;0.21033631008930267;1.5492678816609416e-05;0.014329504957008882;0.012389188405316385
50;0.21254971277065843;8.392203326385781e-07;0.0075073664529076625;0.0089571379611881
51;0.21126671313604967;4.548398965433107e-06;0.005106955530640999;0.004908592976571637
52;0.21350307175881944;2.390426106734973e-07;0.0031149536171108617;0.002791488182720438
53;0.21726246768803983;1.689616013498198e-09;0.00848148121919162;0.010415413409733761
54;0.21121235130346747;4.8860515424133515e-06;0.015983236893851064;0.008825350945049541
55;0.20878566018682151;0.00011946131681956402;0.009291109986386223;0.011370595418125667
56;0.2140457628192939;1.1695286820407194e-07;0.00340649101748272;0.006232756248319507
57;0.21746835443037973;1.2882604310745336e-09;0.001287747536687211;0.0015219813472781693
58;0.21443587946741416;6.995708280035546e-08;0.015820318492645737;0.005812234351081647
59;0.2116138000758246;2.8793598199590907e-06;0.009424045893212158;0.012692881075296697
60;0.21151526693328254;3.2784238227159284e-06;0.004317872386039256;0.005600583119126665
61;0.2115651406230294;3.0699633878557274e-06;0.010806259037689279;0.0050527173591325145
62;0.20604831040385468;0.0043976347894154515;0.013990718717184073;0.01572781054488961
63;0.2110533654455571;6.024363721847622e-06;0.0035590232511362673;0.004301010629785146
64;0.2087710416402987;0.00012178402477931435;0.015111154897526116;0.016789147660850094
65;0.20209212930871512;0.8062764151105827;0.02320316747989856;0.02108303913557089
66;0.20867533779517616;0.0001381468179989719;0.015511063437375794;0.014412323549064814
67;0.2076859661360898;0.0005085618810057081;0.011197248530195677;0.007190687367214425
68;0.20549771457592686;0.009082508031340211;0.023877994198805673;0.01643760807461834
69;0.2126104366617937;7.747059269599577e-07;0.009131642775297957;0.012252175172875317
