h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.29926126941052317;4.909126212863675e-10;0.0029258355457069786;-1.0
2;0.2918313240958431;6.977694966900393e-06;0.010922985285812842;-1.0
3;0.29311554263954304;1.336420074661255e-06;0.013513098290503026;-1.0
4;0.3018811136192626;1.685520381324539e-11;0.011313241879055459;-1.0
5;0.2982315515254747;1.847263951632764e-09;0.008282663000850064;-1.0
6;0.30997630690124517;5.037431664216331e-16;0.001609966452653262;-1.0
7;0.29679332529151586;1.1759128896038102e-08;0.013146591837427626;-1.0
8;0.282713567839196;0.8704876051150918;0.03793983594150397;-1.0
9;0.3000302145231141;1.8248587360669688e-10;0.006744005763110952;-1.0
10;0.30195623676515077;1.5301942170749567e-11;0.001059835824111891;-1.0
11;0.3102228510788822;3.6678530877466783e-16;0.0020377985855626946;-1.0
12;0.29659348978046934;1.520779370756225e-08;0.011926477918923336;-1.0
13;0.3037059355227478;1.609954860492655e-12;0.0034353676253797106;-1.0
14;0.2929150511103278;1.7298191908170038e-06;0.019080667076538587;-1.0
15;0.2955936966777075;5.506372161071259e-08;0.0073830523343299025;-1.0
16;0.30241262455111023;8.504809363709186e-12;0.010240487774040515;-1.0
17;0.29020453178263483;5.661748624686917e-05;0.015335181292666498;-1.0
18;0.2971333232215987;7.591807937357787e-09;0.005330199881221941;-1.0
19;0.3034986156556758;2.102267034338379e-12;0.007455997072516323;-1.0
20;0.28671013039117355;0.005081873946716407;0.024879541684409798;-1.0
21;0.30036426186380655;1.1872035489629312e-10;0.013695409742051709;-1.0
22;0.29731762346452745;5.988761871553083e-09;0.0020517413047648238;-1.0
23;0.3022322548281916;1.07269418036894e-11;0.0026661770539542903;-1.0
24;0.3015159171298636;2.6967941608800125e-11;0.00802759764771511;-1.0
25;0.30289385814024083;4.578212201858626e-12;0.008801114273644287;-1.0
26;0.3027991107518189;5.171918276433968e-12;0.008204068457085475;-1.0
27;0.29722417075859303;6.754126067750103e-09;0.016389553761657506;-1.0
28;0.29796372088322975;2.607495184089085e-09;0.005391512020437702;-1.0
29;0.28919878296146045;0.00020657543296359845;0.029476972623887612;-1.0
30;0.3070771087973442;2.1019115452459626e-14;0.0035847577922165285;-1.0
31;0.3070686597415759;2.1248914035753903e-14;0.0028051761277811016;-1.0
32;0.286334933063905;0.008236207837748923;0.03126243262266136;-1.0
33;0.3022069592444826;1.1081894345497359e-11;0.006758201514779503;-1.0
34;0.30276476809185676;5.405629563832818e-12;0.004729824941795075;-1.0
35;0.30392453591606133;1.2151633535923008e-12;0.0026975799351939703;-1.0
36;0.30795655468552663;6.77764705539944e-15;0.0004978725415499992;-1.0
37;0.3090936616875252;1.5686743853567356e-15;0.007129959878993021;-1.0
38;0.3005687251497307;9.125309256014967e-11;0.0031222035367203097;-1.0
39;0.2851413675556447;0.03826739919168555;0.024749871627554373;-1.0
40;0.2908450704225352;2.4828125859188682e-05;0.028205697617387566;-1.0
41;0.29767418445428917;3.784859514829888e-09;0.006564287276975264;-1.0
42;0.2928079609991456;1.985431824530513e-06;0.02357120973080994;-1.0
43;0.31105205094774846;1.2617104466579037e-16;0.00043817966900127156;-1.0
44;0.2936663156311118;6.57820966860404e-07;0.01545153017916608;-1.0
45;0.30742049469964666;1.3511106237687235e-14;0.005569360388939901;-1.0
46;0.2964393179538616;1.8545355253333657e-08;0.00671790431348117;-1.0
47;0.30382172027830995;1.387074745257612e-12;0.0047045841619800894;-1.0
48;0.2846023350962978;0.0765776908470943;0.027006829584895548;-1.0
49;0.29418232706917236;3.386110964078421e-07;0.027030431882219628;-1.0
50;0.29401381814514094;4.20613636797469e-07;0.019056860168622868;-1.0
51;0.29800361155698235;2.4770114813371928e-09;0.006702929595348768;-1.0
52;0.2948988831874434;1.3465027140078744e-07;0.01393301135504753;-1.0
53;0.29268658957801474;2.3210862832600213e-06;0.011650939796846347;-1.0
54;0.29118562393334;1.601782252712398e-05;0.02522657714296807;-1.0
55;0.29847119570719854;1.357026194267449e-09;0.010379519927837724;-1.0
56;0.30264082739230846;6.340428296161734e-12;0.0035929911500188227;-1.0
57;0.3035029275186755;2.0906335488689424e-12;0.008363836096478014;-1.0
58;0.30450441310743637;5.76146080070466e-13;0.006049076549127721;-1.0
59;0.3019019420886235;1.640939860557221e-11;0.0023882793676954796;-1.0
60;0.3104718647489276;2.662161878627199e-16;0.0010550518636381707;-1.0
61;0.30135751139608274;3.306611239867856e-11;0.003243307509490576;-1.0
62;0.291742654508612;7.821152270226805e-06;0.0222906904574383;-1.0
63;0.30863515346360576;2.830087887910257e-15;0.0011852775355269641;-1.0
64;0.30057569942430057;9.043771168592848e-11;0.006169749153504572;-1.0
65;0.2895847994370162;0.00012569797423713766;0.012740485587172464;-1.0
66;0.30422139777398977;8.293046921094413e-13;0.0044882390150642335;-1.0
67;0.31180211306394273;4.8055017714714727e-17;0.0008448569025661305;-1.0
68;0.2921484473617773;4.639455723212533e-06;0.01016566455085505;-1.0
69;0.29553508150248053;5.937812241201585e-08;0.01181897951116179;-1.0
