repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;56000;14000;780;10;0.03500;0.18532;20396.00000;0.27243;0.15263;0.07619;7329.00000;70000.00000;0.39362;-1.00000;-1.00000;0.35727;0.77114;-1.00000;-1.00000;-1.00000;0.17254;0.19812
2;56000;14000;780;10;0.03236;0.18636;20463.00000;0.27404;0.15331;0.07620;7319.00000;70000.00000;0.39571;-1.00000;-1.00000;0.35737;0.77829;-1.00000;-1.00000;-1.00000;0.17583;0.19553
3;56000;14000;780;10;0.02979;0.18644;20425.00000;0.27382;0.15297;0.07684;7368.00000;70000.00000;0.39590;-1.00000;-1.00000;0.35994;0.78027;-1.00000;-1.00000;-1.00000;0.17532;0.19848
4;56000;14000;780;10;0.03064;0.18667;20396.00000;0.27447;0.15256;0.07675;7344.00000;70000.00000;0.39640;-1.00000;-1.00000;0.35966;0.78198;-1.00000;-1.00000;-1.00000;0.17800;0.19781
5;56000;14000;780;10;0.03057;0.18709;20456.00000;0.27523;0.15265;0.07689;7342.00000;70000.00000;0.39722;-1.00000;-1.00000;0.36023;0.78521;-1.00000;-1.00000;-1.00000;0.17531;0.19994
6;56000;14000;780;10;0.03207;0.18631;20411.00000;0.27400;0.15314;0.07654;7348.00000;70000.00000;0.39565;-1.00000;-1.00000;0.35874;0.77876;-1.00000;-1.00000;-1.00000;0.17690;0.19858
7;56000;14000;780;10;0.03221;0.18553;20434.00000;0.27262;0.15297;0.07610;7348.00000;70000.00000;0.39403;-1.00000;-1.00000;0.35681;0.77194;-1.00000;-1.00000;-1.00000;0.17491;0.20013
8;56000;14000;780;10;0.03000;0.18671;20371.00000;0.27434;0.15289;0.07661;7288.00000;70000.00000;0.39648;-1.00000;-1.00000;0.35923;0.78255;-1.00000;-1.00000;-1.00000;0.17676;0.20049
9;56000;14000;780;10;0.03321;0.18644;20395.00000;0.27412;0.15378;0.07655;7347.00000;70000.00000;0.39592;-1.00000;-1.00000;0.35875;0.77970;-1.00000;-1.00000;-1.00000;0.17701;0.20085
10;56000;14000;780;10;0.02979;0.18575;20367.00000;0.27331;0.15282;0.07616;7333.00000;70000.00000;0.39451;-1.00000;-1.00000;0.35715;0.77397;-1.00000;-1.00000;-1.00000;0.17664;0.19526
11;56000;14000;780;10;0.03179;0.18709;20435.00000;0.27472;0.15394;0.07700;7346.00000;70000.00000;0.39723;-1.00000;-1.00000;0.36071;0.78553;-1.00000;-1.00000;-1.00000;0.17463;0.19799
12;56000;14000;780;10;0.03414;0.18578;20404.00000;0.27293;0.15262;0.07658;7304.00000;70000.00000;0.39457;-1.00000;-1.00000;0.35903;0.77583;-1.00000;-1.00000;-1.00000;0.16949;0.19845
