repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;8793;2199;16;10;0.00864;0.06375;3153.00000;0.09975;0.05533;0.01819;1104.00000;10992.00000;0.16454;-1.00000;-1.00000;0.15126;0.22480;-1.00000;-1.00000;-1.00000;0.04893;0.07565
2;8793;2199;16;10;0.01182;0.06288;3157.00000;0.09837;0.05301;0.01764;1096.00000;10992.00000;0.16257;-1.00000;-1.00000;0.14854;0.22002;-1.00000;-1.00000;-1.00000;0.04856;0.08096
3;8793;2199;16;10;0.00819;0.06479;3156.00000;0.10097;0.05468;0.01868;1099.00000;10992.00000;0.16687;-1.00000;-1.00000;0.15422;0.23033;-1.00000;-1.00000;-1.00000;0.04900;0.07788
4;8793;2199;16;10;0.01273;0.06354;3128.00000;0.09947;0.05392;0.01821;1070.00000;10992.00000;0.16423;-1.00000;-1.00000;0.15281;0.22712;-1.00000;-1.00000;-1.00000;0.05077;0.07732
5;8793;2199;16;10;0.01228;0.06386;3143.00000;0.10022;0.05417;0.01841;1106.00000;10992.00000;0.16484;-1.00000;-1.00000;0.15244;0.22653;-1.00000;-1.00000;-1.00000;0.04736;0.07797
6;8793;2199;16;10;0.01182;0.06230;3141.00000;0.09795;0.05243;0.01736;1101.00000;10992.00000;0.16137;-1.00000;-1.00000;0.14678;0.21687;-1.00000;-1.00000;-1.00000;0.05009;0.07415
7;8793;2199;16;10;0.00682;0.06468;3170.00000;0.10112;0.05353;0.01858;1089.00000;10992.00000;0.16653;-1.00000;-1.00000;0.15406;0.23003;-1.00000;-1.00000;-1.00000;0.05217;0.07941
8;8793;2199;16;10;0.00819;0.06569;3152.00000;0.10249;0.05492;0.01893;1096.00000;10992.00000;0.16889;-1.00000;-1.00000;0.15574;0.23378;-1.00000;-1.00000;-1.00000;0.05056;0.07787
9;8793;2199;16;10;0.00819;0.06559;3154.00000;0.10261;0.05417;0.01872;1097.00000;10992.00000;0.16866;-1.00000;-1.00000;0.15454;0.23201;-1.00000;-1.00000;-1.00000;0.05167;0.08500
10;8793;2199;16;10;0.00728;0.06419;3166.00000;0.10022;0.05387;0.01840;1088.00000;10992.00000;0.16546;-1.00000;-1.00000;0.15312;0.22807;-1.00000;-1.00000;-1.00000;0.04824;0.07730
