repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;8844;2211;68;2;0.02849;0.05143;3163.00000;0.05818;0.03726;0.02242;1108.00000;11055.00000;0.13666;0.19967;0.19174;0.17435;0.23596;0.20783;0.20203;-1.00000;0.04171;0.06348
2;8844;2211;68;2;0.02578;0.05142;3169.00000;0.05826;0.03692;0.02237;1103.00000;11055.00000;0.13660;0.19955;0.19171;0.17428;0.23591;0.20769;0.20260;-1.00000;0.04057;0.06626
3;8844;2211;68;2;0.02804;0.05199;3183.00000;0.05890;0.03699;0.02282;1103.00000;11055.00000;0.13782;0.20095;0.19416;0.17669;0.23955;0.20915;0.20490;-1.00000;0.04038;0.06760
4;8844;2211;68;2;0.02533;0.05053;3177.00000;0.05706;0.03659;0.02186;1089.00000;11055.00000;0.13453;0.19749;0.18956;0.17212;0.23226;0.20560;0.19909;-1.00000;0.04080;0.06345
5;8844;2211;68;2;0.02940;0.05046;3154.00000;0.05606;0.03730;0.02237;1099.00000;11055.00000;0.13450;0.19861;0.19174;0.17447;0.23489;0.20690;0.19763;-1.00000;0.04035;0.06186
6;8844;2211;68;2;0.02261;0.05273;3183.00000;0.05908;0.03749;0.02342;1094.00000;11055.00000;0.13951;0.20398;0.19787;0.18034;0.24510;0.21242;0.20730;-1.00000;0.04156;0.06304
7;8844;2211;68;2;0.03483;0.04978;3180.00000;0.05701;0.03689;0.02121;1110.00000;11055.00000;0.13282;0.19408;0.18496;0.16768;0.22564;0.20190;0.19507;-1.00000;0.03923;0.06533
8;8844;2211;68;2;0.03302;0.05016;3187.00000;0.05743;0.03772;0.02137;1107.00000;11055.00000;0.13365;0.19510;0.18602;0.16868;0.22737;0.20296;0.19506;-1.00000;0.03768;0.06049
9;8844;2211;68;2;0.03392;0.04903;3187.00000;0.05598;0.03617;0.02125;1101.00000;11055.00000;0.13107;0.19230;0.18555;0.16829;0.22544;0.20007;0.19297;-1.00000;0.03797;0.05818
10;8844;2211;68;2;0.03076;0.05180;3190.00000;0.05797;0.03867;0.02313;1087.00000;11055.00000;0.13737;0.20157;0.19656;0.17906;0.24231;0.20993;0.20062;-1.00000;0.04242;0.06366
11;8844;2211;68;2;0.02442;0.05116;3198.00000;0.05680;0.03792;0.02245;1109.00000;11055.00000;0.13586;0.20001;0.19171;0.17445;0.23556;0.20832;0.19908;-1.00000;0.03914;0.06137
12;8844;2211;68;2;0.03211;0.05076;3148.00000;0.05665;0.03728;0.02263;1084.00000;11055.00000;0.13523;0.19941;0.19391;0.17650;0.23796;0.20773;0.19913;-1.00000;0.03686;0.06404
13;8844;2211;68;2;0.03166;0.05076;3174.00000;0.05794;0.03752;0.02195;1100.00000;11055.00000;0.13507;0.19717;0.18957;0.17214;0.23246;0.20516;0.19833;-1.00000;0.03892;0.06286
14;8844;2211;68;2;0.02985;0.05134;3181.00000;0.05771;0.03900;0.02237;1103.00000;11055.00000;0.13636;0.19982;0.19167;0.17429;0.23577;0.20804;0.19796;-1.00000;0.04236;0.06681
15;8844;2211;68;2;0.02216;0.05304;3202.00000;0.05851;0.03839;0.02390;1097.00000;11055.00000;0.14012;0.20582;0.20020;0.18276;0.24833;0.21447;0.20671;-1.00000;0.03983;0.06277
16;8844;2211;68;2;0.02895;0.04989;3191.00000;0.05585;0.03729;0.02172;1098.00000;11055.00000;0.13302;0.19615;0.18822;0.17095;0.22982;0.20425;0.19463;-1.00000;0.03894;0.06028
17;8844;2211;68;2;0.03121;0.05007;3187.00000;0.05555;0.03649;0.02210;1101.00000;11055.00000;0.13344;0.19730;0.19013;0.17291;0.23236;0.20551;0.19711;-1.00000;0.03986;0.06161
18;8844;2211;68;2;0.02985;0.05116;3195.00000;0.05898;0.03702;0.02173;1106.00000;11055.00000;0.13589;0.19720;0.18814;0.17068;0.23112;0.20508;0.20094;-1.00000;0.04158;0.06250
19;8844;2211;68;2;0.03618;0.04878;3153.00000;0.05566;0.03663;0.02079;1093.00000;11055.00000;0.13067;0.19210;0.18343;0.16613;0.22275;0.19990;0.19125;-1.00000;0.04041;0.06239
20;8844;2211;68;2;0.02714;0.05173;3186.00000;0.05860;0.03746;0.02269;1078.00000;11055.00000;0.13721;0.20059;0.19472;0.17710;0.24002;0.20882;0.20274;-1.00000;0.04045;0.06696
21;8844;2211;68;2;0.02261;0.05329;3178.00000;0.05952;0.03829;0.02359;1087.00000;11055.00000;0.14081;0.20590;0.19917;0.18156;0.24752;0.21448;0.20832;-1.00000;0.04332;0.06469
22;8844;2211;68;2;0.02488;0.05277;3155.00000;0.05887;0.03807;0.02332;1092.00000;11055.00000;0.13975;0.20474;0.19741;0.17988;0.24475;0.21329;0.20664;-1.00000;0.04272;0.06543
23;8844;2211;68;2;0.03076;0.05029;3188.00000;0.05800;0.03741;0.02090;1099.00000;11055.00000;0.13394;0.19498;0.18389;0.16645;0.22498;0.20279;0.19624;-1.00000;0.04043;0.06627
24;8844;2211;68;2;0.03076;0.05037;3183.00000;0.05640;0.03681;0.02225;1084.00000;11055.00000;0.13414;0.19771;0.19188;0.17448;0.23489;0.20590;0.19787;-1.00000;0.04067;0.06073
25;8844;2211;68;2;0.03256;0.05026;3160.00000;0.05714;0.03701;0.02176;1102.00000;11055.00000;0.13400;0.19622;0.18834;0.17099;0.23041;0.20421;0.19720;-1.00000;0.04084;0.06217
26;8844;2211;68;2;0.02488;0.05136;3194.00000;0.05764;0.03786;0.02225;1100.00000;11055.00000;0.13635;0.19992;0.19114;0.17374;0.23515;0.20816;0.20019;-1.00000;0.04202;0.06163
27;8844;2211;68;2;0.03437;0.05106;3171.00000;0.05821;0.03786;0.02196;1103.00000;11055.00000;0.13577;0.19806;0.18950;0.17208;0.23276;0.20610;0.19905;-1.00000;0.03805;0.06628
28;8844;2211;68;2;0.02578;0.05048;3186.00000;0.05711;0.03653;0.02201;1097.00000;11055.00000;0.13437;0.19701;0.18995;0.17257;0.23258;0.20506;0.19889;-1.00000;0.03946;0.06275
29;8844;2211;68;2;0.03256;0.04984;3154.00000;0.05720;0.03638;0.02152;1102.00000;11055.00000;0.13308;0.19443;0.18707;0.16972;0.22834;0.20227;0.19661;-1.00000;0.03556;0.06803
30;8844;2211;68;2;0.03302;0.04983;3174.00000;0.05501;0.03755;0.02230;1105.00000;11055.00000;0.13297;0.19707;0.19095;0.17381;0.23308;0.20532;0.19404;-1.00000;0.04007;0.06102
31;8844;2211;68;2;0.02985;0.05057;3189.00000;0.05659;0.03685;0.02229;1109.00000;11055.00000;0.13457;0.19790;0.19084;0.17359;0.23374;0.20605;0.19865;-1.00000;0.03857;0.06119
32;8844;2211;68;2;0.03076;0.04903;3180.00000;0.05683;0.03628;0.02049;1101.00000;11055.00000;0.13110;0.19122;0.18145;0.16413;0.22050;0.19884;0.19281;-1.00000;0.03868;0.06183
33;8844;2211;68;2;0.02578;0.05150;3185.00000;0.05883;0.03755;0.02211;1102.00000;11055.00000;0.13670;0.19897;0.19040;0.17292;0.23436;0.20702;0.20152;-1.00000;0.04199;0.06279
34;8844;2211;68;2;0.02849;0.05005;3189.00000;0.05621;0.03666;0.02156;1112.00000;11055.00000;0.13338;0.19615;0.18671;0.16951;0.22812;0.20419;0.19664;-1.00000;0.04009;0.06080
35;8844;2211;68;2;0.03030;0.05030;3188.00000;0.05667;0.03722;0.02172;1099.00000;11055.00000;0.13395;0.19677;0.18825;0.17092;0.23033;0.20484;0.19666;-1.00000;0.03909;0.06427
36;8844;2211;68;2;0.03076;0.05196;3187.00000;0.05875;0.03871;0.02232;1110.00000;11055.00000;0.13774;0.20090;0.19110;0.17368;0.23580;0.20910;0.20131;-1.00000;0.04242;0.07005
37;8844;2211;68;2;0.02985;0.05154;3172.00000;0.05745;0.03752;0.02258;1098.00000;11055.00000;0.13686;0.20115;0.19303;0.17564;0.23776;0.20952;0.20190;-1.00000;0.04160;0.06501
38;8844;2211;68;2;0.03256;0.04928;3185.00000;0.05475;0.03603;0.02197;1111.00000;11055.00000;0.13165;0.19489;0.18885;0.17177;0.22978;0.20297;0.19443;-1.00000;0.03754;0.06622
39;8844;2211;68;2;0.03709;0.04929;3181.00000;0.05588;0.03625;0.02151;1101.00000;11055.00000;0.13168;0.19358;0.18694;0.16969;0.22747;0.20147;0.19405;-1.00000;0.04046;0.06168
40;8844;2211;68;2;0.02804;0.05104;3173.00000;0.05713;0.03789;0.02277;1096.00000;11055.00000;0.13571;0.19948;0.19414;0.17677;0.23841;0.20774;0.19888;-1.00000;0.03557;0.06304
41;8844;2211;68;2;0.02307;0.05331;3178.00000;0.05891;0.03881;0.02344;1097.00000;11055.00000;0.14084;0.20663;0.19782;0.18033;0.24591;0.21532;0.20734;-1.00000;0.04031;0.06440
42;8844;2211;68;2;0.03076;0.04956;3181.00000;0.05606;0.03615;0.02136;1112.00000;11055.00000;0.13231;0.19435;0.18561;0.16842;0.22619;0.20226;0.19550;-1.00000;0.04106;0.06450
