repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;19509;4878;357;3;0.33128;0.54595;11693.00000;0.59448;0.50032;0.31955;6992.00000;24387.00000;1.12949;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.53092;0.56223
2;19509;4878;357;3;0.32800;0.54599;11750.00000;0.59437;0.50010;0.31969;7003.00000;24387.00000;1.12948;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52486;0.56444
3;19509;4878;357;3;0.33415;0.54587;11758.00000;0.59453;0.50024;0.31949;7014.00000;24387.00000;1.12923;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.53208;0.56456
4;19509;4878;357;3;0.33333;0.54498;11740.00000;0.59470;0.49972;0.31832;7010.00000;24387.00000;1.12748;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52768;0.56389
5;19509;4878;357;3;0.33374;0.54491;11747.00000;0.59485;0.50035;0.31779;7029.00000;24387.00000;1.12732;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52128;0.56529
6;19509;4878;357;3;0.35219;0.54380;11750.00000;0.59347;0.49896;0.31752;7011.00000;24387.00000;1.12511;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52624;0.56072
7;19509;4878;357;3;0.34010;0.54510;11731.00000;0.59439;0.50000;0.31848;7006.00000;24387.00000;1.12773;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52879;0.56144
8;19509;4878;357;3;0.33723;0.54443;11714.00000;0.59377;0.49917;0.31786;7025.00000;24387.00000;1.12643;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52868;0.55924
9;19509;4878;357;3;0.34174;0.54681;11762.00000;0.59542;0.50066;0.32026;7029.00000;24387.00000;1.13108;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52902;0.56320
10;19509;4878;357;3;0.33169;0.54587;11773.00000;0.59469;0.50027;0.31939;7033.00000;24387.00000;1.12920;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52831;0.56044
11;19509;4878;357;3;0.32739;0.54511;11759.00000;0.59403;0.49983;0.31875;7026.00000;24387.00000;1.12772;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52582;0.56043
12;19509;4878;357;3;0.32308;0.54474;11739.00000;0.59449;0.49987;0.31809;7042.00000;24387.00000;1.12701;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52793;0.55675
13;19509;4878;357;3;0.33046;0.54563;11769.00000;0.59497;0.50031;0.31904;7034.00000;24387.00000;1.12874;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52746;0.56310
