repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;19509;4878;357;3;0.31878;0.53911;7059.00000;0.58966;0.38063;0.31355;2481.00000;24387.00000;1.12588;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.51637;0.55978
2;19509;4878;357;3;0.32739;0.54069;7051.00000;0.59156;0.38117;0.31465;2475.00000;24387.00000;1.12907;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52218;0.55640
3;19509;4878;357;3;0.33128;0.53919;7045.00000;0.59013;0.38091;0.31332;2498.00000;24387.00000;1.12610;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52592;0.55359
4;19509;4878;357;3;0.32759;0.53839;7057.00000;0.58932;0.37991;0.31274;2497.00000;24387.00000;1.12447;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52254;0.55841
5;19509;4878;357;3;0.32185;0.54006;7026.00000;0.59104;0.38100;0.31393;2486.00000;24387.00000;1.12787;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52085;0.55627
6;19509;4878;357;3;0.32739;0.53861;7074.00000;0.59045;0.38051;0.31254;2480.00000;24387.00000;1.12484;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.51756;0.55820
7;19509;4878;357;3;0.32349;0.53915;7062.00000;0.58996;0.38050;0.31371;2513.00000;24387.00000;1.12597;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52039;0.55571
8;19509;4878;357;3;0.33231;0.54009;7022.00000;0.59107;0.38100;0.31416;2478.00000;24387.00000;1.12796;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52304;0.55927
9;19509;4878;357;3;0.33149;0.53965;7067.00000;0.59078;0.38095;0.31353;2506.00000;24387.00000;1.12694;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.51895;0.55749
10;19509;4878;357;3;0.32349;0.54081;7084.00000;0.59118;0.38126;0.31470;2500.00000;24387.00000;1.12918;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52504;0.55949
