repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;5148;1287;36;6;0.09713;0.17516;3080.00000;0.20685;0.16873;0.08613;1819.00000;6435.00000;0.40622;-1.00000;-1.00000;0.45501;1.00000;-1.00000;-1.00000;-1.00000;0.15857;0.19475
2;5148;1287;36;6;0.08936;0.17553;3083.00000;0.20834;0.17024;0.08629;1809.00000;6435.00000;0.40697;-1.00000;-1.00000;0.45607;1.00000;-1.00000;-1.00000;-1.00000;0.15484;0.19127
3;5148;1287;36;6;0.07925;0.17959;3084.00000;0.21396;0.17251;0.08893;1814.00000;6435.00000;0.41554;-1.00000;-1.00000;0.46778;1.00000;-1.00000;-1.00000;-1.00000;0.15887;0.20108
4;5148;1287;36;6;0.09246;0.17726;3088.00000;0.21080;0.17076;0.08779;1826.00000;6435.00000;0.41058;-1.00000;-1.00000;0.46227;1.00000;-1.00000;-1.00000;-1.00000;0.16008;0.20213
5;5148;1287;36;6;0.09479;0.17263;3070.00000;0.20658;0.16959;0.08341;1802.00000;6435.00000;0.40094;-1.00000;-1.00000;0.44325;1.00000;-1.00000;-1.00000;-1.00000;0.15228;0.19040
6;5148;1287;36;6;0.09169;0.17661;3090.00000;0.21056;0.17126;0.08652;1824.00000;6435.00000;0.40918;-1.00000;-1.00000;0.45663;1.00000;-1.00000;-1.00000;-1.00000;0.16342;0.19146
7;5148;1287;36;6;0.09324;0.17751;3092.00000;0.21145;0.17044;0.08704;1822.00000;6435.00000;0.41107;-1.00000;-1.00000;0.45902;1.00000;-1.00000;-1.00000;-1.00000;0.16375;0.19210
8;5148;1287;36;6;0.08936;0.17639;3079.00000;0.21152;0.17177;0.08619;1812.00000;6435.00000;0.40881;-1.00000;-1.00000;0.45552;1.00000;-1.00000;-1.00000;-1.00000;0.16216;0.19257
9;5148;1287;36;6;0.08858;0.17838;3086.00000;0.21402;0.17152;0.08710;1815.00000;6435.00000;0.41297;-1.00000;-1.00000;0.45951;1.00000;-1.00000;-1.00000;-1.00000;0.16602;0.19942
10;5148;1287;36;6;0.08392;0.17729;3093.00000;0.21056;0.17100;0.08732;1801.00000;6435.00000;0.41061;-1.00000;-1.00000;0.46095;1.00000;-1.00000;-1.00000;-1.00000;0.15769;0.20006
11;5148;1287;36;6;0.09013;0.17750;3087.00000;0.21116;0.17094;0.08842;1825.00000;6435.00000;0.41109;-1.00000;-1.00000;0.46515;1.00000;-1.00000;-1.00000;-1.00000;0.15323;0.19834
12;5148;1287;36;6;0.09324;0.17831;3089.00000;0.21380;0.17221;0.08704;1820.00000;6435.00000;0.41278;-1.00000;-1.00000;0.45911;1.00000;-1.00000;-1.00000;-1.00000;0.16031;0.20618
13;5148;1287;36;6;0.08858;0.17776;3080.00000;0.21151;0.16941;0.08778;1810.00000;6435.00000;0.41170;-1.00000;-1.00000;0.46273;1.00000;-1.00000;-1.00000;-1.00000;0.15648;0.19593
14;5148;1287;36;6;0.08858;0.17900;3086.00000;0.21346;0.17278;0.08807;1821.00000;6435.00000;0.41428;-1.00000;-1.00000;0.46371;1.00000;-1.00000;-1.00000;-1.00000;0.16008;0.19556
15;5148;1287;36;6;0.07770;0.17718;3071.00000;0.21091;0.17399;0.08713;1806.00000;6435.00000;0.41056;-1.00000;-1.00000;0.45993;1.00000;-1.00000;-1.00000;-1.00000;0.15461;0.19494
16;5148;1287;36;6;0.10101;0.17385;3089.00000;0.20815;0.17013;0.08508;1816.00000;6435.00000;0.40336;-1.00000;-1.00000;0.45040;1.00000;-1.00000;-1.00000;-1.00000;0.15743;0.19130
17;5148;1287;36;6;0.09169;0.17713;3076.00000;0.21021;0.17170;0.08699;1808.00000;6435.00000;0.41041;-1.00000;-1.00000;0.45926;1.00000;-1.00000;-1.00000;-1.00000;0.16154;0.19987
18;5148;1287;36;6;0.08702;0.17714;3087.00000;0.21104;0.17168;0.08708;1817.00000;6435.00000;0.41032;-1.00000;-1.00000;0.45938;1.00000;-1.00000;-1.00000;-1.00000;0.16076;0.19462
19;5148;1287;36;6;0.09402;0.17566;3077.00000;0.21006;0.16917;0.08620;1805.00000;6435.00000;0.40729;-1.00000;-1.00000;0.45577;1.00000;-1.00000;-1.00000;-1.00000;0.14878;0.19496
20;5148;1287;36;6;0.08936;0.17705;3072.00000;0.21095;0.17268;0.08695;1817.00000;6435.00000;0.41027;-1.00000;-1.00000;0.45880;1.00000;-1.00000;-1.00000;-1.00000;0.15441;0.19744
21;5148;1287;36;6;0.07226;0.17909;3088.00000;0.21333;0.17075;0.08854;1805.00000;6435.00000;0.41444;-1.00000;-1.00000;0.46634;1.00000;-1.00000;-1.00000;-1.00000;0.15730;0.20423
22;5148;1287;36;6;0.08936;0.17778;3079.00000;0.21260;0.17044;0.08713;1808.00000;6435.00000;0.41175;-1.00000;-1.00000;0.45989;1.00000;-1.00000;-1.00000;-1.00000;0.15523;0.20167
23;5148;1287;36;6;0.08392;0.17889;3084.00000;0.21105;0.17209;0.08856;1812.00000;6435.00000;0.41405;-1.00000;-1.00000;0.46619;1.00000;-1.00000;-1.00000;-1.00000;0.16195;0.19442
24;5148;1287;36;6;0.09402;0.17589;3080.00000;0.20927;0.17114;0.08694;1813.00000;6435.00000;0.40775;-1.00000;-1.00000;0.45886;1.00000;-1.00000;-1.00000;-1.00000;0.15360;0.19739
25;5148;1287;36;6;0.08547;0.17548;3069.00000;0.20926;0.16954;0.08600;1805.00000;6435.00000;0.40699;-1.00000;-1.00000;0.45489;1.00000;-1.00000;-1.00000;-1.00000;0.15589;0.19410
26;5148;1287;36;6;0.08003;0.17826;3075.00000;0.21180;0.17026;0.08776;1805.00000;6435.00000;0.41281;-1.00000;-1.00000;0.46282;1.00000;-1.00000;-1.00000;-1.00000;0.16068;0.19974
27;5148;1287;36;6;0.08081;0.17638;3081.00000;0.21074;0.17102;0.08635;1813.00000;6435.00000;0.40879;-1.00000;-1.00000;0.45620;1.00000;-1.00000;-1.00000;-1.00000;0.16068;0.19771
28;5148;1287;36;6;0.08081;0.17893;3083.00000;0.21518;0.17262;0.08725;1811.00000;6435.00000;0.41416;-1.00000;-1.00000;0.46030;1.00000;-1.00000;-1.00000;-1.00000;0.15967;0.20199
29;5148;1287;36;6;0.09635;0.17439;3069.00000;0.20850;0.17086;0.08508;1823.00000;6435.00000;0.40467;-1.00000;-1.00000;0.45016;1.00000;-1.00000;-1.00000;-1.00000;0.15735;0.19753
30;5148;1287;36;6;0.08936;0.17800;3065.00000;0.21231;0.17342;0.08731;1812.00000;6435.00000;0.41235;-1.00000;-1.00000;0.46058;1.00000;-1.00000;-1.00000;-1.00000;0.16394;0.19917
31;5148;1287;36;6;0.09091;0.17778;3082.00000;0.21247;0.17264;0.08696;1812.00000;6435.00000;0.41172;-1.00000;-1.00000;0.45900;1.00000;-1.00000;-1.00000;-1.00000;0.15572;0.19807
32;5148;1287;36;6;0.09790;0.17570;3074.00000;0.20717;0.16910;0.08676;1816.00000;6435.00000;0.40740;-1.00000;-1.00000;0.45798;1.00000;-1.00000;-1.00000;-1.00000;0.15769;0.19466
33;5148;1287;36;6;0.09169;0.17879;3083.00000;0.21483;0.17190;0.08728;1821.00000;6435.00000;0.41386;-1.00000;-1.00000;0.46014;1.00000;-1.00000;-1.00000;-1.00000;0.16010;0.20333
34;5148;1287;36;6;0.09013;0.17803;3081.00000;0.21239;0.17248;0.08692;1813.00000;6435.00000;0.41227;-1.00000;-1.00000;0.45877;1.00000;-1.00000;-1.00000;-1.00000;0.16150;0.19381
35;5148;1287;36;6;0.10179;0.17547;3082.00000;0.21035;0.16942;0.08581;1811.00000;6435.00000;0.40685;-1.00000;-1.00000;0.45383;1.00000;-1.00000;-1.00000;-1.00000;0.16081;0.19531
36;5148;1287;36;6;0.10490;0.17366;3078.00000;0.20744;0.16733;0.08488;1812.00000;6435.00000;0.40305;-1.00000;-1.00000;0.44959;1.00000;-1.00000;-1.00000;-1.00000;0.15212;0.18921
37;5148;1287;36;6;0.09169;0.17511;3078.00000;0.20869;0.17160;0.08575;1819.00000;6435.00000;0.40611;-1.00000;-1.00000;0.45330;1.00000;-1.00000;-1.00000;-1.00000;0.15649;0.19105
38;5148;1287;36;6;0.08702;0.17552;3081.00000;0.20919;0.17165;0.08555;1819.00000;6435.00000;0.40697;-1.00000;-1.00000;0.45241;1.00000;-1.00000;-1.00000;-1.00000;0.15528;0.19763
39;5148;1287;36;6;0.08159;0.17674;3094.00000;0.20970;0.17140;0.08683;1822.00000;6435.00000;0.40943;-1.00000;-1.00000;0.45807;1.00000;-1.00000;-1.00000;-1.00000;0.15619;0.19764
40;5148;1287;36;6;0.09790;0.17613;3078.00000;0.21165;0.16910;0.08540;1815.00000;6435.00000;0.40828;-1.00000;-1.00000;0.45184;1.00000;-1.00000;-1.00000;-1.00000;0.15424;0.19808
41;5148;1287;36;6;0.08780;0.17800;3068.00000;0.21282;0.17038;0.08669;1814.00000;6435.00000;0.41232;-1.00000;-1.00000;0.45771;1.00000;-1.00000;-1.00000;-1.00000;0.16307;0.20064
42;5148;1287;36;6;0.10101;0.17434;3081.00000;0.20805;0.16899;0.08517;1823.00000;6435.00000;0.40448;-1.00000;-1.00000;0.45057;1.00000;-1.00000;-1.00000;-1.00000;0.15407;0.19891
43;5148;1287;36;6;0.08625;0.17792;3082.00000;0.21273;0.17114;0.08711;1797.00000;6435.00000;0.41202;-1.00000;-1.00000;0.46015;1.00000;-1.00000;-1.00000;-1.00000;0.15328;0.19852
44;5148;1287;36;6;0.10256;0.17573;3080.00000;0.21054;0.17128;0.08535;1812.00000;6435.00000;0.40741;-1.00000;-1.00000;0.45173;1.00000;-1.00000;-1.00000;-1.00000;0.15587;0.19222
45;5148;1287;36;6;0.08236;0.17696;3075.00000;0.21065;0.17165;0.08656;1799.00000;6435.00000;0.41006;-1.00000;-1.00000;0.45757;1.00000;-1.00000;-1.00000;-1.00000;0.15982;0.19936
46;5148;1287;36;6;0.10567;0.17363;3082.00000;0.20782;0.17004;0.08483;1813.00000;6435.00000;0.40296;-1.00000;-1.00000;0.44937;1.00000;-1.00000;-1.00000;-1.00000;0.15441;0.19854
47;5148;1287;36;6;0.09790;0.17657;3083.00000;0.21011;0.17196;0.08667;1819.00000;6435.00000;0.40917;-1.00000;-1.00000;0.45746;1.00000;-1.00000;-1.00000;-1.00000;0.15469;0.19713
48;5148;1287;36;6;0.08858;0.17837;3084.00000;0.21314;0.17138;0.08742;1811.00000;6435.00000;0.41295;-1.00000;-1.00000;0.46107;1.00000;-1.00000;-1.00000;-1.00000;0.16447;0.19898
49;5148;1287;36;6;0.09324;0.17489;3071.00000;0.20841;0.17041;0.08677;1809.00000;6435.00000;0.40572;-1.00000;-1.00000;0.45821;1.00000;-1.00000;-1.00000;-1.00000;0.15564;0.19100
