repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;46400;11600;9;7;0.00026;0.00096;27981.00000;0.00140;0.00105;0.00032;16832.00000;58000.00000;0.00392;-1.00000;-1.00000;0.00506;0.00532;-1.00000;-1.00000;-1.00000;0.00036;0.00174
2;46400;11600;9;7;0.00026;0.00102;28031.00000;0.00146;0.00107;0.00035;16791.00000;58000.00000;0.00409;-1.00000;-1.00000;0.00531;0.00558;-1.00000;-1.00000;-1.00000;0.00036;0.00200
3;46400;11600;9;7;0.00017;0.00101;27974.00000;0.00143;0.00109;0.00034;16829.00000;58000.00000;0.00407;-1.00000;-1.00000;0.00523;0.00550;-1.00000;-1.00000;-1.00000;0.00046;0.00209
4;46400;11600;9;7;0.00017;0.00101;28026.00000;0.00137;0.00109;0.00039;16837.00000;58000.00000;0.00405;-1.00000;-1.00000;0.00555;0.00582;-1.00000;-1.00000;-1.00000;0.00042;0.00170
5;46400;11600;9;7;0.00017;0.00098;27981.00000;0.00136;0.00106;0.00036;16810.00000;58000.00000;0.00398;-1.00000;-1.00000;0.00539;0.00566;-1.00000;-1.00000;-1.00000;0.00036;0.00178
6;46400;11600;9;7;0.00034;0.00099;28021.00000;0.00142;0.00115;0.00032;16814.00000;58000.00000;0.00399;-1.00000;-1.00000;0.00505;0.00532;-1.00000;-1.00000;-1.00000;0.00025;0.00181
7;46400;11600;9;7;0.00026;0.00100;28021.00000;0.00144;0.00105;0.00032;16849.00000;58000.00000;0.00402;-1.00000;-1.00000;0.00509;0.00535;-1.00000;-1.00000;-1.00000;0.00039;0.00182
8;46400;11600;9;7;0.00034;0.00096;28015.00000;0.00140;0.00109;0.00032;16832.00000;58000.00000;0.00393;-1.00000;-1.00000;0.00506;0.00533;-1.00000;-1.00000;-1.00000;0.00043;0.00235
9;46400;11600;9;7;0.00026;0.00103;28004.00000;0.00144;0.00112;0.00035;16834.00000;58000.00000;0.00410;-1.00000;-1.00000;0.00530;0.00557;-1.00000;-1.00000;-1.00000;0.00036;0.00196
10;46400;11600;9;7;0.00009;0.00109;28021.00000;0.00153;0.00116;0.00040;16845.00000;58000.00000;0.00428;-1.00000;-1.00000;0.00568;0.00596;-1.00000;-1.00000;-1.00000;0.00014;0.00234
11;46400;11600;9;7;0.00043;0.00102;28017.00000;0.00144;0.00113;0.00035;16819.00000;58000.00000;0.00407;-1.00000;-1.00000;0.00531;0.00558;-1.00000;-1.00000;-1.00000;0.00032;0.00213
12;46400;11600;9;7;0.00009;0.00099;28016.00000;0.00146;0.00108;0.00031;16830.00000;58000.00000;0.00399;-1.00000;-1.00000;0.00498;0.00524;-1.00000;-1.00000;-1.00000;0.00021;0.00235
13;46400;11600;9;7;0.00034;0.00103;28033.00000;0.00145;0.00105;0.00036;16835.00000;58000.00000;0.00411;-1.00000;-1.00000;0.00535;0.00562;-1.00000;-1.00000;-1.00000;0.00025;0.00188
14;46400;11600;9;7;0.00026;0.00098;28018.00000;0.00140;0.00106;0.00033;16810.00000;58000.00000;0.00398;-1.00000;-1.00000;0.00515;0.00541;-1.00000;-1.00000;-1.00000;0.00043;0.00217
15;46400;11600;9;7;0.00026;0.00104;27955.00000;0.00143;0.00110;0.00037;16816.00000;58000.00000;0.00414;-1.00000;-1.00000;0.00546;0.00573;-1.00000;-1.00000;-1.00000;0.00050;0.00188
16;46400;11600;9;7;0.00026;0.00096;28028.00000;0.00137;0.00108;0.00031;16841.00000;58000.00000;0.00392;-1.00000;-1.00000;0.00502;0.00528;-1.00000;-1.00000;-1.00000;0.00028;0.00202
17;46400;11600;9;7;0.00017;0.00103;28022.00000;0.00148;0.00107;0.00034;16822.00000;58000.00000;0.00412;-1.00000;-1.00000;0.00524;0.00551;-1.00000;-1.00000;-1.00000;0.00036;0.00213
18;46400;11600;9;7;0.00034;0.00096;28021.00000;0.00137;0.00112;0.00032;16829.00000;58000.00000;0.00391;-1.00000;-1.00000;0.00510;0.00536;-1.00000;-1.00000;-1.00000;0.00032;0.00185
19;46400;11600;9;7;0.00017;0.00105;28023.00000;0.00144;0.00114;0.00038;16788.00000;58000.00000;0.00415;-1.00000;-1.00000;0.00553;0.00580;-1.00000;-1.00000;-1.00000;0.00057;0.00216
20;46400;11600;9;7;0.00017;0.00098;28040.00000;0.00141;0.00101;0.00032;16845.00000;58000.00000;0.00398;-1.00000;-1.00000;0.00508;0.00534;-1.00000;-1.00000;-1.00000;0.00021;0.00213
21;46400;11600;9;7;0.00026;0.00103;28009.00000;0.00145;0.00111;0.00035;16793.00000;58000.00000;0.00411;-1.00000;-1.00000;0.00530;0.00557;-1.00000;-1.00000;-1.00000;0.00032;0.00178
22;46400;11600;9;7;0.00026;0.00098;27994.00000;0.00138;0.00112;0.00034;16836.00000;58000.00000;0.00398;-1.00000;-1.00000;0.00519;0.00546;-1.00000;-1.00000;-1.00000;0.00028;0.00209
23;46400;11600;9;7;0.00017;0.00103;28018.00000;0.00145;0.00112;0.00035;16850.00000;58000.00000;0.00410;-1.00000;-1.00000;0.00531;0.00557;-1.00000;-1.00000;-1.00000;0.00043;0.00192
24;46400;11600;9;7;0.00017;0.00105;28011.00000;0.00149;0.00109;0.00036;16851.00000;58000.00000;0.00415;-1.00000;-1.00000;0.00536;0.00563;-1.00000;-1.00000;-1.00000;0.00032;0.00167
25;46400;11600;9;7;0.00009;0.00100;28041.00000;0.00143;0.00107;0.00033;16835.00000;58000.00000;0.00402;-1.00000;-1.00000;0.00513;0.00540;-1.00000;-1.00000;-1.00000;0.00028;0.00178
26;46400;11600;9;7;0.00043;0.00101;28058.00000;0.00145;0.00112;0.00034;16863.00000;58000.00000;0.00406;-1.00000;-1.00000;0.00523;0.00549;-1.00000;-1.00000;-1.00000;0.00039;0.00235
27;46400;11600;9;7;0.00043;0.00098;28017.00000;0.00135;0.00101;0.00036;16796.00000;58000.00000;0.00398;-1.00000;-1.00000;0.00538;0.00565;-1.00000;-1.00000;-1.00000;0.00028;0.00178
28;46400;11600;9;7;0.00034;0.00092;27978.00000;0.00129;0.00101;0.00032;16838.00000;58000.00000;0.00380;-1.00000;-1.00000;0.00510;0.00536;-1.00000;-1.00000;-1.00000;0.00046;0.00159
29;46400;11600;9;7;0.00026;0.00108;28038.00000;0.00152;0.00114;0.00038;16844.00000;58000.00000;0.00425;-1.00000;-1.00000;0.00550;0.00577;-1.00000;-1.00000;-1.00000;0.00039;0.00217
30;46400;11600;9;7;0.00034;0.00093;28017.00000;0.00139;0.00108;0.00028;16842.00000;58000.00000;0.00384;-1.00000;-1.00000;0.00475;0.00500;-1.00000;-1.00000;-1.00000;0.00011;0.00238
