repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;1302;24746;6513;123;2;0.17104;0.23656;450.00000;0.22819;0.23019;0.12132;136.00000;24882.00000;0.62979;0.82341;0.87307;0.96279;1.00000;0.83872;-1.00000;0.18405;0.28541
2;1302;24746;6513;123;2;0.17273;0.22872;448.00000;0.21857;0.22042;0.11954;142.00000;24888.00000;0.61306;0.80965;0.85890;0.94290;1.00000;0.82435;-1.00000;0.18619;0.27536
3;1302;24746;6513;123;2;0.17304;0.25572;443.00000;0.24595;0.23842;0.13299;140.00000;24886.00000;0.67243;0.85657;0.90342;1.00000;1.00000;0.90818;-1.00000;0.19421;0.30213
4;1302;24746;6513;123;2;0.17288;0.23392;443.00000;0.22681;0.22804;0.12106;137.00000;24883.00000;0.62524;0.81937;0.87087;0.95957;1.00000;0.83394;-1.00000;0.19381;0.28395
5;1302;24746;6513;123;2;0.17857;0.23790;443.00000;0.22473;0.22566;0.12643;132.00000;24878.00000;0.63389;0.82908;0.88708;0.99637;1.00000;0.85597;-1.00000;0.19628;0.28481
6;1302;24746;6513;123;2;0.17764;0.23567;451.00000;0.22822;0.21960;0.12271;137.00000;24883.00000;0.62768;0.82121;0.87544;0.96797;1.00000;0.85523;-1.00000;0.19115;0.28454
7;1302;24746;6513;123;2;0.16751;0.23607;450.00000;0.23081;0.23021;0.11992;131.00000;24877.00000;0.62872;0.82219;0.87570;0.96524;1.00000;0.83653;-1.00000;0.18737;0.27835
8;1302;24746;6513;123;2;0.17857;0.22887;450.00000;0.22396;0.23006;0.11805;144.00000;24890.00000;0.61306;0.80735;0.85567;0.93183;1.00000;0.80540;-1.00000;0.19127;0.26884
9;1302;24746;6513;123;2;0.16091;0.23446;452.00000;0.22868;0.22543;0.12024;141.00000;24887.00000;0.62489;0.81777;0.86600;0.94822;1.00000;0.83818;-1.00000;0.18868;0.28425
10;1302;24746;6513;123;2;0.17811;0.24126;450.00000;0.23015;0.23119;0.12633;143.00000;24889.00000;0.63999;0.83152;0.87939;0.97551;1.00000;0.85719;-1.00000;0.18449;0.28661
11;1302;24746;6513;123;2;0.17642;0.22906;453.00000;0.22581;0.23082;0.11701;143.00000;24889.00000;0.61295;0.80667;0.85476;0.92824;1.00000;0.80363;-1.00000;0.18333;0.26598
12;1302;24746;6513;123;2;0.17074;0.22540;450.00000;0.21621;0.23166;0.11733;143.00000;24889.00000;0.60548;0.80281;0.85134;0.92988;1.00000;0.78706;-1.00000;0.17797;0.26800
13;1302;24746;6513;123;2;0.17304;0.22715;441.00000;0.22684;0.22539;0.11427;137.00000;24883.00000;0.61083;0.80508;0.85393;0.92483;1.00000;0.81030;-1.00000;0.18896;0.27515
14;1302;24746;6513;123;2;0.16935;0.24108;450.00000;0.23572;0.23059;0.12278;142.00000;24888.00000;0.63959;0.82937;0.87436;0.95934;1.00000;0.85758;-1.00000;0.20833;0.29957
15;1302;24746;6513;123;2;0.17887;0.22480;444.00000;0.21957;0.21831;0.11466;139.00000;24885.00000;0.60519;0.80183;0.84978;0.92324;1.00000;0.81280;-1.00000;0.17970;0.27549
16;1302;24746;6513;123;2;0.17626;0.24075;446.00000;0.23881;0.22931;0.12087;139.00000;24885.00000;0.63955;0.82868;0.87383;0.95497;1.00000;0.86009;-1.00000;0.17336;0.28858
17;1302;24746;6513;123;2;0.18256;0.21766;448.00000;0.21438;0.21840;0.11033;133.00000;24879.00000;0.58887;0.78800;0.84220;0.91196;1.00000;0.77980;-1.00000;0.17722;0.27846
18;1302;24746;6513;123;2;0.17442;0.21298;460.00000;0.21239;0.21279;0.10614;143.00000;24889.00000;0.57663;0.77423;0.81937;0.87223;1.00000;0.76598;-1.00000;0.16456;0.25992
19;1302;24746;6513;123;2;0.17012;0.23823;453.00000;0.23005;0.22012;0.12274;139.00000;24885.00000;0.63290;0.82533;0.87448;0.96448;1.00000;0.86466;-1.00000;0.18259;0.28298
20;1302;24746;6513;123;2;0.17212;0.23782;446.00000;0.23300;0.23190;0.12340;135.00000;24881.00000;0.63320;0.82518;0.88099;0.97522;1.00000;0.84227;-1.00000;0.19368;0.27579
