repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;11907;35721;11907;8;2;0.05308;0.11491;4281.00000;0.14122;0.14042;0.04431;1497.00000;37218.00000;0.27037;0.32104;0.29094;0.27088;0.42677;0.27912;-1.00000;0.08573;0.16133
2;11907;35721;11907;8;2;0.05232;0.12158;4305.00000;0.14827;0.15047;0.04755;1492.00000;37213.00000;0.28451;0.33658;0.30723;0.28670;0.46170;0.28786;-1.00000;0.09590;0.16936
3;11907;35721;11907;8;2;0.05845;0.11896;4328.00000;0.14582;0.14834;0.04580;1509.00000;37230.00000;0.27882;0.32949;0.29789;0.27766;0.44319;0.28058;-1.00000;0.09582;0.15699
4;11907;35721;11907;8;2;0.05442;0.11539;4293.00000;0.14157;0.14037;0.04434;1492.00000;37213.00000;0.27134;0.32239;0.29129;0.27118;0.42818;0.28115;-1.00000;0.08969;0.15960
5;11907;35721;11907;8;2;0.05719;0.11656;4307.00000;0.14062;0.14087;0.04619;1506.00000;37227.00000;0.27378;0.32815;0.29980;0.27967;0.44106;0.28506;-1.00000;0.09683;0.15425
6;11907;35721;11907;8;2;0.05996;0.11634;4296.00000;0.14349;0.14397;0.04480;1496.00000;37217.00000;0.27337;0.32315;0.29345;0.27329;0.43274;0.27820;-1.00000;0.09013;0.17563
7;11907;35721;11907;8;2;0.05610;0.11822;4298.00000;0.14241;0.14118;0.04705;1498.00000;37219.00000;0.27737;0.33221;0.30435;0.28407;0.45069;0.29167;-1.00000;0.09807;0.15667
8;11907;35721;11907;8;2;0.05451;0.12186;4302.00000;0.14767;0.14651;0.04810;1493.00000;37214.00000;0.28514;0.33864;0.30986;0.28931;0.46574;0.29684;-1.00000;0.09748;0.15292
9;11907;35721;11907;8;2;0.05677;0.12329;4298.00000;0.15162;0.15059;0.04703;1495.00000;37216.00000;0.28820;0.33821;0.30460;0.28408;0.46206;0.29501;-1.00000;0.09499;0.16329
10;11907;35721;11907;8;2;0.05383;0.12144;4283.00000;0.14858;0.14794;0.04708;1492.00000;37213.00000;0.28431;0.33573;0.30490;0.28440;0.45860;0.29240;-1.00000;0.09524;0.16412
11;11907;35721;11907;8;2;0.05971;0.11704;4288.00000;0.14195;0.14175;0.04617;1502.00000;37223.00000;0.27490;0.32827;0.29989;0.27969;0.44246;0.28561;-1.00000;0.09420;0.15305
12;11907;35721;11907;8;2;0.05644;0.11458;4292.00000;0.13921;0.14066;0.04496;1494.00000;37215.00000;0.26961;0.32277;0.29423;0.27414;0.43037;0.27714;-1.00000;0.08571;0.14715
13;11907;35721;11907;8;2;0.05677;0.11955;4303.00000;0.14679;0.14581;0.04625;1495.00000;37216.00000;0.28020;0.33079;0.30067;0.28030;0.44872;0.28832;-1.00000;0.09611;0.15133
14;11907;35721;11907;8;2;0.05719;0.11648;4308.00000;0.14239;0.14225;0.04525;1499.00000;37220.00000;0.27360;0.32522;0.29550;0.27534;0.43549;0.28201;-1.00000;0.08674;0.16177
15;11907;35721;11907;8;2;0.06156;0.11379;4318.00000;0.14118;0.14095;0.04318;1488.00000;37209.00000;0.26779;0.31645;0.28568;0.26568;0.41760;0.27292;-1.00000;0.08954;0.16546
16;11907;35721;11907;8;2;0.05980;0.11632;4305.00000;0.14122;0.14037;0.04569;1502.00000;37223.00000;0.27327;0.32636;0.29753;0.27738;0.43775;0.28503;-1.00000;0.08997;0.15360
17;11907;35721;11907;8;2;0.05367;0.12127;4310.00000;0.14848;0.14699;0.04674;1490.00000;37211.00000;0.28383;0.33501;0.30333;0.28285;0.45596;0.29329;-1.00000;0.09443;0.16451
18;11907;35721;11907;8;2;0.05946;0.12018;4301.00000;0.14749;0.14900;0.04637;1496.00000;37217.00000;0.28154;0.33218;0.30123;0.28085;0.45077;0.28476;-1.00000;0.09258;0.17141
19;11907;35721;11907;8;2;0.05644;0.11924;4259.00000;0.14463;0.14449;0.04708;1491.00000;37212.00000;0.27972;0.33330;0.30484;0.28444;0.45408;0.28996;-1.00000;0.09592;0.16457
20;11907;35721;11907;8;2;0.05467;0.11708;4307.00000;0.14296;0.14382;0.04536;1507.00000;37228.00000;0.27489;0.32662;0.29577;0.27564;0.43685;0.28155;-1.00000;0.09275;0.15339
