repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;1326;7518;2211;68;2;0.05156;0.10714;451.00000;0.12419;0.12495;0.04508;139.00000;7657.00000;0.33652;0.51753;0.55870;0.53634;1.00000;0.46759;-1.00000;0.06838;0.15369
2;1326;7518;2211;68;2;0.06468;0.10372;467.00000;0.12644;0.12605;0.03984;145.00000;7663.00000;0.32616;0.49945;0.52538;0.49476;1.00000;0.44436;-1.00000;0.06694;0.15866
3;1326;7518;2211;68;2;0.06151;0.09446;458.00000;0.11656;0.11845;0.03694;143.00000;7661.00000;0.30503;0.47489;0.50979;0.47903;1.00000;0.41628;-1.00000;0.05955;0.14959
4;1326;7518;2211;68;2;0.06739;0.10186;462.00000;0.11634;0.12426;0.04373;143.00000;7661.00000;0.32236;0.50104;0.54427;0.52197;1.00000;0.44016;-1.00000;0.05847;0.14050
5;1326;7518;2211;68;2;0.06287;0.10919;450.00000;0.12900;0.13249;0.04471;140.00000;7658.00000;0.34156;0.52154;0.55717;0.53253;1.00000;0.46349;-1.00000;0.07475;0.14868
6;1326;7518;2211;68;2;0.05201;0.10421;458.00000;0.13000;0.12802;0.04023;145.00000;7663.00000;0.32854;0.50055;0.52847;0.49723;1.00000;0.44558;-1.00000;0.06953;0.17355
7;1326;7518;2211;68;2;0.05699;0.10890;464.00000;0.12693;0.12837;0.04516;135.00000;7653.00000;0.33893;0.51999;0.56543;0.54307;1.00000;0.46577;-1.00000;0.07407;0.16245
8;1326;7518;2211;68;2;0.04930;0.10166;461.00000;0.12332;0.12195;0.03885;142.00000;7660.00000;0.32202;0.49602;0.52314;0.49268;1.00000;0.44385;-1.00000;0.06237;0.14889
9;1326;7518;2211;68;2;0.05246;0.10732;462.00000;0.11999;0.12710;0.04684;136.00000;7654.00000;0.33545;0.51919;0.56976;0.55191;1.00000;0.46119;-1.00000;0.07347;0.14894
10;1326;7518;2211;68;2;0.05246;0.09743;456.00000;0.12072;0.11930;0.03820;138.00000;7656.00000;0.31248;0.48429;0.52434;0.49444;1.00000;0.42973;-1.00000;0.05092;0.12525
11;1326;7518;2211;68;2;0.05292;0.11038;463.00000;0.12989;0.13461;0.04489;141.00000;7659.00000;0.34260;0.52220;0.55703;0.53216;1.00000;0.46135;-1.00000;0.05102;0.15354
12;1326;7518;2211;68;2;0.05337;0.09785;457.00000;0.11238;0.11734;0.04159;140.00000;7658.00000;0.31338;0.49086;0.53630;0.51303;1.00000;0.43520;-1.00000;0.06565;0.15385
13;1326;7518;2211;68;2;0.04930;0.11398;448.00000;0.13450;0.13214;0.04630;136.00000;7654.00000;0.35326;0.53573;0.57212;0.54858;1.00000;0.48775;-1.00000;0.07475;0.15353
14;1326;7518;2211;68;2;0.05654;0.10933;461.00000;0.12679;0.12529;0.04695;145.00000;7663.00000;0.34036;0.52025;0.56083;0.53897;1.00000;0.47449;-1.00000;0.07071;0.15854
15;1326;7518;2211;68;2;0.05246;0.10427;467.00000;0.12285;0.12157;0.04334;139.00000;7657.00000;0.32747;0.50502;0.54971;0.52547;1.00000;0.45547;-1.00000;0.06571;0.14286
16;1326;7518;2211;68;2;0.04342;0.12009;458.00000;0.13858;0.13687;0.05084;143.00000;7661.00000;0.36628;0.55032;0.58565;0.56549;1.00000;0.50482;-1.00000;0.07676;0.18410
17;1326;7518;2211;68;2;0.04297;0.10647;458.00000;0.12511;0.12890;0.04319;137.00000;7655.00000;0.33396;0.51352;0.55245;0.52764;1.00000;0.45485;-1.00000;0.07085;0.16000
18;1326;7518;2211;68;2;0.05111;0.09979;457.00000;0.11882;0.11830;0.04039;137.00000;7655.00000;0.31804;0.49412;0.53636;0.50994;1.00000;0.44280;-1.00000;0.05660;0.15369
19;1326;7518;2211;68;2;0.05246;0.11034;461.00000;0.13180;0.13561;0.04618;130.00000;7648.00000;0.34279;0.52349;0.57917;0.55774;1.00000;0.45989;-1.00000;0.05691;0.15711
20;1326;7518;2211;68;2;0.05654;0.09966;461.00000;0.12259;0.12096;0.03811;147.00000;7665.00000;0.31720;0.48833;0.51266;0.48099;1.00000;0.43600;-1.00000;0.06224;0.13573
