repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;9949;29850;9950;300;2;0.01367;0.02504;3559.00000;0.02388;0.02389;0.01285;1245.00000;31095.00000;0.07357;0.12363;0.12963;0.11602;0.13722;0.10887;-1.00000;0.01592;0.03242
2;9949;29850;9950;300;2;0.01437;0.02132;3593.00000;0.02176;0.02198;0.01047;1240.00000;31090.00000;0.06449;0.10884;0.11546;0.10213;0.11949;0.09407;-1.00000;0.01415;0.02894
3;9949;29850;9950;300;2;0.01467;0.02424;3586.00000;0.02345;0.02354;0.01262;1263.00000;31113.00000;0.07156;0.12019;0.12762;0.11414;0.13450;0.10544;-1.00000;0.01735;0.03281
4;9949;29850;9950;300;2;0.01487;0.02169;3552.00000;0.02391;0.02419;0.00973;1241.00000;31091.00000;0.06552;0.10827;0.11104;0.09764;0.11473;0.09208;-1.00000;0.01556;0.03011
5;9949;29850;9950;300;2;0.01246;0.02329;3561.00000;0.02388;0.02463;0.01140;1250.00000;31100.00000;0.06936;0.11558;0.12086;0.10735;0.12645;0.09901;-1.00000;0.01745;0.03083
6;9949;29850;9950;300;2;0.01387;0.02288;3595.00000;0.02223;0.02200;0.01180;1247.00000;31097.00000;0.06825;0.11543;0.12324;0.10981;0.12891;0.10161;-1.00000;0.01709;0.03248
7;9949;29850;9950;300;2;0.01387;0.02378;3582.00000;0.02410;0.02409;0.01189;1251.00000;31101.00000;0.07047;0.11743;0.12379;0.11024;0.12993;0.10223;-1.00000;0.01713;0.03270
8;9949;29850;9950;300;2;0.01417;0.02322;3570.00000;0.02281;0.02277;0.01178;1230.00000;31080.00000;0.06915;0.11658;0.12376;0.11019;0.12964;0.10203;-1.00000;0.01774;0.03204
9;9949;29850;9950;300;2;0.01337;0.02314;3602.00000;0.02400;0.02369;0.01096;1253.00000;31103.00000;0.06886;0.11445;0.11817;0.10470;0.12334;0.09972;-1.00000;0.01663;0.03030
10;9949;29850;9950;300;2;0.01317;0.02297;3594.00000;0.02324;0.02443;0.01160;1255.00000;31105.00000;0.06848;0.11464;0.12189;0.10844;0.12740;0.09761;-1.00000;0.01701;0.02884
11;9949;29850;9950;300;2;0.01528;0.02400;3567.00000;0.02351;0.02396;0.01214;1252.00000;31102.00000;0.07104;0.11920;0.12519;0.11168;0.13168;0.10363;-1.00000;0.01823;0.02928
12;9949;29850;9950;300;2;0.01266;0.02574;3611.00000;0.02574;0.02622;0.01291;1252.00000;31102.00000;0.07506;0.12418;0.12987;0.11614;0.13770;0.10753;-1.00000;0.01644;0.03572
13;9949;29850;9950;300;2;0.01497;0.02416;3598.00000;0.02293;0.02387;0.01264;1256.00000;31106.00000;0.07132;0.12038;0.12793;0.11446;0.13481;0.10433;-1.00000;0.01770;0.03199
14;9949;29850;9950;300;2;0.01477;0.02413;3592.00000;0.02391;0.02483;0.01217;1239.00000;31089.00000;0.07128;0.11927;0.12587;0.11225;0.13243;0.10249;-1.00000;0.01748;0.03141
15;9949;29850;9950;300;2;0.01176;0.02336;3598.00000;0.02182;0.02236;0.01255;1248.00000;31098.00000;0.06941;0.11810;0.12758;0.11416;0.13402;0.10327;-1.00000;0.01677;0.02880
16;9949;29850;9950;300;2;0.01337;0.02181;3575.00000;0.02271;0.02398;0.01049;1246.00000;31096.00000;0.06573;0.11006;0.11546;0.10209;0.11972;0.09290;-1.00000;0.01602;0.02890
17;9949;29850;9950;300;2;0.01357;0.02396;3578.00000;0.02522;0.02554;0.01141;1235.00000;31085.00000;0.07093;0.11707;0.12157;0.10787;0.12748;0.10048;-1.00000;0.01778;0.03008
18;9949;29850;9950;300;2;0.01116;0.02524;3577.00000;0.02661;0.02595;0.01211;1236.00000;31086.00000;0.07400;0.12122;0.12579;0.11194;0.13282;0.10591;-1.00000;0.02003;0.03138
19;9949;29850;9950;300;2;0.01347;0.02280;3567.00000;0.02229;0.02144;0.01182;1236.00000;31086.00000;0.06816;0.11526;0.12375;0.11026;0.12944;0.10248;-1.00000;0.01596;0.03216
20;9949;29850;9950;300;2;0.01296;0.02253;3595.00000;0.02292;0.02212;0.01086;1245.00000;31095.00000;0.06740;0.11302;0.11776;0.10434;0.12262;0.09968;-1.00000;0.01654;0.02759
