repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;54045;13512;126;3;0.17503;0.30724;0.35280;-1.00000;0.15855;0.64575;-1.00000;-1.00000;1.00000;0.68821;-1.00000;-1.00000;-1.00000;0.29204;0.30724;0.35280;-1.00000;0.15855;0.61899;-1.00000;-1.00000;1.00000;0.96007;-1.00000;0.04980;-1.00000;0.17525;0.30724;0.35280;-1.00000;0.15855;0.63656;-1.00000;-1.00000;1.00000;0.68011;-1.00000;0.07446;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;54045;13512;126;3;0.17481;0.30794;0.35310;-1.00000;0.15931;0.64748;-1.00000;-1.00000;1.00000;0.69100;-1.00000;-1.00000;-1.00000;0.29759;0.30794;0.35310;-1.00000;0.15931;0.61766;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05144;-1.00000;0.17658;0.30794;0.35310;-1.00000;0.15931;0.63795;-1.00000;-1.00000;1.00000;0.68312;-1.00000;0.07415;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;54045;13512;126;3;0.17932;0.30742;0.35291;-1.00000;0.15889;0.64580;-1.00000;-1.00000;1.00000;0.68892;-1.00000;-1.00000;-1.00000;0.30040;0.30742;0.35291;-1.00000;0.15889;0.61974;-1.00000;-1.00000;1.00000;0.97463;-1.00000;0.04952;-1.00000;0.17821;0.30742;0.35291;-1.00000;0.15889;0.63690;-1.00000;-1.00000;1.00000;0.68135;-1.00000;0.07420;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;54045;13512;126;3;0.17718;0.30798;0.35305;-1.00000;0.15954;0.64711;-1.00000;-1.00000;1.00000;0.69144;-1.00000;-1.00000;-1.00000;0.29500;0.30798;0.35305;-1.00000;0.15954;0.61699;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05108;-1.00000;0.17703;0.30798;0.35305;-1.00000;0.15954;0.63803;-1.00000;-1.00000;1.00000;0.68402;-1.00000;0.07404;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;54045;13512;126;3;0.17999;0.30836;0.35428;-1.00000;0.15912;0.64689;-1.00000;-1.00000;1.00000;0.68951;-1.00000;-1.00000;-1.00000;0.29181;0.30836;0.35428;-1.00000;0.15912;0.61143;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05178;-1.00000;0.18006;0.30836;0.35428;-1.00000;0.15912;0.63880;-1.00000;-1.00000;1.00000;0.68231;-1.00000;0.07414;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;54045;13512;126;3;0.17799;0.30835;0.35377;-1.00000;0.15897;0.64893;-1.00000;-1.00000;1.00000;0.69084;-1.00000;-1.00000;-1.00000;0.29603;0.30835;0.35377;-1.00000;0.15897;0.61373;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05123;-1.00000;0.17984;0.30835;0.35377;-1.00000;0.15897;0.63883;-1.00000;-1.00000;1.00000;0.68205;-1.00000;0.07473;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;54045;13512;126;3;0.18014;0.30785;0.35296;-1.00000;0.15945;0.64655;-1.00000;-1.00000;1.00000;0.69026;-1.00000;-1.00000;-1.00000;0.29100;0.30785;0.35296;-1.00000;0.15945;0.61230;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05174;-1.00000;0.17829;0.30785;0.35296;-1.00000;0.15945;0.63773;-1.00000;-1.00000;1.00000;0.68354;-1.00000;0.07390;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;54045;13512;126;3;0.17688;0.30709;0.35182;-1.00000;0.15851;0.64664;-1.00000;-1.00000;1.00000;0.68948;-1.00000;-1.00000;-1.00000;0.30040;0.30709;0.35182;-1.00000;0.15851;0.61302;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05118;-1.00000;0.17821;0.30709;0.35182;-1.00000;0.15851;0.63633;-1.00000;-1.00000;1.00000;0.68021;-1.00000;0.07492;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;54045;13512;126;3;0.17525;0.30719;0.35259;-1.00000;0.15850;0.64646;-1.00000;-1.00000;1.00000;0.68770;-1.00000;-1.00000;-1.00000;0.29307;0.30719;0.35259;-1.00000;0.15850;0.61811;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05008;-1.00000;0.17533;0.30719;0.35259;-1.00000;0.15850;0.63647;-1.00000;-1.00000;1.00000;0.67987;-1.00000;0.07444;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;54045;13512;126;3;0.17681;0.30677;0.35199;-1.00000;0.15848;0.64474;-1.00000;-1.00000;1.00000;0.68764;-1.00000;-1.00000;-1.00000;0.29589;0.30677;0.35199;-1.00000;0.15848;0.60585;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05196;-1.00000;0.17829;0.30677;0.35199;-1.00000;0.15848;0.63561;-1.00000;-1.00000;1.00000;0.67977;-1.00000;0.07440;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
