repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;39799;9950;300;2;0.01065;0.01884;0.01808;0.01808;0.00976;0.04781;0.06532;0.05966;0.05972;0.05601;0.06629;-1.00000;-1.00000;0.01779;0.01884;0.01808;0.01808;0.00976;0.04255;0.07636;0.07952;0.08136;0.07724;0.07803;0.21821;-1.00000;0.01095;0.01884;0.01808;0.01808;0.00976;0.04671;0.06455;0.05767;0.05783;0.05421;0.06551;0.30622;-1.00000;0.01065;0.01884;0.01808;0.01808;0.00976;0.04568;0.06391;0.05837;0.05847;0.05490;0.06487;0.18778;0.27666
2;39799;9950;300;2;0.01156;0.01907;0.01871;0.01871;0.00964;0.04788;0.06498;0.05915;0.05920;0.05551;0.06594;-1.00000;-1.00000;0.01437;0.01907;0.01871;0.01871;0.00964;0.04374;0.07238;0.07132;0.07271;0.06861;0.07374;0.20994;-1.00000;0.01186;0.01907;0.01871;0.01871;0.00964;0.04677;0.06422;0.05719;0.05735;0.05373;0.06517;0.30758;-1.00000;0.01196;0.01907;0.01871;0.01871;0.00964;0.04616;0.06377;0.05773;0.05783;0.05425;0.06472;0.18643;0.27096
3;39799;9950;300;2;0.01045;0.01968;0.01925;0.01925;0.01004;0.04900;0.06645;0.06051;0.06065;0.05683;0.06743;-1.00000;-1.00000;0.01106;0.01968;0.01925;0.01925;0.01004;0.04419;0.07643;0.07946;0.08131;0.07701;0.07800;0.21264;-1.00000;0.00995;0.01968;0.01925;0.01925;0.01004;0.04835;0.06602;0.05883;0.05909;0.05531;0.06699;0.30125;-1.00000;0.00995;0.01968;0.01925;0.01925;0.01004;0.04747;0.06540;0.05957;0.05976;0.05603;0.06637;0.18341;0.26579
4;39799;9950;300;2;0.01015;0.01945;0.01891;0.01891;0.00993;0.04841;0.06610;0.06046;0.06057;0.05680;0.06709;-1.00000;-1.00000;0.01729;0.01945;0.01891;0.01891;0.00993;0.04455;0.07475;0.07452;0.07610;0.07187;0.07620;0.20862;-1.00000;0.01005;0.01945;0.01891;0.01891;0.00993;0.04756;0.06540;0.05847;0.05870;0.05499;0.06637;0.30436;-1.00000;0.00995;0.01945;0.01891;0.01891;0.00993;0.04698;0.06499;0.05905;0.05921;0.05553;0.06596;0.18452;0.26820
5;39799;9950;300;2;0.01236;0.01911;0.01882;0.01882;0.00960;0.04785;0.06492;0.05893;0.05897;0.05529;0.06589;-1.00000;-1.00000;0.01317;0.01911;0.01882;0.01882;0.00960;0.04442;0.06806;0.06360;0.06448;0.06061;0.06918;0.20127;-1.00000;0.01206;0.01911;0.01882;0.01882;0.00960;0.04672;0.06411;0.05694;0.05709;0.05349;0.06505;0.30765;-1.00000;0.01216;0.01911;0.01882;0.01882;0.00960;0.04623;0.06370;0.05747;0.05756;0.05399;0.06465;0.18607;0.26956
6;39799;9950;300;2;0.01055;0.01905;0.01823;0.01823;0.00992;0.04796;0.06589;0.06054;0.06063;0.05688;0.06688;-1.00000;-1.00000;0.01889;0.01905;0.01823;0.01823;0.00992;0.04366;0.08167;0.08773;0.09014;0.08584;0.08364;0.21806;-1.00000;0.01065;0.01905;0.01823;0.01823;0.00992;0.04667;0.06495;0.05857;0.05875;0.05509;0.06593;0.30375;-1.00000;0.01065;0.01905;0.01823;0.01823;0.00992;0.04613;0.06454;0.05908;0.05922;0.05559;0.06552;0.18678;0.27516
7;39799;9950;300;2;0.01246;0.01861;0.01824;0.01824;0.00935;0.04666;0.06387;0.05795;0.05791;0.05434;0.06482;-1.00000;-1.00000;0.01709;0.01861;0.01824;0.01824;0.00935;0.04264;0.07472;0.07610;0.07773;0.07365;0.07627;0.21575;-1.00000;0.01286;0.01861;0.01824;0.01824;0.00935;0.04564;0.06298;0.05582;0.05591;0.05242;0.06391;0.31368;-1.00000;0.01286;0.01861;0.01824;0.01824;0.00935;0.04515;0.06260;0.05634;0.05636;0.05290;0.06353;0.18857;0.27516
8;39799;9950;300;2;0.01136;0.01890;0.01798;0.01798;0.00980;0.04806;0.06560;0.05978;0.05986;0.05613;0.06658;-1.00000;-1.00000;0.01829;0.01890;0.01798;0.01798;0.00980;0.04089;0.07931;0.08776;0.09013;0.08617;0.08127;0.22900;-1.00000;0.01126;0.01890;0.01798;0.01798;0.00980;0.04674;0.06478;0.05796;0.05813;0.05450;0.06575;0.30451;-1.00000;0.01116;0.01890;0.01798;0.01798;0.00980;0.04580;0.06430;0.05849;0.05861;0.05503;0.06527;0.18760;0.27725
9;39799;9950;300;2;0.01045;0.01926;0.01864;0.01864;0.00984;0.04825;0.06593;0.06029;0.06038;0.05663;0.06692;-1.00000;-1.00000;0.01628;0.01926;0.01864;0.01864;0.00984;0.04194;0.08228;0.09490;0.09780;0.09376;0.08439;0.22847;-1.00000;0.00995;0.01926;0.01864;0.01864;0.00984;0.04716;0.06512;0.05808;0.05831;0.05463;0.06608;0.30671;-1.00000;0.01015;0.01926;0.01864;0.01864;0.00984;0.04657;0.06469;0.05867;0.05882;0.05519;0.06566;0.18563;0.27132
10;39799;9950;300;2;0.01045;0.01919;0.01865;0.01865;0.00979;0.04859;0.06596;0.06010;0.06022;0.05644;0.06693;-1.00000;-1.00000;0.01678;0.01919;0.01865;0.01865;0.00979;0.04238;0.07575;0.07731;0.07917;0.07504;0.07737;0.22093;-1.00000;0.01045;0.01919;0.01865;0.01865;0.00979;0.04721;0.06492;0.05795;0.05815;0.05448;0.06588;0.30523;-1.00000;0.01045;0.01919;0.01865;0.01865;0.00979;0.04645;0.06446;0.05847;0.05862;0.05500;0.06543;0.18624;0.27226
