repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;39799;9950;300;2;0.01025;0.01747;0.01584;0.01584;0.00941;0.04723;0.07254;0.07279;0.07260;0.06673;0.07410;-1.00000;-1.00000;0.01739;0.01747;0.01584;0.01584;0.00941;0.03927;0.07721;0.10610;0.11005;0.10336;0.07920;0.30061;-1.00000;0.01035;0.01747;0.01584;0.01584;0.00941;0.04599;0.07137;0.06967;0.06963;0.06394;0.07288;0.45039;-1.00000;0.01025;0.01747;0.01584;0.01584;0.00941;0.04498;0.07051;0.07068;0.07061;0.06497;0.07201;0.24097;0.48408
2;39799;9950;300;2;0.01075;0.01734;0.01591;0.01591;0.00915;0.04685;0.07166;0.07201;0.07177;0.06598;0.07319;-1.00000;-1.00000;0.01930;0.01734;0.01591;0.01591;0.00915;0.04053;0.07963;0.10713;0.11123;0.10434;0.08173;0.29390;-1.00000;0.01116;0.01734;0.01591;0.01591;0.00915;0.04492;0.07009;0.06818;0.06808;0.06256;0.07157;0.45961;-1.00000;0.01136;0.01734;0.01591;0.01591;0.00915;0.04464;0.06966;0.06908;0.06890;0.06339;0.07113;0.24074;0.47942
3;39799;9950;300;2;0.01055;0.01809;0.01667;0.01667;0.00969;0.04805;0.07347;0.07359;0.07350;0.06751;0.07504;-1.00000;-1.00000;0.01739;0.01809;0.01667;0.01667;0.00969;0.04283;0.08395;0.11023;0.11474;0.10740;0.08625;0.28447;-1.00000;0.01075;0.01809;0.01667;0.01667;0.00969;0.04701;0.07241;0.07092;0.07094;0.06511;0.07394;0.44232;-1.00000;0.01065;0.01809;0.01667;0.01667;0.00969;0.04630;0.07174;0.07183;0.07183;0.06603;0.07327;0.23610;0.46653
4;39799;9950;300;2;0.01176;0.01738;0.01579;0.01579;0.00929;0.04694;0.07244;0.07354;0.07335;0.06748;0.07400;-1.00000;-1.00000;0.01739;0.01738;0.01579;0.01579;0.00929;0.04180;0.07845;0.09409;0.09689;0.09016;0.08044;0.27994;-1.00000;0.01116;0.01738;0.01579;0.01579;0.00929;0.04555;0.07091;0.06884;0.06884;0.06320;0.07241;0.46024;-1.00000;0.01126;0.01738;0.01579;0.01579;0.00929;0.04475;0.07013;0.07009;0.06998;0.06439;0.07163;0.24111;0.48525
5;39799;9950;300;2;0.01015;0.01761;0.01591;0.01591;0.00939;0.04707;0.07296;0.07368;0.07351;0.06761;0.07454;-1.00000;-1.00000;0.01528;0.01761;0.01591;0.01591;0.00939;0.04258;0.07896;0.09053;0.09309;0.08638;0.08095;0.27416;-1.00000;0.00995;0.01761;0.01591;0.01591;0.00939;0.04589;0.07160;0.06946;0.06946;0.06377;0.07312;0.45575;-1.00000;0.00995;0.01761;0.01591;0.01591;0.00939;0.04526;0.07093;0.07056;0.07049;0.06483;0.07245;0.23927;0.48212
6;39799;9950;300;2;0.00995;0.01800;0.01682;0.01682;0.00932;0.04760;0.07300;0.07317;0.07303;0.06709;0.07456;-1.00000;-1.00000;0.01648;0.01800;0.01682;0.01682;0.00932;0.04399;0.08279;0.09778;0.10099;0.09386;0.08498;0.27030;-1.00000;0.01015;0.01800;0.01682;0.01682;0.00932;0.04646;0.07168;0.06887;0.06889;0.06317;0.07319;0.45785;-1.00000;0.01035;0.01800;0.01682;0.01682;0.00932;0.04610;0.07118;0.07000;0.06992;0.06421;0.07268;0.23645;0.46585
7;39799;9950;300;2;0.01075;0.01800;0.01659;0.01659;0.00940;0.04779;0.07322;0.07332;0.07320;0.06725;0.07479;-1.00000;-1.00000;0.01085;0.01800;0.01659;0.01659;0.00940;0.04415;0.07500;0.08057;0.08202;0.07569;0.07670;0.25703;-1.00000;0.01025;0.01800;0.01659;0.01659;0.00940;0.04648;0.07201;0.06923;0.06928;0.06355;0.07353;0.45581;-1.00000;0.01025;0.01800;0.01659;0.01659;0.00940;0.04609;0.07145;0.07032;0.07026;0.06455;0.07297;0.23629;0.46747
8;39799;9950;300;2;0.01065;0.01788;0.01627;0.01627;0.00940;0.04795;0.07361;0.07366;0.07357;0.06757;0.07519;-1.00000;-1.00000;0.01578;0.01788;0.01627;0.01627;0.00940;0.04332;0.07910;0.08725;0.08967;0.08297;0.08107;0.27112;-1.00000;0.01075;0.01788;0.01627;0.01627;0.00940;0.04631;0.07218;0.06938;0.06946;0.06372;0.07371;0.45762;-1.00000;0.01075;0.01788;0.01627;0.01627;0.00940;0.04587;0.07159;0.07059;0.07058;0.06485;0.07312;0.23782;0.47630
9;39799;9950;300;2;0.01136;0.01747;0.01600;0.01600;0.00914;0.04682;0.07229;0.07273;0.07252;0.06670;0.07384;-1.00000;-1.00000;0.01779;0.01747;0.01600;0.01600;0.00914;0.04241;0.08044;0.09457;0.09758;0.09074;0.08254;0.27838;-1.00000;0.01106;0.01747;0.01600;0.01600;0.00914;0.04530;0.07074;0.06795;0.06794;0.06237;0.07224;0.46413;-1.00000;0.01075;0.01747;0.01600;0.01600;0.00914;0.04495;0.07018;0.06913;0.06900;0.06345;0.07167;0.24039;0.47955
10;39799;9950;300;2;0.01216;0.01747;0.01646;0.01646;0.00902;0.04618;0.07095;0.07061;0.07027;0.06460;0.07247;-1.00000;-1.00000;0.01266;0.01747;0.01646;0.01646;0.00902;0.04345;0.07244;0.07480;0.07576;0.06980;0.07403;0.25651;-1.00000;0.01206;0.01747;0.01646;0.01646;0.00902;0.04541;0.06991;0.06752;0.06732;0.06180;0.07138;0.45654;-1.00000;0.01176;0.01747;0.01646;0.01646;0.00902;0.04490;0.06934;0.06836;0.06812;0.06262;0.07080;0.23975;0.47033
