repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;47628;11907;8;2;0.04208;0.09535;28754.00000;0.11931;0.09475;0.03575;17231.00000;59535.00000;0.20558;0.19292;0.17339;0.16764;0.23836;0.19441;0.22283;-1.00000;0.07954;0.13103
2;47628;11907;8;2;0.04493;0.09653;28720.00000;0.12177;0.09698;0.03554;17260.00000;59535.00000;0.20804;0.19300;0.17245;0.16672;0.23897;0.19459;0.22328;-1.00000;0.07962;0.12141
3;47628;11907;8;2;0.04602;0.09508;28757.00000;0.11975;0.09537;0.03522;17235.00000;59535.00000;0.20502;0.19090;0.17110;0.16539;0.23543;0.19244;0.22048;-1.00000;0.08113;0.11787
4;47628;11907;8;2;0.04098;0.09762;28774.00000;0.12294;0.09755;0.03615;17308.00000;59535.00000;0.21027;0.19519;0.17510;0.16933;0.24346;0.19679;0.22662;-1.00000;0.08308;0.12153
5;47628;11907;8;2;0.04275;0.09499;28766.00000;0.11971;0.09478;0.03516;17278.00000;59535.00000;0.20484;0.19060;0.17078;0.16508;0.23494;0.19215;0.22130;-1.00000;0.07889;0.13046
6;47628;11907;8;2;0.04493;0.09638;28785.00000;0.12202;0.09680;0.03548;17251.00000;59535.00000;0.20769;0.19181;0.17222;0.16649;0.23848;0.19343;0.22297;-1.00000;0.07846;0.12589
7;47628;11907;8;2;0.04359;0.09506;28774.00000;0.12001;0.09551;0.03512;17281.00000;59535.00000;0.20498;0.19030;0.17062;0.16492;0.23486;0.19186;0.22012;-1.00000;0.07787;0.11757
8;47628;11907;8;2;0.04266;0.09648;28779.00000;0.12151;0.09646;0.03577;17276.00000;59535.00000;0.20791;0.19327;0.17346;0.16772;0.24001;0.19485;0.22409;-1.00000;0.08167;0.12174
9;47628;11907;8;2;0.04233;0.09701;28771.00000;0.12217;0.09708;0.03597;17316.00000;59535.00000;0.20902;0.19418;0.17432;0.16857;0.24172;0.19577;0.22505;-1.00000;0.08126;0.12369
10;47628;11907;8;2;0.04636;0.09749;28737.00000;0.12367;0.09819;0.03566;17294.00000;59535.00000;0.21001;0.19322;0.17294;0.16721;0.24087;0.19489;0.22484;-1.00000;0.08143;0.12572
11;47628;11907;8;2;0.04216;0.09836;28781.00000;0.12471;0.09840;0.03592;17283.00000;59535.00000;0.21180;0.19477;0.17410;0.16835;0.24342;0.19645;0.22798;-1.00000;0.08329;0.14501
