repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;47628;11907;8;2;0.03880;0.08549;17314.00000;0.10445;0.06334;0.03339;6194.00000;59535.00000;0.18913;0.19995;0.18257;0.17348;0.24379;0.20186;0.25305;-1.00000;0.07031;0.12340
2;47628;11907;8;2;0.03922;0.08526;17374.00000;0.10426;0.06389;0.03309;6204.00000;59535.00000;0.18861;0.19925;0.18117;0.17212;0.24187;0.20116;0.25093;-1.00000;0.07268;0.10908
3;47628;11907;8;2;0.03998;0.08478;17349.00000;0.10389;0.06329;0.03273;6213.00000;59535.00000;0.18763;0.19794;0.17944;0.17043;0.23926;0.19983;0.25015;-1.00000;0.07097;0.10485
4;47628;11907;8;2;0.04065;0.08463;17339.00000;0.10339;0.06313;0.03285;6245.00000;59535.00000;0.18730;0.19815;0.17989;0.17089;0.23952;0.20005;0.24982;-1.00000;0.07093;0.10762
5;47628;11907;8;2;0.04149;0.08450;17356.00000;0.10322;0.06301;0.03297;6227.00000;59535.00000;0.18704;0.19796;0.18053;0.17150;0.24007;0.19987;0.24953;-1.00000;0.07196;0.10513
6;47628;11907;8;2;0.04191;0.08519;17297.00000;0.10452;0.06381;0.03313;6236.00000;59535.00000;0.18850;0.19850;0.18120;0.17217;0.24180;0.20039;0.25087;-1.00000;0.06981;0.11707
7;47628;11907;8;2;0.04056;0.08593;17350.00000;0.10524;0.06370;0.03336;6224.00000;59535.00000;0.19003;0.20023;0.18232;0.17325;0.24409;0.20213;0.25415;-1.00000;0.07085;0.10536
8;47628;11907;8;2;0.04182;0.08401;17354.00000;0.10283;0.06329;0.03253;6206.00000;59535.00000;0.18600;0.19669;0.17853;0.16954;0.23719;0.19859;0.24691;-1.00000;0.07011;0.11497
9;47628;11907;8;2;0.03872;0.08484;17352.00000;0.10376;0.06308;0.03284;6245.00000;59535.00000;0.18774;0.19835;0.17985;0.17085;0.23977;0.20025;0.25081;-1.00000;0.07198;0.10853
10;47628;11907;8;2;0.03880;0.08429;17395.00000;0.10273;0.06235;0.03292;6205.00000;59535.00000;0.18657;0.19798;0.18034;0.17131;0.23958;0.19990;0.24991;-1.00000;0.07132;0.10665
11;47628;11907;8;2;0.04392;0.08479;17319.00000;0.10370;0.06304;0.03292;6252.00000;59535.00000;0.18766;0.19828;0.18020;0.17119;0.24009;0.20018;0.25071;-1.00000;0.07167;0.10849
12;47628;11907;8;2;0.03779;0.08448;17370.00000;0.10256;0.06217;0.03333;6227.00000;59535.00000;0.18698;0.19904;0.18219;0.17312;0.24188;0.20098;0.25109;-1.00000;0.07050;0.11069
13;47628;11907;8;2;0.04031;0.08348;17315.00000;0.10184;0.06268;0.03257;6242.00000;59535.00000;0.18491;0.19626;0.17861;0.16964;0.23653;0.19816;0.24595;-1.00000;0.07104;0.10782
14;47628;11907;8;2;0.04014;0.08298;17345.00000;0.10119;0.06213;0.03221;6225.00000;59535.00000;0.18385;0.19536;0.17701;0.16807;0.23407;0.19726;0.24490;-1.00000;0.06893;0.10019
15;47628;11907;8;2;0.04149;0.08422;17363.00000;0.10293;0.06296;0.03258;6255.00000;59535.00000;0.18643;0.19725;0.17857;0.16960;0.23746;0.19914;0.24841;-1.00000;0.06937;0.10547
16;47628;11907;8;2;0.04266;0.08363;17370.00000;0.10218;0.06240;0.03257;6216.00000;59535.00000;0.18521;0.19628;0.17870;0.16971;0.23685;0.19817;0.24708;-1.00000;0.06994;0.11257
17;47628;11907;8;2;0.03998;0.08539;17366.00000;0.10381;0.06359;0.03360;6248.00000;59535.00000;0.18888;0.20050;0.18335;0.17427;0.24442;0.20242;0.25204;-1.00000;0.07098;0.11780
18;47628;11907;8;2;0.03872;0.08472;17289.00000;0.10351;0.06299;0.03281;6201.00000;59535.00000;0.18752;0.19846;0.17987;0.17084;0.23969;0.20037;0.25053;-1.00000;0.07251;0.10332
19;47628;11907;8;2;0.03905;0.08459;17374.00000;0.10254;0.06270;0.03325;6246.00000;59535.00000;0.18721;0.19950;0.18173;0.17269;0.24150;0.20144;0.25050;-1.00000;0.06981;0.10870
20;47628;11907;8;2;0.03804;0.08419;17346.00000;0.10231;0.06297;0.03291;6241.00000;59535.00000;0.18639;0.19832;0.18016;0.17115;0.23923;0.20024;0.24831;-1.00000;0.07246;0.11632
21;47628;11907;8;2;0.04233;0.08257;17331.00000;0.10006;0.06145;0.03234;6214.00000;59535.00000;0.18299;0.19575;0.17764;0.16868;0.23423;0.19768;0.24455;-1.00000;0.07129;0.09929
22;47628;11907;8;2;0.03989;0.08572;17396.00000;0.10460;0.06397;0.03342;6236.00000;59535.00000;0.18955;0.20042;0.18254;0.17347;0.24400;0.20233;0.25265;-1.00000;0.07047;0.11064
23;47628;11907;8;2;0.03964;0.08571;17331.00000;0.10368;0.06360;0.03396;6227.00000;59535.00000;0.18957;0.20212;0.18510;0.17597;0.24686;0.20408;0.25342;-1.00000;0.07399;0.11064
24;47628;11907;8;2;0.03888;0.08645;17314.00000;0.10604;0.06397;0.03352;6209.00000;59535.00000;0.19113;0.20097;0.18310;0.17401;0.24573;0.20287;0.25580;-1.00000;0.07387;0.12855
25;47628;11907;8;2;0.04006;0.08400;17349.00000;0.10267;0.06297;0.03263;6250.00000;59535.00000;0.18599;0.19684;0.17884;0.16986;0.23747;0.19874;0.24750;-1.00000;0.06975;0.10318
26;47628;11907;8;2;0.04023;0.08483;17376.00000;0.10348;0.06336;0.03311;6214.00000;59535.00000;0.18770;0.19885;0.18119;0.17214;0.24127;0.20076;0.25017;-1.00000;0.07014;0.11360
27;47628;11907;8;2;0.04300;0.08257;17309.00000;0.10020;0.06183;0.03258;6230.00000;59535.00000;0.18302;0.19550;0.17868;0.16970;0.23538;0.19743;0.24385;-1.00000;0.07089;0.10470
28;47628;11907;8;2;0.04031;0.08483;17368.00000;0.10362;0.06354;0.03296;6244.00000;59535.00000;0.18772;0.19856;0.18039;0.17138;0.24036;0.20047;0.24984;-1.00000;0.07250;0.11083
29;47628;11907;8;2;0.04023;0.08536;17401.00000;0.10369;0.06349;0.03340;6239.00000;59535.00000;0.18880;0.20057;0.18246;0.17340;0.24340;0.20250;0.25210;-1.00000;0.07003;0.10824
30;47628;11907;8;2;0.04241;0.08423;17336.00000;0.10341;0.06333;0.03238;6226.00000;59535.00000;0.18648;0.19653;0.17775;0.16879;0.23661;0.19841;0.24776;-1.00000;0.06965;0.11546
31;47628;11907;8;2;0.03964;0.08409;17382.00000;0.10250;0.06245;0.03289;6206.00000;59535.00000;0.18616;0.19758;0.18022;0.17119;0.23917;0.19950;0.24889;-1.00000;0.07064;0.11102
32;47628;11907;8;2;0.04056;0.08293;17374.00000;0.10072;0.06149;0.03247;6246.00000;59535.00000;0.18372;0.19592;0.17811;0.16915;0.23519;0.19784;0.24594;-1.00000;0.06685;0.10811
33;47628;11907;8;2;0.03972;0.08552;17320.00000;0.10449;0.06352;0.03313;6242.00000;59535.00000;0.18918;0.19986;0.18120;0.17217;0.24224;0.20177;0.25280;-1.00000;0.06988;0.11430
34;47628;11907;8;2;0.04115;0.08507;17323.00000;0.10441;0.06401;0.03298;6203.00000;59535.00000;0.18823;0.19823;0.18066;0.17162;0.24105;0.20012;0.24993;-1.00000;0.07273;0.11309
35;47628;11907;8;2;0.04073;0.08390;17299.00000;0.10269;0.06258;0.03262;6243.00000;59535.00000;0.18580;0.19646;0.17880;0.16983;0.23732;0.19835;0.24793;-1.00000;0.07159;0.10546
36;47628;11907;8;2;0.03888;0.08370;17300.00000;0.10220;0.06251;0.03269;6242.00000;59535.00000;0.18538;0.19653;0.17914;0.17015;0.23742;0.19843;0.24722;-1.00000;0.07236;0.09974
37;47628;11907;8;2;0.04073;0.08428;17400.00000;0.10293;0.06291;0.03274;6262.00000;59535.00000;0.18654;0.19745;0.17930;0.17033;0.23834;0.19935;0.24874;-1.00000;0.07145;0.10564
38;47628;11907;8;2;0.03972;0.08553;17345.00000;0.10452;0.06355;0.03324;6230.00000;59535.00000;0.18918;0.19983;0.18177;0.17271;0.24289;0.20174;0.25274;-1.00000;0.07058;0.11418
39;47628;11907;8;2;0.03880;0.08498;17324.00000;0.10299;0.06267;0.03329;6222.00000;59535.00000;0.18806;0.20042;0.18201;0.17294;0.24241;0.20237;0.25226;-1.00000;0.07223;0.10885
40;47628;11907;8;2;0.04191;0.08322;17362.00000;0.10106;0.06172;0.03259;6222.00000;59535.00000;0.18434;0.19655;0.17877;0.16978;0.23635;0.19848;0.24669;-1.00000;0.06682;0.10344
41;47628;11907;8;2;0.03804;0.08579;17380.00000;0.10440;0.06396;0.03361;6247.00000;59535.00000;0.18972;0.20108;0.18338;0.17431;0.24504;0.20301;0.25299;-1.00000;0.07040;0.11425
42;47628;11907;8;2;0.03737;0.08663;17354.00000;0.10564;0.06467;0.03385;6206.00000;59535.00000;0.19149;0.20241;0.18465;0.17551;0.24771;0.20434;0.25513;-1.00000;0.07208;0.10773
43;47628;11907;8;2;0.04090;0.08295;17369.00000;0.10015;0.06206;0.03292;6230.00000;59535.00000;0.18379;0.19711;0.18025;0.17123;0.23762;0.19906;0.24492;-1.00000;0.07070;0.09974
44;47628;11907;8;2;0.03838;0.08461;17315.00000;0.10305;0.06287;0.03323;6201.00000;59535.00000;0.18728;0.19880;0.18179;0.17272;0.24167;0.20072;0.25029;-1.00000;0.06974;0.10654
45;47628;11907;8;2;0.04149;0.08524;17322.00000;0.10438;0.06350;0.03300;6226.00000;59535.00000;0.18859;0.19893;0.18067;0.17164;0.24127;0.20083;0.25166;-1.00000;0.07010;0.10536
46;47628;11907;8;2;0.03729;0.08463;17351.00000;0.10341;0.06267;0.03289;6197.00000;59535.00000;0.18729;0.19821;0.18026;0.17122;0.23998;0.20011;0.25072;-1.00000;0.07102;0.10539
47;47628;11907;8;2;0.04208;0.08488;17402.00000;0.10365;0.06376;0.03312;6275.00000;59535.00000;0.18781;0.19861;0.18101;0.17200;0.24107;0.20051;0.24956;-1.00000;0.06750;0.11334
48;47628;11907;8;2;0.04157;0.08375;17316.00000;0.10253;0.06290;0.03254;6228.00000;59535.00000;0.18547;0.19613;0.17851;0.16954;0.23680;0.19802;0.24662;-1.00000;0.07080;0.11170
49;47628;11907;8;2;0.03981;0.08411;17334.00000;0.10267;0.06261;0.03287;6213.00000;59535.00000;0.18623;0.19740;0.18012;0.17109;0.23910;0.19931;0.24871;-1.00000;0.07021;0.10706
50;47628;11907;8;2;0.03897;0.08473;17386.00000;0.10288;0.06283;0.03340;6248.00000;59535.00000;0.18748;0.19942;0.18243;0.17337;0.24246;0.20135;0.25077;-1.00000;0.07150;0.11434
