repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;16000;4000;16;26;0.04225;0.22133;9615.00000;0.30795;0.23594;0.11174;5731.00000;20000.00000;0.47773;-1.00000;-1.00000;0.51651;1.00000;-1.00000;-1.00000;-1.00000;0.20458;0.24074
2;16000;4000;16;26;0.05200;0.21859;9625.00000;0.30498;0.23585;0.10955;5748.00000;20000.00000;0.47209;-1.00000;-1.00000;0.50705;1.00000;-1.00000;-1.00000;-1.00000;0.19595;0.24250
3;16000;4000;16;26;0.04350;0.22294;9630.00000;0.31061;0.23694;0.11315;5755.00000;20000.00000;0.48102;-1.00000;-1.00000;0.52233;1.00000;-1.00000;-1.00000;-1.00000;0.20229;0.23890
4;16000;4000;16;26;0.05000;0.22090;9623.00000;0.30714;0.23650;0.11166;5729.00000;20000.00000;0.47685;-1.00000;-1.00000;0.51615;1.00000;-1.00000;-1.00000;-1.00000;0.20052;0.23537
5;16000;4000;16;26;0.04700;0.21988;9633.00000;0.30684;0.23519;0.11054;5749.00000;20000.00000;0.47472;-1.00000;-1.00000;0.51128;1.00000;-1.00000;-1.00000;-1.00000;0.20243;0.23251
6;16000;4000;16;26;0.03700;0.22151;9651.00000;0.30856;0.23620;0.11190;5764.00000;20000.00000;0.47805;-1.00000;-1.00000;0.51698;1.00000;-1.00000;-1.00000;-1.00000;0.19864;0.23669
7;16000;4000;16;26;0.04175;0.22048;9628.00000;0.30787;0.23602;0.11011;5744.00000;20000.00000;0.47597;-1.00000;-1.00000;0.50950;1.00000;-1.00000;-1.00000;-1.00000;0.19820;0.23546
8;16000;4000;16;26;0.04175;0.22127;9635.00000;0.30899;0.23475;0.11099;5760.00000;20000.00000;0.47758;-1.00000;-1.00000;0.51311;1.00000;-1.00000;-1.00000;-1.00000;0.20068;0.24372
9;16000;4000;16;26;0.04575;0.21999;9616.00000;0.30660;0.23673;0.11069;5732.00000;20000.00000;0.47499;-1.00000;-1.00000;0.51202;1.00000;-1.00000;-1.00000;-1.00000;0.20492;0.23529
10;16000;4000;16;26;0.03900;0.22373;9620.00000;0.31110;0.23718;0.11348;5732.00000;20000.00000;0.48265;-1.00000;-1.00000;0.52390;1.00000;-1.00000;-1.00000;-1.00000;0.20620;0.23976
11;16000;4000;16;26;0.04050;0.22204;9637.00000;0.30926;0.23637;0.11201;5762.00000;20000.00000;0.47915;-1.00000;-1.00000;0.51744;1.00000;-1.00000;-1.00000;-1.00000;0.20529;0.24499
12;16000;4000;16;26;0.04750;0.22046;9636.00000;0.30769;0.23420;0.11104;5734.00000;20000.00000;0.47590;-1.00000;-1.00000;0.51351;1.00000;-1.00000;-1.00000;-1.00000;0.20319;0.23551
13;16000;4000;16;26;0.04500;0.21992;9605.00000;0.30617;0.23521;0.11079;5745.00000;20000.00000;0.47485;-1.00000;-1.00000;0.51238;1.00000;-1.00000;-1.00000;-1.00000;0.20220;0.23803
14;16000;4000;16;26;0.03875;0.22163;9629.00000;0.30861;0.23688;0.11210;5736.00000;20000.00000;0.47832;-1.00000;-1.00000;0.51799;1.00000;-1.00000;-1.00000;-1.00000;0.20388;0.24954
15;16000;4000;16;26;0.04250;0.22117;9623.00000;0.30722;0.23688;0.11269;5738.00000;20000.00000;0.47739;-1.00000;-1.00000;0.52048;1.00000;-1.00000;-1.00000;-1.00000;0.20234;0.24092
16;16000;4000;16;26;0.04325;0.22086;9633.00000;0.30820;0.23572;0.11173;5749.00000;20000.00000;0.47673;-1.00000;-1.00000;0.51633;1.00000;-1.00000;-1.00000;-1.00000;0.20726;0.24276
17;16000;4000;16;26;0.04625;0.22248;9617.00000;0.31055;0.23558;0.11175;5742.00000;20000.00000;0.48009;-1.00000;-1.00000;0.51647;1.00000;-1.00000;-1.00000;-1.00000;0.20656;0.24880
18;16000;4000;16;26;0.04175;0.22161;9642.00000;0.30901;0.23669;0.11234;5741.00000;20000.00000;0.47827;-1.00000;-1.00000;0.51900;1.00000;-1.00000;-1.00000;-1.00000;0.20047;0.24093
19;16000;4000;16;26;0.03925;0.22286;9609.00000;0.31057;0.23567;0.11247;5742.00000;20000.00000;0.48087;-1.00000;-1.00000;0.51951;1.00000;-1.00000;-1.00000;-1.00000;0.20742;0.24030
20;16000;4000;16;26;0.04725;0.22041;9625.00000;0.30664;0.23533;0.11161;5753.00000;20000.00000;0.47583;-1.00000;-1.00000;0.51581;1.00000;-1.00000;-1.00000;-1.00000;0.19476;0.24080
21;16000;4000;16;26;0.04450;0.22160;9621.00000;0.30929;0.23638;0.11111;5756.00000;20000.00000;0.47827;-1.00000;-1.00000;0.51366;1.00000;-1.00000;-1.00000;-1.00000;0.20291;0.24421
22;16000;4000;16;26;0.04275;0.22226;9632.00000;0.30896;0.23641;0.11279;5759.00000;20000.00000;0.47961;-1.00000;-1.00000;0.52080;1.00000;-1.00000;-1.00000;-1.00000;0.20282;0.24255
23;16000;4000;16;26;0.03675;0.22051;9630.00000;0.30734;0.23516;0.11095;5753.00000;20000.00000;0.47602;-1.00000;-1.00000;0.51299;1.00000;-1.00000;-1.00000;-1.00000;0.20227;0.23818
24;16000;4000;16;26;0.04550;0.22075;9644.00000;0.30807;0.23535;0.11136;5728.00000;20000.00000;0.47650;-1.00000;-1.00000;0.51491;1.00000;-1.00000;-1.00000;-1.00000;0.20233;0.24317
25;16000;4000;16;26;0.04800;0.21990;9617.00000;0.30625;0.23496;0.11075;5745.00000;20000.00000;0.47479;-1.00000;-1.00000;0.51219;1.00000;-1.00000;-1.00000;-1.00000;0.18988;0.24095
26;16000;4000;16;26;0.04100;0.22091;9634.00000;0.30769;0.23587;0.11111;5765.00000;20000.00000;0.47683;-1.00000;-1.00000;0.51360;1.00000;-1.00000;-1.00000;-1.00000;0.20008;0.23846
27;16000;4000;16;26;0.04650;0.22001;9635.00000;0.30618;0.23484;0.11104;5746.00000;20000.00000;0.47499;-1.00000;-1.00000;0.51341;1.00000;-1.00000;-1.00000;-1.00000;0.19847;0.24111
28;16000;4000;16;26;0.04400;0.21951;9635.00000;0.30619;0.23500;0.11005;5741.00000;20000.00000;0.47396;-1.00000;-1.00000;0.50923;1.00000;-1.00000;-1.00000;-1.00000;0.20066;0.23955
29;16000;4000;16;26;0.03800;0.22325;9650.00000;0.31065;0.23664;0.11300;5775.00000;20000.00000;0.48161;-1.00000;-1.00000;0.52158;1.00000;-1.00000;-1.00000;-1.00000;0.20748;0.24327
30;16000;4000;16;26;0.04400;0.22097;9630.00000;0.30803;0.23462;0.11156;5740.00000;20000.00000;0.47697;-1.00000;-1.00000;0.51569;1.00000;-1.00000;-1.00000;-1.00000;0.20225;0.24049
31;16000;4000;16;26;0.04125;0.22166;9622.00000;0.30888;0.23597;0.11198;5732.00000;20000.00000;0.47839;-1.00000;-1.00000;0.51751;1.00000;-1.00000;-1.00000;-1.00000;0.20446;0.24259
32;16000;4000;16;26;0.04850;0.22069;9629.00000;0.30742;0.23683;0.11161;5761.00000;20000.00000;0.47640;-1.00000;-1.00000;0.51575;1.00000;-1.00000;-1.00000;-1.00000;0.20265;0.23339
33;16000;4000;16;26;0.04400;0.22156;9636.00000;0.30897;0.23693;0.11178;5735.00000;20000.00000;0.47817;-1.00000;-1.00000;0.51662;1.00000;-1.00000;-1.00000;-1.00000;0.20857;0.23861
34;16000;4000;16;26;0.03900;0.22171;9648.00000;0.30958;0.23591;0.11197;5754.00000;20000.00000;0.47845;-1.00000;-1.00000;0.51731;1.00000;-1.00000;-1.00000;-1.00000;0.20291;0.25177
35;16000;4000;16;26;0.04275;0.22032;9623.00000;0.30721;0.23453;0.11100;5756.00000;20000.00000;0.47565;-1.00000;-1.00000;0.51320;1.00000;-1.00000;-1.00000;-1.00000;0.20395;0.23782
36;16000;4000;16;26;0.04775;0.22078;9644.00000;0.30790;0.23600;0.11137;5752.00000;20000.00000;0.47656;-1.00000;-1.00000;0.51480;1.00000;-1.00000;-1.00000;-1.00000;0.20510;0.23935
37;16000;4000;16;26;0.04350;0.22074;9622.00000;0.30721;0.23525;0.11178;5745.00000;20000.00000;0.47651;-1.00000;-1.00000;0.51657;1.00000;-1.00000;-1.00000;-1.00000;0.20386;0.23752
38;16000;4000;16;26;0.04750;0.22116;9638.00000;0.30788;0.23555;0.11178;5746.00000;20000.00000;0.47735;-1.00000;-1.00000;0.51659;1.00000;-1.00000;-1.00000;-1.00000;0.20754;0.23908
39;16000;4000;16;26;0.04225;0.22018;9632.00000;0.30701;0.23566;0.11063;5735.00000;20000.00000;0.47534;-1.00000;-1.00000;0.51175;1.00000;-1.00000;-1.00000;-1.00000;0.20068;0.24149
40;16000;4000;16;26;0.03800;0.22320;9634.00000;0.30964;0.23809;0.11372;5752.00000;20000.00000;0.48154;-1.00000;-1.00000;0.52479;1.00000;-1.00000;-1.00000;-1.00000;0.20120;0.23825
41;16000;4000;16;26;0.04650;0.22066;9639.00000;0.30835;0.23507;0.11039;5750.00000;20000.00000;0.47631;-1.00000;-1.00000;0.51061;1.00000;-1.00000;-1.00000;-1.00000;0.20278;0.23802
42;16000;4000;16;26;0.04425;0.22260;9633.00000;0.30959;0.23690;0.11296;5738.00000;20000.00000;0.48031;-1.00000;-1.00000;0.52163;1.00000;-1.00000;-1.00000;-1.00000;0.20238;0.23753
43;16000;4000;16;26;0.03625;0.22365;9633.00000;0.31131;0.23714;0.11333;5755.00000;20000.00000;0.48246;-1.00000;-1.00000;0.52312;1.00000;-1.00000;-1.00000;-1.00000;0.20327;0.24115
44;16000;4000;16;26;0.04600;0.22045;9646.00000;0.30727;0.23497;0.11060;5755.00000;20000.00000;0.47588;-1.00000;-1.00000;0.51150;1.00000;-1.00000;-1.00000;-1.00000;0.20360;0.23952
45;16000;4000;16;26;0.04550;0.21891;9610.00000;0.30579;0.23449;0.10985;5724.00000;20000.00000;0.47277;-1.00000;-1.00000;0.50847;1.00000;-1.00000;-1.00000;-1.00000;0.20087;0.24467
46;16000;4000;16;26;0.04200;0.22163;9612.00000;0.30884;0.23675;0.11164;5710.00000;20000.00000;0.47836;-1.00000;-1.00000;0.51620;1.00000;-1.00000;-1.00000;-1.00000;0.20173;0.24203
