repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;2471;618;4;2;0.02589;0.04765;881.00000;0.04674;0.03163;0.02495;288.00000;3089.00000;0.15913;0.27436;0.31798;0.29285;0.44342;0.29810;0.26210;-1.00000;0.02970;0.06969
2;2471;618;4;2;0.02913;0.04568;870.00000;0.04547;0.03187;0.02253;291.00000;3089.00000;0.15463;0.26740;0.30232;0.27615;0.41515;0.29017;0.25258;-1.00000;0.02806;0.06195
3;2471;618;4;2;0.02913;0.04857;873.00000;0.04900;0.03268;0.02405;289.00000;3089.00000;0.16176;0.27707;0.31287;0.28674;0.43853;0.30102;0.26534;-1.00000;0.03125;0.06347
4;2471;618;4;2;0.03236;0.04470;872.00000;0.04487;0.03042;0.02155;284.00000;3089.00000;0.15205;0.26372;0.29929;0.27257;0.40810;0.28601;0.25027;-1.00000;0.03175;0.05818
5;2471;618;4;2;0.02589;0.04638;871.00000;0.04600;0.03152;0.02327;279.00000;3089.00000;0.15634;0.27055;0.31192;0.28582;0.43172;0.29386;0.25673;-1.00000;0.03027;0.06696
6;2471;618;4;2;0.02589;0.04912;869.00000;0.04712;0.03133;0.02440;278.00000;3089.00000;0.16330;0.28177;0.31922;0.29353;0.45127;0.30683;0.27116;-1.00000;0.03668;0.06291
7;2471;618;4;2;0.03236;0.04565;865.00000;0.04604;0.03095;0.02220;289.00000;3089.00000;0.15473;0.26723;0.30131;0.27480;0.41371;0.28994;0.25466;-1.00000;0.02867;0.06645
8;2471;618;4;2;0.03236;0.04641;872.00000;0.04719;0.03290;0.02271;279.00000;3089.00000;0.15639;0.26971;0.30889;0.28222;0.42693;0.29275;0.25408;-1.00000;0.03275;0.06778
9;2471;618;4;2;0.02589;0.04646;876.00000;0.04602;0.03137;0.02332;278.00000;3089.00000;0.15636;0.27061;0.31270;0.28662;0.43293;0.29393;0.25706;-1.00000;0.02665;0.06534
10;2471;618;4;2;0.02265;0.04725;872.00000;0.04639;0.03094;0.02452;290.00000;3089.00000;0.15851;0.27346;0.31461;0.28933;0.43769;0.29710;0.26226;-1.00000;0.03425;0.06037
11;2471;618;4;2;0.02427;0.04948;861.00000;0.04944;0.03312;0.02517;290.00000;3089.00000;0.16453;0.28148;0.31899;0.29342;0.45108;0.30614;0.27012;-1.00000;0.03501;0.06131
12;2471;618;4;2;0.02751;0.04711;859.00000;0.04639;0.03112;0.02367;275.00000;3089.00000;0.15865;0.27448;0.31617;0.29016;0.44107;0.29846;0.26225;-1.00000;0.03262;0.06725
13;2471;618;4;2;0.03560;0.04469;867.00000;0.04583;0.03041;0.02209;281.00000;3089.00000;0.15222;0.26340;0.30406;0.27737;0.41510;0.28559;0.25065;-1.00000;0.03108;0.06000
14;2471;618;4;2;0.03236;0.04285;858.00000;0.04355;0.02956;0.02122;287.00000;3089.00000;0.14790;0.25735;0.29575;0.26921;0.39849;0.27881;0.24366;-1.00000;0.02519;0.05882
15;2471;618;4;2;0.04531;0.04414;879.00000;0.04488;0.03235;0.02202;289.00000;3089.00000;0.15038;0.26053;0.30003;0.27368;0.40702;0.28227;0.24299;-1.00000;0.03180;0.06132
16;2471;618;4;2;0.04369;0.04445;858.00000;0.04452;0.03180;0.02210;279.00000;3089.00000;0.15198;0.26412;0.30470;0.27826;0.41626;0.28659;0.24744;-1.00000;0.02423;0.06215
17;2471;618;4;2;0.02427;0.04914;859.00000;0.04913;0.03342;0.02457;285.00000;3089.00000;0.16375;0.28064;0.31761;0.29169;0.44841;0.30524;0.26795;-1.00000;0.03384;0.06364
18;2471;618;4;2;0.02751;0.04569;874.00000;0.04548;0.02991;0.02243;285.00000;3089.00000;0.15449;0.26743;0.30426;0.27791;0.41805;0.29023;0.25619;-1.00000;0.02697;0.07189
19;2471;618;4;2;0.03722;0.04160;871.00000;0.04135;0.02759;0.02055;285.00000;3089.00000;0.14423;0.25268;0.29210;0.26562;0.38980;0.27361;0.24013;-1.00000;0.02412;0.06202
20;2471;618;4;2;0.03398;0.04623;870.00000;0.04591;0.03146;0.02335;283.00000;3089.00000;0.15600;0.26982;0.31064;0.28468;0.42924;0.29299;0.25616;-1.00000;0.02632;0.06987
21;2471;618;4;2;0.02751;0.04634;872.00000;0.04689;0.03044;0.02287;289.00000;3089.00000;0.15622;0.26913;0.30551;0.27919;0.42139;0.29203;0.25863;-1.00000;0.03403;0.06593
22;2471;618;4;2;0.03236;0.04567;872.00000;0.04614;0.03077;0.02274;280.00000;3089.00000;0.15451;0.26720;0.30839;0.28198;0.42416;0.28995;0.25453;-1.00000;0.03395;0.06519
23;2471;618;4;2;0.02913;0.04742;862.00000;0.04643;0.03206;0.02376;285.00000;3089.00000;0.15932;0.27511;0.31232;0.28651;0.43566;0.29909;0.26172;-1.00000;0.03366;0.06339
24;2471;618;4;2;0.03074;0.04617;870.00000;0.04678;0.03136;0.02295;288.00000;3089.00000;0.15586;0.26865;0.30638;0.28010;0.42231;0.29150;0.25609;-1.00000;0.03322;0.06222
25;2471;618;4;2;0.02589;0.04684;875.00000;0.04780;0.03127;0.02301;290.00000;3089.00000;0.15733;0.27030;0.30610;0.27968;0.42330;0.29327;0.25922;-1.00000;0.02844;0.06444
26;2471;618;4;2;0.02913;0.04515;873.00000;0.04463;0.03029;0.02309;287.00000;3089.00000;0.15317;0.26571;0.30714;0.28138;0.42085;0.28831;0.25278;-1.00000;0.03326;0.05982
27;2471;618;4;2;0.02427;0.04763;868.00000;0.04822;0.03117;0.02345;281.00000;3089.00000;0.15960;0.27437;0.31260;0.28616;0.43605;0.29805;0.26402;-1.00000;0.03390;0.06157
28;2471;618;4;2;0.02589;0.04866;867.00000;0.04861;0.03369;0.02453;285.00000;3089.00000;0.16224;0.27843;0.31725;0.29141;0.44602;0.30270;0.26431;-1.00000;0.02508;0.06362
29;2471;618;4;2;0.03722;0.04502;876.00000;0.04406;0.03036;0.02282;290.00000;3089.00000;0.15270;0.26519;0.30415;0.27842;0.41597;0.28774;0.25169;-1.00000;0.02935;0.06018
30;2471;618;4;2;0.02265;0.05080;876.00000;0.04893;0.03222;0.02572;274.00000;3089.00000;0.16723;0.28734;0.32905;0.30371;0.47104;0.31317;0.27729;-1.00000;0.03063;0.07006
31;2471;618;4;2;0.03722;0.04291;861.00000;0.04469;0.03101;0.02028;284.00000;3089.00000;0.14796;0.25671;0.29158;0.26426;0.39226;0.27797;0.24088;-1.00000;0.02784;0.06202
32;2471;618;4;2;0.03722;0.04670;876.00000;0.04545;0.03132;0.02372;284.00000;3089.00000;0.15696;0.27179;0.31228;0.28665;0.43292;0.29530;0.25835;-1.00000;0.02882;0.06347
33;2471;618;4;2;0.04207;0.04262;867.00000;0.04331;0.02889;0.02087;282.00000;3089.00000;0.14698;0.25616;0.29573;0.26894;0.39762;0.27746;0.24311;-1.00000;0.02753;0.05876
34;2471;618;4;2;0.04369;0.04472;871.00000;0.04331;0.02986;0.02363;287.00000;3089.00000;0.15216;0.26497;0.30999;0.28482;0.42418;0.28760;0.25162;-1.00000;0.03115;0.06498
35;2471;618;4;2;0.02751;0.04521;882.00000;0.04517;0.03132;0.02203;285.00000;3089.00000;0.15296;0.26500;0.30183;0.27534;0.41274;0.28742;0.25026;-1.00000;0.02803;0.06054
36;2471;618;4;2;0.02589;0.04686;872.00000;0.04711;0.03187;0.02274;283.00000;3089.00000;0.15751;0.27150;0.30731;0.28075;0.42583;0.29481;0.25837;-1.00000;0.03292;0.06083
37;2471;618;4;2;0.02913;0.04502;870.00000;0.04512;0.02974;0.02225;288.00000;3089.00000;0.15296;0.26490;0.30186;0.27555;0.41271;0.28733;0.25348;-1.00000;0.02925;0.05968
