repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;2540;635;60;2;0.02520;0.17518;886.00000;0.25146;0.14239;0.04957;293.00000;3175.00000;0.45312;0.55457;0.48291;0.43583;1.00000;0.58834;0.63191;-1.00000;0.10911;0.25080
2;2540;635;60;2;0.04724;0.17129;887.00000;0.24533;0.13840;0.04949;291.00000;3175.00000;0.44451;0.54773;0.48330;0.43632;1.00000;0.58186;0.62261;-1.00000;0.10363;0.24595
3;2540;635;60;2;0.02677;0.17971;903.00000;0.25592;0.14221;0.05203;297.00000;3175.00000;0.46207;0.56347;0.49484;0.44766;1.00000;0.59767;0.65013;-1.00000;0.11783;0.27273
4;2540;635;60;2;0.01732;0.17839;897.00000;0.25355;0.14259;0.05179;291.00000;3175.00000;0.45951;0.56294;0.49654;0.44906;1.00000;0.59806;0.64427;-1.00000;0.10622;0.26927
5;2540;635;60;2;0.02362;0.17560;893.00000;0.24954;0.14126;0.05017;298.00000;3175.00000;0.45364;0.55678;0.48362;0.43690;1.00000;0.59135;0.63516;-1.00000;0.11488;0.24794
6;2540;635;60;2;0.02992;0.17788;892.00000;0.25433;0.14429;0.05064;296.00000;3175.00000;0.45869;0.55992;0.48746;0.44040;1.00000;0.59388;0.63924;-1.00000;0.08930;0.24865
7;2540;635;60;2;0.02677;0.17525;899.00000;0.25116;0.14186;0.04990;297.00000;3175.00000;0.45253;0.55328;0.48268;0.43586;1.00000;0.58660;0.63170;-1.00000;0.11728;0.25322
8;2540;635;60;2;0.02520;0.17671;900.00000;0.25384;0.14443;0.04978;287.00000;3175.00000;0.45568;0.55700;0.48739;0.43978;1.00000;0.59086;0.63288;-1.00000;0.09957;0.25962
9;2540;635;60;2;0.03622;0.17410;895.00000;0.25020;0.14030;0.04938;295.00000;3175.00000;0.45023;0.55093;0.48073;0.43385;1.00000;0.58412;0.63022;-1.00000;0.10808;0.25271
10;2540;635;60;2;0.04094;0.17770;896.00000;0.25421;0.14306;0.05006;295.00000;3175.00000;0.45806;0.55920;0.48470;0.43764;1.00000;0.59306;0.64044;-1.00000;0.09503;0.26944
11;2540;635;60;2;0.04409;0.17755;904.00000;0.25575;0.14294;0.05028;296.00000;3175.00000;0.45729;0.55599;0.48546;0.43841;1.00000;0.58859;0.63907;-1.00000;0.12357;0.24736
12;2540;635;60;2;0.02677;0.17531;889.00000;0.25133;0.14125;0.04923;291.00000;3175.00000;0.45323;0.55521;0.48202;0.43484;1.00000;0.58925;0.63439;-1.00000;0.11134;0.26667
13;2540;635;60;2;0.02992;0.17125;896.00000;0.24553;0.13812;0.04843;291.00000;3175.00000;0.44391;0.54651;0.47731;0.43039;1.00000;0.58026;0.62190;-1.00000;0.10636;0.23077
14;2540;635;60;2;0.01417;0.17124;896.00000;0.24466;0.13820;0.04902;294.00000;3175.00000;0.44389;0.54698;0.47905;0.43232;1.00000;0.58095;0.62170;-1.00000;0.10480;0.24894
15;2540;635;60;2;0.03307;0.17368;885.00000;0.25043;0.13870;0.04875;287.00000;3175.00000;0.44988;0.55140;0.48147;0.43407;1.00000;0.58506;0.63279;-1.00000;0.11205;0.25536
16;2540;635;60;2;0.02520;0.18060;903.00000;0.25766;0.14400;0.05138;293.00000;3175.00000;0.46402;0.56532;0.49334;0.44589;1.00000;0.59962;0.65046;-1.00000;0.11432;0.27601
17;2540;635;60;2;0.01732;0.17856;895.00000;0.25295;0.14438;0.05216;296.00000;3175.00000;0.46000;0.56361;0.49595;0.44881;1.00000;0.59883;0.64168;-1.00000;0.11299;0.26816
18;2540;635;60;2;0.02047;0.18279;894.00000;0.26013;0.14544;0.05342;293.00000;3175.00000;0.46931;0.57115;0.50484;0.45713;1.00000;0.60609;0.65825;-1.00000;0.11684;0.24947
19;2540;635;60;2;0.03307;0.17932;905.00000;0.25743;0.14404;0.05019;292.00000;3175.00000;0.46110;0.56097;0.48713;0.43976;1.00000;0.59439;0.64451;-1.00000;0.10598;0.27796
20;2540;635;60;2;0.03465;0.17256;900.00000;0.24695;0.13856;0.04943;289.00000;3175.00000;0.44658;0.54958;0.48408;0.43689;1.00000;0.58369;0.62635;-1.00000;0.09237;0.26316
21;2540;635;60;2;0.03150;0.17010;891.00000;0.24525;0.13938;0.04742;284.00000;3175.00000;0.44166;0.54428;0.47532;0.42800;1.00000;0.57799;0.61491;-1.00000;0.10808;0.25000
