repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;10419;15629;6513;123;2;0.16490;0.21588;3752.00000;0.19169;0.19243;0.12027;1311.00000;16940.00000;0.48636;0.62220;0.62561;0.62921;1.00000;0.61834;-1.00000;0.19577;0.23800
2;10419;15629;6513;123;2;0.16444;0.21386;3769.00000;0.19159;0.19154;0.11798;1305.00000;16934.00000;0.48204;0.61599;0.61786;0.61936;1.00000;0.61141;-1.00000;0.19990;0.22813
3;10419;15629;6513;123;2;0.17166;0.21614;3759.00000;0.19170;0.19007;0.12018;1310.00000;16939.00000;0.48686;0.62296;0.62537;0.62890;1.00000;0.62394;-1.00000;0.19958;0.23289
4;10419;15629;6513;123;2;0.17196;0.21785;3720.00000;0.19329;0.18983;0.12080;1296.00000;16925.00000;0.49068;0.62722;0.62879;0.63247;1.00000;0.63210;-1.00000;0.20421;0.23325
5;10419;15629;6513;123;2;0.16797;0.21154;3736.00000;0.19164;0.18854;0.11602;1288.00000;16917.00000;0.47743;0.60933;0.61176;0.61153;1.00000;0.60805;-1.00000;0.19260;0.22404
6;10419;15629;6513;123;2;0.16505;0.21238;3743.00000;0.18903;0.18830;0.11750;1305.00000;16934.00000;0.47913;0.61423;0.61530;0.61719;1.00000;0.61190;-1.00000;0.19886;0.22799
7;10419;15629;6513;123;2;0.17150;0.21463;3761.00000;0.19213;0.19376;0.11808;1318.00000;16947.00000;0.48370;0.61773;0.61772;0.61906;1.00000;0.61040;-1.00000;0.20052;0.22859
8;10419;15629;6513;123;2;0.16521;0.21243;3765.00000;0.19160;0.19081;0.11636;1297.00000;16926.00000;0.47908;0.61169;0.61253;0.61258;1.00000;0.60690;-1.00000;0.19937;0.22877
9;10419;15629;6513;123;2;0.16766;0.21399;3759.00000;0.19120;0.19041;0.11817;1309.00000;16938.00000;0.48237;0.61682;0.61817;0.61995;1.00000;0.61428;-1.00000;0.19855;0.22922
10;10419;15629;6513;123;2;0.17411;0.21392;3770.00000;0.18970;0.18891;0.11935;1296.00000;16925.00000;0.48215;0.61818;0.62250;0.62598;1.00000;0.61676;-1.00000;0.19797;0.23320
11;10419;15629;6513;123;2;0.17304;0.21322;3762.00000;0.18960;0.18812;0.11869;1314.00000;16943.00000;0.48076;0.61595;0.61925;0.62203;1.00000;0.61551;-1.00000;0.20016;0.22693
12;10419;15629;6513;123;2;0.16797;0.21245;3748.00000;0.18887;0.19124;0.11779;1298.00000;16927.00000;0.47924;0.61467;0.61662;0.61887;1.00000;0.60642;-1.00000;0.19699;0.22750
13;10419;15629;6513;123;2;0.17411;0.21660;3773.00000;0.19267;0.19145;0.12063;1318.00000;16947.00000;0.48771;0.62313;0.62685;0.63043;1.00000;0.62293;-1.00000;0.20428;0.23150
14;10419;15629;6513;123;2;0.17381;0.21076;3773.00000;0.18866;0.19360;0.11620;1282.00000;16911.00000;0.47554;0.60961;0.61178;0.61271;1.00000;0.59440;-1.00000;0.19367;0.22422
15;10419;15629;6513;123;2;0.17089;0.21433;3759.00000;0.18984;0.18797;0.11927;1301.00000;16930.00000;0.48308;0.61934;0.62201;0.62533;1.00000;0.62045;-1.00000;0.19953;0.23083
16;10419;15629;6513;123;2;0.17442;0.21514;3765.00000;0.19353;0.19096;0.11898;1305.00000;16934.00000;0.48472;0.61804;0.62200;0.62379;1.00000;0.61793;-1.00000;0.20120;0.23198
17;10419;15629;6513;123;2;0.17212;0.21807;3752.00000;0.19494;0.19629;0.12085;1302.00000;16931.00000;0.49093;0.62586;0.62918;0.63230;1.00000;0.61998;-1.00000;0.20596;0.23556
18;10419;15629;6513;123;2;0.17550;0.21525;3737.00000;0.19124;0.18700;0.12016;1310.00000;16939.00000;0.48516;0.62089;0.62514;0.62880;1.00000;0.62651;-1.00000;0.19869;0.22906
19;10419;15629;6513;123;2;0.17043;0.21893;3755.00000;0.19175;0.19195;0.12337;1307.00000;16936.00000;0.49269;0.63148;0.63659;0.64329;1.00000;0.63196;-1.00000;0.20374;0.23453
20;10419;15629;6513;123;2;0.16736;0.21618;3756.00000;0.18973;0.19309;0.12167;1308.00000;16937.00000;0.48696;0.62504;0.62999;0.63566;1.00000;0.61826;-1.00000;0.20169;0.23226
