repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;2381;45247;11907;8;2;0.07013;0.16118;827.00000;0.20050;0.19777;0.06093;260.00000;45507.00000;0.42576;0.56848;0.55276;0.51549;1.00000;0.48294;-1.00000;0.11111;0.22665
2;2381;45247;11907;8;2;0.08071;0.16413;824.00000;0.19978;0.20173;0.06469;263.00000;45510.00000;0.43248;0.57881;0.56846;0.53409;1.00000;0.48867;-1.00000;0.11124;0.23423
3;2381;45247;11907;8;2;0.07029;0.16545;847.00000;0.20349;0.20262;0.06337;273.00000;45520.00000;0.43399;0.57635;0.55782;0.52138;1.00000;0.48979;-1.00000;0.10216;0.27355
4;2381;45247;11907;8;2;0.07895;0.16149;843.00000;0.19841;0.20263;0.06124;276.00000;45523.00000;0.42549;0.56780;0.54498;0.50825;1.00000;0.47271;-1.00000;0.09010;0.27315
5;2381;45247;11907;8;2;0.07945;0.17019;841.00000;0.20750;0.20814;0.06571;273.00000;45520.00000;0.44481;0.58893;0.56965;0.53391;1.00000;0.50067;-1.00000;0.12285;0.24382
6;2381;45247;11907;8;2;0.07466;0.16300;830.00000;0.19968;0.20029;0.06245;267.00000;45514.00000;0.42962;0.57406;0.55582;0.51972;1.00000;0.48570;-1.00000;0.10458;0.24511
7;2381;45247;11907;8;2;0.08004;0.16618;844.00000;0.20418;0.20055;0.06459;274.00000;45521.00000;0.43578;0.57830;0.56315;0.52739;1.00000;0.49746;-1.00000;0.11442;0.24331
8;2381;45247;11907;8;2;0.07895;0.16654;831.00000;0.20344;0.20381;0.06491;273.00000;45520.00000;0.43738;0.58152;0.56497;0.52964;1.00000;0.49436;-1.00000;0.11086;0.23390
9;2381;45247;11907;8;2;0.08306;0.15633;830.00000;0.19539;0.20105;0.05876;280.00000;45527.00000;0.41482;0.55388;0.53036;0.49272;1.00000;0.45448;-1.00000;0.10206;0.22451
10;2381;45247;11907;8;2;0.07651;0.16954;826.00000;0.20592;0.20836;0.06675;271.00000;45518.00000;0.44431;0.58989;0.57514;0.54062;1.00000;0.49933;-1.00000;0.12051;0.22912
11;2381;45247;11907;8;2;0.07752;0.15816;826.00000;0.19155;0.19322;0.06202;268.00000;45515.00000;0.41913;0.56549;0.55128;0.51685;1.00000;0.47857;-1.00000;0.10216;0.24860
12;2381;45247;11907;8;2;0.07937;0.16590;839.00000;0.19571;0.20106;0.06848;273.00000;45520.00000;0.43548;0.58551;0.57919;0.54873;1.00000;0.49588;-1.00000;0.11374;0.25694
13;2381;45247;11907;8;2;0.08256;0.15381;835.00000;0.19215;0.19220;0.05770;269.00000;45516.00000;0.40891;0.54929;0.53033;0.49276;1.00000;0.46000;-1.00000;0.09966;0.26712
14;2381;45247;11907;8;2;0.07458;0.15706;843.00000;0.19509;0.19436;0.05894;278.00000;45525.00000;0.41565;0.55567;0.53219;0.49472;1.00000;0.46923;-1.00000;0.10850;0.26261
15;2381;45247;11907;8;2;0.07164;0.17836;833.00000;0.21875;0.21773;0.06997;273.00000;45520.00000;0.46327;0.60625;0.59196;0.55661;1.00000;0.51889;-1.00000;0.12153;0.26533
16;2381;45247;11907;8;2;0.07710;0.17526;834.00000;0.21851;0.21719;0.06615;273.00000;45520.00000;0.45640;0.59626;0.57437;0.53630;1.00000;0.50615;-1.00000;0.11839;0.26196
17;2381;45247;11907;8;2;0.08743;0.15926;842.00000;0.19883;0.19620;0.05950;268.00000;45515.00000;0.42061;0.56107;0.54105;0.50314;1.00000;0.47556;-1.00000;0.10022;0.23261
18;2381;45247;11907;8;2;0.08004;0.16514;844.00000;0.20478;0.20836;0.06324;270.00000;45517.00000;0.43349;0.57483;0.55913;0.52233;1.00000;0.47750;-1.00000;0.11264;0.24427
19;2381;45247;11907;8;2;0.07937;0.16219;837.00000;0.19856;0.20429;0.06220;279.00000;45526.00000;0.42738;0.57015;0.54801;0.51186;1.00000;0.47329;-1.00000;0.10913;0.25029
20;2381;45247;11907;8;2;0.08398;0.14704;846.00000;0.18344;0.18908;0.05558;270.00000;45517.00000;0.39317;0.53306;0.51751;0.48054;1.00000;0.43443;-1.00000;0.09692;0.25612
