repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;1624;4875;1625;22;2;0.00000;0.00283;575.00000;0.00488;0.00524;0.00029;184.00000;5059.00000;0.04037;0.08099;0.17570;0.14118;0.17050;0.08207;-1.00000;0.00000;0.01495
2;1624;4875;1625;22;2;0.00062;0.00301;576.00000;0.00459;0.00462;0.00085;182.00000;5057.00000;0.04110;0.08239;0.18592;0.15169;0.18266;0.08430;-1.00000;0.00000;0.01783
3;1624;4875;1625;22;2;0.00000;0.00354;559.00000;0.00524;0.00565;0.00095;175.00000;5050.00000;0.04421;0.08843;0.19307;0.15818;0.19178;0.08952;-1.00000;0.00000;0.01733
4;1624;4875;1625;22;2;0.00000;0.00319;574.00000;0.00468;0.00552;0.00068;183.00000;5058.00000;0.04201;0.08417;0.18268;0.14841;0.17929;0.08510;-1.00000;0.00000;0.01215
5;1624;4875;1625;22;2;0.00000;0.00312;564.00000;0.00516;0.00549;0.00053;175.00000;5050.00000;0.04214;0.08443;0.18690;0.15169;0.18361;0.08546;-1.00000;0.00000;0.01789
6;1624;4875;1625;22;2;0.00000;0.00306;568.00000;0.00528;0.00435;0.00042;177.00000;5052.00000;0.04171;0.08359;0.18352;0.14839;0.17959;0.08590;-1.00000;0.00000;0.01209
7;1624;4875;1625;22;2;0.00062;0.00338;573.00000;0.00517;0.00567;0.00072;178.00000;5053.00000;0.04289;0.08586;0.18739;0.15262;0.18473;0.08671;-1.00000;0.00000;0.01213
8;1624;4875;1625;22;2;0.00000;0.00339;563.00000;0.00532;0.00465;0.00064;180.00000;5055.00000;0.04337;0.08680;0.18462;0.14995;0.18179;0.08899;-1.00000;0.00000;0.02010
9;1624;4875;1625;22;2;0.00000;0.00380;565.00000;0.00532;0.00570;0.00125;181.00000;5056.00000;0.04503;0.09000;0.19242;0.15827;0.19178;0.09110;-1.00000;0.00000;0.01483
10;1624;4875;1625;22;2;0.00123;0.00275;556.00000;0.00378;0.00403;0.00079;184.00000;5059.00000;0.04084;0.08195;0.18338;0.14943;0.17991;0.08458;-1.00000;0.00000;0.01505
11;1624;4875;1625;22;2;0.00000;0.00367;547.00000;0.00565;0.00611;0.00082;175.00000;5050.00000;0.04537;0.09070;0.19132;0.15626;0.19014;0.09142;-1.00000;0.00000;0.01498
12;1624;4875;1625;22;2;0.00000;0.00364;572.00000;0.00620;0.00564;0.00060;177.00000;5052.00000;0.04404;0.08806;0.18650;0.15137;0.18387;0.08909;-1.00000;0.00000;0.01818
13;1624;4875;1625;22;2;0.00000;0.00375;568.00000;0.00586;0.00524;0.00080;178.00000;5053.00000;0.04470;0.08936;0.18867;0.15385;0.18687;0.09098;-1.00000;0.00000;0.02385
14;1624;4875;1625;22;2;0.00000;0.00383;548.00000;0.00669;0.00638;0.00059;182.00000;5057.00000;0.04601;0.09190;0.18240;0.14765;0.18016;0.09235;-1.00000;0.00000;0.01964
15;1624;4875;1625;22;2;0.00123;0.00323;569.00000;0.00511;0.00529;0.00064;186.00000;5061.00000;0.04238;0.08489;0.17983;0.14573;0.17624;0.08616;-1.00000;0.00000;0.01184
16;1624;4875;1625;22;2;0.00000;0.00313;567.00000;0.00520;0.00613;0.00046;181.00000;5056.00000;0.04207;0.08430;0.18090;0.14619;0.17698;0.08451;-1.00000;0.00000;0.01701
17;1624;4875;1625;22;2;0.00000;0.00271;572.00000;0.00478;0.00379;0.00039;183.00000;5058.00000;0.03995;0.08018;0.17806;0.14354;0.17304;0.08290;-1.00000;0.00000;0.01503
18;1624;4875;1625;22;2;0.00000;0.00237;566.00000;0.00408;0.00270;0.00035;181.00000;5056.00000;0.03861;0.07760;0.17892;0.14430;0.17352;0.08130;-1.00000;0.00000;0.01686
19;1624;4875;1625;22;2;0.00308;0.00241;568.00000;0.00441;0.00502;0.00018;175.00000;5050.00000;0.03875;0.07787;0.18062;0.14519;0.17501;0.07907;-1.00000;0.00000;0.01288
20;1624;4875;1625;22;2;0.00123;0.00209;560.00000;0.00361;0.00549;0.00019;176.00000;5051.00000;0.03757;0.07561;0.17985;0.14465;0.17390;0.07615;-1.00000;0.00000;0.03115
