repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;1989;37810;9950;300;2;0.02070;0.03055;695.00000;0.02659;0.02653;0.01700;224.00000;38034.00000;0.12275;0.22699;0.29744;0.27072;0.37991;0.20671;-1.00000;0.01830;0.04698
2;1989;37810;9950;300;2;0.02141;0.03349;696.00000;0.03421;0.03486;0.01638;229.00000;38039.00000;0.13067;0.23654;0.29208;0.26339;0.37765;0.20709;-1.00000;0.01397;0.05315
3;1989;37810;9950;300;2;0.01960;0.03183;672.00000;0.02754;0.02810;0.01836;218.00000;38028.00000;0.12744;0.23505;0.31007;0.28398;0.40291;0.21341;-1.00000;0.01754;0.04607
4;1989;37810;9950;300;2;0.02181;0.03219;696.00000;0.03260;0.03114;0.01535;221.00000;38031.00000;0.12718;0.23167;0.28976;0.26057;0.37121;0.20702;-1.00000;0.01521;0.05489
5;1989;37810;9950;300;2;0.01970;0.03187;697.00000;0.02800;0.02758;0.01770;226.00000;38036.00000;0.12625;0.23240;0.30106;0.27453;0.38820;0.21182;-1.00000;0.01963;0.04717
6;1989;37810;9950;300;2;0.02070;0.02844;693.00000;0.02702;0.02738;0.01489;225.00000;38035.00000;0.11707;0.21665;0.28304;0.25489;0.35377;0.19364;-1.00000;0.01524;0.04252
7;1989;37810;9950;300;2;0.01648;0.03678;690.00000;0.03705;0.03553;0.01802;215.00000;38025.00000;0.13978;0.25148;0.31210;0.28350;0.41609;0.22429;-1.00000;0.01872;0.05391
8;1989;37810;9950;300;2;0.02221;0.03728;707.00000;0.03390;0.03387;0.02004;233.00000;38043.00000;0.14022;0.25332;0.31298;0.28681;0.41860;0.22821;-1.00000;0.02216;0.06447
9;1989;37810;9950;300;2;0.02090;0.03439;701.00000;0.03495;0.03448;0.01731;224.00000;38034.00000;0.13284;0.24012;0.30132;0.27291;0.39309;0.21215;-1.00000;0.01774;0.05369
10;1989;37810;9950;300;2;0.01960;0.03652;695.00000;0.03609;0.03632;0.01884;224.00000;38034.00000;0.13884;0.24998;0.31138;0.28373;0.41416;0.22086;-1.00000;0.02140;0.05668
11;1989;37810;9950;300;2;0.02201;0.03367;696.00000;0.03337;0.03156;0.01728;217.00000;38027.00000;0.13117;0.23844;0.30517;0.27694;0.39754;0.21430;-1.00000;0.01796;0.05541
12;1989;37810;9950;300;2;0.01970;0.03158;694.00000;0.02842;0.03002;0.01716;223.00000;38033.00000;0.12561;0.23114;0.29953;0.27249;0.38521;0.20597;-1.00000;0.01910;0.05063
13;1989;37810;9950;300;2;0.02151;0.03350;689.00000;0.03293;0.03513;0.01722;227.00000;38037.00000;0.13105;0.23809;0.29851;0.27057;0.38786;0.20740;-1.00000;0.01471;0.05722
14;1989;37810;9950;300;2;0.02000;0.02901;694.00000;0.02952;0.02828;0.01408;221.00000;38031.00000;0.11859;0.21815;0.28049;0.25119;0.35068;0.19501;-1.00000;0.00954;0.04736
15;1989;37810;9950;300;2;0.02010;0.03258;694.00000;0.03067;0.03035;0.01785;223.00000;38033.00000;0.12833;0.23474;0.30447;0.27738;0.39444;0.21085;-1.00000;0.01495;0.04788
16;1989;37810;9950;300;2;0.01859;0.03028;705.00000;0.02659;0.03172;0.01678;225.00000;38035.00000;0.12153;0.22479;0.29541;0.26857;0.37575;0.19446;-1.00000;0.01235;0.04626
17;1989;37810;9950;300;2;0.02161;0.03640;697.00000;0.03163;0.02974;0.02039;225.00000;38035.00000;0.13842;0.25183;0.31935;0.29385;0.42706;0.23237;-1.00000;0.02165;0.05622
18;1989;37810;9950;300;2;0.02201;0.03252;696.00000;0.02710;0.03032;0.01806;222.00000;38032.00000;0.12807;0.23619;0.30554;0.27941;0.39694;0.21036;-1.00000;0.01362;0.05435
19;1989;37810;9950;300;2;0.02201;0.03121;699.00000;0.02980;0.02954;0.01679;223.00000;38033.00000;0.12436;0.22818;0.29742;0.26982;0.38042;0.20431;-1.00000;0.01717;0.04762
20;1989;37810;9950;300;2;0.02161;0.03128;702.00000;0.02727;0.03225;0.01806;230.00000;38040.00000;0.12440;0.22936;0.30084;0.27481;0.38621;0.19929;-1.00000;0.02122;0.05489
