repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;47628;11907;8;2;0.04208;0.08858;0.10835;0.10835;0.03431;0.20558;0.19292;0.17339;0.19461;0.16764;0.19441;-1.00000;-1.00000;0.07609;0.08858;0.10835;0.10835;0.03431;0.17615;0.32151;0.34031;0.38185;0.36955;0.35319;0.10264;-1.00000;0.03981;0.08858;0.10835;0.10835;0.03431;0.19294;0.18821;0.16776;0.18806;0.16233;0.18944;0.16426;-1.00000;0.03989;0.08858;0.10835;0.10835;0.03431;0.19194;0.18780;0.16820;0.18842;0.16276;0.18903;0.08466;0.10439
2;47628;11907;8;2;0.04493;0.08859;0.10865;0.10865;0.03408;0.20804;0.19300;0.17245;0.19372;0.16672;0.19459;-1.00000;-1.00000;0.08482;0.08859;0.10865;0.10865;0.03408;0.17608;0.26736;0.26625;0.29962;0.27023;0.27953;0.09948;-1.00000;0.04527;0.08859;0.10865;0.10865;0.03408;0.19369;0.18790;0.16680;0.18702;0.16139;0.18916;0.16449;-1.00000;0.04451;0.08859;0.10865;0.10865;0.03408;0.19202;0.18745;0.16726;0.18745;0.16185;0.18868;0.08486;0.10456
3;47628;11907;8;2;0.04602;0.08883;0.10970;0.10970;0.03403;0.20502;0.19090;0.17110;0.19190;0.16539;0.19244;-1.00000;-1.00000;0.08138;0.08883;0.10970;0.10970;0.03403;0.17943;0.31509;0.32636;0.36683;0.34800;0.34261;0.10063;-1.00000;0.04460;0.08883;0.10970;0.10970;0.03403;0.19414;0.18657;0.16652;0.18657;0.16107;0.18787;0.16350;-1.00000;0.04451;0.08883;0.10970;0.10970;0.03403;0.19245;0.18617;0.16691;0.18695;0.16148;0.18743;0.08444;0.10348
4;47628;11907;8;2;0.04098;0.09040;0.11109;0.11109;0.03482;0.21027;0.19519;0.17510;0.19698;0.16933;0.19679;-1.00000;-1.00000;0.08121;0.09040;0.11109;0.11109;0.03482;0.18316;0.26545;0.26140;0.29562;0.26302;0.27551;0.09699;-1.00000;0.04031;0.09040;0.11109;0.11109;0.03482;0.19748;0.19050;0.16997;0.19090;0.16449;0.19178;0.16187;-1.00000;0.04040;0.09040;0.11109;0.11109;0.03482;0.19571;0.19006;0.17040;0.19131;0.16493;0.19131;0.08383;0.10291
5;47628;11907;8;2;0.04275;0.08769;0.10795;0.10795;0.03362;0.20484;0.19060;0.17078;0.19149;0.16508;0.19215;-1.00000;-1.00000;0.07794;0.08769;0.10795;0.10795;0.03362;0.17441;0.26018;0.25890;0.29140;0.26162;0.27093;0.10035;-1.00000;0.04233;0.08769;0.10795;0.10795;0.03362;0.19112;0.18528;0.16483;0.18450;0.15945;0.18652;0.16549;-1.00000;0.04283;0.08769;0.10795;0.10795;0.03362;0.19012;0.18495;0.16517;0.18482;0.15979;0.18618;0.08515;0.10469
6;47628;11907;8;2;0.04493;0.08913;0.11007;0.11007;0.03415;0.20769;0.19181;0.17222;0.19341;0.16649;0.19343;-1.00000;-1.00000;0.08524;0.08913;0.11007;0.11007;0.03415;0.17387;0.31775;0.33624;0.37687;0.36451;0.34863;0.10323;-1.00000;0.04451;0.08913;0.11007;0.11007;0.03415;0.19444;0.18719;0.16713;0.18738;0.16169;0.18847;0.16386;-1.00000;0.04392;0.08913;0.11007;0.11007;0.03415;0.19309;0.18679;0.16751;0.18775;0.16208;0.18805;0.08439;0.10357
7;47628;11907;8;2;0.04359;0.08832;0.10873;0.10873;0.03403;0.20498;0.19030;0.17062;0.19132;0.16492;0.19186;-1.00000;-1.00000;0.07903;0.08832;0.10873;0.10873;0.03403;0.17265;0.31570;0.33377;0.37386;0.36140;0.34614;0.10358;-1.00000;0.04275;0.08832;0.10873;0.10873;0.03403;0.19358;0.18637;0.16628;0.18618;0.16083;0.18766;0.16306;-1.00000;0.04325;0.08832;0.10873;0.10873;0.03403;0.19138;0.18583;0.16684;0.18671;0.16140;0.18708;0.08459;0.10366
8;47628;11907;8;2;0.04266;0.09041;0.11197;0.11197;0.03449;0.20791;0.19327;0.17346;0.19488;0.16772;0.19485;-1.00000;-1.00000;0.08222;0.09041;0.11197;0.11197;0.03449;0.18058;0.32315;0.33702;0.37878;0.36280;0.35380;0.10059;-1.00000;0.04342;0.09041;0.11197;0.11197;0.03449;0.19720;0.18864;0.16850;0.18911;0.16302;0.18997;0.16217;-1.00000;0.04292;0.09041;0.11197;0.11197;0.03449;0.19571;0.18827;0.16888;0.18948;0.16341;0.18956;0.08365;0.10218
9;47628;11907;8;2;0.04233;0.08971;0.11003;0.11003;0.03465;0.20902;0.19418;0.17432;0.19597;0.16857;0.19577;-1.00000;-1.00000;0.08432;0.08971;0.11003;0.11003;0.03465;0.17946;0.26477;0.26223;0.29578;0.26467;0.27549;0.09821;-1.00000;0.04191;0.08971;0.11003;0.11003;0.03465;0.19597;0.18964;0.16915;0.18985;0.16369;0.19091;0.16257;-1.00000;0.04241;0.08971;0.11003;0.11003;0.03465;0.19428;0.18920;0.16960;0.19022;0.16414;0.19045;0.08409;0.10325
10;47628;11907;8;2;0.04636;0.08943;0.11071;0.11071;0.03394;0.21001;0.19322;0.17294;0.19444;0.16721;0.19489;-1.00000;-1.00000;0.08466;0.08943;0.11071;0.11071;0.03394;0.18008;0.32334;0.33752;0.37928;0.36378;0.35427;0.10089;-1.00000;0.04712;0.08943;0.11071;0.11071;0.03394;0.19489;0.18749;0.16615;0.18655;0.16079;0.18876;0.16601;-1.00000;0.04628;0.08943;0.11071;0.11071;0.03394;0.19376;0.18700;0.16669;0.18700;0.16130;0.18826;0.08456;0.10375
