repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;47628;11907;8;2;0.03880;0.07918;0.09484;0.09484;0.03175;0.18913;0.19995;0.18257;0.21112;0.17348;0.20186;-1.00000;-1.00000;0.07374;0.07918;0.09484;0.09484;0.03175;0.16123;0.26657;0.27979;0.32771;0.28557;0.28269;0.13342;-1.00000;0.03804;0.07918;0.09484;0.09484;0.03175;0.17803;0.19480;0.17558;0.20260;0.16704;0.19678;0.26187;-1.00000;0.03804;0.07918;0.09484;0.09484;0.03175;0.17639;0.19356;0.17703;0.20382;0.16844;0.19556;0.11222;0.18147
2;47628;11907;8;2;0.03922;0.08061;0.09722;0.09722;0.03193;0.18861;0.19925;0.18117;0.20937;0.17212;0.20116;-1.00000;-1.00000;0.07542;0.08061;0.09722;0.09722;0.03193;0.16601;0.25687;0.26687;0.31336;0.26805;0.26906;0.13046;-1.00000;0.03737;0.08061;0.09722;0.09722;0.03193;0.18068;0.19546;0.17648;0.20363;0.16782;0.19740;0.25663;-1.00000;0.03754;0.08061;0.09722;0.09722;0.03193;0.17925;0.19461;0.17736;0.20440;0.16868;0.19656;0.11054;0.17712
3;47628;11907;8;2;0.03998;0.07913;0.09555;0.09555;0.03136;0.18763;0.19794;0.17944;0.20719;0.17043;0.19983;-1.00000;-1.00000;0.07323;0.07913;0.09555;0.09555;0.03136;0.16279;0.29143;0.32120;0.37599;0.33917;0.31561;0.13435;-1.00000;0.03964;0.07913;0.09555;0.09555;0.03136;0.17858;0.19301;0.17397;0.20046;0.16539;0.19493;0.25931;-1.00000;0.03972;0.07913;0.09555;0.09555;0.03136;0.17623;0.19188;0.17503;0.20140;0.16647;0.19382;0.11201;0.18003
4;47628;11907;8;2;0.04065;0.07884;0.09473;0.09473;0.03135;0.18730;0.19815;0.17989;0.20762;0.17089;0.20005;-1.00000;-1.00000;0.07349;0.07884;0.09473;0.09473;0.03135;0.16275;0.29912;0.33728;0.39515;0.36209;0.32634;0.13568;-1.00000;0.03998;0.07884;0.09473;0.09473;0.03135;0.17794;0.19329;0.17343;0.19984;0.16491;0.19523;0.26045;-1.00000;0.04040;0.07884;0.09473;0.09473;0.03135;0.17562;0.19203;0.17479;0.20093;0.16624;0.19400;0.11215;0.18008
5;47628;11907;8;2;0.04149;0.07921;0.09514;0.09514;0.03160;0.18704;0.19796;0.18053;0.20831;0.17150;0.19987;-1.00000;-1.00000;0.05400;0.07921;0.09514;0.09514;0.03160;0.16433;0.23896;0.23944;0.28041;0.23640;0.24743;0.12899;-1.00000;0.04098;0.07921;0.09514;0.09514;0.03160;0.17765;0.19372;0.17493;0.20141;0.16635;0.19569;0.25879;-1.00000;0.04014;0.07921;0.09514;0.09514;0.03160;0.17638;0.19276;0.17593;0.20233;0.16733;0.19473;0.11175;0.17960
6;47628;11907;8;2;0.04191;0.07941;0.09577;0.09577;0.03175;0.18850;0.19850;0.18120;0.20939;0.17217;0.20039;-1.00000;-1.00000;0.07542;0.07941;0.09577;0.09577;0.03175;0.16039;0.29538;0.33615;0.39339;0.36141;0.32191;0.13719;-1.00000;0.04056;0.07941;0.09577;0.09577;0.03175;0.17862;0.19374;0.17541;0.20215;0.16682;0.19568;0.25815;-1.00000;0.04056;0.07941;0.09577;0.09577;0.03175;0.17683;0.19252;0.17658;0.20317;0.16798;0.19447;0.11180;0.17891
7;47628;11907;8;2;0.04056;0.08036;0.09650;0.09650;0.03217;0.19003;0.20023;0.18232;0.21096;0.17325;0.20213;-1.00000;-1.00000;0.06895;0.08036;0.09650;0.09650;0.03217;0.16252;0.29205;0.32015;0.37527;0.33832;0.31655;0.13474;-1.00000;0.04065;0.08036;0.09650;0.09650;0.03217;0.18123;0.19607;0.17748;0.20488;0.16880;0.19802;0.25568;-1.00000;0.04048;0.08036;0.09650;0.09650;0.03217;0.17877;0.19500;0.17854;0.20573;0.16988;0.19698;0.11093;0.17807
8;47628;11907;8;2;0.04182;0.07733;0.09243;0.09243;0.03100;0.18600;0.19669;0.17853;0.20584;0.16954;0.19859;-1.00000;-1.00000;0.07475;0.07733;0.09243;0.09243;0.03100;0.16091;0.28075;0.30459;0.35590;0.31737;0.30161;0.13402;-1.00000;0.04124;0.07733;0.09243;0.09243;0.03100;0.17538;0.19139;0.17258;0.19835;0.16405;0.19334;0.26141;-1.00000;0.04107;0.07733;0.09243;0.09243;0.03100;0.17250;0.19026;0.17358;0.19918;0.16510;0.19226;0.11349;0.18411
9;47628;11907;8;2;0.03872;0.07959;0.09579;0.09579;0.03157;0.18774;0.19835;0.17985;0.20765;0.17085;0.20025;-1.00000;-1.00000;0.07223;0.07959;0.09579;0.09579;0.03157;0.16483;0.28067;0.29845;0.35045;0.30858;0.30026;0.13249;-1.00000;0.03821;0.07959;0.09579;0.09579;0.03157;0.17882;0.19395;0.17461;0.20115;0.16603;0.19589;0.25770;-1.00000;0.03821;0.07959;0.09579;0.09579;0.03157;0.17714;0.19300;0.17560;0.20203;0.16701;0.19495;0.11139;0.17832
10;47628;11907;8;2;0.03880;0.07903;0.09491;0.09491;0.03149;0.18657;0.19798;0.18034;0.20801;0.17131;0.19990;-1.00000;-1.00000;0.07097;0.07903;0.09491;0.09491;0.03149;0.16351;0.29344;0.32280;0.37824;0.34134;0.31815;0.13389;-1.00000;0.03872;0.07903;0.09491;0.09491;0.03149;0.17804;0.19354;0.17453;0.20107;0.16596;0.19548;0.25985;-1.00000;0.03863;0.07903;0.09491;0.09491;0.03149;0.17599;0.19250;0.17558;0.20192;0.16700;0.19447;0.11186;0.18046
