repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;54045;13512;126;3;0.16726;0.29447;0.33669;-1.00000;0.15162;0.62555;-1.00000;-1.00000;1.00000;0.68940;-1.00000;-1.00000;-1.00000;0.28900;0.29447;0.33669;-1.00000;0.15162;0.59875;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06528;-1.00000;0.16815;0.29447;0.33669;-1.00000;0.15162;0.61667;-1.00000;-1.00000;1.00000;0.68020;-1.00000;0.11997;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;54045;13512;126;3;0.17399;0.29437;0.33642;-1.00000;0.15194;0.62642;-1.00000;-1.00000;1.00000;0.69209;-1.00000;-1.00000;-1.00000;0.27835;0.29437;0.33642;-1.00000;0.15194;0.58784;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06721;-1.00000;0.16733;0.29437;0.33642;-1.00000;0.15194;0.61652;-1.00000;-1.00000;1.00000;0.68181;-1.00000;0.12029;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;54045;13512;126;3;0.17392;0.29660;0.33905;-1.00000;0.15313;0.62774;-1.00000;-1.00000;1.00000;0.69318;-1.00000;-1.00000;-1.00000;0.28671;0.29660;0.33905;-1.00000;0.15313;0.60217;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06550;-1.00000;0.17118;0.29660;0.33905;-1.00000;0.15313;0.62087;-1.00000;-1.00000;1.00000;0.68602;-1.00000;0.11866;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;54045;13512;126;3;0.17177;0.29628;0.33823;-1.00000;0.15284;0.62921;-1.00000;-1.00000;1.00000;0.69476;-1.00000;-1.00000;-1.00000;0.23535;0.29628;0.33823;-1.00000;0.15284;0.60369;-1.00000;-1.00000;1.00000;0.88215;-1.00000;0.06348;-1.00000;0.16985;0.29628;0.33823;-1.00000;0.15284;0.62036;-1.00000;-1.00000;1.00000;0.68541;-1.00000;0.11965;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;54045;13512;126;3;0.16948;0.29573;0.33830;-1.00000;0.15206;0.62713;-1.00000;-1.00000;1.00000;0.68986;-1.00000;-1.00000;-1.00000;0.28552;0.29573;0.33830;-1.00000;0.15206;0.60328;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06503;-1.00000;0.16926;0.29573;0.33830;-1.00000;0.15206;0.61917;-1.00000;-1.00000;1.00000;0.68189;-1.00000;0.11961;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;54045;13512;126;3;0.16970;0.29507;0.33653;-1.00000;0.15222;0.62722;-1.00000;-1.00000;1.00000;0.69270;-1.00000;-1.00000;-1.00000;0.27820;0.29507;0.33653;-1.00000;0.15222;0.59861;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06640;-1.00000;0.17059;0.29507;0.33653;-1.00000;0.15222;0.61798;-1.00000;-1.00000;1.00000;0.68297;-1.00000;0.12011;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;54045;13512;126;3;0.16726;0.29502;0.33761;-1.00000;0.15235;0.62733;-1.00000;-1.00000;1.00000;0.69340;-1.00000;-1.00000;-1.00000;0.28797;0.29502;0.33761;-1.00000;0.15235;0.59322;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06674;-1.00000;0.16763;0.29502;0.33761;-1.00000;0.15235;0.61783;-1.00000;-1.00000;1.00000;0.68340;-1.00000;0.11992;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;54045;13512;126;3;0.17126;0.29199;0.33398;-1.00000;0.15026;0.62323;-1.00000;-1.00000;1.00000;0.68726;-1.00000;-1.00000;-1.00000;0.28678;0.29199;0.33398;-1.00000;0.15026;0.58789;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06715;-1.00000;0.17303;0.29199;0.33398;-1.00000;0.15026;0.61180;-1.00000;-1.00000;1.00000;0.67527;-1.00000;0.12163;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;54045;13512;126;3;0.17118;0.29508;0.33660;-1.00000;0.15256;0.62720;-1.00000;-1.00000;1.00000;0.69447;-1.00000;-1.00000;-1.00000;0.28116;0.29508;0.33660;-1.00000;0.15256;0.59468;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06630;-1.00000;0.17274;0.29508;0.33660;-1.00000;0.15256;0.61796;-1.00000;-1.00000;1.00000;0.68437;-1.00000;0.11994;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;54045;13512;126;3;0.17037;0.29795;0.34042;-1.00000;0.15407;0.63050;-1.00000;-1.00000;1.00000;0.69778;-1.00000;-1.00000;-1.00000;0.29359;0.29795;0.34042;-1.00000;0.15407;0.60748;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06398;-1.00000;0.16926;0.29795;0.34042;-1.00000;0.15407;0.62368;-1.00000;-1.00000;1.00000;0.68996;-1.00000;0.11833;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
