repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;56000;14000;784;10;0.12600;0.24091;0.29056;-1.00000;0.12449;0.50637;-1.00000;-1.00000;1.00000;0.54357;-1.00000;-1.00000;-1.00000;0.24379;0.24091;0.29056;-1.00000;0.12449;0.49329;-1.00000;-1.00000;1.00000;0.76743;-1.00000;0.05461;-1.00000;0.12514;0.24091;0.29056;-1.00000;0.12449;0.50195;-1.00000;-1.00000;1.00000;0.53863;-1.00000;0.08176;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;56000;14000;784;10;0.12229;0.24296;0.29363;-1.00000;0.12623;0.50892;-1.00000;-1.00000;1.00000;0.54861;-1.00000;-1.00000;-1.00000;0.23557;0.24296;0.29363;-1.00000;0.12623;0.49558;-1.00000;-1.00000;1.00000;0.83201;-1.00000;0.05489;-1.00000;0.12314;0.24296;0.29363;-1.00000;0.12623;0.50600;-1.00000;-1.00000;1.00000;0.54540;-1.00000;0.08046;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;56000;14000;784;10;0.12143;0.24255;0.29279;-1.00000;0.12544;0.50892;-1.00000;-1.00000;1.00000;0.54668;-1.00000;-1.00000;-1.00000;0.23800;0.24255;0.29279;-1.00000;0.12544;0.49667;-1.00000;-1.00000;1.00000;0.82951;-1.00000;0.05470;-1.00000;0.12129;0.24255;0.29279;-1.00000;0.12544;0.50522;-1.00000;-1.00000;1.00000;0.54244;-1.00000;0.08124;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;56000;14000;784;10;0.12807;0.24263;0.29327;-1.00000;0.12581;0.50772;-1.00000;-1.00000;1.00000;0.54646;-1.00000;-1.00000;-1.00000;0.23614;0.24263;0.29327;-1.00000;0.12581;0.49311;-1.00000;-1.00000;1.00000;0.93261;-1.00000;0.05592;-1.00000;0.12857;0.24263;0.29327;-1.00000;0.12581;0.50531;-1.00000;-1.00000;1.00000;0.54357;-1.00000;0.08042;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;56000;14000;784;10;0.11729;0.24390;0.29424;-1.00000;0.12675;0.51122;-1.00000;-1.00000;1.00000;0.55139;-1.00000;-1.00000;-1.00000;0.23607;0.24390;0.29424;-1.00000;0.12675;0.49936;-1.00000;-1.00000;1.00000;0.92272;-1.00000;0.05519;-1.00000;0.11807;0.24390;0.29424;-1.00000;0.12675;0.50791;-1.00000;-1.00000;1.00000;0.54759;-1.00000;0.08041;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;56000;14000;784;10;0.12243;0.24318;0.29344;-1.00000;0.12628;0.50974;-1.00000;-1.00000;1.00000;0.54925;-1.00000;-1.00000;-1.00000;0.24021;0.24318;0.29344;-1.00000;0.12628;0.49634;-1.00000;-1.00000;1.00000;0.75443;-1.00000;0.05426;-1.00000;0.12171;0.24318;0.29344;-1.00000;0.12628;0.50645;-1.00000;-1.00000;1.00000;0.54581;-1.00000;0.08078;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;56000;14000;784;10;0.12193;0.24264;0.29254;-1.00000;0.12568;0.51006;-1.00000;-1.00000;1.00000;0.54874;-1.00000;-1.00000;-1.00000;0.24564;0.24264;0.29254;-1.00000;0.12568;0.49263;-1.00000;-1.00000;1.00000;0.77499;-1.00000;0.05521;-1.00000;0.12364;0.24264;0.29254;-1.00000;0.12568;0.50545;-1.00000;-1.00000;1.00000;0.54358;-1.00000;0.08146;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;56000;14000;784;10;0.11779;0.24336;0.29309;-1.00000;0.12622;0.51072;-1.00000;-1.00000;1.00000;0.55003;-1.00000;-1.00000;-1.00000;0.23671;0.24336;0.29309;-1.00000;0.12622;0.49585;-1.00000;-1.00000;1.00000;0.94668;-1.00000;0.05591;-1.00000;0.11886;0.24336;0.29309;-1.00000;0.12622;0.50688;-1.00000;-1.00000;1.00000;0.54565;-1.00000;0.08097;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;56000;14000;784;10;0.12179;0.24271;0.29259;-1.00000;0.12592;0.50950;-1.00000;-1.00000;1.00000;0.54823;-1.00000;-1.00000;-1.00000;0.23157;0.24271;0.29259;-1.00000;0.12592;0.49235;-1.00000;-1.00000;1.00000;0.98806;-1.00000;0.05648;-1.00000;0.12257;0.24271;0.29259;-1.00000;0.12592;0.50554;-1.00000;-1.00000;1.00000;0.54430;-1.00000;0.08089;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;56000;14000;784;10;0.12307;0.24143;0.29151;-1.00000;0.12491;0.50751;-1.00000;-1.00000;1.00000;0.54568;-1.00000;-1.00000;-1.00000;0.24243;0.24143;0.29151;-1.00000;0.12491;0.49170;-1.00000;-1.00000;1.00000;0.98647;-1.00000;0.05652;-1.00000;0.12536;0.24143;0.29151;-1.00000;0.12491;0.50301;-1.00000;-1.00000;1.00000;0.54042;-1.00000;0.08171;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
