repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;56000;14000;784;10;0.11850;0.23158;0.27881;-1.00000;0.11905;0.49244;-1.00000;-1.00000;1.00000;0.54778;-1.00000;-1.00000;-1.00000;0.23079;0.23158;0.27881;-1.00000;0.11905;0.47567;-1.00000;-1.00000;1.00000;0.78595;-1.00000;0.07151;-1.00000;0.12114;0.23158;0.27881;-1.00000;0.11905;0.48842;-1.00000;-1.00000;1.00000;0.54174;-1.00000;0.13165;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;56000;14000;784;10;0.11743;0.23342;0.28074;-1.00000;0.12036;0.49602;-1.00000;-1.00000;1.00000;0.55299;-1.00000;-1.00000;-1.00000;0.23400;0.23342;0.28074;-1.00000;0.12036;0.48047;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07291;-1.00000;0.12129;0.23342;0.28074;-1.00000;0.12036;0.49213;-1.00000;-1.00000;1.00000;0.54716;-1.00000;0.13079;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;56000;14000;784;10;0.11500;0.23319;0.28099;-1.00000;0.11991;0.49492;-1.00000;-1.00000;1.00000;0.54983;-1.00000;-1.00000;-1.00000;0.17179;0.23319;0.28099;-1.00000;0.11991;0.48341;-1.00000;-1.00000;1.00000;0.67545;-1.00000;0.06868;-1.00000;0.11636;0.23319;0.28099;-1.00000;0.11991;0.49163;-1.00000;-1.00000;1.00000;0.54479;-1.00000;0.13013;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;56000;14000;784;10;0.11943;0.23238;0.28102;-1.00000;0.11939;0.49304;-1.00000;-1.00000;1.00000;0.54773;-1.00000;-1.00000;-1.00000;0.23179;0.23238;0.28102;-1.00000;0.11939;0.48381;-1.00000;-1.00000;1.00000;0.72014;-1.00000;0.06830;-1.00000;0.12021;0.23238;0.28102;-1.00000;0.11939;0.48999;-1.00000;-1.00000;1.00000;0.54268;-1.00000;0.13061;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;56000;14000;784;10;0.12014;0.23168;0.28024;-1.00000;0.11870;0.49205;-1.00000;-1.00000;1.00000;0.54471;-1.00000;-1.00000;-1.00000;0.22871;0.23168;0.28024;-1.00000;0.11870;0.47626;-1.00000;-1.00000;1.00000;0.99130;-1.00000;0.07310;-1.00000;0.12264;0.23168;0.28024;-1.00000;0.11870;0.48855;-1.00000;-1.00000;1.00000;0.53973;-1.00000;0.13088;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;56000;14000;784;10;0.11829;0.23158;0.27947;-1.00000;0.11891;0.49289;-1.00000;-1.00000;1.00000;0.54746;-1.00000;-1.00000;-1.00000;0.22957;0.23158;0.27947;-1.00000;0.11891;0.47847;-1.00000;-1.00000;1.00000;0.77572;-1.00000;0.07062;-1.00000;0.12079;0.23158;0.27947;-1.00000;0.11891;0.48844;-1.00000;-1.00000;1.00000;0.54114;-1.00000;0.13165;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;56000;14000;784;10;0.11843;0.23244;0.27979;-1.00000;0.11970;0.49338;-1.00000;-1.00000;1.00000;0.54833;-1.00000;-1.00000;-1.00000;0.18671;0.23244;0.27979;-1.00000;0.11970;0.48019;-1.00000;-1.00000;1.00000;0.69733;-1.00000;0.06987;-1.00000;0.11850;0.23244;0.27979;-1.00000;0.11970;0.49008;-1.00000;-1.00000;1.00000;0.54391;-1.00000;0.13028;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;56000;14000;784;10;0.11500;0.23327;0.28220;-1.00000;0.11995;0.49579;-1.00000;-1.00000;1.00000;0.55043;-1.00000;-1.00000;-1.00000;0.22893;0.23327;0.28220;-1.00000;0.11995;0.48212;-1.00000;-1.00000;1.00000;0.73321;-1.00000;0.06942;-1.00000;0.11664;0.23327;0.28220;-1.00000;0.11995;0.49183;-1.00000;-1.00000;1.00000;0.54528;-1.00000;0.13073;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;56000;14000;784;10;0.11621;0.23233;0.28038;-1.00000;0.11963;0.49390;-1.00000;-1.00000;1.00000;0.54910;-1.00000;-1.00000;-1.00000;0.15329;0.23233;0.28038;-1.00000;0.11963;0.48287;-1.00000;-1.00000;1.00000;0.63245;-1.00000;0.06703;-1.00000;0.11707;0.23233;0.28038;-1.00000;0.11963;0.48988;-1.00000;-1.00000;1.00000;0.54379;-1.00000;0.13067;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;56000;14000;784;10;0.11671;0.23308;0.28150;-1.00000;0.12009;0.49548;-1.00000;-1.00000;1.00000;0.55110;-1.00000;-1.00000;-1.00000;0.22671;0.23308;0.28150;-1.00000;0.12009;0.48283;-1.00000;-1.00000;1.00000;0.84175;-1.00000;0.07061;-1.00000;0.11779;0.23308;0.28150;-1.00000;0.12009;0.49146;-1.00000;-1.00000;1.00000;0.54571;-1.00000;0.13034;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;56000;14000;784;10;0.11629;0.23253;0.28065;-1.00000;0.11943;0.49394;-1.00000;-1.00000;1.00000;0.54801;-1.00000;-1.00000;-1.00000;0.15400;0.23253;0.28065;-1.00000;0.11943;0.48408;-1.00000;-1.00000;1.00000;0.63481;-1.00000;0.06728;-1.00000;0.11771;0.23253;0.28065;-1.00000;0.11943;0.49027;-1.00000;-1.00000;1.00000;0.54288;-1.00000;0.13063;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
