repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;56000;14000;780;10;0.03943;0.20156;0.29297;-1.00000;0.08538;0.42906;-1.00000;-1.00000;0.84143;0.38137;-1.00000;-1.00000;-1.00000;0.19621;0.20156;0.29297;-1.00000;0.08538;0.40156;-1.00000;-1.00000;0.91460;0.74394;-1.00000;0.06212;-1.00000;0.04093;0.20156;0.29297;-1.00000;0.08538;0.42206;-1.00000;-1.00000;0.81699;0.37624;-1.00000;0.09800;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;56000;14000;780;10;0.03757;0.20245;0.29414;-1.00000;0.08535;0.43042;-1.00000;-1.00000;0.84639;0.38118;-1.00000;-1.00000;-1.00000;0.19536;0.20245;0.29414;-1.00000;0.08535;0.40620;-1.00000;-1.00000;0.94110;0.83256;-1.00000;0.06244;-1.00000;0.03836;0.20245;0.29414;-1.00000;0.08535;0.42387;-1.00000;-1.00000;0.82348;0.37613;-1.00000;0.09810;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;56000;14000;780;10;0.03471;0.20141;0.29271;-1.00000;0.08493;0.42830;-1.00000;-1.00000;0.83769;0.37948;-1.00000;-1.00000;-1.00000;0.19357;0.20141;0.29271;-1.00000;0.08493;0.40820;-1.00000;-1.00000;0.88611;0.57603;-1.00000;0.05980;-1.00000;0.03664;0.20141;0.29271;-1.00000;0.08493;0.42174;-1.00000;-1.00000;0.81499;0.37438;-1.00000;0.09838;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;56000;14000;780;10;0.03807;0.20220;0.29381;-1.00000;0.08530;0.42945;-1.00000;-1.00000;0.84254;0.38074;-1.00000;-1.00000;-1.00000;0.19143;0.20220;0.29381;-1.00000;0.08530;0.40733;-1.00000;-1.00000;0.94385;0.83532;-1.00000;0.06235;-1.00000;0.03921;0.20220;0.29381;-1.00000;0.08530;0.42334;-1.00000;-1.00000;0.82131;0.37590;-1.00000;0.09802;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;56000;14000;780;10;0.03557;0.20092;0.29213;-1.00000;0.08454;0.42737;-1.00000;-1.00000;0.83370;0.37868;-1.00000;-1.00000;-1.00000;0.11693;0.20092;0.29213;-1.00000;0.08454;0.40974;-1.00000;-1.00000;0.86690;0.50940;-1.00000;0.05917;-1.00000;0.03650;0.20092;0.29213;-1.00000;0.08454;0.42079;-1.00000;-1.00000;0.81108;0.37287;-1.00000;0.09886;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;56000;14000;780;10;0.03543;0.20257;0.29409;-1.00000;0.08566;0.43058;-1.00000;-1.00000;0.84817;0.38274;-1.00000;-1.00000;-1.00000;0.18814;0.20257;0.29409;-1.00000;0.08566;0.40891;-1.00000;-1.00000;0.93959;0.78902;-1.00000;0.06170;-1.00000;0.03571;0.20257;0.29409;-1.00000;0.08566;0.42410;-1.00000;-1.00000;0.82548;0.37754;-1.00000;0.09824;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;56000;14000;780;10;0.03636;0.20292;0.29558;-1.00000;0.08523;0.42956;-1.00000;-1.00000;0.84232;0.37951;-1.00000;-1.00000;-1.00000;0.20036;0.20292;0.29558;-1.00000;0.08523;0.41485;-1.00000;-1.00000;0.93807;0.71527;-1.00000;0.06031;-1.00000;0.03921;0.20292;0.29558;-1.00000;0.08523;0.42476;-1.00000;-1.00000;0.82559;0.37542;-1.00000;0.09755;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;56000;14000;780;10;0.03757;0.20264;0.29455;-1.00000;0.08559;0.42915;-1.00000;-1.00000;0.84133;0.38050;-1.00000;-1.00000;-1.00000;0.19493;0.20264;0.29455;-1.00000;0.08559;0.40277;-1.00000;-1.00000;0.93325;0.82741;-1.00000;0.06275;-1.00000;0.03736;0.20264;0.29455;-1.00000;0.08559;0.42418;-1.00000;-1.00000;0.82405;0.37684;-1.00000;0.09720;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;56000;14000;780;10;0.03693;0.20308;0.29504;-1.00000;0.08577;0.42995;-1.00000;-1.00000;0.84538;0.38262;-1.00000;-1.00000;-1.00000;0.11593;0.20308;0.29504;-1.00000;0.08577;0.41428;-1.00000;-1.00000;0.88829;0.53187;-1.00000;0.05895;-1.00000;0.03771;0.20308;0.29504;-1.00000;0.08577;0.42515;-1.00000;-1.00000;0.82884;0.37784;-1.00000;0.09773;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;56000;14000;780;10;0.03421;0.20372;0.29599;-1.00000;0.08622;0.43274;-1.00000;-1.00000;0.85657;0.38415;-1.00000;-1.00000;-1.00000;0.19536;0.20372;0.29599;-1.00000;0.08622;0.41327;-1.00000;-1.00000;0.92200;0.65543;-1.00000;0.06023;-1.00000;0.03479;0.20372;0.29599;-1.00000;0.08622;0.42643;-1.00000;-1.00000;0.83426;0.37965;-1.00000;0.09731;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
