repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;56000;14000;780;10;0.03500;0.18221;0.26662;-1.00000;0.07455;0.39362;-1.00000;-1.00000;0.77114;0.35727;-1.00000;-1.00000;-1.00000;0.17514;0.18221;0.26662;-1.00000;0.07455;0.37287;-1.00000;-1.00000;0.94914;0.79024;-1.00000;0.08292;-1.00000;0.03493;0.18221;0.26662;-1.00000;0.07455;0.38762;-1.00000;-1.00000;0.75218;0.35202;-1.00000;0.16301;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;56000;14000;780;10;0.03236;0.18416;0.27007;-1.00000;0.07483;0.39571;-1.00000;-1.00000;0.77829;0.35737;-1.00000;-1.00000;-1.00000;0.18093;0.18416;0.27007;-1.00000;0.07483;0.37939;-1.00000;-1.00000;0.91164;0.61511;-1.00000;0.07952;-1.00000;0.03243;0.18416;0.27007;-1.00000;0.07483;0.39153;-1.00000;-1.00000;0.76511;0.35300;-1.00000;0.16220;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;56000;14000;780;10;0.02979;0.18410;0.26960;-1.00000;0.07539;0.39590;-1.00000;-1.00000;0.78027;0.35994;-1.00000;-1.00000;-1.00000;0.17907;0.18410;0.26960;-1.00000;0.07539;0.37855;-1.00000;-1.00000;0.94681;0.73592;-1.00000;0.08124;-1.00000;0.03021;0.18410;0.26960;-1.00000;0.07539;0.39144;-1.00000;-1.00000;0.76620;0.35529;-1.00000;0.16138;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;56000;14000;780;10;0.03064;0.18469;0.27080;-1.00000;0.07552;0.39640;-1.00000;-1.00000;0.78198;0.35966;-1.00000;-1.00000;-1.00000;0.15336;0.18469;0.27080;-1.00000;0.07552;0.38350;-1.00000;-1.00000;0.86978;0.50000;-1.00000;0.07701;-1.00000;0.03079;0.18469;0.27080;-1.00000;0.07552;0.39262;-1.00000;-1.00000;0.77017;0.35574;-1.00000;0.16094;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;56000;14000;780;10;0.03057;0.18400;0.26950;-1.00000;0.07520;0.39722;-1.00000;-1.00000;0.78521;0.36023;-1.00000;-1.00000;-1.00000;0.18036;0.18400;0.26950;-1.00000;0.07520;0.37847;-1.00000;-1.00000;0.93314;0.68925;-1.00000;0.08046;-1.00000;0.03121;0.18400;0.26950;-1.00000;0.07520;0.39126;-1.00000;-1.00000;0.76611;0.35480;-1.00000;0.16241;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;56000;14000;780;10;0.03207;0.18388;0.26930;-1.00000;0.07512;0.39565;-1.00000;-1.00000;0.77876;0.35874;-1.00000;-1.00000;-1.00000;0.18129;0.18388;0.26930;-1.00000;0.07512;0.38158;-1.00000;-1.00000;0.89685;0.56941;-1.00000;0.07822;-1.00000;0.03271;0.18388;0.26930;-1.00000;0.07512;0.39098;-1.00000;-1.00000;0.76401;0.35420;-1.00000;0.16174;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;56000;14000;780;10;0.03221;0.18273;0.26743;-1.00000;0.07450;0.39403;-1.00000;-1.00000;0.77194;0.35681;-1.00000;-1.00000;-1.00000;0.08243;0.18273;0.26743;-1.00000;0.07450;0.37649;-1.00000;-1.00000;0.81995;0.44681;-1.00000;0.07733;-1.00000;0.03357;0.18273;0.26743;-1.00000;0.07450;0.38864;-1.00000;-1.00000;0.75484;0.35167;-1.00000;0.16272;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;56000;14000;780;10;0.03000;0.18432;0.26994;-1.00000;0.07514;0.39648;-1.00000;-1.00000;0.78255;0.35923;-1.00000;-1.00000;-1.00000;0.17564;0.18432;0.26994;-1.00000;0.07514;0.38152;-1.00000;-1.00000;0.94455;0.70195;-1.00000;0.08025;-1.00000;0.03264;0.18432;0.26994;-1.00000;0.07514;0.39191;-1.00000;-1.00000;0.76807;0.35454;-1.00000;0.16240;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;56000;14000;780;10;0.03321;0.18363;0.26884;-1.00000;0.07486;0.39592;-1.00000;-1.00000;0.77970;0.35875;-1.00000;-1.00000;-1.00000;0.18193;0.18363;0.26884;-1.00000;0.07486;0.38176;-1.00000;-1.00000;0.88390;0.54025;-1.00000;0.07768;-1.00000;0.03457;0.18363;0.26884;-1.00000;0.07486;0.39053;-1.00000;-1.00000;0.76260;0.35333;-1.00000;0.16274;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;56000;14000;780;10;0.02979;0.18298;0.26837;-1.00000;0.07473;0.39451;-1.00000;-1.00000;0.77397;0.35715;-1.00000;-1.00000;-1.00000;0.11007;0.18298;0.26837;-1.00000;0.07473;0.38054;-1.00000;-1.00000;0.83397;0.45581;-1.00000;0.07620;-1.00000;0.03036;0.18298;0.26837;-1.00000;0.07473;0.38917;-1.00000;-1.00000;0.75706;0.35258;-1.00000;0.16227;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
