repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;6499;1625;22;2;0.00000;0.00004;0.00008;0.00008;0.00000;0.00814;0.01640;0.01968;0.01565;0.01417;0.01706;-1.00000;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00436;0.00894;0.02010;0.01604;0.01469;0.00943;0.99813;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00757;0.01531;0.01933;0.01530;0.01385;0.01594;0.99510;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00464;0.00950;0.01979;0.01573;0.01438;0.01000;0.99063;2.00000
2;6499;1625;22;2;0.00000;0.00009;0.00016;0.00016;0.00000;0.00807;0.01630;0.02056;0.01650;0.01499;0.01695;-1.00000;-1.00000;0.00000;0.00009;0.00016;0.00016;0.00000;0.00458;0.00938;0.02055;0.01649;0.01513;0.00988;0.99447;-1.00000;0.00000;0.00009;0.00016;0.00016;0.00000;0.00751;0.01521;0.01982;0.01577;0.01430;0.01584;0.99218;-1.00000;0.00000;0.00009;0.00016;0.00016;0.00000;0.00497;0.01016;0.02006;0.01601;0.01463;0.01068;0.98211;2.00000
3;6499;1625;22;2;0.00000;0.00005;0.00011;0.00011;0.00000;0.00684;0.01389;0.01918;0.01513;0.01371;0.01449;-1.00000;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00438;0.00898;0.01980;0.01573;0.01439;0.00947;0.99658;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00661;0.01343;0.01905;0.01500;0.01358;0.01402;0.99705;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00467;0.00956;0.01945;0.01539;0.01403;0.01006;0.98815;2.00000
4;6499;1625;22;2;0.00000;0.00010;0.00018;0.00018;0.00000;0.00706;0.01433;0.02005;0.01595;0.01447;0.01494;-1.00000;-1.00000;0.00000;0.00010;0.00018;0.00018;0.00000;0.00462;0.00945;0.02045;0.01635;0.01497;0.00995;0.99199;-1.00000;0.00000;0.00010;0.00018;0.00018;0.00000;0.00678;0.01378;0.01971;0.01561;0.01416;0.01437;0.99429;-1.00000;0.00000;0.00010;0.00018;0.00018;0.00000;0.00499;0.01020;0.01996;0.01586;0.01447;0.01071;0.97947;2.00000
5;6499;1625;22;2;0.00000;0.00005;0.00011;0.00011;0.00000;0.00702;0.01424;0.01932;0.01526;0.01382;0.01484;-1.00000;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00437;0.00897;0.01981;0.01573;0.01438;0.00946;0.99630;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00669;0.01360;0.01915;0.01509;0.01367;0.01419;0.99683;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00465;0.00953;0.01947;0.01539;0.01403;0.01003;0.98809;2.00000
6;6499;1625;22;2;0.00000;0.00007;0.00012;0.00012;0.00000;0.00686;0.01393;0.01970;0.01564;0.01419;0.01453;-1.00000;-1.00000;0.00000;0.00007;0.00012;0.00012;0.00000;0.00447;0.00915;0.01989;0.01582;0.01447;0.00965;0.99475;-1.00000;0.00000;0.00007;0.00012;0.00012;0.00000;0.00657;0.01336;0.01932;0.01526;0.01384;0.01394;0.99548;-1.00000;0.00000;0.00007;0.00012;0.00012;0.00000;0.00476;0.00974;0.01953;0.01546;0.01410;0.01025;0.98574;2.00000
7;6499;1625;22;2;0.00000;0.00004;0.00008;0.00008;0.00000;0.00729;0.01476;0.01936;0.01531;0.01386;0.01538;-1.00000;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00433;0.00888;0.01990;0.01583;0.01448;0.00937;0.99774;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00695;0.01411;0.01916;0.01511;0.01368;0.01470;0.99669;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00458;0.00938;0.01963;0.01555;0.01420;0.00988;0.99098;2.00000
8;6499;1625;22;2;0.00000;0.00007;0.00012;0.00012;0.00000;0.00719;0.01459;0.01955;0.01549;0.01404;0.01520;-1.00000;-1.00000;0.00000;0.00007;0.00012;0.00012;0.00000;0.00446;0.00914;0.02007;0.01600;0.01465;0.00964;0.99555;-1.00000;0.00000;0.00007;0.00012;0.00012;0.00000;0.00688;0.01398;0.01932;0.01526;0.01383;0.01457;0.99564;-1.00000;0.00000;0.00007;0.00012;0.00012;0.00000;0.00478;0.00978;0.01968;0.01561;0.01425;0.01028;0.98590;2.00000
9;6499;1625;22;2;0.00000;0.00006;0.00011;0.00011;0.00000;0.00680;0.01382;0.01923;0.01519;0.01377;0.01441;-1.00000;-1.00000;0.00000;0.00006;0.00011;0.00011;0.00000;0.00438;0.00899;0.01974;0.01569;0.01435;0.00948;0.99626;-1.00000;0.00000;0.00006;0.00011;0.00011;0.00000;0.00652;0.01327;0.01902;0.01499;0.01358;0.01385;0.99660;-1.00000;0.00000;0.00006;0.00011;0.00011;0.00000;0.00469;0.00960;0.01936;0.01531;0.01397;0.01010;0.98724;2.00000
10;6499;1625;22;2;0.00000;0.00007;0.00013;0.00013;0.00000;0.00726;0.01473;0.01966;0.01561;0.01415;0.01534;-1.00000;-1.00000;0.00000;0.00007;0.00013;0.00013;0.00000;0.00448;0.00917;0.02008;0.01602;0.01467;0.00967;0.99500;-1.00000;0.00000;0.00007;0.00013;0.00013;0.00000;0.00696;0.01414;0.01932;0.01527;0.01384;0.01474;0.99540;-1.00000;0.00000;0.00007;0.00013;0.00013;0.00000;0.00479;0.00981;0.01970;0.01564;0.01428;0.01031;0.98527;2.00000
