repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;6499;1625;22;2;0.00000;0.00006;0.00011;0.00011;0.00000;0.00786;0.01608;0.04778;0.03916;0.03507;0.01695;-1.00000;-1.00000;0.00000;0.00006;0.00011;0.00011;0.00000;0.00680;0.01396;0.04855;0.03990;0.03589;0.01480;0.99698;-1.00000;0.00000;0.00006;0.00011;0.00011;0.00000;0.00783;0.01602;0.04776;0.03914;0.03506;0.01689;0.99969;-1.00000;0.00000;0.00006;0.00011;0.00011;0.00000;0.00709;0.01455;0.04805;0.03939;0.03537;0.01539;0.99213;2.00000
2;6499;1625;22;2;0.00000;0.00005;0.00011;0.00011;0.00000;0.00816;0.01669;0.04809;0.03947;0.03533;0.01758;-1.00000;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00682;0.01401;0.04885;0.04018;0.03614;0.01485;0.99727;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00810;0.01656;0.04806;0.03943;0.03531;0.01745;0.99953;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00711;0.01459;0.04836;0.03969;0.03564;0.01544;0.99253;2.00000
3;6499;1625;22;2;0.00000;0.00006;0.00012;0.00012;0.00000;0.00806;0.01648;0.04774;0.03915;0.03505;0.01737;-1.00000;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00679;0.01393;0.04865;0.04002;0.03601;0.01476;0.99729;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00803;0.01641;0.04773;0.03913;0.03503;0.01729;0.99967;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00711;0.01458;0.04808;0.03944;0.03541;0.01543;0.99178;2.00000
4;6499;1625;22;2;0.00000;0.00004;0.00008;0.00008;0.00000;0.00763;0.01562;0.04793;0.03926;0.03517;0.01650;-1.00000;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00679;0.01395;0.04851;0.03982;0.03578;0.01479;0.99756;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00762;0.01559;0.04793;0.03926;0.03517;0.01646;0.99987;-1.00000;0.00000;0.00004;0.00008;0.00008;0.00000;0.00700;0.01437;0.04816;0.03946;0.03542;0.01522;0.99429;2.00000
5;6499;1625;22;2;0.00000;0.00008;0.00016;0.00016;0.00000;0.00830;0.01696;0.04818;0.03957;0.03542;0.01787;-1.00000;-1.00000;0.00000;0.00008;0.00016;0.00016;0.00000;0.00695;0.01426;0.04922;0.04057;0.03652;0.01510;0.99643;-1.00000;0.00000;0.00008;0.00016;0.00016;0.00000;0.00825;0.01685;0.04815;0.03953;0.03539;0.01775;0.99937;-1.00000;0.00000;0.00008;0.00016;0.00016;0.00000;0.00737;0.01509;0.04844;0.03979;0.03572;0.01595;0.98902;2.00000
6;6499;1625;22;2;0.00000;0.00006;0.00012;0.00012;0.00000;0.00777;0.01591;0.04848;0.03976;0.03562;0.01678;-1.00000;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00682;0.01399;0.04922;0.04048;0.03640;0.01482;0.99673;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00774;0.01585;0.04847;0.03975;0.03561;0.01672;0.99967;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00711;0.01458;0.04869;0.03994;0.03585;0.01543;0.99171;2.00000
7;6499;1625;22;2;0.00000;0.00005;0.00011;0.00011;0.00000;0.00783;0.01603;0.04844;0.03974;0.03559;0.01690;-1.00000;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00682;0.01400;0.04913;0.04039;0.03632;0.01484;0.99708;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00779;0.01594;0.04842;0.03971;0.03557;0.01682;0.99966;-1.00000;0.00000;0.00005;0.00011;0.00011;0.00000;0.00710;0.01456;0.04864;0.03990;0.03581;0.01540;0.99250;2.00000
8;6499;1625;22;2;0.00000;0.00008;0.00016;0.00016;0.00000;0.00846;0.01727;0.04814;0.03955;0.03540;0.01818;-1.00000;-1.00000;0.00000;0.00008;0.00016;0.00016;0.00000;0.00693;0.01422;0.04925;0.04062;0.03658;0.01506;0.99618;-1.00000;0.00000;0.00008;0.00016;0.00016;0.00000;0.00839;0.01713;0.04809;0.03950;0.03535;0.01803;0.99926;-1.00000;0.00000;0.00008;0.00016;0.00016;0.00000;0.00732;0.01499;0.04852;0.03989;0.03582;0.01585;0.98932;2.00000
9;6499;1625;22;2;0.00000;0.00008;0.00014;0.00014;0.00000;0.00839;0.01713;0.04816;0.03957;0.03543;0.01803;-1.00000;-1.00000;0.00000;0.00008;0.00014;0.00014;0.00000;0.00693;0.01423;0.04908;0.04045;0.03642;0.01507;0.99614;-1.00000;0.00000;0.00008;0.00014;0.00014;0.00000;0.00831;0.01698;0.04809;0.03951;0.03537;0.01788;0.99914;-1.00000;0.00000;0.00008;0.00014;0.00014;0.00000;0.00733;0.01501;0.04837;0.03974;0.03568;0.01587;0.98914;2.00000
10;6499;1625;22;2;0.00000;0.00006;0.00012;0.00012;0.00000;0.00806;0.01648;0.04818;0.03954;0.03541;0.01737;-1.00000;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00682;0.01401;0.04902;0.04035;0.03631;0.01484;0.99703;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00802;0.01639;0.04815;0.03951;0.03538;0.01727;0.99946;-1.00000;0.00000;0.00006;0.00012;0.00012;0.00000;0.00717;0.01470;0.04842;0.03974;0.03568;0.01555;0.99109;2.00000
