repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;8793;2199;16;10;0.00864;0.06096;0.09563;-1.00000;0.01634;0.16454;-1.00000;-1.00000;0.22480;0.15126;-1.00000;-1.00000;-1.00000;0.05866;0.06096;0.09563;-1.00000;0.01634;0.14069;-1.00000;-1.00000;0.43652;0.33623;-1.00000;0.32088;-1.00000;0.00910;0.06096;0.09563;-1.00000;0.01634;0.15891;-1.00000;-1.00000;0.21216;0.14406;-1.00000;0.59059;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;8793;2199;16;10;0.01182;0.05965;0.09358;-1.00000;0.01554;0.16257;-1.00000;-1.00000;0.22002;0.14854;-1.00000;-1.00000;-1.00000;0.05957;0.05965;0.09358;-1.00000;0.01554;0.13873;-1.00000;-1.00000;0.33260;0.24592;-1.00000;0.31598;-1.00000;0.01228;0.05965;0.09358;-1.00000;0.01554;0.15601;-1.00000;-1.00000;0.20553;0.14028;-1.00000;0.60191;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;8793;2199;16;10;0.00819;0.06073;0.09477;-1.00000;0.01619;0.16687;-1.00000;-1.00000;0.23033;0.15422;-1.00000;-1.00000;-1.00000;0.04820;0.06073;0.09477;-1.00000;0.01619;0.14083;-1.00000;-1.00000;0.42411;0.32453;-1.00000;0.31922;-1.00000;0.00910;0.06073;0.09477;-1.00000;0.01619;0.15859;-1.00000;-1.00000;0.21284;0.14455;-1.00000;0.59697;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;8793;2199;16;10;0.01273;0.06068;0.09517;-1.00000;0.01605;0.16423;-1.00000;-1.00000;0.22712;0.15281;-1.00000;-1.00000;-1.00000;0.03774;0.06068;0.09517;-1.00000;0.01605;0.14403;-1.00000;-1.00000;0.33799;0.24626;-1.00000;0.30950;-1.00000;0.01046;0.06068;0.09517;-1.00000;0.01605;0.15851;-1.00000;-1.00000;0.21273;0.14432;-1.00000;0.60023;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;8793;2199;16;10;0.01228;0.06031;0.09453;-1.00000;0.01638;0.16484;-1.00000;-1.00000;0.22653;0.15244;-1.00000;-1.00000;-1.00000;0.05730;0.06031;0.09453;-1.00000;0.01638;0.13710;-1.00000;-1.00000;0.45169;0.35354;-1.00000;0.32929;-1.00000;0.01182;0.06031;0.09453;-1.00000;0.01638;0.15754;-1.00000;-1.00000;0.21189;0.14447;-1.00000;0.59088;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;8793;2199;16;10;0.01182;0.05978;0.09431;-1.00000;0.01580;0.16137;-1.00000;-1.00000;0.21687;0.14678;-1.00000;-1.00000;-1.00000;0.02683;0.05978;0.09431;-1.00000;0.01580;0.14178;-1.00000;-1.00000;0.28069;0.20265;-1.00000;0.30262;-1.00000;0.01091;0.05978;0.09431;-1.00000;0.01580;0.15622;-1.00000;-1.00000;0.20592;0.14060;-1.00000;0.59513;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;8793;2199;16;10;0.00682;0.06247;0.09778;-1.00000;0.01724;0.16653;-1.00000;-1.00000;0.23003;0.15406;-1.00000;-1.00000;-1.00000;0.05457;0.06247;0.09778;-1.00000;0.01724;0.14811;-1.00000;-1.00000;0.42637;0.31985;-1.00000;0.30767;-1.00000;0.00591;0.06247;0.09778;-1.00000;0.01724;0.16201;-1.00000;-1.00000;0.22050;0.14884;-1.00000;0.58019;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;8793;2199;16;10;0.00819;0.06197;0.09654;-1.00000;0.01660;0.16889;-1.00000;-1.00000;0.23378;0.15574;-1.00000;-1.00000;-1.00000;0.04457;0.06197;0.09654;-1.00000;0.01660;0.14423;-1.00000;-1.00000;0.39560;0.29544;-1.00000;0.31359;-1.00000;0.00864;0.06197;0.09654;-1.00000;0.01660;0.16134;-1.00000;-1.00000;0.21736;0.14667;-1.00000;0.59187;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;8793;2199;16;10;0.00819;0.06164;0.09629;-1.00000;0.01637;0.16866;-1.00000;-1.00000;0.23201;0.15454;-1.00000;-1.00000;-1.00000;0.02819;0.06164;0.09629;-1.00000;0.01637;0.14577;-1.00000;-1.00000;0.30326;0.21775;-1.00000;0.30165;-1.00000;0.00773;0.06164;0.09629;-1.00000;0.01637;0.16057;-1.00000;-1.00000;0.21501;0.14529;-1.00000;0.59409;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;8793;2199;16;10;0.00728;0.06134;0.09565;-1.00000;0.01658;0.16546;-1.00000;-1.00000;0.22807;0.15312;-1.00000;-1.00000;-1.00000;0.03683;0.06134;0.09565;-1.00000;0.01658;0.13903;-1.00000;-1.00000;0.47490;0.37275;-1.00000;0.32788;-1.00000;0.00637;0.06134;0.09565;-1.00000;0.01658;0.15963;-1.00000;-1.00000;0.21523;0.14591;-1.00000;0.58975;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
