repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;8844;2211;68;2;0.02714;0.06003;0.07418;0.07418;0.02273;0.15926;0.19180;0.15933;0.18908;0.14796;0.19574;-1.00000;-1.00000;0.03573;0.06003;0.07418;0.07418;0.02273;0.13361;0.20789;0.19945;0.23915;0.19333;0.21659;0.24995;-1.00000;0.02804;0.06003;0.07418;0.07418;0.02273;0.15267;0.18690;0.15162;0.17988;0.14096;0.19081;0.38643;-1.00000;0.02668;0.06003;0.07418;0.07418;0.02273;0.14887;0.18509;0.15338;0.18118;0.14276;0.18911;0.21334;0.28498
2;8844;2211;68;2;0.03754;0.05998;0.07387;0.07387;0.02278;0.15741;0.19033;0.15876;0.18789;0.14740;0.19428;-1.00000;-1.00000;0.05654;0.05998;0.07387;0.07387;0.02278;0.12885;0.24166;0.28173;0.34071;0.29382;0.25961;0.26791;-1.00000;0.03347;0.05998;0.07387;0.07387;0.02278;0.15053;0.18584;0.15133;0.17892;0.14066;0.18983;0.38659;-1.00000;0.03437;0.05998;0.07387;0.07387;0.02278;0.14853;0.18454;0.15292;0.18014;0.14219;0.18856;0.21200;0.28195
3;8844;2211;68;2;0.02533;0.06125;0.07497;0.07497;0.02341;0.15915;0.19312;0.16030;0.19017;0.14888;0.19717;-1.00000;-1.00000;0.03483;0.06125;0.07497;0.07497;0.02341;0.14326;0.20863;0.19286;0.23237;0.18476;0.21597;0.23329;-1.00000;0.02442;0.06125;0.07497;0.07497;0.02341;0.15417;0.18961;0.15414;0.18287;0.14327;0.19366;0.37945;-1.00000;0.02442;0.06125;0.07497;0.07497;0.02341;0.15123;0.18786;0.15599;0.18433;0.14512;0.19197;0.20961;0.27911
4;8844;2211;68;2;0.03121;0.06038;0.07411;0.07411;0.02326;0.15669;0.19040;0.16024;0.18936;0.14885;0.19440;-1.00000;-1.00000;0.05654;0.06038;0.07411;0.07411;0.02326;0.13825;0.22099;0.21670;0.26136;0.21200;0.23150;0.24468;-1.00000;0.03211;0.06038;0.07411;0.07411;0.02326;0.15151;0.18671;0.15311;0.18120;0.14239;0.19069;0.38328;-1.00000;0.02985;0.06038;0.07411;0.07411;0.02326;0.14925;0.18531;0.15490;0.18241;0.14407;0.18935;0.21057;0.27940
5;8844;2211;68;2;0.02985;0.06049;0.07379;0.07379;0.02334;0.15697;0.19055;0.15901;0.18807;0.14765;0.19455;-1.00000;-1.00000;0.05156;0.06049;0.07379;0.07379;0.02334;0.13504;0.23412;0.24024;0.29059;0.24050;0.24847;0.25334;-1.00000;0.02940;0.06049;0.07379;0.07379;0.02334;0.15186;0.18770;0.15299;0.18096;0.14220;0.19176;0.38092;-1.00000;0.02849;0.06049;0.07379;0.07379;0.02334;0.14947;0.18606;0.15502;0.18245;0.14412;0.19017;0.21024;0.27848
6;8844;2211;68;2;0.03256;0.05999;0.07349;0.07349;0.02321;0.15510;0.18888;0.15825;0.18666;0.14692;0.19288;-1.00000;-1.00000;0.04342;0.05999;0.07349;0.07349;0.02321;0.13762;0.20827;0.19261;0.23091;0.18534;0.21642;0.23996;-1.00000;0.03030;0.05999;0.07349;0.07349;0.02321;0.15106;0.18590;0.15297;0.18052;0.14212;0.18987;0.37888;-1.00000;0.03030;0.05999;0.07349;0.07349;0.02321;0.14835;0.18446;0.15447;0.18154;0.14360;0.18851;0.21096;0.27957
7;8844;2211;68;2;0.03121;0.06026;0.07531;0.07531;0.02252;0.15746;0.18876;0.15716;0.18603;0.14588;0.19259;-1.00000;-1.00000;0.06061;0.06026;0.07531;0.07531;0.02252;0.13373;0.22667;0.22610;0.27320;0.22421;0.23941;0.25476;-1.00000;0.02940;0.06026;0.07531;0.07531;0.02252;0.15144;0.18475;0.14931;0.17688;0.13875;0.18858;0.38954;-1.00000;0.03030;0.06026;0.07531;0.07531;0.02252;0.14909;0.18315;0.15135;0.17836;0.14065;0.18702;0.21127;0.27797
8;8844;2211;68;2;0.03030;0.06103;0.07523;0.07523;0.02340;0.15764;0.19136;0.16026;0.18972;0.14884;0.19538;-1.00000;-1.00000;0.05337;0.06103;0.07523;0.07523;0.02340;0.13782;0.25448;0.28274;0.34492;0.29268;0.27404;0.25629;-1.00000;0.02759;0.06103;0.07523;0.07523;0.02340;0.15260;0.18807;0.15336;0.18169;0.14256;0.19210;0.38235;-1.00000;0.02804;0.06103;0.07523;0.07523;0.02340;0.15069;0.18625;0.15568;0.18365;0.14476;0.19028;0.20955;0.27730
9;8844;2211;68;2;0.03573;0.05721;0.06962;0.06962;0.02203;0.15218;0.18565;0.15490;0.18200;0.14368;0.18959;-1.00000;-1.00000;0.05337;0.05721;0.06962;0.06962;0.02203;0.11982;0.22584;0.26531;0.31728;0.27493;0.24151;0.27823;-1.00000;0.03483;0.05721;0.06962;0.06962;0.02203;0.14505;0.18135;0.14729;0.17287;0.13679;0.18536;0.39278;-1.00000;0.03618;0.05721;0.06962;0.06962;0.02203;0.14248;0.17977;0.14916;0.17426;0.13860;0.18384;0.21693;0.29075
10;8844;2211;68;2;0.02759;0.06108;0.07440;0.07440;0.02357;0.15861;0.19291;0.16078;0.19064;0.14931;0.19699;-1.00000;-1.00000;0.03935;0.06108;0.07440;0.07440;0.02357;0.13607;0.21420;0.20653;0.24881;0.20088;0.22371;0.24821;-1.00000;0.02804;0.06108;0.07440;0.07440;0.02357;0.15374;0.18953;0.15535;0.18419;0.14440;0.19361;0.37903;-1.00000;0.02940;0.06108;0.07440;0.07440;0.02357;0.15086;0.18810;0.15688;0.18522;0.14592;0.19227;0.20986;0.28047
