repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;19509;4878;357;3;0.33128;0.54144;0.58901;-1.00000;0.31597;1.12949;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.50144;0.54144;0.58901;-1.00000;0.31597;1.10813;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05866;-1.00000;0.33579;0.54144;0.58901;-1.00000;0.31597;1.12115;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08484;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;19509;4878;357;3;0.32800;0.54112;0.58815;-1.00000;0.31596;1.12948;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.53547;0.54112;0.58815;-1.00000;0.31596;1.09649;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06108;-1.00000;0.33682;0.54112;0.58815;-1.00000;0.31596;1.12043;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08486;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;19509;4878;357;3;0.33415;0.54170;0.58957;-1.00000;0.31625;1.12923;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.45756;0.54170;0.58957;-1.00000;0.31625;1.10982;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05701;-1.00000;0.33436;0.54170;0.58957;-1.00000;0.31625;1.12147;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08434;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;19509;4878;357;3;0.33333;0.54024;0.58868;-1.00000;0.31479;1.12748;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.53731;0.54024;0.58868;-1.00000;0.31479;1.10195;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05999;-1.00000;0.34276;0.54024;0.58868;-1.00000;0.31479;1.11865;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08477;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;19509;4878;357;3;0.33374;0.53856;0.58662;-1.00000;0.31316;1.12732;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52419;0.53856;0.58662;-1.00000;0.31316;1.08952;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06252;-1.00000;0.33948;0.53856;0.58662;-1.00000;0.31316;1.11548;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08565;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;19509;4878;357;3;0.35219;0.53914;0.58755;-1.00000;0.31418;1.12511;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.53752;0.53914;0.58755;-1.00000;0.31418;1.09887;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05898;-1.00000;0.34461;0.53914;0.58755;-1.00000;0.31418;1.11642;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08480;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;19509;4878;357;3;0.34010;0.54050;0.58872;-1.00000;0.31496;1.12773;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.48585;0.54050;0.58872;-1.00000;0.31496;1.10353;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05846;-1.00000;0.34563;0.54050;0.58872;-1.00000;0.31496;1.11917;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08475;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;19509;4878;357;3;0.33723;0.53962;0.58772;-1.00000;0.31433;1.12643;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.47335;0.53962;0.58772;-1.00000;0.31433;1.10297;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05894;-1.00000;0.34379;0.53962;0.58772;-1.00000;0.31433;1.11746;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08482;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;19509;4878;357;3;0.34174;0.54119;0.58853;-1.00000;0.31608;1.13108;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52358;0.54119;0.58853;-1.00000;0.31608;1.10478;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.05927;-1.00000;0.35055;0.54119;0.58853;-1.00000;0.31608;1.12062;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08504;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;19509;4878;357;3;0.33169;0.54206;0.58975;-1.00000;0.31646;1.12920;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.53854;0.54206;0.58975;-1.00000;0.31646;1.10332;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.06027;-1.00000;0.33559;0.54206;0.58975;-1.00000;0.31646;1.12214;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.08409;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
