repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;46807;11702;48;11;0.00248;0.02399;0.04163;-1.00000;0.00369;0.06759;-1.00000;-1.00000;0.03260;0.02807;-1.00000;-1.00000;-1.00000;0.01846;0.02399;0.04163;-1.00000;0.00369;0.04405;-1.00000;-1.00000;0.06175;0.05724;-1.00000;0.19958;-1.00000;0.00248;0.02399;0.04163;-1.00000;0.00369;0.05632;-1.00000;-1.00000;0.02792;0.02457;-1.00000;0.42451;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;46807;11702;48;11;0.00137;0.02465;0.04272;-1.00000;0.00375;0.06939;-1.00000;-1.00000;0.03328;0.02855;-1.00000;-1.00000;-1.00000;0.01931;0.02465;0.04272;-1.00000;0.00375;0.04552;-1.00000;-1.00000;0.10129;0.09633;-1.00000;0.20223;-1.00000;0.00085;0.02465;0.04272;-1.00000;0.00375;0.05771;-1.00000;-1.00000;0.02829;0.02483;-1.00000;0.42090;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;46807;11702;48;11;0.00188;0.02573;0.04447;-1.00000;0.00399;0.06955;-1.00000;-1.00000;0.03367;0.02888;-1.00000;-1.00000;-1.00000;0.01820;0.02573;0.04447;-1.00000;0.00399;0.04464;-1.00000;-1.00000;0.10345;0.09872;-1.00000;0.20514;-1.00000;0.00162;0.02573;0.04447;-1.00000;0.00399;0.06002;-1.00000;-1.00000;0.02971;0.02597;-1.00000;0.40935;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;46807;11702;48;11;0.00256;0.02575;0.04457;-1.00000;0.00394;0.06911;-1.00000;-1.00000;0.03316;0.02846;-1.00000;-1.00000;-1.00000;0.00607;0.02575;0.04457;-1.00000;0.00394;0.04943;-1.00000;-1.00000;0.06309;0.05785;-1.00000;0.18696;-1.00000;0.00222;0.02575;0.04457;-1.00000;0.00394;0.06005;-1.00000;-1.00000;0.02941;0.02570;-1.00000;0.41038;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;46807;11702;48;11;0.00171;0.02540;0.04398;-1.00000;0.00386;0.06876;-1.00000;-1.00000;0.03300;0.02835;-1.00000;-1.00000;-1.00000;0.02068;0.02540;0.04398;-1.00000;0.00386;0.04721;-1.00000;-1.00000;0.09916;0.09381;-1.00000;0.19764;-1.00000;0.00171;0.02540;0.04398;-1.00000;0.00386;0.05929;-1.00000;-1.00000;0.02894;0.02532;-1.00000;0.41379;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;46807;11702;48;11;0.00154;0.02642;0.04573;-1.00000;0.00413;0.07061;-1.00000;-1.00000;0.03419;0.02926;-1.00000;-1.00000;-1.00000;0.01752;0.02642;0.04573;-1.00000;0.00413;0.04761;-1.00000;-1.00000;0.10968;0.10450;-1.00000;0.19863;-1.00000;0.00128;0.02642;0.04573;-1.00000;0.00413;0.06148;-1.00000;-1.00000;0.03055;0.02663;-1.00000;0.40183;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;46807;11702;48;11;0.00248;0.02444;0.04255;-1.00000;0.00366;0.06836;-1.00000;-1.00000;0.03240;0.02784;-1.00000;-1.00000;-1.00000;0.01914;0.02444;0.04255;-1.00000;0.00366;0.04320;-1.00000;-1.00000;0.10020;0.09569;-1.00000;0.20853;-1.00000;0.00188;0.02444;0.04255;-1.00000;0.00366;0.05728;-1.00000;-1.00000;0.02779;0.02440;-1.00000;0.42427;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;46807;11702;48;11;0.00197;0.02605;0.04507;-1.00000;0.00397;0.07038;-1.00000;-1.00000;0.03366;0.02881;-1.00000;-1.00000;-1.00000;0.02059;0.02605;0.04507;-1.00000;0.00397;0.04904;-1.00000;-1.00000;0.10135;0.09565;-1.00000;0.19362;-1.00000;0.00197;0.02605;0.04507;-1.00000;0.00397;0.06071;-1.00000;-1.00000;0.02971;0.02592;-1.00000;0.41010;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;46807;11702;48;11;0.00222;0.02473;0.04293;-1.00000;0.00371;0.06858;-1.00000;-1.00000;0.03251;0.02792;-1.00000;-1.00000;-1.00000;0.01572;0.02473;0.04293;-1.00000;0.00371;0.03760;-1.00000;-1.00000;0.08766;0.08394;-1.00000;0.22330;-1.00000;0.00188;0.02473;0.04293;-1.00000;0.00371;0.05788;-1.00000;-1.00000;0.02811;0.02466;-1.00000;0.42170;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;46807;11702;48;11;0.00171;0.02576;0.04454;-1.00000;0.00392;0.06805;-1.00000;-1.00000;0.03322;0.02858;-1.00000;-1.00000;-1.00000;0.02273;0.02576;0.04454;-1.00000;0.00392;0.04835;-1.00000;-1.00000;0.11177;0.10649;-1.00000;0.19719;-1.00000;0.00179;0.02576;0.04454;-1.00000;0.00392;0.06007;-1.00000;-1.00000;0.02935;0.02564;-1.00000;0.41186;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;46807;11702;48;11;0.00145;0.02520;0.04361;-1.00000;0.00388;0.06963;-1.00000;-1.00000;0.03340;0.02864;-1.00000;-1.00000;-1.00000;0.01854;0.02520;0.04361;-1.00000;0.00388;0.04502;-1.00000;-1.00000;0.10159;0.09674;-1.00000;0.20372;-1.00000;0.00128;0.02520;0.04361;-1.00000;0.00388;0.05890;-1.00000;-1.00000;0.02906;0.02545;-1.00000;0.41461;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
12;46807;11702;48;11;0.00145;0.02578;0.04465;-1.00000;0.00400;0.06896;-1.00000;-1.00000;0.03351;0.02878;-1.00000;-1.00000;-1.00000;0.01683;0.02578;0.04465;-1.00000;0.00400;0.04411;-1.00000;-1.00000;0.10230;0.09764;-1.00000;0.20635;-1.00000;0.00120;0.02578;0.04465;-1.00000;0.00400;0.06012;-1.00000;-1.00000;0.02978;0.02602;-1.00000;0.40854;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
13;46807;11702;48;11;0.00197;0.02484;0.04308;-1.00000;0.00373;0.06912;-1.00000;-1.00000;0.03265;0.02801;-1.00000;-1.00000;-1.00000;0.01333;0.02484;0.04308;-1.00000;0.00373;0.03377;-1.00000;-1.00000;0.07910;0.07589;-1.00000;0.23555;-1.00000;0.00171;0.02484;0.04308;-1.00000;0.00373;0.05813;-1.00000;-1.00000;0.02821;0.02474;-1.00000;0.42154;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
14;46807;11702;48;11;0.00197;0.02515;0.04331;-1.00000;0.00397;0.06935;-1.00000;-1.00000;0.03381;0.02902;-1.00000;-1.00000;-1.00000;0.01906;0.02515;0.04331;-1.00000;0.00397;0.04293;-1.00000;-1.00000;0.09961;0.09514;-1.00000;0.20919;-1.00000;0.00179;0.02515;0.04331;-1.00000;0.00397;0.05878;-1.00000;-1.00000;0.02957;0.02591;-1.00000;0.41023;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
15;46807;11702;48;11;0.00205;0.02653;0.04592;-1.00000;0.00407;0.06836;-1.00000;-1.00000;0.03328;0.02861;-1.00000;-1.00000;-1.00000;0.02384;0.02653;0.04592;-1.00000;0.00407;0.05045;-1.00000;-1.00000;0.09734;0.09134;-1.00000;0.18927;-1.00000;0.00179;0.02653;0.04592;-1.00000;0.00407;0.06169;-1.00000;-1.00000;0.03018;0.02629;-1.00000;0.40273;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
16;46807;11702;48;11;0.00197;0.02498;0.04332;-1.00000;0.00378;0.06764;-1.00000;-1.00000;0.03210;0.02762;-1.00000;-1.00000;-1.00000;0.01461;0.02498;0.04332;-1.00000;0.00378;0.03956;-1.00000;-1.00000;0.09203;0.08804;-1.00000;0.21786;-1.00000;0.00205;0.02498;0.04332;-1.00000;0.00378;0.05839;-1.00000;-1.00000;0.02841;0.02490;-1.00000;0.41664;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
17;46807;11702;48;11;0.00154;0.02545;0.04398;-1.00000;0.00391;0.06755;-1.00000;-1.00000;0.03286;0.02830;-1.00000;-1.00000;-1.00000;0.01683;0.02545;0.04398;-1.00000;0.00391;0.04821;-1.00000;-1.00000;0.11089;0.10560;-1.00000;0.19741;-1.00000;0.00137;0.02545;0.04398;-1.00000;0.00391;0.05942;-1.00000;-1.00000;0.02923;0.02558;-1.00000;0.41179;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
18;46807;11702;48;11;0.00137;0.02413;0.04159;-1.00000;0.00374;0.06648;-1.00000;-1.00000;0.03231;0.02788;-1.00000;-1.00000;-1.00000;0.01812;0.02413;0.04159;-1.00000;0.00374;0.04176;-1.00000;-1.00000;0.09699;0.09269;-1.00000;0.21212;-1.00000;0.00162;0.02413;0.04159;-1.00000;0.00374;0.05658;-1.00000;-1.00000;0.02816;0.02477;-1.00000;0.42070;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
19;46807;11702;48;11;0.00273;0.02444;0.04219;-1.00000;0.00377;0.06915;-1.00000;-1.00000;0.03301;0.02832;-1.00000;-1.00000;-1.00000;0.01795;0.02444;0.04219;-1.00000;0.00377;0.04638;-1.00000;-1.00000;0.05901;0.05433;-1.00000;0.19171;-1.00000;0.00239;0.02444;0.04219;-1.00000;0.00377;0.05726;-1.00000;-1.00000;0.02838;0.02494;-1.00000;0.41915;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
20;46807;11702;48;11;0.00120;0.02494;0.04308;-1.00000;0.00385;0.06765;-1.00000;-1.00000;0.03281;0.02824;-1.00000;-1.00000;-1.00000;0.01820;0.02494;0.04308;-1.00000;0.00385;0.04626;-1.00000;-1.00000;0.06271;0.05789;-1.00000;0.19394;-1.00000;0.00103;0.02494;0.04308;-1.00000;0.00385;0.05831;-1.00000;-1.00000;0.02884;0.02529;-1.00000;0.41487;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
