repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;46400;11600;9;7;0.00034;0.00063;0.00093;-1.00000;0.00017;0.00382;-1.00000;-1.00000;0.00889;0.00831;-1.00000;-1.00000;-1.00000;0.00052;0.00063;0.00093;-1.00000;0.00017;0.00244;-1.00000;-1.00000;0.01066;0.01013;-1.00000;0.88878;-1.00000;0.00017;0.00063;0.00093;-1.00000;0.00017;0.00360;-1.00000;-1.00000;0.00834;0.00778;-1.00000;0.94303;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;46400;11600;9;7;0.00026;0.00060;0.00090;-1.00000;0.00016;0.00374;-1.00000;-1.00000;0.00869;0.00811;-1.00000;-1.00000;-1.00000;0.00034;0.00060;0.00090;-1.00000;0.00016;0.00247;-1.00000;-1.00000;0.01018;0.00967;-1.00000;0.87717;-1.00000;0.00026;0.00060;0.00090;-1.00000;0.00016;0.00349;-1.00000;-1.00000;0.00818;0.00763;-1.00000;0.94616;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;46400;11600;9;7;0.00000;0.00060;0.00086;-1.00000;0.00018;0.00371;-1.00000;-1.00000;0.00886;0.00828;-1.00000;-1.00000;-1.00000;0.00009;0.00060;0.00086;-1.00000;0.00018;0.00266;-1.00000;-1.00000;0.01009;0.00956;-1.00000;0.84339;-1.00000;0.00000;0.00060;0.00086;-1.00000;0.00018;0.00349;-1.00000;-1.00000;0.00839;0.00783;-1.00000;0.94094;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;46400;11600;9;7;0.00034;0.00055;0.00080;-1.00000;0.00015;0.00361;-1.00000;-1.00000;0.00864;0.00807;-1.00000;-1.00000;-1.00000;0.00009;0.00055;0.00080;-1.00000;0.00015;0.00231;-1.00000;-1.00000;0.00956;0.00905;-1.00000;0.88387;-1.00000;0.00034;0.00055;0.00080;-1.00000;0.00015;0.00335;-1.00000;-1.00000;0.00814;0.00758;-1.00000;0.94947;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;46400;11600;9;7;0.00009;0.00062;0.00090;-1.00000;0.00017;0.00377;-1.00000;-1.00000;0.00872;0.00814;-1.00000;-1.00000;-1.00000;0.00009;0.00062;0.00090;-1.00000;0.00017;0.00262;-1.00000;-1.00000;0.01017;0.00964;-1.00000;0.85586;-1.00000;0.00009;0.00062;0.00090;-1.00000;0.00017;0.00358;-1.00000;-1.00000;0.00826;0.00770;-1.00000;0.94415;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;46400;11600;9;7;0.00000;0.00068;0.00090;-1.00000;0.00022;0.00403;-1.00000;-1.00000;0.00944;0.00884;-1.00000;-1.00000;-1.00000;0.00060;0.00068;0.00090;-1.00000;0.00022;0.00270;-1.00000;-1.00000;0.01114;0.01061;-1.00000;0.85976;-1.00000;0.00000;0.00068;0.00090;-1.00000;0.00022;0.00377;-1.00000;-1.00000;0.00885;0.00827;-1.00000;0.92980;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;46400;11600;9;7;0.00026;0.00053;0.00076;-1.00000;0.00014;0.00343;-1.00000;-1.00000;0.00825;0.00769;-1.00000;-1.00000;-1.00000;0.00034;0.00053;0.00076;-1.00000;0.00014;0.00250;-1.00000;-1.00000;0.00977;0.00925;-1.00000;0.86125;-1.00000;0.00026;0.00053;0.00076;-1.00000;0.00014;0.00328;-1.00000;-1.00000;0.00789;0.00734;-1.00000;0.95382;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;46400;11600;9;7;0.00009;0.00059;0.00085;-1.00000;0.00015;0.00370;-1.00000;-1.00000;0.00856;0.00799;-1.00000;-1.00000;-1.00000;0.00034;0.00059;0.00085;-1.00000;0.00015;0.00258;-1.00000;-1.00000;0.00934;0.00882;-1.00000;0.85022;-1.00000;0.00000;0.00059;0.00085;-1.00000;0.00015;0.00346;-1.00000;-1.00000;0.00807;0.00752;-1.00000;0.94917;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;46400;11600;9;7;0.00017;0.00060;0.00083;-1.00000;0.00018;0.00376;-1.00000;-1.00000;0.00896;0.00837;-1.00000;-1.00000;-1.00000;0.00009;0.00060;0.00083;-1.00000;0.00018;0.00271;-1.00000;-1.00000;0.00972;0.00919;-1.00000;0.83098;-1.00000;0.00009;0.00060;0.00083;-1.00000;0.00018;0.00350;-1.00000;-1.00000;0.00839;0.00783;-1.00000;0.94169;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;46400;11600;9;7;0.00043;0.00056;0.00087;-1.00000;0.00013;0.00358;-1.00000;-1.00000;0.00821;0.00765;-1.00000;-1.00000;-1.00000;0.00034;0.00056;0.00087;-1.00000;0.00013;0.00237;-1.00000;-1.00000;0.00964;0.00913;-1.00000;0.88039;-1.00000;0.00043;0.00056;0.00087;-1.00000;0.00013;0.00337;-1.00000;-1.00000;0.00782;0.00728;-1.00000;0.95541;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;46400;11600;9;7;0.00009;0.00061;0.00087;-1.00000;0.00017;0.00376;-1.00000;-1.00000;0.00879;0.00821;-1.00000;-1.00000;-1.00000;0.00000;0.00061;0.00087;-1.00000;0.00017;0.00215;-1.00000;-1.00000;0.01143;0.01092;-1.00000;0.93445;-1.00000;0.00009;0.00061;0.00087;-1.00000;0.00017;0.00353;-1.00000;-1.00000;0.00830;0.00774;-1.00000;0.94424;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
12;46400;11600;9;7;0.00009;0.00063;0.00092;-1.00000;0.00019;0.00381;-1.00000;-1.00000;0.00891;0.00833;-1.00000;-1.00000;-1.00000;0.00043;0.00063;0.00092;-1.00000;0.00019;0.00249;-1.00000;-1.00000;0.01099;0.01047;-1.00000;0.88440;-1.00000;0.00009;0.00063;0.00092;-1.00000;0.00019;0.00361;-1.00000;-1.00000;0.00846;0.00789;-1.00000;0.93909;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
13;46400;11600;9;7;0.00000;0.00064;0.00090;-1.00000;0.00018;0.00390;-1.00000;-1.00000;0.00903;0.00844;-1.00000;-1.00000;-1.00000;0.00000;0.00064;0.00090;-1.00000;0.00018;0.00172;-1.00000;-1.00000;0.01128;0.01078;-1.00000;0.98475;-1.00000;0.00009;0.00064;0.00090;-1.00000;0.00018;0.00363;-1.00000;-1.00000;0.00845;0.00789;-1.00000;0.94071;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
14;46400;11600;9;7;0.00017;0.00061;0.00086;-1.00000;0.00017;0.00380;-1.00000;-1.00000;0.00889;0.00831;-1.00000;-1.00000;-1.00000;0.00026;0.00061;0.00086;-1.00000;0.00017;0.00269;-1.00000;-1.00000;0.00980;0.00927;-1.00000;0.83726;-1.00000;0.00017;0.00061;0.00086;-1.00000;0.00017;0.00353;-1.00000;-1.00000;0.00836;0.00779;-1.00000;0.94293;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
15;46400;11600;9;7;0.00026;0.00061;0.00090;-1.00000;0.00016;0.00381;-1.00000;-1.00000;0.00879;0.00821;-1.00000;-1.00000;-1.00000;0.00034;0.00061;0.00090;-1.00000;0.00016;0.00258;-1.00000;-1.00000;0.00963;0.00911;-1.00000;0.85781;-1.00000;0.00017;0.00061;0.00090;-1.00000;0.00016;0.00354;-1.00000;-1.00000;0.00819;0.00764;-1.00000;0.94683;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
16;46400;11600;9;7;0.00000;0.00063;0.00089;-1.00000;0.00018;0.00382;-1.00000;-1.00000;0.00885;0.00826;-1.00000;-1.00000;-1.00000;0.00009;0.00063;0.00089;-1.00000;0.00018;0.00284;-1.00000;-1.00000;0.01009;0.00955;-1.00000;0.82153;-1.00000;0.00000;0.00063;0.00089;-1.00000;0.00018;0.00361;-1.00000;-1.00000;0.00841;0.00784;-1.00000;0.94184;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
17;46400;11600;9;7;0.00009;0.00063;0.00093;-1.00000;0.00017;0.00390;-1.00000;-1.00000;0.00885;0.00826;-1.00000;-1.00000;-1.00000;0.00017;0.00063;0.00093;-1.00000;0.00017;0.00174;-1.00000;-1.00000;0.01111;0.01061;-1.00000;0.98136;-1.00000;0.00009;0.00063;0.00093;-1.00000;0.00017;0.00361;-1.00000;-1.00000;0.00827;0.00771;-1.00000;0.94521;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
18;46400;11600;9;7;0.00009;0.00062;0.00088;-1.00000;0.00019;0.00388;-1.00000;-1.00000;0.00912;0.00853;-1.00000;-1.00000;-1.00000;0.00043;0.00062;0.00088;-1.00000;0.00019;0.00244;-1.00000;-1.00000;0.01083;0.01030;-1.00000;0.88860;-1.00000;0.00009;0.00062;0.00088;-1.00000;0.00019;0.00359;-1.00000;-1.00000;0.00853;0.00797;-1.00000;0.93864;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
19;46400;11600;9;7;0.00017;0.00059;0.00085;-1.00000;0.00016;0.00373;-1.00000;-1.00000;0.00877;0.00819;-1.00000;-1.00000;-1.00000;0.00009;0.00059;0.00085;-1.00000;0.00016;0.00242;-1.00000;-1.00000;0.00998;0.00946;-1.00000;0.88051;-1.00000;0.00009;0.00059;0.00085;-1.00000;0.00016;0.00349;-1.00000;-1.00000;0.00823;0.00767;-1.00000;0.94761;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
20;46400;11600;9;7;0.00000;0.00065;0.00091;-1.00000;0.00020;0.00394;-1.00000;-1.00000;0.00923;0.00863;-1.00000;-1.00000;-1.00000;0.00017;0.00065;0.00091;-1.00000;0.00020;0.00272;-1.00000;-1.00000;0.01035;0.00981;-1.00000;0.84226;-1.00000;0.00000;0.00065;0.00091;-1.00000;0.00020;0.00367;-1.00000;-1.00000;0.00860;0.00803;-1.00000;0.93667;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
21;46400;11600;9;7;0.00000;0.00062;0.00088;-1.00000;0.00017;0.00379;-1.00000;-1.00000;0.00887;0.00828;-1.00000;-1.00000;-1.00000;0.00017;0.00062;0.00088;-1.00000;0.00017;0.00256;-1.00000;-1.00000;0.01012;0.00959;-1.00000;0.86280;-1.00000;0.00009;0.00062;0.00088;-1.00000;0.00017;0.00356;-1.00000;-1.00000;0.00832;0.00776;-1.00000;0.94338;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
22;46400;11600;9;7;0.00026;0.00062;0.00089;-1.00000;0.00018;0.00376;-1.00000;-1.00000;0.00877;0.00819;-1.00000;-1.00000;-1.00000;0.00026;0.00062;0.00089;-1.00000;0.00018;0.00266;-1.00000;-1.00000;0.01050;0.00997;-1.00000;0.84794;-1.00000;0.00026;0.00062;0.00089;-1.00000;0.00018;0.00359;-1.00000;-1.00000;0.00838;0.00781;-1.00000;0.94115;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
23;46400;11600;9;7;0.00009;0.00060;0.00086;-1.00000;0.00015;0.00369;-1.00000;-1.00000;0.00853;0.00795;-1.00000;-1.00000;-1.00000;0.00026;0.00060;0.00086;-1.00000;0.00015;0.00273;-1.00000;-1.00000;0.00986;0.00933;-1.00000;0.83444;-1.00000;0.00026;0.00060;0.00086;-1.00000;0.00015;0.00350;-1.00000;-1.00000;0.00808;0.00753;-1.00000;0.94882;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
24;46400;11600;9;7;0.00009;0.00060;0.00084;-1.00000;0.00019;0.00374;-1.00000;-1.00000;0.00901;0.00842;-1.00000;-1.00000;-1.00000;0.00017;0.00060;0.00084;-1.00000;0.00019;0.00270;-1.00000;-1.00000;0.00996;0.00943;-1.00000;0.84285;-1.00000;0.00009;0.00060;0.00084;-1.00000;0.00019;0.00352;-1.00000;-1.00000;0.00851;0.00795;-1.00000;0.93766;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
25;46400;11600;9;7;0.00026;0.00061;0.00084;-1.00000;0.00018;0.00379;-1.00000;-1.00000;0.00883;0.00825;-1.00000;-1.00000;-1.00000;0.00017;0.00061;0.00084;-1.00000;0.00018;0.00279;-1.00000;-1.00000;0.00939;0.00886;-1.00000;0.81864;-1.00000;0.00017;0.00061;0.00084;-1.00000;0.00018;0.00354;-1.00000;-1.00000;0.00836;0.00780;-1.00000;0.94199;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
