repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;2540;635;60;2;0.02520;0.14560;0.21137;0.21137;0.04082;0.45312;0.55457;0.48291;1.00000;0.43583;0.58834;-1.00000;-1.00000;0.11654;0.14560;0.21137;0.21137;0.04082;0.33295;0.55682;0.73906;1.00000;0.93136;0.67342;0.38378;-1.00000;0.02362;0.14560;0.21137;0.21137;0.04082;0.41527;0.52259;0.45074;1.00000;0.40636;0.55665;0.64079;-1.00000;0.02992;0.14560;0.21137;0.21137;0.04082;0.39231;0.50778;0.45456;1.00000;0.41292;0.54409;0.30184;0.52409
2;2540;635;60;2;0.04724;0.14654;0.21246;0.21246;0.04142;0.44451;0.54773;0.48330;1.00000;0.43632;0.58186;-1.00000;-1.00000;0.12126;0.14654;0.21246;0.21246;0.04142;0.31986;0.53919;0.73102;1.00000;0.92056;0.64711;0.39262;-1.00000;0.05039;0.14654;0.21246;0.21246;0.04142;0.41179;0.51892;0.45417;1.00000;0.40963;0.55271;0.63870;-1.00000;0.05039;0.14654;0.21246;0.21246;0.04142;0.39365;0.50793;0.45569;1.00000;0.41343;0.54382;0.29945;0.51827
3;2540;635;60;2;0.02677;0.15135;0.21570;0.21570;0.04429;0.46207;0.56347;0.49484;1.00000;0.44766;0.59767;-1.00000;-1.00000;0.08346;0.15135;0.21570;0.21570;0.04429;0.34966;0.54634;0.65656;1.00000;0.71260;0.63695;0.35557;-1.00000;0.02520;0.15135;0.21570;0.21570;0.04429;0.42701;0.53441;0.46492;1.00000;0.42026;0.56917;0.62609;-1.00000;0.02520;0.15135;0.21570;0.21570;0.04429;0.40369;0.52016;0.47003;1.00000;0.42825;0.55773;0.29383;0.51112
4;2540;635;60;2;0.01732;0.14774;0.21012;0.21012;0.04221;0.45951;0.56294;0.49654;1.00000;0.44906;0.59806;-1.00000;-1.00000;0.10551;0.14774;0.21012;0.21012;0.04221;0.32532;0.54632;0.72041;1.00000;0.88614;0.65756;0.38368;-1.00000;0.02205;0.14774;0.21012;0.21012;0.04221;0.41843;0.52917;0.45881;1.00000;0.41441;0.56506;0.63913;-1.00000;0.02205;0.14774;0.21012;0.21012;0.04221;0.39629;0.51553;0.46266;1.00000;0.42111;0.55406;0.29823;0.52576
5;2540;635;60;2;0.02362;0.14492;0.20682;0.20682;0.04110;0.45364;0.55678;0.48362;1.00000;0.43690;0.59135;-1.00000;-1.00000;0.14488;0.14492;0.20682;0.20682;0.04110;0.34598;0.57026;0.71131;1.00000;0.85165;0.69124;0.36857;-1.00000;0.02520;0.14492;0.20682;0.20682;0.04110;0.41309;0.52356;0.44952;1.00000;0.40579;0.55893;0.63931;-1.00000;0.02992;0.14492;0.20682;0.20682;0.04110;0.39046;0.50895;0.45345;1.00000;0.41254;0.54662;0.30167;0.52634
6;2540;635;60;2;0.02992;0.13322;0.18981;0.18981;0.03820;0.45869;0.55992;0.48746;1.00000;0.44040;0.59388;-1.00000;-1.00000;0.06772;0.13322;0.18981;0.18981;0.03820;0.28513;0.49076;0.68162;1.00000;0.82848;0.57734;0.41328;-1.00000;0.02205;0.13322;0.18981;0.18981;0.03820;0.40338;0.51331;0.44324;1.00000;0.40005;0.54774;0.65206;-1.00000;0.03307;0.13322;0.18981;0.18981;0.03820;0.36643;0.49133;0.44714;1.00000;0.40914;0.53047;0.31725;0.57188
7;2540;635;60;2;0.02677;0.14838;0.21505;0.21505;0.04204;0.45253;0.55328;0.48268;1.00000;0.43586;0.58660;-1.00000;-1.00000;0.11654;0.14838;0.21505;0.21505;0.04204;0.34992;0.55698;0.65407;1.00000;0.72117;0.65869;0.35869;-1.00000;0.02520;0.14838;0.21505;0.21505;0.04204;0.41945;0.52478;0.45454;1.00000;0.41006;0.55810;0.63220;-1.00000;0.02677;0.14838;0.21505;0.21505;0.04204;0.39741;0.51088;0.45781;1.00000;0.41589;0.54649;0.29700;0.51292
8;2540;635;60;2;0.02520;0.14138;0.20390;0.20390;0.03935;0.45568;0.55700;0.48739;1.00000;0.43978;0.59086;-1.00000;-1.00000;0.10709;0.14138;0.20390;0.20390;0.03935;0.30931;0.52472;0.72130;1.00000;0.90168;0.62586;0.39638;-1.00000;0.02992;0.14138;0.20390;0.20390;0.03935;0.41125;0.51954;0.45158;1.00000;0.40709;0.55377;0.64856;-1.00000;0.03307;0.14138;0.20390;0.20390;0.03935;0.38290;0.50263;0.45309;1.00000;0.41231;0.54039;0.30548;0.54660
9;2540;635;60;2;0.03622;0.14263;0.20520;0.20520;0.04043;0.45023;0.55093;0.48073;1.00000;0.43385;0.58412;-1.00000;-1.00000;0.11654;0.14263;0.20520;0.20520;0.04043;0.32787;0.53313;0.64605;1.00000;0.71756;0.62804;0.37492;-1.00000;0.04094;0.14263;0.20520;0.20520;0.04043;0.40690;0.51496;0.44573;1.00000;0.40181;0.54882;0.64300;-1.00000;0.04567;0.14263;0.20520;0.20520;0.04043;0.38482;0.50124;0.44899;1.00000;0.40771;0.53754;0.30251;0.52722
10;2540;635;60;2;0.04094;0.12843;0.18380;0.18380;0.03947;0.45806;0.55920;0.48470;1.00000;0.43764;0.59306;-1.00000;-1.00000;0.10709;0.12843;0.18380;0.18380;0.03947;0.29872;0.50998;0.69632;1.00000;0.84990;0.60462;0.40189;-1.00000;0.04094;0.12843;0.18380;0.18380;0.03947;0.40668;0.51502;0.44524;1.00000;0.40154;0.54895;0.64695;-1.00000;0.04882;0.12843;0.18380;0.18380;0.03947;0.35644;0.48300;0.45967;1.00000;0.42385;0.52220;0.32391;0.59262
