h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.09929078014184398;4.8723064035348233e-26;0.004325653544155009;0.007532919787210116
2;0.08806228373702422;1.2003956253272761e-11;0.025555324076554416;0.020132436351496308
3;0.08548398256417353;2.4206889101352476e-08;0.027956451087568363;0.02523238295859632
4;0.0922460816129255;5.211238981589504e-17;0.017980455694840726;0.014404873347681414
5;0.08742792030661925;7.805297842843095e-11;0.023197369703177873;0.02056304188694625
6;0.08736787385201872;9.318610506168182e-11;0.022825500005869588;0.02212886044528662
7;0.10455253591829669;8.78476287911608e-33;0.0007759433364287116;0.0007180217683662994
8;0.08887965943308068;1.0757022670543115e-12;0.01201874435766839;0.01325603084758153
9;0.10041189297705168;1.7815650240400734e-27;0.0011948997697534935;0.001383362898207096
10;0.10243362065981237;4.5661337751516755e-30;0.0004605772241905668;0.001308629151055437
11;0.09799516073280332;2.230144404427754e-24;0.0029808781047094457;0.0014499720360385486
12;0.10360626149734477;1.4340759656973612e-31;0.0014870255920145852;0.001166179716859235
13;0.08525761042923514;4.721507343408537e-08;0.025842756456613256;0.028654246090793273
14;0.0858969927410992;7.154559199703611e-09;0.01385879040677728;0.01688106957884163
15;0.0958077603245605;1.4188260298455743e-21;0.0022207538671525817;0.003530593399002786
16;0.10284683934949201;1.3487308167628551e-30;0.004537641083047523;0.0028990348871492035
17;0.09963547995139732;1.7617003827797066e-26;0.0029429362991956354;0.0028143460833407875
18;0.0845562785546172;3.7409280488705546e-07;0.04559589875238439;0.03618651530903846
19;0.09273269938224474;1.2394866954856796e-17;0.012697139070097918;0.008447435226905307
20;0.09197468967186473;1.1608728880002482e-16;0.012495910675564059;0.017398909871166383
21;0.09684919147754875;6.563332858106699e-23;0.0024065085504767817;0.0029098907741633485
22;0.1029702283991266;9.370812547305943e-31;0.007973443089607252;0.007372308583523878
23;0.08575083849106185;1.1013088314504682e-08;0.02873247053053874;0.02939545498886829
24;0.07954191606407639;0.9997682877810103;0.018678732947311844;0.03077666983018418
25;0.09845044545360003;5.818265100891444e-25;0.00038417943944338897;0.0012409893800737848
26;0.0952989975803664;6.368124322750777e-21;0.0007470386903047557;0.001969697364082671
27;0.09340449866565002;1.7068492833436061e-18;0.0032868223968531285;0.0023837646174411924
28;0.09692605926336195;5.2312179084235044e-23;0.003462922089003539;0.003914806306210302
29;0.10826497984151258;1.5327879607033878e-37;0.004807327882827977;0.0022720809891275257
30;0.11025853725978156;4.269086226602328e-40;0.004265671964089882;0.0019467699858739845
31;0.08732550486681215;1.0559797403515329e-10;0.019018156959456807;0.022395244101241312
32;0.0948905109489051;2.1260319838187072e-20;0.003154999886373713;0.0030473427988399167
33;0.0977703919124775;4.3293201415086686e-24;0.0031410789694324643;0.004815934580973406
34;0.08873672925960507;1.640159250931111e-12;0.007812984905995184;0.010603394798813373
35;0.09642323334144391;2.307150674627994e-22;0.004440224369978172;0.004433769452148504
36;0.08421930373149886;1.0113017655677244e-06;0.025315024849226764;0.021640435388835803
37;0.10530334582812717;9.581097185238876e-34;0.00013086518944088833;0.00040259608578657524
38;0.09762780051328293;6.594462881132711e-24;0.0006375456498405706;0.0015939684060777462
39;0.0938180310307889;5.03697488346486e-19;0.0009382813380364234;0.0022202982237257618
40;0.09421789829572898;1.5476009475893653e-19;0.009789628086957136;0.007349839310220366
41;0.08323214099850813;1.862642566299699e-05;0.023750577802079453;0.031285569725528796
42;0.09616384239525938;4.96064254714589e-22;0.007901643386615333;0.0070163371522801304
43;0.09035789765443647;1.3709787919281961e-14;0.025714419996861273;0.019921146127611464
44;0.08963372494816862;1.1619958290192437e-13;0.00606658107281968;0.009024650330870255
45;0.09456698639149555;5.523723960064262e-20;0.008382449361060793;0.005288597856194114
46;0.0864988399875342;1.2111386784324383e-09;0.035398917285759765;0.02965311680611109
47;0.08556557945870923;1.902637499560984e-08;0.02343596773411845;0.013806797037448523
48;0.09408620809328798;2.2826883587815103e-19;0.004285218667983543;0.0070495520479421534
49;0.10270982050038117;2.0208899145013494e-30;0.007600054424254418;0.0036551202602748906
50;0.0954029354749377;4.68591162355417e-21;0.006437488293342131;0.007399806450994616
51;0.1080444644526786;2.9384422814203557e-37;7.749384438478444e-05;4.8113447493132026e-05
52;0.08383751080380294;3.1205104688724387e-06;0.021035583626024704;0.02312441655182426
53;0.08813148788927336;9.786452263430516e-12;0.011321310163046388;0.014719108871716133
54;0.10620141647953014;6.766374239635632e-35;0.004817317388831095;0.0027122230944415745
55;0.09961288538642334;1.8831787933082807e-26;0.0009555514646781192;0.0013503081092240217
56;0.08976753839767539;7.82880654389759e-14;0.02392510753812179;0.018244706671558152
57;0.11537397080190964;1.1854191106931708e-46;0.0004525301448311496;0.0002096792062967167
58;0.08503164777074494;9.198087391162645e-08;0.008611803216904025;0.01587506141651258
59;0.10178855051446724;3.064337022383974e-29;0.00014224001021130226;0.0010092736780160482
60;0.10962788767464379;2.745617021651311e-39;0.0009892574684332227;0.00031890307454856724
61;0.08815484228385444;9.134649763321914e-12;0.011157569593787558;0.020493144840308675
62;0.10214625013002324;1.0662820632236766e-29;0.00030023102627334107;0.000336685254132856
63;0.09876243630186848;2.316936405293096e-25;0.005270580387686479;0.004425751838637732
64;0.09578663345786634;1.510106237294778e-21;0.01559470379587428;0.010815823469754902
65;0.08507089241034195;8.192144160506513e-08;0.021981063231269325;0.02123226827470445
66;0.13103018985371925;1.0168567007364289e-66;8.502056150426863e-05;7.093709242059152e-06
67;0.10671840892553966;1.471382548056945e-35;0.0008656476899690847;0.0008392814152654558
68;0.11365364673349464;1.9002697799401432e-44;1.0430046498662857e-05;4.6589454241943394e-05
69;0.09472663017115932;3.4483883213017996e-20;0.005364090610942795;0.0044216499342891995
70;0.08293273387515131;4.506924948051823e-05;0.02251263349763992;0.03181255878765247
71;0.08258627254162196;0.00012529698434986705;0.025644106225296517;0.02384476580691086
72;0.09345470907895193;1.4717714405587266e-18;0.003572508472647002;0.004950243849232609
73;0.0908683048039757;3.0397699158735795e-15;0.013961627105839156;0.0117423217671464
74;0.08299315021102885;3.770896118918793e-05;0.03052874786525376;0.028243007635572637
75;0.08789076037984335;1.9914356967187555e-11;0.0149840196811347;0.015819001616550556
76;0.10025617946410026;2.820850355349925e-27;0.0017598455788533473;0.001946897523387821
77;0.08707270518827;2.226740041578686e-10;0.01466176040531176;0.018263264198761828
78;0.09327684400611196;2.4877712610785936e-18;0.00235194441909929;0.005075787364770429
79;0.09127243910002412;9.222758795062267e-16;0.002734757752513856;0.006564750187204083
80;0.09435653462957218;1.0279416834440716e-19;0.013886265722054642;0.011836062906721909
81;0.09589230715991279;1.1055166124316335e-21;0.005134302569040294;0.007452074778505806
82;0.10080127649242082;5.645831672323111e-28;0.0006622944030001534;0.0010378724303921811
83;0.08956359360951656;1.4291969085196233e-13;0.014438415669923429;0.015686558517010247
84;0.10137337865020463;1.0434298745521792e-28;0.0013719199638739191;0.0024128767823725157
85;0.09370018712315475;7.131987843641949e-19;0.001714790436638712;0.004037220451997984
86;0.09720059517630368;2.326641640603457e-23;0.008440621495385341;0.005279664046383986
87;0.10468262226847035;5.984089322798313e-33;0.001578407298047907;0.0010055685427392599
88;0.10755813953488372;1.2343574324735265e-36;6.542248033751365e-05;0.00018783009761831466
89;0.09650547855241783;1.809931260479771e-22;0.009686522357357431;0.005603978049495063
90;0.0891918073623028;4.2816519491297013e-13;0.0124263406101772;0.016579623295951237
91;0.10024645076191468;2.9030154539165466e-27;0.0044364613912989395;0.002085572846909365
92;0.08912428403836864;5.225840634855746e-13;0.017488327024449423;0.014454034138598398
93;0.0847727508740351;1.9748143883913928e-07;0.022106352275939413;0.022263790081780095
94;0.09533363312463247;5.7493543481216114e-21;0.0031061138345636063;0.004892961664681567
95;0.08550237410321283;2.2928017389548355e-08;0.022334567024866418;0.02589592779491416
96;0.11017183079152577;5.514000582343939e-40;6.112417039866242e-05;7.560242302073658e-05
97;0.09352667011910927;1.1901665487536886e-18;0.014898033092919143;0.011616429192813825
98;0.1018848348607989;2.3063682925901888e-29;0.0044332460351838915;0.0027396569436883332
99;0.1103288013318535;3.4695831743384007e-40;0.002041946667128718;0.001071292653753113
100;0.09434747909365349;1.0557837627618566e-19;0.014971167746699498;0.012417909908222873
