h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.07302003370155402;4.64194009376712e-06;0.00693980770928262;-1.0
2;0.06442577030812324;0.17528082067994877;0.018709024839429517;-1.0
3;0.06677890011223345;0.009784335606886574;0.023053631948245255;-1.0
4;0.08425595796584726;4.817248164421486e-12;0.0025618771348065996;-1.0
5;0.0774818401937046;1.952007455288813e-08;0.004041317448408614;-1.0
6;0.07722660653889515;2.6693830811078317e-08;0.005770721101980831;-1.0
7;0.0632173095014111;0.7714764688788401;0.030287914842411345;-1.0
8;0.07433195333082424;9.289927496599859e-07;0.004503339732489851;-1.0
9;0.06630556593201345;0.01748293185726084;0.02478900706240135;-1.0
10;0.08417132216014897;5.344085439672502e-12;0.0014288404777400524;-1.0
11;0.07227332457293036;1.1597740051902927e-05;0.011989891337584003;-1.0
12;0.06900431276954809;0.0006387728167655556;0.01122013334665781;-1.0
13;0.08465707344421604;2.945625353051279e-12;0.006975071472336932;-1.0
14;0.0791407574901074;2.5526672212948057e-09;0.004122966084697774;-1.0
15;0.08527710393730173;1.3771103247668511e-12;0.001137223448681437;-1.0
16;0.07883895131086142;3.6959551930039585e-09;0.0075828219053536575;-1.0
17;0.07799547852298418;1.0397617180242545e-08;0.0033193712263637183;-1.0
18;0.07029053420805999;0.00013193051843134253;0.011294529273664514;-1.0
19;0.075;4.094790073989852e-07;0.007515251888896841;-1.0
20;0.0850187265917603;1.890481348074213e-12;0.001213963047004887;-1.0
21;0.0771850170261067;2.8090545457138917e-08;0.013046455598669097;-1.0
22;0.07529102515959445;2.865766348236549e-07;0.009034450717114732;-1.0
23;0.06861831064702592;0.0010254607405868752;0.01539195813613962;-1.0
24;0.07561613144137416;1.9235318404175307e-07;0.004033041459740236;-1.0
25;0.06946264744429882;0.0003641260650457806;0.02216925856935515;-1.0
26;0.0759611795446062;1.259904399961034e-07;0.0048795639745607714;-1.0
27;0.07416493678052463;1.1401450228956176e-06;0.014252957136293104;-1.0
28;0.0729886130296808;4.824287648979323e-06;0.01692413712275907;-1.0
29;0.07327102803738318;3.4121477479331444e-06;0.012394462837907958;-1.0
30;0.08597115564712493;5.879475479619643e-13;0.000656015076896856;-1.0
31;0.08702975856260528;1.605313675867072e-13;0.00383749978868313;-1.0
32;0.07540428732606243;2.4941404429899497e-07;0.012338979040526705;-1.0
33;0.08401639344262295;6.462247152714652e-12;0.001899901038565804;-1.0
34;0.07376126126126126;1.8704452650182679e-06;0.021759325671937096;-1.0
35;0.06681681681681682;0.009339811136515493;0.010006434622769539;-1.0
36;0.08347433728144388;1.2562198670425841e-11;0.00211864088525733;-1.0
37;0.08101549374649991;2.561937489103475e-10;0.005720054589744406;-1.0
38;0.07673682249953437;4.8669233455935974e-08;0.010033060538294194;-1.0
39;0.08088372963864444;3.0112163228626245e-10;0.0004944818891455792;-1.0
40;0.08654572940287227;2.906287941040801e-13;0.0042557797924209035;-1.0
41;0.08336491095111785;1.4366225714581487e-11;0.0006217535538288727;-1.0
42;0.07065420560747664;8.446276590252506e-05;0.00857552485762838;-1.0
43;0.07007682218474799;0.00017145951193751858;0.03334618061545049;-1.0
44;0.08224863233352198;5.6472580314409454e-11;0.00038779824958829287;-1.0
45;0.07192228656827947;1.7837138760019668e-05;0.006396794901500263;-1.0
46;0.07517810273715786;3.2913928061295563e-07;0.021093878256352883;-1.0
47;0.08419276204762798;5.205412875113553e-12;0.0007640103665129008;-1.0
48;0.06956194773453657;0.0003223795990947361;0.014126177447886624;-1.0
49;0.07956231454005935;1.522250592011819e-09;0.008219747290572621;-1.0
50;0.0727717186912373;6.294254659167352e-06;0.02284602033773065;-1.0
51;0.0764904386951631;6.583711399918799e-08;0.007565211778816642;-1.0
