h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.0603976955956142;1.3014655448170593e-06;0.009969810958919688;0.007333270203746947
2;0.0692279138827023;1.0796832536436546e-11;0.0010209056206834056;0.0021123766561498376
3;0.0660941000746826;6.863948208197723e-10;0.0012586456954950841;0.002471158412249493
4;0.055275443510737626;0.0011532121083466297;0.04508917414505392;0.044979888831146224
5;0.06536675951717734;1.7993041978482858e-09;0.005381799453473287;0.0036809971700070827
6;0.05964846671652954;3.512031297509184e-06;0.001774234533229565;0.0060930552130775695
7;0.06594634873323398;8.348221174980424e-10;0.019281362204518294;0.021000399441643967
8;0.060486891385767794;1.1563974016058228e-06;0.030442768376827127;0.02941436779738414
9;0.07357049729931085;3.4234295276854445e-14;0.0011431430595169796;0.0010461343754077361
10;0.06137918284340913;3.545353069840636e-07;0.008120847049440306;0.009077707251488557
11;0.06520926756352766;2.216815464581896e-09;0.0024856173217262774;0.006713950325079308
12;0.052690374231986595;0.03543439412185645;0.013750538416163732;0.02358968559259618
13;0.06246524559777572;8.408351396238786e-08;0.0018794328069237564;0.005052425717251361
14;0.07762813318368873;1.583407178210443e-16;0.0004124931972341513;0.00054031619654457
15;0.07241250930752048;1.5878068645349864e-13;0.004300840866672953;0.003622349195468236
16;0.06915191053122087;1.1940724060452864e-11;0.009714616186782113;0.0059544187839860475
17;0.05946351528793847;4.4872908497523655e-06;0.004672474589636775;0.00797136953567555
18;0.07246918192005977;1.4729458667638809e-13;0.0008150254905129865;0.0009623000141255504
19;0.06322267810518463;3.0822266450125605e-08;0.004741222434633147;0.011249384978442857
20;0.06685340802987862;2.50985443343754e-10;0.005513694973294393;0.004398711049986928
21;0.06636670416197975;4.783111946731009e-10;0.004348520837973712;0.003362227103917576
22;0.07338935574229692;4.3520606174653235e-14;0.00888820880200301;0.005126999484847406
23;0.06452212718482707;5.5096995081391515e-09;0.014004247671685042;0.0070008014331248555
24;0.06454613095238096;5.337225153015134e-09;0.016775326776986864;0.008005989906464348
25;0.06675319859076581;2.8662339823711494e-10;0.0018149003749892126;0.0025208770927249665
26;0.06732378649804724;1.3458001747573878e-10;0.03241292597089837;0.012344041388882098
