h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.5492685619652222;1.0186529668501324e-08;0.0027365996794079485;-1.0
2;0.5287098132809209;0.00094539559985274;0.022982325611126602;-1.0
3;0.5440479509339281;1.859844463833014e-07;0.005740407170790358;-1.0
4;0.5435510887772195;2.4520700363947456e-07;0.006027221243392013;-1.0
5;0.5453157529493408;9.186266727611668e-08;0.005261315784523788;-1.0
6;0.534217877094972;4.412719401409272e-05;0.01417349025982874;-1.0
7;0.5323951511773721;0.00012165487745949666;0.014939570246288022;-1.0
8;0.5460139477642554;6.229239421359597e-08;0.005525784707261688;-1.0
9;0.5329299183788347;9.034712313722608e-05;0.018469979263083466;-1.0
10;0.5340159910225838;4.937280675319527e-05;0.012162706957967213;-1.0
11;0.5306236080178174;0.0003259759103126093;0.014437042104987563;-1.0
12;0.5291894162116758;0.0007239818186299563;0.018869520140090277;-1.0
13;0.550365785030951;5.532296898515087e-09;0.0026405125779804905;-1.0
14;0.5331102746410149;8.17212587403792e-05;0.014165797156413274;-1.0
15;0.5405102326885338;1.3313477451627656e-06;0.008582915547967846;-1.0
16;0.5240619333240341;0.01255092062961251;0.026084441337460778;-1.0
17;0.5517531556802244;2.5566817387387665e-09;0.0012589584865481394;-1.0
18;0.5454802259887006;8.3829642813325e-08;0.003765788759243004;-1.0
19;0.5308866788065555;0.00028159180263694414;0.012443398717270428;-1.0
20;0.5491257285595337;1.1029070925674052e-08;0.002184003471627272;-1.0
21;0.5458588104502501;6.790795904185202e-08;0.003973418033163497;-1.0
22;0.5372273047149895;8.270689200398493e-06;0.006587318105236207;-1.0
23;0.5352370234913489;2.5029438943273825e-05;0.013553478526005431;-1.0
24;0.5358891842731216;1.741286521707399e-05;0.012542339243941476;-1.0
25;0.5311370586599944;0.00024497457089033453;0.015341501715253928;-1.0
26;0.5444755244755245;1.4660963493558295e-07;0.005403195372805232;-1.0
27;0.5352627142455746;2.4674223062939062e-05;0.019072491692865387;-1.0
28;0.5409744520452324;1.028306795975201e-06;0.003801611268004862;-1.0
29;0.5430047472772969;3.3231102696515667e-07;0.006386078858245926;-1.0
30;0.528071150639244;0.0013487545179072906;0.025347968075771575;-1.0
31;0.535221090807644;2.525229830918974e-05;0.013182561551489523;-1.0
32;0.5283203125;0.001174162517160086;0.031371209022211494;-1.0
33;0.5398464759246336;1.9260799368733957e-06;0.008457682050493638;-1.0
34;0.5376539753639418;6.522975569939029e-06;0.01639128999667133;-1.0
35;0.5401195939368655;1.6545546225510345e-06;0.0074272469315977245;-1.0
36;0.5293374508702976;0.0006667426115917011;0.013987218533805353;-1.0
37;0.5417015341701534;6.861809706588124e-07;0.0029587489455499567;-1.0
38;0.5364819004524887;1.2521400149249474e-05;0.008853462707310938;-1.0
39;0.534022635182339;4.9190631265428244e-05;0.010840854149369958;-1.0
40;0.5539038621839399;7.726874809429468e-10;0.0018908645629391236;-1.0
41;0.5597826086956522;2.934465230446609e-11;0.0004073065259891445;-1.0
42;0.5335946248600224;6.241687894989195e-05;0.009145432201178177;-1.0
43;0.5477555586631241;2.363804421337388e-08;0.0022689237064796495;-1.0
44;0.5404603869509956;1.368786384516969e-06;0.004773840887630427;-1.0
45;0.5458078845086063;6.985956162040648e-08;0.002350009734747153;-1.0
46;0.5507910074937552;4.366761308944891e-09;0.0021781734224702396;-1.0
47;0.5380588568194681;5.207325210034937e-06;0.013763804980786503;-1.0
48;0.5395613548028872;2.257188367145051e-06;0.009335913551441432;-1.0
49;0.5489867225716283;1.1915898359586428e-08;0.0013353146128533664;-1.0
50;0.5420705155218429;5.588330989665922e-07;0.006147413484230189;-1.0
51;0.5306264824891865;0.00032545500260463357;0.01904405086835558;-1.0
52;0.526176552492342;0.0038701030732879145;0.0211271121985634;-1.0
53;0.546912031228217;3.779480648368306e-08;0.004082161321180309;-1.0
54;0.5392991763227698;2.611666357435894e-06;0.005900224804189131;-1.0
55;0.540592694693315;1.271646222789673e-06;0.00498979475958957;-1.0
56;0.5496067338208914;8.439450480950141e-09;0.001880447765744007;-1.0
57;0.5413950908334489;8.137373095980287e-07;0.004333826369937197;-1.0
58;0.5361227336122734;1.5291073444231985e-05;0.008352695857008085;-1.0
59;0.540420819490587;1.399253228189493e-06;0.005627119462533167;-1.0
