h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.016703398677647606;4.060797504495676e-12;0.012797851032429534;-1.0
2;0.019173192077383695;1.1390771966656012e-17;0.018384169297059702;-1.0
3;0.01830398517145505;1.0245121767565548e-15;0.012975650926649575;-1.0
4;0.024008350730688934;1.538826646467028e-28;0.007770780768110649;-1.0
5;0.018605732891447176;2.1487842780416762e-16;0.0054670592957061556;-1.0
6;0.02758940474120443;1.3709906439132136e-36;0.0013627158379240737;-1.0
7;0.0242561074447146;4.2681173859058406e-29;0.011533870081322506;-1.0
8;0.016323675158864338;2.898838733657768e-11;0.020459798276619753;-1.0
9;0.022034392305450307;4.2132609373574245e-24;0.010307245967072875;-1.0
10;0.016192202022563863;5.724976071980082e-11;0.015309383970553234;-1.0
11;0.02367761124394938;8.524856114669025e-28;0.012402605895519527;-1.0
12;0.02178206319702602;1.555429648566403e-23;0.006244144816190388;-1.0
13;0.02154648132059079;5.2654423846236204e-23;0.01032215827564432;-1.0
14;0.018037350655376407;4.072935011594021e-15;0.010419625380212905;-1.0
15;0.02419683983441199;5.800548282197502e-29;0.006648915866321989;-1.0
16;0.025663306685204494;2.930041451229577e-32;0.005309813141717866;-1.0
17;0.017234375906690653;2.6000551526858836e-13;0.016201379075033082;-1.0
18;0.022721989772198976;1.1992498151790535e-25;0.0031665313590165485;-1.0
19;0.022087534238591992;3.2000450740997233e-24;0.024166072795746917;-1.0
20;0.01606914955331245;1.0824149051857997e-10;0.008862133282659534;-1.0
21;0.027378788767075102;4.07845817232689e-36;0.001310020069785186;-1.0
22;0.017307468927866186;1.781027212845382e-13;0.012897782941920934;-1.0
23;0.019346967232163607;4.633500778745849e-18;0.008077980455214573;-1.0
24;0.021252927400468385;2.4062438326350955e-22;0.006468297149978715;-1.0
25;0.020177798572932507;6.283664126186333e-20;0.001936221892987103;-1.0
26;0.030051633114811162;3.999285232316968e-42;0.001346713627467075;-1.0
27;0.02052649889829526;1.0335700357751894e-20;0.013320597813563446;-1.0
28;0.014701643124819834;1.2838891078357805e-07;0.03416471123160644;-1.0
29;0.01657166363048716;8.030632006773764e-12;0.01910693946718103;-1.0
30;0.0160359944623904;1.2850674002821056e-10;0.016172917169584713;-1.0
31;0.02182667055733878;1.2347348387856008e-23;0.0050635163722874185;-1.0
32;0.027484020918070888;2.365569598645832e-36;0.009623973647905255;-1.0
33;0.02321927374301676;9.141612779873868e-27;0.008042247544447812;-1.0
34;0.02374269005847953;6.086825727964282e-28;0.005354920498862702;-1.0
35;0.01575715444328583;5.441943750463655e-10;0.028629055077793772;-1.0
36;0.011636025133814289;0.999977784935837;0.043719855256526205;-1.0
37;0.020731707317073172;3.57301213470803e-21;0.010246795345671023;-1.0
38;0.019711902956785442;7.007115169684669e-19;0.0102471436842356;-1.0
39;0.016384870141188775;2.1118285736681304e-11;0.01997137660685117;-1.0
40;0.018210197710718003;1.6647534230451012e-15;0.011380556783739582;-1.0
41;0.03310376757914231;5.505925183643256e-49;0.003175461987611899;-1.0
42;0.0230635838150289;2.0464984631978163e-26;0.0055082142560021075;-1.0
43;0.014155595521262401;2.1678751211138322e-06;0.016111533749147647;-1.0
44;0.019752220663861616;5.687293753020132e-19;0.014654083163976655;-1.0
45;0.02103616133518776;7.389694205815867e-22;0.005330818647557576;-1.0
46;0.025910039415719916;8.170004977134704e-33;0.0028597681495463657;-1.0
47;0.023719109657066074;6.877003621761584e-28;0.0032627952189072484;-1.0
48;0.019283266538885985;6.443286380246939e-18;0.0076053673245306975;-1.0
49;0.02471625280866509;3.943088663637321e-30;0.0035815581069949653;-1.0
50;0.01629482537086789;3.365719681406402e-11;0.02673054533786541;-1.0
51;0.02531277276694792;1.7983271719711152e-31;0.0032878991390492373;-1.0
52;0.021279083362562845;2.1015582248431406e-22;0.0027839226414077102;-1.0
53;0.02167487684729064;2.7089666880949517e-23;0.00796772570163855;-1.0
54;0.0219100474043242;8.019435750715687e-24;0.007388335608040838;-1.0
55;0.020548744892002334;9.211519018504372e-21;0.0020803974471553578;-1.0
56;0.03834070281591808;9.295637264816065e-61;0.000967794872366211;-1.0
57;0.02181500872600349;1.3115635014733241e-23;0.008058039722946622;-1.0
58;0.018690497050405933;1.3856204090902826e-16;0.009718633594512823;-1.0
59;0.02001166861143524;1.484809035704611e-19;0.010799216981731204;-1.0
60;0.02197416866343288;5.754401923606321e-24;0.003085731484515881;-1.0
61;0.018105043961129108;2.8690224979262963e-15;0.029201108312121474;-1.0
62;0.020219626982743596;5.060382335440269e-20;0.008094555908710905;-1.0
63;0.020449542347352568;1.5393489216071997e-20;0.005170714652888018;-1.0
64;0.014036308798793574;4.0196571085479715e-06;0.04078347979522273;-1.0
65;0.02999192525089399;5.4475942615743576e-42;0.0014932209356518353;-1.0
66;0.024229716349234084;4.892863932248646e-29;0.0009128867157936725;-1.0
67;0.026670523575354353;1.594650238558514e-34;0.0014821158215937804;-1.0
68;0.017713458755426917;2.1777677822640925e-14;0.018344308308766214;-1.0
69;0.023109610571046043;1.612664300384432e-26;0.0073751425017285046;-1.0
70;0.027318266542404473;5.5789061744274147e-36;0.0011787095875334728;-1.0
71;0.03614318706697459;8.095828632829337e-56;0.002056636175298038;-1.0
72;0.026221554811135497;1.629072557389403e-33;0.007638660748624462;-1.0
73;0.024475933950111255;1.3679483465619058e-29;0.008265314740414387;-1.0
74;0.019801980198019802;4.3958916655566e-19;0.009282683496085324;-1.0
75;0.030975254730713248;3.355018879387231e-44;0.00645731937688837;-1.0
76;0.01377075739165654;1.5890755707140313e-05;0.04150246413714156;-1.0
77;0.01808139534883721;3.2426171572665874e-15;0.010534168570917966;-1.0
78;0.027691242644513673;8.092904694367935e-37;0.0049096016711749225;-1.0
79;0.020778919264031574;2.7983546180384104e-21;0.008262717686940872;-1.0
80;0.01985906470211403;3.27131134536165e-19;0.01088073559336324;-1.0
81;0.02259001161440186;2.3746224047991454e-25;0.002697411125182152;-1.0
82;0.020224199699526175;4.9420135628221245e-20;0.0048931083594578526;-1.0
83;0.020020830922346952;1.4160346009669904e-19;0.00471708191486966;-1.0
84;0.02548664289472146;7.311580923855786e-32;0.0015481782431165428;-1.0
85;0.02502606882168926;7.931856257804765e-31;0.013707543697900653;-1.0
86;0.023652333658648602;9.716518606978604e-28;0.004302995734577045;-1.0
87;0.021999071279312745;5.0584736136440966e-24;0.0035313824825570312;-1.0
88;0.017546897546897547;5.1574929623444754e-14;0.016937692889319494;-1.0
89;0.023312598104761353;5.63937622460792e-27;0.0013320620045711297;-1.0
90;0.01981060826119793;4.2038888563985697e-19;0.005103431877206877;-1.0
91;0.015251563139133992;7.452734444559758e-09;0.023811148687357803;-1.0
92;0.02557114693262206;4.7211466741338507e-32;0.00236208441423431;-1.0
93;0.02343521711179943;2.9894094107590766e-27;0.012709833260957084;-1.0
94;0.01909238625812442;1.7306267658946312e-17;0.009542205584404103;-1.0
95;0.02166211742842209;2.8939208250496865e-23;0.0037932379595291667;-1.0
96;0.02121830370154474;2.8785460715109768e-22;0.001788340877591782;-1.0
97;0.017890334572490705;8.717609463046184e-15;0.02028037147258724;-1.0
98;0.021970977329681216;5.850247806381049e-24;0.0032872702355412776;-1.0
99;0.019276687438122414;6.666488794937169e-18;0.00711147485018448;-1.0
100;0.03920424712677207;1.0642523786509683e-62;0.0005652284773685976;-1.0
