h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.0007018364721020002;7.934071932133853e-05;0.004374059116067198;-1.0
2;0.0006385696040868455;0.00020492410573505585;0.012856051893273523;-1.0
3;0.0005254553946753853;0.0011178333409379356;0.010984412334285452;-1.0
4;0.0008193363375665711;1.3619011485938216e-05;0.0071596906867239666;-1.0
5;0.0008818860603210066;5.329910169071258e-06;0.0064786669830697;-1.0
6;0.0004689606659241456;0.0026083314039814925;0.010886804517532296;-1.0
7;0.0009921792926345279;1.019320310159982e-06;0.006194740871664874;-1.0
8;0.000647592134699164;0.00017898788252755163;0.013291392362284266;-1.0
9;0.0008224167303060565;1.3004122449473265e-05;0.006916174998541826;-1.0
10;0.0004128332153809861;0.006052797820446121;0.012166337673335888;-1.0
11;0.0009396840312444941;2.2399861955873442e-06;0.006280760284244714;-1.0
12;0.00046780890006432375;0.0026537801783134965;0.011709458541378998;-1.0
13;0.0008173273395995096;1.4035615224178587e-05;0.005864067078528556;-1.0
14;0.0009364391899801006;2.3516952096230645e-06;0.005412043887600224;-1.0
15;0.0011185023841761346;1.532812056780278e-07;0.005446963745390252;-1.0
16;0.0009925848076137093;1.013139629894044e-06;0.005213049870288106;-1.0
17;0.0008797653958944282;5.5021586791187195e-06;0.0058503855044201945;-1.0
18;0.0006441789646287186;0.0001883890925952007;0.010947415125283437;-1.0
19;0.0009998235605481387;9.089055419231867e-07;0.005357009095342437;-1.0
20;0.0006436889226988121;0.0001897788041406023;0.008256782207544257;-1.0
21;0.00047208780833234983;0.002488821353995546;0.011376209315234124;-1.0
22;0.001290549656831114;1.1610121897232995e-08;0.013107083225151304;-1.0
23;0.0004101963082332259;0.006296975488755802;0.01473567947143123;-1.0
24;0.0008855304327292048;5.046401481302545e-06;0.0068049014986796205;-1.0
25;0.0005889281507656066;0.0004314585358489794;0.01003113289142638;-1.0
26;0.0005257930712157504;0.0011121863462482116;0.012429899492035736;-1.0
27;0.0007017954266331364;7.93895771042416e-05;0.010483236731453162;-1.0
28;0.0009312612769920261;2.5416049019038467e-06;0.0033698898173681303;-1.0
29;0.00035555555555555557;0.014290308404577831;0.015164154590686419;-1.0
30;0.0011073551696001865;1.8117477451862857e-07;0.005518806617170551;-1.0
31;0.0007647508676980999;3.088126578385254e-05;0.006224726888511685;-1.0
32;0.0009375915616759449;2.3113989553464074e-06;0.010433198414288521;-1.0
33;0.0006469827079167156;0.00018063138433038834;0.013096055385206171;-1.0
34;0.00041319874859807566;0.006019705150886189;0.014820112934721536;-1.0
35;0.0008189529102076631;1.3697556161660228e-05;0.005922162783746234;-1.0
36;0.00046934584922264595;0.0025933063836611745;0.008045836440085437;-1.0
37;0.0009382513340761156;2.2886395563917217e-06;0.0068716852119929004;-1.0
38;0.0008820416323650477;5.3174883959415684e-06;0.005637158893823871;-1.0
39;0.0007044320516583504;7.631141226455048e-05;0.007215694777418473;-1.0
40;0.0009343065693430657;2.4281311162739685e-06;0.0071450411050377645;-1.0
41;0.000585000585000585;0.00045763767673255774;0.007148423948563416;-1.0
42;0.0009332166812481773;2.468148358701713e-06;0.004671956834130721;-1.0
43;0.0010528778661675247;4.10149966575223e-07;0.009098352102131592;-1.0
44;0.0007059238778751692;7.462292845666713e-05;0.010267886156025677;-1.0
45;0.0007004845017803981;8.096594084394574e-05;0.0074613645514285;-1.0
46;0.0005843852267414679;0.00046188088327213015;0.009450431336964892;-1.0
47;0.0008256664307619722;1.2385504649041296e-05;0.007135123475860809;-1.0
48;0.0006448965234214692;0.00018637250495397528;0.01246176644607747;-1.0
49;0.00046519741815432924;0.0027597844963771403;0.010754740175505678;-1.0
50;0.0004127115146512588;0.006063856021541057;0.009785417924439847;-1.0
51;0.0007613915895513647;3.247702093252269e-05;0.008983771414962176;-1.0
52;0.0002354187511035254;0.08661003051369004;0.017620868850923014;-1.0
53;0.0008182827751475831;1.3835921872899505e-05;0.006533724730167691;-1.0
54;0.001167269756040621;7.376261987699613e-08;0.006296122942143156;-1.0
55;0.0005298169188202743;0.0010470506919937105;0.010451403467250578;-1.0
56;0.001055594651653765;3.9377355582306434e-07;0.005539013439202726;-1.0
