h;risk;rho_lam;rho_mv2;rho_mv2u
1;0.21056020605280104;3.445012195089251e-18;0.0028730523384770884;0.001636537752354152
2;0.24500322372662797;6.352674507111162e-25;0.00030986553296024813;6.370199177490156e-05
3;0.2094376212023271;5.710530379506378e-18;0.002155399436750456;0.0011539557626996505
4;0.23166774821544453;2.572075678309418e-22;0.0010180940089774928;0.0002794622894722736
5;0.24007807417046195;5.833276997398127e-24;0.0010029591182881678;0.00021171770378112818
6;0.18532818532818532;2.9546639309932227e-13;0.016119259358597846;0.006999433571925849
7;0.22279792746113988;1.39474382175331e-20;0.0025405467303223563;0.0004119484357829672
8;0.16929133858267717;4.0364749546483063e-10;0.00893100420002677;0.016619899178661853
9;0.1861219195849546;2.0668961612297465e-13;0.0029934228391492327;0.0033889702611175783
10;0.2044127190136275;5.4844854612433933e-17;0.0035914621151199064;0.001346329940213968
11;0.22700964630225082;2.0942430587066656e-21;0.002761139697155482;0.0005155322900418582
12;0.1512987012987013;1.3301141954071659e-06;0.029880889864159564;0.03253263790472352
13;0.16687817258883247;1.1962444814690394e-09;0.010562256209206618;0.010760168345639936
14;0.19413680781758957;5.600963684893822e-15;0.009788278779623677;0.003401124707154667
15;0.20078226857887874;2.8116078263018756e-16;0.0024492048503314597;0.0016063051719144117
16;0.12147078135259357;0.9032081417928645;0.05304959017467014;0.08358572956899318
17;0.20166987797045602;1.885432641402439e-16;0.008951452888441716;0.0029851304458420273
18;0.2046783625730994;4.866287455416028e-17;0.0024830056625499914;0.0010145095614896534
19;0.15526315789473685;2.2323681454671044e-07;0.034265268720288476;0.03500988038152405
20;0.16108247422680413;1.6254889122814576e-08;0.03364622373610872;0.03629296400508279
21;0.1264591439688716;0.09560322642674528;0.07242854475008932;0.08976550088241388
22;0.1751448808757244;2.8942008129319373e-11;0.01612790342837586;0.007805411769676017
23;0.2194644023514043;6.255456640284499e-20;0.0024863554621955275;0.0005945802979779473
24;0.16256476683937823;8.340055531840251e-09;0.023502376084817662;0.01573427520182426
