repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;26048;6513;123;2;0.16029;0.21097;15697.00000;0.19434;0.17388;0.11381;9395.00000;32561.00000;0.44924;0.52978;0.51459;0.51034;1.00000;0.54578;0.55294;-1.00000;0.20209;0.21880
2;26048;6513;123;2;0.16429;0.20991;15690.00000;0.19263;0.17372;0.11358;9414.00000;32561.00000;0.44707;0.52845;0.51332;0.50930;1.00000;0.54469;0.54890;-1.00000;0.20065;0.21665
3;26048;6513;123;2;0.16659;0.21084;15678.00000;0.19473;0.17395;0.11346;9398.00000;32561.00000;0.44899;0.52880;0.51334;0.50886;1.00000;0.54452;0.55230;-1.00000;0.20237;0.22053
4;26048;6513;123;2;0.16705;0.20867;15697.00000;0.19168;0.17263;0.11296;9412.00000;32561.00000;0.44453;0.52547;0.51082;0.50671;1.00000;0.54147;0.54602;-1.00000;0.20033;0.21632
5;26048;6513;123;2;0.16598;0.21075;15726.00000;0.19253;0.17352;0.11446;9402.00000;32561.00000;0.44876;0.53149;0.51664;0.51304;1.00000;0.54830;0.55268;-1.00000;0.20310;0.21733
6;26048;6513;123;2;0.16367;0.21205;15685.00000;0.19478;0.17479;0.11488;9395.00000;32561.00000;0.45145;0.53293;0.51867;0.51480;1.00000;0.54935;0.55554;-1.00000;0.20313;0.22240
7;26048;6513;123;2;0.16797;0.21108;15669.00000;0.19532;0.17526;0.11361;9390.00000;32561.00000;0.44948;0.52881;0.51403;0.50949;1.00000;0.54438;0.55066;-1.00000;0.20374;0.21956
8;26048;6513;123;2;0.16429;0.21112;15727.00000;0.19501;0.17518;0.11328;9416.00000;32561.00000;0.44952;0.52929;0.51263;0.50802;1.00000;0.54501;0.55090;-1.00000;0.20354;0.22036
9;26048;6513;123;2;0.16429;0.21104;15711.00000;0.19342;0.17395;0.11436;9427.00000;32561.00000;0.44937;0.53126;0.51636;0.51254;1.00000;0.54776;0.55305;-1.00000;0.20348;0.21959
10;26048;6513;123;2;0.16275;0.21187;15688.00000;0.19545;0.17577;0.11411;9389.00000;32561.00000;0.45108;0.53138;0.51595;0.51160;1.00000;0.54734;0.55285;-1.00000;0.20517;0.21943
11;26048;6513;123;2;0.16352;0.21018;15738.00000;0.19382;0.17409;0.11319;9424.00000;32561.00000;0.44758;0.52765;0.51204;0.50762;1.00000;0.54341;0.54920;-1.00000;0.20298;0.21642
12;26048;6513;123;2;0.15968;0.21206;15708.00000;0.19387;0.17483;0.11527;9393.00000;32561.00000;0.45146;0.53422;0.51995;0.51644;1.00000;0.55113;0.55547;-1.00000;0.20486;0.22211
13;26048;6513;123;2;0.16552;0.21073;15721.00000;0.19398;0.17523;0.11367;9413.00000;32561.00000;0.44872;0.52938;0.51394;0.50969;1.00000;0.54541;0.54919;-1.00000;0.20291;0.22113
14;26048;6513;123;2;0.15983;0.21289;15715.00000;0.19552;0.17596;0.11501;9410.00000;32561.00000;0.45315;0.53478;0.51926;0.51531;1.00000;0.55131;0.55659;-1.00000;0.20532;0.21977
15;26048;6513;123;2;0.16644;0.21197;15723.00000;0.19492;0.17463;0.11444;9394.00000;32561.00000;0.45126;0.53242;0.51706;0.51297;1.00000;0.54872;0.55548;-1.00000;0.20559;0.21855
16;26048;6513;123;2;0.16720;0.20830;15712.00000;0.19153;0.17225;0.11235;9426.00000;32561.00000;0.44375;0.52433;0.50843;0.50409;0.99967;0.54017;0.54522;-1.00000;0.20046;0.21650
17;26048;6513;123;2;0.16244;0.21146;15707.00000;0.19337;0.17512;0.11453;9390.00000;32561.00000;0.45024;0.53284;0.51710;0.51335;1.00000;0.54965;0.55244;-1.00000;0.20491;0.22073
18;26048;6513;123;2;0.16981;0.20956;15703.00000;0.19218;0.17393;0.11352;9380.00000;32561.00000;0.44635;0.52790;0.51312;0.50916;1.00000;0.54418;0.54705;-1.00000;0.20085;0.21618
19;26048;6513;123;2;0.16275;0.21086;15652.00000;0.19365;0.17443;0.11399;9372.00000;32561.00000;0.44904;0.53044;0.51517;0.51112;1.00000;0.54676;0.55143;-1.00000;0.20198;0.22126
20;26048;6513;123;2;0.16459;0.21115;15714.00000;0.19425;0.17578;0.11406;9391.00000;32561.00000;0.44959;0.53050;0.51551;0.51138;1.00000;0.54665;0.54983;-1.00000;0.20034;0.21942
21;26048;6513;123;2;0.16659;0.21081;15686.00000;0.19351;0.17391;0.11404;9412.00000;32561.00000;0.44891;0.53036;0.51522;0.51123;1.00000;0.54668;0.55222;-1.00000;0.20195;0.21983
22;26048;6513;123;2;0.16552;0.21148;15695.00000;0.19409;0.17434;0.11434;9382.00000;32561.00000;0.45027;0.53191;0.51654;0.51257;1.00000;0.54836;0.55407;-1.00000;0.20269;0.21971
23;26048;6513;123;2;0.16352;0.21082;15698.00000;0.19413;0.17404;0.11385;9404.00000;32561.00000;0.44893;0.52953;0.51465;0.51045;1.00000;0.54554;0.55198;-1.00000;0.20433;0.21768
24;26048;6513;123;2;0.15907;0.21123;15698.00000;0.19341;0.17414;0.11454;9421.00000;32561.00000;0.44977;0.53197;0.51707;0.51333;1.00000;0.54860;0.55349;-1.00000;0.20464;0.21876
25;26048;6513;123;2;0.16905;0.21023;15726.00000;0.19311;0.17510;0.11370;9411.00000;32561.00000;0.44770;0.52885;0.51387;0.50981;1.00000;0.54503;0.54739;-1.00000;0.19886;0.22034
26;26048;6513;123;2;0.15953;0.21249;15714.00000;0.19575;0.17569;0.11482;9422.00000;32561.00000;0.45234;0.53305;0.51858;0.51449;1.00000;0.54921;0.55552;-1.00000;0.20405;0.22314
27;26048;6513;123;2;0.16398;0.21069;15690.00000;0.19379;0.17464;0.11366;9386.00000;32561.00000;0.44867;0.52960;0.51392;0.50970;1.00000;0.54572;0.55027;-1.00000;0.20250;0.21820
28;26048;6513;123;2;0.16521;0.21020;15679.00000;0.19289;0.17429;0.11381;9370.00000;32561.00000;0.44768;0.52918;0.51436;0.51039;1.00000;0.54548;0.54899;-1.00000;0.20370;0.21811
29;26048;6513;123;2;0.15999;0.21147;15692.00000;0.19335;0.17472;0.11475;9401.00000;32561.00000;0.45026;0.53290;0.51789;0.51425;1.00000;0.54972;0.55330;-1.00000;0.20385;0.21956
30;26048;6513;123;2;0.16260;0.21126;15715.00000;0.19328;0.17453;0.11453;9418.00000;32561.00000;0.44982;0.53223;0.51700;0.51328;1.00000;0.54894;0.55279;-1.00000;0.20354;0.21818
31;26048;6513;123;2;0.16705;0.21105;15693.00000;0.19350;0.17445;0.11438;9397.00000;32561.00000;0.44940;0.53123;0.51653;0.51269;1.00000;0.54772;0.55212;-1.00000;0.20314;0.21930
32;26048;6513;123;2;0.16367;0.21162;15656.00000;0.19377;0.17452;0.11478;9413.00000;32561.00000;0.45061;0.53289;0.51803;0.51432;1.00000;0.54959;0.55439;-1.00000;0.20388;0.22118
33;26048;6513;123;2;0.16475;0.21101;15680.00000;0.19419;0.17437;0.11406;9382.00000;32561.00000;0.44933;0.53016;0.51554;0.51142;1.00000;0.54627;0.55213;-1.00000;0.20224;0.21953
34;26048;6513;123;2;0.16536;0.21066;15697.00000;0.19370;0.17413;0.11368;9357.00000;32561.00000;0.44861;0.52964;0.51407;0.50987;1.00000;0.54580;0.55116;-1.00000;0.20313;0.21936
35;26048;6513;123;2;0.15676;0.21272;15743.00000;0.19474;0.17584;0.11534;9410.00000;32561.00000;0.45278;0.53523;0.52035;0.51670;1.00000;0.55205;0.55608;-1.00000;0.20554;0.22092
36;26048;6513;123;2;0.16475;0.21131;15702.00000;0.19388;0.17511;0.11443;9426.00000;32561.00000;0.44992;0.53156;0.51673;0.51284;1.00000;0.54799;0.55183;-1.00000;0.20356;0.22006
37;26048;6513;123;2;0.16659;0.21025;15692.00000;0.19348;0.17430;0.11333;9403.00000;32561.00000;0.44776;0.52845;0.51258;0.50828;1.00000;0.54446;0.54912;-1.00000;0.20185;0.21836
38;26048;6513;123;2;0.16582;0.21095;15708.00000;0.19352;0.17444;0.11426;9432.00000;32561.00000;0.44919;0.53081;0.51600;0.51211;1.00000;0.54720;0.55172;-1.00000;0.20261;0.21808
39;26048;6513;123;2;0.16229;0.21135;15723.00000;0.19429;0.17500;0.11396;9431.00000;32561.00000;0.45000;0.53111;0.51504;0.51087;1.00000;0.54734;0.55220;-1.00000;0.20107;0.22009
40;26048;6513;123;2;0.16060;0.21171;15717.00000;0.19437;0.17445;0.11452;9396.00000;32561.00000;0.45074;0.53230;0.51723;0.51328;1.00000;0.54872;0.55480;-1.00000;0.20090;0.21939
41;26048;6513;123;2;0.16290;0.21159;15694.00000;0.19449;0.17466;0.11447;9394.00000;32561.00000;0.45051;0.53174;0.51709;0.51309;1.00000;0.54804;0.55393;-1.00000;0.20422;0.22084
42;26048;6513;123;2;0.16644;0.20983;15701.00000;0.19274;0.17280;0.11343;9418.00000;32561.00000;0.44691;0.52802;0.51276;0.50865;1.00000;0.54415;0.55041;-1.00000;0.20100;0.21732
43;26048;6513;123;2;0.16751;0.20931;15718.00000;0.19220;0.17345;0.11318;9416.00000;32561.00000;0.44583;0.52695;0.51171;0.50760;1.00000;0.54305;0.54696;-1.00000;0.20090;0.22078
44;26048;6513;123;2;0.16183;0.21155;15687.00000;0.19439;0.17482;0.11459;9398.00000;32561.00000;0.45044;0.53175;0.51752;0.51360;1.00000;0.54808;0.55345;-1.00000;0.20495;0.21792
45;26048;6513;123;2;0.15937;0.21241;15722.00000;0.19536;0.17562;0.11468;9410.00000;32561.00000;0.45217;0.53333;0.51799;0.51392;1.00000;0.54965;0.55531;-1.00000;0.20411;0.21979
46;26048;6513;123;2;0.15461;0.21273;15711.00000;0.19560;0.17609;0.11481;9397.00000;32561.00000;0.45282;0.53412;0.51859;0.51453;1.00000;0.55051;0.55568;-1.00000;0.20271;0.22074
47;26048;6513;123;2;0.15707;0.21185;15720.00000;0.19455;0.17478;0.11447;9418.00000;32561.00000;0.45101;0.53249;0.51704;0.51304;1.00000;0.54889;0.55468;-1.00000;0.20425;0.22275
48;26048;6513;123;2;0.16552;0.21041;15701.00000;0.19375;0.17420;0.11347;9387.00000;32561.00000;0.44810;0.52867;0.51322;0.50893;1.00000;0.54464;0.54999;-1.00000;0.19991;0.21951
49;26048;6513;123;2;0.16214;0.21109;15705.00000;0.19362;0.17451;0.11421;9371.00000;32561.00000;0.44947;0.53121;0.51600;0.51206;1.00000;0.54767;0.55213;-1.00000;0.20204;0.21694
50;26048;6513;123;2;0.16598;0.21117;15712.00000;0.19438;0.17507;0.11393;9369.00000;32561.00000;0.44964;0.53044;0.51510;0.51088;1.00000;0.54654;0.55136;-1.00000;0.20490;0.21861
