repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;26048;6513;123;2;0.16705;0.20806;9451.00000;0.17409;0.13161;0.12108;3354.00000;32561.00000;0.45075;0.57105;0.57219;0.57764;1.00000;0.60779;0.64118;-1.00000;0.20086;0.21909
2;26048;6513;123;2;0.16720;0.20986;9444.00000;0.17472;0.13296;0.12286;3367.00000;32561.00000;0.45445;0.57606;0.57841;0.58509;1.00000;0.61394;0.64589;-1.00000;0.20033;0.22022
3;26048;6513;123;2;0.16966;0.20826;9491.00000;0.17408;0.13250;0.12118;3376.00000;32561.00000;0.45109;0.57151;0.57224;0.57776;1.00000;0.60834;0.64007;-1.00000;0.19700;0.21785
4;26048;6513;123;2;0.16367;0.21087;9454.00000;0.17557;0.13407;0.12329;3334.00000;32561.00000;0.45652;0.57844;0.58063;0.58743;1.00000;0.61672;0.64782;-1.00000;0.20227;0.21990
5;26048;6513;123;2;0.17242;0.20656;9481.00000;0.17267;0.13066;0.12001;3380.00000;32561.00000;0.44760;0.56765;0.56765;0.57267;1.00000;0.60397;0.63678;-1.00000;0.19806;0.21558
6;26048;6513;123;2;0.16951;0.20761;9461.00000;0.17510;0.13262;0.11990;3348.00000;32561.00000;0.44980;0.56843;0.56841;0.57264;1.00000;0.60404;0.63726;-1.00000;0.19861;0.22313
7;26048;6513;123;2;0.17150;0.20801;9481.00000;0.17412;0.13321;0.12086;3343.00000;32561.00000;0.45059;0.57081;0.57156;0.57683;1.00000;0.60749;0.63767;-1.00000;0.19434;0.21816
8;26048;6513;123;2;0.17027;0.20883;9435.00000;0.17390;0.13366;0.12206;3378.00000;32561.00000;0.45236;0.57368;0.57524;0.58151;1.00000;0.61121;0.64032;-1.00000;0.19708;0.21666
9;26048;6513;123;2;0.16951;0.20805;9454.00000;0.17331;0.13212;0.12204;3338.00000;32561.00000;0.45072;0.57197;0.57549;0.58196;1.00000;0.60931;0.64011;-1.00000;0.19939;0.21803
10;26048;6513;123;2;0.17196;0.20675;9458.00000;0.17293;0.13161;0.11997;3363.00000;32561.00000;0.44803;0.56809;0.56780;0.57272;1.00000;0.60447;0.63575;-1.00000;0.19744;0.21643
11;26048;6513;123;2;0.16659;0.20922;9473.00000;0.17416;0.13283;0.12179;3351.00000;32561.00000;0.45310;0.57465;0.57473;0.58073;1.00000;0.61238;0.64344;-1.00000;0.19987;0.21900
12;26048;6513;123;2;0.17288;0.20763;9460.00000;0.17406;0.13223;0.12049;3348.00000;32561.00000;0.44985;0.56971;0.57017;0.57517;1.00000;0.60610;0.63813;-1.00000;0.19709;0.21784
13;26048;6513;123;2;0.16843;0.20615;9476.00000;0.17128;0.13158;0.12017;3363.00000;32561.00000;0.44677;0.56801;0.56803;0.57360;1.00000;0.60502;0.63327;-1.00000;0.19764;0.21490
14;26048;6513;123;2;0.17457;0.20797;9433.00000;0.17381;0.13341;0.12133;3362.00000;32561.00000;0.45058;0.57108;0.57286;0.57859;1.00000;0.60793;0.63725;-1.00000;0.19985;0.21591
15;26048;6513;123;2;0.16874;0.20883;9468.00000;0.17434;0.13330;0.12137;3374.00000;32561.00000;0.45230;0.57310;0.57303;0.57862;1.00000;0.61029;0.64089;-1.00000;0.20058;0.21628
16;26048;6513;123;2;0.17473;0.20759;9460.00000;0.17323;0.13259;0.12076;3379.00000;32561.00000;0.44976;0.57038;0.57048;0.57592;1.00000;0.60724;0.63724;-1.00000;0.20065;0.21911
17;26048;6513;123;2;0.17166;0.20940;9446.00000;0.17572;0.13257;0.12177;3364.00000;32561.00000;0.45350;0.57345;0.57496;0.58045;1.00000;0.61019;0.64478;-1.00000;0.20086;0.22156
18;26048;6513;123;2;0.16321;0.21037;9468.00000;0.17464;0.13324;0.12292;3378.00000;32561.00000;0.45547;0.57768;0.57847;0.58522;1.00000;0.61604;0.64736;-1.00000;0.20207;0.22073
19;26048;6513;123;2;0.16966;0.20948;9400.00000;0.17489;0.13330;0.12239;3365.00000;32561.00000;0.45375;0.57477;0.57688;0.58314;1.00000;0.61223;0.64380;-1.00000;0.20219;0.21995
