repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;54045;13512;126;3;0.17503;0.31200;32646.00000;0.35913;0.29512;0.16096;19627.00000;67557.00000;0.64575;-1.00000;-1.00000;0.68821;1.00000;-1.00000;-1.00000;-1.00000;0.29647;0.32954
2;54045;13512;126;3;0.17481;0.31286;32673.00000;0.36006;0.29620;0.16164;19638.00000;67557.00000;0.64748;-1.00000;-1.00000;0.69100;1.00000;-1.00000;-1.00000;-1.00000;0.29560;0.33088
3;54045;13512;126;3;0.17932;0.31202;32658.00000;0.35955;0.29597;0.16114;19652.00000;67557.00000;0.64580;-1.00000;-1.00000;0.68892;1.00000;-1.00000;-1.00000;-1.00000;0.29675;0.33214
4;54045;13512;126;3;0.17718;0.31267;32618.00000;0.35978;0.29579;0.16175;19632.00000;67557.00000;0.64711;-1.00000;-1.00000;0.69144;1.00000;-1.00000;-1.00000;-1.00000;0.29527;0.33132
5;54045;13512;126;3;0.17999;0.31256;32615.00000;0.35999;0.29652;0.16127;19620.00000;67557.00000;0.64689;-1.00000;-1.00000;0.68951;1.00000;-1.00000;-1.00000;-1.00000;0.29252;0.32842
6;54045;13512;126;3;0.17799;0.31357;32641.00000;0.36124;0.29706;0.16157;19524.00000;67557.00000;0.64893;-1.00000;-1.00000;0.69084;1.00000;-1.00000;-1.00000;-1.00000;0.29367;0.32632
7;54045;13512;126;3;0.18014;0.31239;32616.00000;0.35953;0.29597;0.16145;19593.00000;67557.00000;0.64655;-1.00000;-1.00000;0.69026;1.00000;-1.00000;-1.00000;-1.00000;0.29295;0.32854
8;54045;13512;126;3;0.17688;0.31243;32574.00000;0.35952;0.29608;0.16125;19569.00000;67557.00000;0.64664;-1.00000;-1.00000;0.68948;1.00000;-1.00000;-1.00000;-1.00000;0.29332;0.32943
9;54045;13512;126;3;0.17525;0.31235;32643.00000;0.36025;0.29574;0.16083;19624.00000;67557.00000;0.64646;-1.00000;-1.00000;0.68770;1.00000;-1.00000;-1.00000;-1.00000;0.29595;0.33327
10;54045;13512;126;3;0.17681;0.31150;32668.00000;0.35869;0.29547;0.16082;19636.00000;67557.00000;0.64474;-1.00000;-1.00000;0.68764;1.00000;-1.00000;-1.00000;-1.00000;0.28977;0.32729
11;54045;13512;126;3;0.17718;0.31202;32624.00000;0.35903;0.29560;0.16112;19643.00000;67557.00000;0.64580;-1.00000;-1.00000;0.68887;1.00000;-1.00000;-1.00000;-1.00000;0.29719;0.32646
12;54045;13512;126;3;0.17673;0.31119;32641.00000;0.35855;0.29544;0.16055;19612.00000;67557.00000;0.64412;-1.00000;-1.00000;0.68657;1.00000;-1.00000;-1.00000;-1.00000;0.29785;0.32972
13;54045;13512;126;3;0.18250;0.31204;32658.00000;0.35949;0.29563;0.16105;19643.00000;67557.00000;0.64583;-1.00000;-1.00000;0.68859;1.00000;-1.00000;-1.00000;-1.00000;0.29323;0.32450
14;54045;13512;126;3;0.17518;0.31144;32620.00000;0.35902;0.29465;0.16071;19634.00000;67557.00000;0.64463;-1.00000;-1.00000;0.68721;1.00000;-1.00000;-1.00000;-1.00000;0.30148;0.32578
15;54045;13512;126;3;0.17755;0.31203;32639.00000;0.35924;0.29490;0.16136;19629.00000;67557.00000;0.64582;-1.00000;-1.00000;0.68988;1.00000;-1.00000;-1.00000;-1.00000;0.29722;0.32755
16;54045;13512;126;3;0.17703;0.31240;32640.00000;0.35927;0.29549;0.16131;19603.00000;67557.00000;0.64655;-1.00000;-1.00000;0.68967;1.00000;-1.00000;-1.00000;-1.00000;0.30024;0.32718
17;54045;13512;126;3;0.17407;0.31385;32658.00000;0.36141;0.29660;0.16227;19631.00000;67557.00000;0.64949;-1.00000;-1.00000;0.69360;1.00000;-1.00000;-1.00000;-1.00000;0.29610;0.32645
18;54045;13512;126;3;0.17392;0.31317;32660.00000;0.36078;0.29639;0.16165;19617.00000;67557.00000;0.64812;-1.00000;-1.00000;0.69109;1.00000;-1.00000;-1.00000;-1.00000;0.29913;0.32773
19;54045;13512;126;3;0.17607;0.31122;32640.00000;0.35869;0.29544;0.16025;19612.00000;67557.00000;0.64418;-1.00000;-1.00000;0.68531;1.00000;-1.00000;-1.00000;-1.00000;0.28958;0.32343
20;54045;13512;126;3;0.17651;0.31360;32641.00000;0.36094;0.29708;0.16192;19602.00000;67557.00000;0.64897;-1.00000;-1.00000;0.69219;1.00000;-1.00000;-1.00000;-1.00000;0.29765;0.32895
21;54045;13512;126;3;0.18324;0.31179;32649.00000;0.35902;0.29536;0.16067;19616.00000;67557.00000;0.64534;-1.00000;-1.00000;0.68704;1.00000;-1.00000;-1.00000;-1.00000;0.28970;0.32688
22;54045;13512;126;3;0.17947;0.31092;32614.00000;0.35796;0.29457;0.16049;19547.00000;67557.00000;0.64359;-1.00000;-1.00000;0.68637;1.00000;-1.00000;-1.00000;-1.00000;0.29719;0.32556
23;54045;13512;126;3;0.17362;0.31294;32669.00000;0.36064;0.29618;0.16152;19622.00000;67557.00000;0.64765;-1.00000;-1.00000;0.69052;1.00000;-1.00000;-1.00000;-1.00000;0.29431;0.32896
