repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;54045;13512;126;3;0.16726;0.29911;19714.00000;0.34265;0.21531;0.15450;7066.00000;67557.00000;0.62555;-1.00000;-1.00000;0.68940;1.00000;-1.00000;-1.00000;-1.00000;0.28271;0.31247
2;54045;13512;126;3;0.17399;0.29954;19712.00000;0.34310;0.21590;0.15515;7074.00000;67557.00000;0.62642;-1.00000;-1.00000;0.69209;1.00000;-1.00000;-1.00000;-1.00000;0.27732;0.31551
3;54045;13512;126;3;0.17392;0.30019;19714.00000;0.34360;0.21677;0.15538;7049.00000;67557.00000;0.62774;-1.00000;-1.00000;0.69318;1.00000;-1.00000;-1.00000;-1.00000;0.28438;0.31224
4;54045;13512;126;3;0.17177;0.30091;19696.00000;0.34436;0.21698;0.15578;7067.00000;67557.00000;0.62921;-1.00000;-1.00000;0.69476;1.00000;-1.00000;-1.00000;-1.00000;0.28565;0.31675
5;54045;13512;126;3;0.16948;0.29990;19730.00000;0.34408;0.21696;0.15460;7056.00000;67557.00000;0.62713;-1.00000;-1.00000;0.68986;1.00000;-1.00000;-1.00000;-1.00000;0.28493;0.31552
6;54045;13512;126;3;0.16970;0.29991;19651.00000;0.34335;0.21560;0.15532;7090.00000;67557.00000;0.62722;-1.00000;-1.00000;0.69270;1.00000;-1.00000;-1.00000;-1.00000;0.28259;0.31509
7;54045;13512;126;3;0.16726;0.29997;19665.00000;0.34381;0.21647;0.15544;7055.00000;67557.00000;0.62733;-1.00000;-1.00000;0.69340;1.00000;-1.00000;-1.00000;-1.00000;0.27994;0.31475
8;54045;13512;126;3;0.17126;0.29796;19693.00000;0.34182;0.21544;0.15401;7085.00000;67557.00000;0.62323;-1.00000;-1.00000;0.68726;1.00000;-1.00000;-1.00000;-1.00000;0.27733;0.31202
9;54045;13512;126;3;0.17118;0.29992;19710.00000;0.34295;0.21623;0.15573;7082.00000;67557.00000;0.62720;-1.00000;-1.00000;0.69447;1.00000;-1.00000;-1.00000;-1.00000;0.28069;0.32023
10;54045;13512;126;3;0.17037;0.30154;19660.00000;0.34520;0.21716;0.15654;7094.00000;67557.00000;0.63050;-1.00000;-1.00000;0.69778;1.00000;-1.00000;-1.00000;-1.00000;0.28709;0.31561
11;54045;13512;126;3;0.16881;0.29982;19705.00000;0.34354;0.21607;0.15513;7080.00000;67557.00000;0.62700;-1.00000;-1.00000;0.69196;1.00000;-1.00000;-1.00000;-1.00000;0.27864;0.31616
12;54045;13512;126;3;0.17281;0.29812;19699.00000;0.34156;0.21512;0.15415;7067.00000;67557.00000;0.62355;-1.00000;-1.00000;0.68794;1.00000;-1.00000;-1.00000;-1.00000;0.27986;0.31119
13;54045;13512;126;3;0.17177;0.29934;19700.00000;0.34232;0.21553;0.15523;7064.00000;67557.00000;0.62602;-1.00000;-1.00000;0.69246;1.00000;-1.00000;-1.00000;-1.00000;0.28341;0.31885
14;54045;13512;126;3;0.17325;0.29942;19693.00000;0.34353;0.21607;0.15492;7084.00000;67557.00000;0.62620;-1.00000;-1.00000;0.69105;1.00000;-1.00000;-1.00000;-1.00000;0.28360;0.31524
