repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;56000;14000;784;10;0.12600;0.24325;33804.00000;0.29458;0.23833;0.12601;20355.00000;70000.00000;0.50637;-1.00000;-1.00000;0.54357;1.00000;-1.00000;-1.00000;-1.00000;0.23466;0.25359
2;56000;14000;784;10;0.12229;0.24451;33813.00000;0.29627;0.23815;0.12722;20316.00000;70000.00000;0.50892;-1.00000;-1.00000;0.54861;1.00000;-1.00000;-1.00000;-1.00000;0.23573;0.25404
3;56000;14000;784;10;0.12143;0.24451;33841.00000;0.29630;0.23883;0.12676;20334.00000;70000.00000;0.50892;-1.00000;-1.00000;0.54668;1.00000;-1.00000;-1.00000;-1.00000;0.23627;0.25372
4;56000;14000;784;10;0.12807;0.24392;33839.00000;0.29539;0.23838;0.12671;20346.00000;70000.00000;0.50772;-1.00000;-1.00000;0.54646;1.00000;-1.00000;-1.00000;-1.00000;0.23447;0.25110
5;56000;14000;784;10;0.11729;0.24565;33835.00000;0.29715;0.23914;0.12790;20372.00000;70000.00000;0.51122;-1.00000;-1.00000;0.55139;1.00000;-1.00000;-1.00000;-1.00000;0.23754;0.25593
6;56000;14000;784;10;0.12243;0.24492;33851.00000;0.29635;0.23958;0.12735;20207.00000;70000.00000;0.50974;-1.00000;-1.00000;0.54925;1.00000;-1.00000;-1.00000;-1.00000;0.23622;0.25561
7;56000;14000;784;10;0.12193;0.24508;33853.00000;0.29692;0.23961;0.12726;20347.00000;70000.00000;0.51006;-1.00000;-1.00000;0.54874;1.00000;-1.00000;-1.00000;-1.00000;0.23444;0.25342
8;56000;14000;784;10;0.11779;0.24540;33823.00000;0.29652;0.23908;0.12757;20337.00000;70000.00000;0.51072;-1.00000;-1.00000;0.55003;1.00000;-1.00000;-1.00000;-1.00000;0.23581;0.25439
9;56000;14000;784;10;0.12179;0.24479;33798.00000;0.29641;0.23846;0.12713;20323.00000;70000.00000;0.50950;-1.00000;-1.00000;0.54823;1.00000;-1.00000;-1.00000;-1.00000;0.23407;0.25339
10;56000;14000;784;10;0.12307;0.24381;33818.00000;0.29534;0.23892;0.12652;20344.00000;70000.00000;0.50751;-1.00000;-1.00000;0.54568;1.00000;-1.00000;-1.00000;-1.00000;0.23375;0.25516
11;56000;14000;784;10;0.11864;0.24537;33837.00000;0.29649;0.23904;0.12807;20352.00000;70000.00000;0.51066;-1.00000;-1.00000;0.55209;1.00000;-1.00000;-1.00000;-1.00000;0.23765;0.25308
12;56000;14000;784;10;0.12371;0.24482;33832.00000;0.29648;0.23964;0.12709;20346.00000;70000.00000;0.50955;-1.00000;-1.00000;0.54806;1.00000;-1.00000;-1.00000;-1.00000;0.23764;0.25385
13;56000;14000;784;10;0.12150;0.24534;33843.00000;0.29739;0.23941;0.12749;20354.00000;70000.00000;0.51060;-1.00000;-1.00000;0.54969;1.00000;-1.00000;-1.00000;-1.00000;0.23820;0.25349
14;56000;14000;784;10;0.12321;0.24437;33845.00000;0.29582;0.23890;0.12685;20338.00000;70000.00000;0.50862;-1.00000;-1.00000;0.54706;1.00000;-1.00000;-1.00000;-1.00000;0.23528;0.25252
15;56000;14000;784;10;0.11779;0.24587;33829.00000;0.29765;0.23954;0.12804;20325.00000;70000.00000;0.51167;-1.00000;-1.00000;0.55198;1.00000;-1.00000;-1.00000;-1.00000;0.23773;0.25465
16;56000;14000;784;10;0.12143;0.24429;33822.00000;0.29553;0.23854;0.12711;20335.00000;70000.00000;0.50848;-1.00000;-1.00000;0.54812;1.00000;-1.00000;-1.00000;-1.00000;0.23203;0.25386
17;56000;14000;784;10;0.12429;0.24452;33846.00000;0.29621;0.23913;0.12697;20344.00000;70000.00000;0.50894;-1.00000;-1.00000;0.54754;1.00000;-1.00000;-1.00000;-1.00000;0.23582;0.25258
18;56000;14000;784;10;0.12186;0.24507;33829.00000;0.29643;0.23942;0.12775;20328.00000;70000.00000;0.51005;-1.00000;-1.00000;0.55077;1.00000;-1.00000;-1.00000;-1.00000;0.23684;0.25688
19;56000;14000;784;10;0.12407;0.24344;33842.00000;0.29488;0.23809;0.12616;20352.00000;70000.00000;0.50675;-1.00000;-1.00000;0.54421;1.00000;-1.00000;-1.00000;-1.00000;0.23441;0.25217
20;56000;14000;784;10;0.12936;0.24231;33843.00000;0.29342;0.23778;0.12570;20361.00000;70000.00000;0.50446;-1.00000;-1.00000;0.54230;1.00000;-1.00000;-1.00000;-1.00000;0.23270;0.25248
21;56000;14000;784;10;0.12514;0.24476;33810.00000;0.29571;0.23829;0.12745;20297.00000;70000.00000;0.50943;-1.00000;-1.00000;0.54958;1.00000;-1.00000;-1.00000;-1.00000;0.23556;0.25334
22;56000;14000;784;10;0.11993;0.24542;33808.00000;0.29745;0.23939;0.12731;20319.00000;70000.00000;0.51076;-1.00000;-1.00000;0.54899;1.00000;-1.00000;-1.00000;-1.00000;0.23748;0.25489
23;56000;14000;784;10;0.12057;0.24510;33860.00000;0.29683;0.23908;0.12754;20371.00000;70000.00000;0.51011;-1.00000;-1.00000;0.54989;1.00000;-1.00000;-1.00000;-1.00000;0.23890;0.25424
24;56000;14000;784;10;0.12450;0.24456;33837.00000;0.29649;0.23858;0.12719;20339.00000;70000.00000;0.50902;-1.00000;-1.00000;0.54847;1.00000;-1.00000;-1.00000;-1.00000;0.23645;0.25332
25;56000;14000;784;10;0.12121;0.24457;33826.00000;0.29594;0.23803;0.12707;20345.00000;70000.00000;0.50904;-1.00000;-1.00000;0.54796;1.00000;-1.00000;-1.00000;-1.00000;0.23471;0.25287
26;56000;14000;784;10;0.12250;0.24500;33834.00000;0.29676;0.23899;0.12730;20356.00000;70000.00000;0.50992;-1.00000;-1.00000;0.54892;1.00000;-1.00000;-1.00000;-1.00000;0.23746;0.25356
27;56000;14000;784;10;0.12600;0.24415;33824.00000;0.29570;0.23792;0.12686;20254.00000;70000.00000;0.50820;-1.00000;-1.00000;0.54717;1.00000;-1.00000;-1.00000;-1.00000;0.23712;0.25202
28;56000;14000;784;10;0.12293;0.24480;33790.00000;0.29592;0.23909;0.12733;20364.00000;70000.00000;0.50952;-1.00000;-1.00000;0.54904;1.00000;-1.00000;-1.00000;-1.00000;0.23456;0.25247
29;56000;14000;784;10;0.12171;0.24509;33860.00000;0.29653;0.24013;0.12748;20369.00000;70000.00000;0.51008;-1.00000;-1.00000;0.54965;1.00000;-1.00000;-1.00000;-1.00000;0.23676;0.25674
30;56000;14000;784;10;0.12279;0.24525;33837.00000;0.29667;0.23936;0.12740;20338.00000;70000.00000;0.51042;-1.00000;-1.00000;0.54933;1.00000;-1.00000;-1.00000;-1.00000;0.23665;0.25507
31;56000;14000;784;10;0.12407;0.24413;33835.00000;0.29564;0.23916;0.12687;20361.00000;70000.00000;0.50814;-1.00000;-1.00000;0.54711;1.00000;-1.00000;-1.00000;-1.00000;0.23348;0.25499
32;56000;14000;784;10;0.11936;0.24492;33837.00000;0.29633;0.23910;0.12752;20354.00000;70000.00000;0.50975;-1.00000;-1.00000;0.54981;1.00000;-1.00000;-1.00000;-1.00000;0.23399;0.25295
33;56000;14000;784;10;0.12271;0.24426;33851.00000;0.29528;0.23879;0.12729;20370.00000;70000.00000;0.50841;-1.00000;-1.00000;0.54884;1.00000;-1.00000;-1.00000;-1.00000;0.23665;0.25149
34;56000;14000;784;10;0.12007;0.24477;33828.00000;0.29670;0.23948;0.12720;20328.00000;70000.00000;0.50945;-1.00000;-1.00000;0.54853;1.00000;-1.00000;-1.00000;-1.00000;0.23698;0.25324
35;56000;14000;784;10;0.12043;0.24563;33837.00000;0.29728;0.23965;0.12784;20316.00000;70000.00000;0.51118;-1.00000;-1.00000;0.55117;1.00000;-1.00000;-1.00000;-1.00000;0.23819;0.25485
36;56000;14000;784;10;0.12293;0.24538;33815.00000;0.29676;0.23922;0.12776;20361.00000;70000.00000;0.51069;-1.00000;-1.00000;0.55080;1.00000;-1.00000;-1.00000;-1.00000;0.23905;0.25410
37;56000;14000;784;10;0.12679;0.24438;33838.00000;0.29575;0.23869;0.12731;20294.00000;70000.00000;0.50864;-1.00000;-1.00000;0.54900;1.00000;-1.00000;-1.00000;-1.00000;0.23553;0.26026
38;56000;14000;784;10;0.12364;0.24468;33850.00000;0.29673;0.23906;0.12697;20360.00000;70000.00000;0.50926;-1.00000;-1.00000;0.54754;1.00000;-1.00000;-1.00000;-1.00000;0.23673;0.25262
39;56000;14000;784;10;0.12607;0.24398;33784.00000;0.29545;0.23879;0.12669;20338.00000;70000.00000;0.50786;-1.00000;-1.00000;0.54639;1.00000;-1.00000;-1.00000;-1.00000;0.23674;0.25091
40;56000;14000;784;10;0.12000;0.24567;33809.00000;0.29715;0.23946;0.12813;20327.00000;70000.00000;0.51128;-1.00000;-1.00000;0.55235;1.00000;-1.00000;-1.00000;-1.00000;0.23569;0.25680
41;56000;14000;784;10;0.12321;0.24541;33827.00000;0.29684;0.23900;0.12796;20329.00000;70000.00000;0.51074;-1.00000;-1.00000;0.55167;1.00000;-1.00000;-1.00000;-1.00000;0.23837;0.25252
42;56000;14000;784;10;0.12379;0.24510;33841.00000;0.29645;0.23905;0.12772;20379.00000;70000.00000;0.51011;-1.00000;-1.00000;0.55064;1.00000;-1.00000;-1.00000;-1.00000;0.23554;0.25433
43;56000;14000;784;10;0.12207;0.24545;33779.00000;0.29760;0.23934;0.12747;20329.00000;70000.00000;0.51084;-1.00000;-1.00000;0.54962;1.00000;-1.00000;-1.00000;-1.00000;0.23633;0.25302
44;56000;14000;784;10;0.12357;0.24499;33819.00000;0.29615;0.23942;0.12762;20355.00000;70000.00000;0.50990;-1.00000;-1.00000;0.55025;1.00000;-1.00000;-1.00000;-1.00000;0.23582;0.25256
