repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;56000;14000;784;10;0.11850;0.23375;20400.00000;0.28234;0.17391;0.12100;7313.00000;70000.00000;0.49244;-1.00000;-1.00000;0.54778;1.00000;-1.00000;-1.00000;-1.00000;0.22289;0.24304
2;56000;14000;784;10;0.11743;0.23552;20452.00000;0.28461;0.17423;0.12225;7323.00000;70000.00000;0.49602;-1.00000;-1.00000;0.55299;1.00000;-1.00000;-1.00000;-1.00000;0.22497;0.24379
3;56000;14000;784;10;0.11500;0.23497;20425.00000;0.28419;0.17425;0.12154;7369.00000;70000.00000;0.49492;-1.00000;-1.00000;0.54983;1.00000;-1.00000;-1.00000;-1.00000;0.22692;0.24685
4;56000;14000;784;10;0.11943;0.23404;20399.00000;0.28365;0.17410;0.12102;7341.00000;70000.00000;0.49304;-1.00000;-1.00000;0.54773;1.00000;-1.00000;-1.00000;-1.00000;0.22676;0.24277
5;56000;14000;784;10;0.12014;0.23356;20429.00000;0.28332;0.17437;0.12031;7348.00000;70000.00000;0.49205;-1.00000;-1.00000;0.54471;1.00000;-1.00000;-1.00000;-1.00000;0.22290;0.24216
6;56000;14000;784;10;0.11829;0.23396;20385.00000;0.28334;0.17376;0.12095;7337.00000;70000.00000;0.49289;-1.00000;-1.00000;0.54746;1.00000;-1.00000;-1.00000;-1.00000;0.22413;0.24386
7;56000;14000;784;10;0.11843;0.23422;20433.00000;0.28293;0.17376;0.12116;7341.00000;70000.00000;0.49338;-1.00000;-1.00000;0.54833;1.00000;-1.00000;-1.00000;-1.00000;0.22529;0.24117
8;56000;14000;784;10;0.11500;0.23538;20366.00000;0.28545;0.17427;0.12161;7295.00000;70000.00000;0.49579;-1.00000;-1.00000;0.55043;1.00000;-1.00000;-1.00000;-1.00000;0.22601;0.24423
9;56000;14000;784;10;0.11621;0.23447;20406.00000;0.28362;0.17397;0.12133;7328.00000;70000.00000;0.49390;-1.00000;-1.00000;0.54910;1.00000;-1.00000;-1.00000;-1.00000;0.22676;0.24411
10;56000;14000;784;10;0.11671;0.23523;20355.00000;0.28477;0.17415;0.12183;7357.00000;70000.00000;0.49548;-1.00000;-1.00000;0.55110;1.00000;-1.00000;-1.00000;-1.00000;0.22615;0.24536
11;56000;14000;784;10;0.11629;0.23449;20428.00000;0.28375;0.17376;0.12108;7335.00000;70000.00000;0.49394;-1.00000;-1.00000;0.54801;1.00000;-1.00000;-1.00000;-1.00000;0.22736;0.24458
12;56000;14000;784;10;0.11543;0.23520;20427.00000;0.28462;0.17401;0.12162;7333.00000;70000.00000;0.49538;-1.00000;-1.00000;0.55030;1.00000;-1.00000;-1.00000;-1.00000;0.22442;0.24764
13;56000;14000;784;10;0.11600;0.23493;20364.00000;0.28459;0.17375;0.12153;7337.00000;70000.00000;0.49486;-1.00000;-1.00000;0.54989;1.00000;-1.00000;-1.00000;-1.00000;0.22601;0.24389
14;56000;14000;784;10;0.12007;0.23321;20416.00000;0.28250;0.17350;0.12035;7369.00000;70000.00000;0.49134;-1.00000;-1.00000;0.54481;1.00000;-1.00000;-1.00000;-1.00000;0.22425;0.24470
15;56000;14000;784;10;0.11564;0.23396;20417.00000;0.28309;0.17379;0.12093;7335.00000;70000.00000;0.49287;-1.00000;-1.00000;0.54737;1.00000;-1.00000;-1.00000;-1.00000;0.22483;0.24324
16;56000;14000;784;10;0.11607;0.23525;20418.00000;0.28447;0.17385;0.12151;7353.00000;70000.00000;0.49550;-1.00000;-1.00000;0.54977;1.00000;-1.00000;-1.00000;-1.00000;0.22285;0.24607
17;56000;14000;784;10;0.11993;0.23516;20431.00000;0.28495;0.17379;0.12186;7339.00000;70000.00000;0.49530;-1.00000;-1.00000;0.55129;1.00000;-1.00000;-1.00000;-1.00000;0.22780;0.24346
18;56000;14000;784;10;0.11557;0.23480;20420.00000;0.28386;0.17356;0.12132;7310.00000;70000.00000;0.49457;-1.00000;-1.00000;0.54916;1.00000;-1.00000;-1.00000;-1.00000;0.22707;0.24564
19;56000;14000;784;10;0.11393;0.23536;20413.00000;0.28419;0.17418;0.12220;7344.00000;70000.00000;0.49571;-1.00000;-1.00000;0.55271;1.00000;-1.00000;-1.00000;-1.00000;0.22729;0.24335
20;56000;14000;784;10;0.11607;0.23527;20436.00000;0.28453;0.17434;0.12184;7352.00000;70000.00000;0.49552;-1.00000;-1.00000;0.55114;1.00000;-1.00000;-1.00000;-1.00000;0.22690;0.24526
21;56000;14000;784;10;0.11864;0.23494;20435.00000;0.28458;0.17454;0.12187;7368.00000;70000.00000;0.49484;-1.00000;-1.00000;0.55120;1.00000;-1.00000;-1.00000;-1.00000;0.22514;0.24313
22;56000;14000;784;10;0.12093;0.23395;20430.00000;0.28345;0.17451;0.12062;7318.00000;70000.00000;0.49284;-1.00000;-1.00000;0.54613;1.00000;-1.00000;-1.00000;-1.00000;0.22607;0.24250
23;56000;14000;784;10;0.11686;0.23494;20420.00000;0.28411;0.17326;0.12183;7333.00000;70000.00000;0.49486;-1.00000;-1.00000;0.55121;1.00000;-1.00000;-1.00000;-1.00000;0.22660;0.24417
24;56000;14000;784;10;0.11979;0.23374;20430.00000;0.28249;0.17390;0.12076;7321.00000;70000.00000;0.49241;-1.00000;-1.00000;0.54672;1.00000;-1.00000;-1.00000;-1.00000;0.22245;0.24415
25;56000;14000;784;10;0.11964;0.23379;20339.00000;0.28269;0.17348;0.12093;7341.00000;70000.00000;0.49257;-1.00000;-1.00000;0.54737;1.00000;-1.00000;-1.00000;-1.00000;0.22674;0.24254
26;56000;14000;784;10;0.11950;0.23497;20451.00000;0.28454;0.17413;0.12143;7364.00000;70000.00000;0.49491;-1.00000;-1.00000;0.54939;1.00000;-1.00000;-1.00000;-1.00000;0.22613;0.24242
27;56000;14000;784;10;0.11557;0.23528;20421.00000;0.28468;0.17413;0.12209;7340.00000;70000.00000;0.49554;-1.00000;-1.00000;0.55224;1.00000;-1.00000;-1.00000;-1.00000;0.22529;0.24316
28;56000;14000;784;10;0.12043;0.23369;20413.00000;0.28362;0.17359;0.12033;7363.00000;70000.00000;0.49233;-1.00000;-1.00000;0.54473;1.00000;-1.00000;-1.00000;-1.00000;0.22685;0.24048
29;56000;14000;784;10;0.12021;0.23488;20372.00000;0.28422;0.17376;0.12162;7263.00000;70000.00000;0.49476;-1.00000;-1.00000;0.55061;1.00000;-1.00000;-1.00000;-1.00000;0.22917;0.24371
30;56000;14000;784;10;0.11800;0.23436;20387.00000;0.28338;0.17360;0.12127;7316.00000;70000.00000;0.49369;-1.00000;-1.00000;0.54889;1.00000;-1.00000;-1.00000;-1.00000;0.22759;0.24099
31;56000;14000;784;10;0.11736;0.23456;20453.00000;0.28403;0.17439;0.12140;7323.00000;70000.00000;0.49405;-1.00000;-1.00000;0.54942;1.00000;-1.00000;-1.00000;-1.00000;0.22451;0.24289
32;56000;14000;784;10;0.11943;0.23470;20465.00000;0.28394;0.17382;0.12164;7340.00000;70000.00000;0.49434;-1.00000;-1.00000;0.55034;1.00000;-1.00000;-1.00000;-1.00000;0.22579;0.24317
33;56000;14000;784;10;0.11736;0.23462;20386.00000;0.28349;0.17387;0.12189;7360.00000;70000.00000;0.49422;-1.00000;-1.00000;0.55133;1.00000;-1.00000;-1.00000;-1.00000;0.22346;0.24143
34;56000;14000;784;10;0.11579;0.23447;20348.00000;0.28397;0.17420;0.12155;7292.00000;70000.00000;0.49395;-1.00000;-1.00000;0.55018;1.00000;-1.00000;-1.00000;-1.00000;0.22416;0.24262
35;56000;14000;784;10;0.11579;0.23569;20469.00000;0.28543;0.17374;0.12203;7357.00000;70000.00000;0.49635;-1.00000;-1.00000;0.55192;1.00000;-1.00000;-1.00000;-1.00000;0.22748;0.24455
36;56000;14000;784;10;0.11907;0.23551;20425.00000;0.28511;0.17449;0.12197;7371.00000;70000.00000;0.49601;-1.00000;-1.00000;0.55163;1.00000;-1.00000;-1.00000;-1.00000;0.22761;0.24477
37;56000;14000;784;10;0.11807;0.23389;20418.00000;0.28327;0.17365;0.12109;7352.00000;70000.00000;0.49273;-1.00000;-1.00000;0.54797;1.00000;-1.00000;-1.00000;-1.00000;0.22538;0.24464
38;56000;14000;784;10;0.11900;0.23471;20389.00000;0.28463;0.17454;0.12113;7317.00000;70000.00000;0.49441;-1.00000;-1.00000;0.54830;1.00000;-1.00000;-1.00000;-1.00000;0.22425;0.24271
39;56000;14000;784;10;0.11407;0.23508;20437.00000;0.28419;0.17406;0.12195;7317.00000;70000.00000;0.49513;-1.00000;-1.00000;0.55174;1.00000;-1.00000;-1.00000;-1.00000;0.22697;0.24276
40;56000;14000;784;10;0.11500;0.23485;20448.00000;0.28412;0.17382;0.12157;7366.00000;70000.00000;0.49466;-1.00000;-1.00000;0.54997;1.00000;-1.00000;-1.00000;-1.00000;0.22514;0.24420
41;56000;14000;784;10;0.12271;0.23332;20459.00000;0.28312;0.17392;0.12017;7348.00000;70000.00000;0.49153;-1.00000;-1.00000;0.54414;1.00000;-1.00000;-1.00000;-1.00000;0.22139;0.24271
