repeat;n_train;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;dis_t;sh;best_tree;worst_tree
1;16000;4000;16;26;0.03825;0.18557;5762.00000;0.26167;0.14929;0.08922;2014.00000;20000.00000;0.41331;-1.00000;-1.00000;0.46334;1.00000;-1.00000;-1.00000;-1.00000;0.16966;0.20656
2;16000;4000;16;26;0.04125;0.18554;5792.00000;0.26169;0.14918;0.08920;2042.00000;20000.00000;0.41315;-1.00000;-1.00000;0.46254;1.00000;-1.00000;-1.00000;-1.00000;0.16842;0.20340
3;16000;4000;16;26;0.02825;0.18853;5790.00000;0.26578;0.14904;0.09134;2034.00000;20000.00000;0.41936;-1.00000;-1.00000;0.47230;1.00000;-1.00000;-1.00000;-1.00000;0.16259;0.20981
4;16000;4000;16;26;0.03775;0.18474;5788.00000;0.26022;0.14917;0.08932;2039.00000;20000.00000;0.41148;-1.00000;-1.00000;0.46316;1.00000;-1.00000;-1.00000;-1.00000;0.17173;0.20246
5;16000;4000;16;26;0.03800;0.18394;5807.00000;0.25962;0.15022;0.08904;2054.00000;20000.00000;0.40975;-1.00000;-1.00000;0.46151;1.00000;-1.00000;-1.00000;-1.00000;0.16927;0.20421
6;16000;4000;16;26;0.03800;0.18496;5800.00000;0.26103;0.14968;0.08907;2045.00000;20000.00000;0.41190;-1.00000;-1.00000;0.46188;1.00000;-1.00000;-1.00000;-1.00000;0.16899;0.20089
7;16000;4000;16;26;0.04025;0.18699;5779.00000;0.26289;0.14948;0.08999;2036.00000;20000.00000;0.41621;-1.00000;-1.00000;0.46623;1.00000;-1.00000;-1.00000;-1.00000;0.16839;0.20883
8;16000;4000;16;26;0.04000;0.18760;5786.00000;0.26435;0.14956;0.09030;2036.00000;20000.00000;0.41744;-1.00000;-1.00000;0.46759;1.00000;-1.00000;-1.00000;-1.00000;0.16061;0.20483
9;16000;4000;16;26;0.03775;0.18619;5800.00000;0.26169;0.14896;0.08946;2050.00000;20000.00000;0.41447;-1.00000;-1.00000;0.46350;1.00000;-1.00000;-1.00000;-1.00000;0.16874;0.20426
10;16000;4000;16;26;0.03875;0.18587;5786.00000;0.26309;0.14925;0.08994;2008.00000;20000.00000;0.41384;-1.00000;-1.00000;0.46674;1.00000;-1.00000;-1.00000;-1.00000;0.16972;0.20665
11;16000;4000;16;26;0.03775;0.18657;5787.00000;0.26381;0.14909;0.08939;2041.00000;20000.00000;0.41530;-1.00000;-1.00000;0.46341;1.00000;-1.00000;-1.00000;-1.00000;0.16940;0.20846
12;16000;4000;16;26;0.03025;0.18694;5785.00000;0.26289;0.14990;0.09091;2039.00000;20000.00000;0.41607;-1.00000;-1.00000;0.47023;1.00000;-1.00000;-1.00000;-1.00000;0.16865;0.20536
